RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
1,0,26758,David Hearn,14.05,857.01,61
2,0,27974,Sung Kang,13.92,877.18,63
3,0,32448,James Hahn,13.86,956.54,69
4,0,29926,Danny Lee,13.78,854.25,62
5,0,34021,Bud Cauley,13.73,933.62,68
6,0,33461,Morgan Hoffmann,13.70,1041.47,76
7,0,39954,Cody Gribble,13.65,723.38,53
8,0,20472,Alex Cejka,13.56,718.85,53
9,0,23325,Vaughn Taylor,13.51,986.04,73
10,0,34174,John Huh,13.50,985.70,73
11,0,29485,Brett Stegmaier,13.40,710.43,53
12,0,06522,Ernie Els,13.23,357.22,27
13,0,28089,Jason Day,13.22,608.02,46
14,0,29223,Sam Saunders,13.20,752.34,57
15,0,24024,Zach Johnson,13.15,736.38,56
16,0,40058,Zac Blair,13.10,995.51,76
16,0,39975,Michael Kim,13.10,982.84,75
18,0,22056,Cameron Percy,12.93,659.67,51
19,0,27958,Ryan Blaum,12.90,928.57,72
20,0,37454,Whee Kim,12.88,656.71,51
21,0,22405,Justin Rose,12.87,527.69,41
22,0,24357,K.J. Choi,12.84,680.67,53
23,0,01810,Phil Mickelson,12.76,727.18,57
24,0,25818,Scott Piercy,12.74,560.44,44
25,0,33141,Keegan Bradley,12.73,916.26,72
26,0,27895,Jonas Blixt,12.70,672.92,53
27,0,31416,Derek Fathauer,12.68,646.46,51
28,0,32102,Rickie Fowler,12.67,671.27,53
29,0,46970,Jon Rahm,12.64,670.18,53
29,0,39324,J.J. Spaun,12.64,758.34,60
31,0,26476,Chez Reavie,12.56,892.09,71
32,0,28237,Rory McIlroy,12.53,350.89,28
33,0,32366,Kevin Chappell,12.52,688.76,55
34,0,20771,Steven Alker,12.49,537.21,43
34,0,33448,Justin Thomas,12.49,624.44,50
36,0,24361,Pat Perez,12.36,692.08,56
37,0,20157,Retief Goosen,12.35,432.38,35
37,0,25632,Jimmy Walker,12.35,481.68,39
39,0,31420,Anirban Lahiri,12.34,555.43,45
40,0,27644,Brian Harman,12.26,809.48,66
41,0,25198,Francesco Molinari,12.20,573.26,47
42,0,19846,Brian Gay,12.16,802.86,66
43,0,23108,Matt Kuchar,12.14,776.97,64
43,0,32640,Troy Merritt,12.14,801.38,66
45,0,23320,Ryan Palmer,12.12,521.08,43
46,0,24140,Sean O'Hair,12.08,664.47,55
47,0,27141,J.B. Holmes,12.07,494.82,41
48,0,29222,Billy Hurley III,12.03,806.33,67
49,0,29289,S.Y. Noh,12.00,851.79,71
50,0,24781,Hunter Mahan,11.99,683.57,57
51,0,29908,C.T. Pan,11.98,778.49,65
52,0,22046,Geoff Ogilvy,11.95,764.49,64
53,0,37455,Si Woo Kim,11.94,609.02,51
53,0,37278,Nicholas Lindheim,11.94,465.83,39
53,0,29476,Kyle Reifers,11.94,812.13,68
53,0,23621,Rory Sabbatini,11.94,560.97,47
57,0,24358,Robert Garrigus,11.92,655.57,55
57,0,30110,Kyle Stanley,11.92,989.05,83
57,0,25493,Nick Taylor,11.92,882.08,74
60,0,29461,Jamie Lovemark,11.90,678.20,57
61,0,34046,Jordan Spieth,11.88,688.94,58
62,0,26596,Ryan Moore,11.80,708.06,60
63,0,25349,Tim Wilkinson,11.78,506.66,43
64,0,46440,Smylie Kaufman,11.77,682.66,58
64,0,32839,Hideki Matsuyama,11.77,553.27,47
66,0,35545,Blayne Barber,11.75,752.12,64
67,0,33948,Byeong Hun An,11.69,560.96,48
68,0,35450,Patrick Cantlay,11.67,420.21,36
69,0,30191,Julián Etulain,11.64,570.22,49
69,0,33204,Shane Lowry,11.64,244.35,21
71,0,29420,Billy Horschel,11.63,744.10,64
72,0,23983,Luke Donald,11.61,336.67,29
72,0,30944,Jason Kokrak,11.61,801.26,69
72,0,34466,Peter Malnati,11.61,847.33,73
75,0,35532,Tom Hoge,11.57,462.98,40
75,0,47128,Richy Werenski,11.57,624.77,54
77,0,48081,Xander Schauffele,11.56,543.50,47
78,0,25240,D.A. Points,11.51,598.75,52
78,0,26951,Johnson Wagner,11.51,563.81,49
80,0,29478,Kevin Kisner,11.49,758.54,66
81,0,35879,Kelly Kraft,11.46,653.43,57
82,0,30925,Dustin Johnson,11.39,501.19,44
83,0,29221,Webb Simpson,11.36,794.85,70
83,0,33419,Cameron Tringale,11.36,670.41,59
85,0,29479,Scott Brown,11.32,724.24,64
86,0,12510,Chad Campbell,11.31,814.36,72
87,0,30692,Scott Stallings,11.26,630.28,56
88,0,23353,J.J. Henry,11.23,775.06,69
89,0,12716,Charley Hoffman,11.21,829.49,74
89,0,26329,Louis Oosthuizen,11.21,403.43,36
89,0,23497,Tag Ridings,11.21,470.78,42
92,0,27649,Brandt Snedeker,11.18,380.01,34
93,0,24507,Jason Bohn,11.17,658.81,59
94,0,40009,Dominic Bozzelli,11.16,557.94,50
95,0,37189,Harold Varner III,11.14,846.37,76
