RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,32366,Kevin Chappell,131' 1",7078' 2",54
2,0,27141,J.B. Holmes,130' 9",5231' 4",40
2,0,35300,Andrew Loupe,130' 9",5360' 8",41
4,0,29926,Danny Lee,129' 9",8046' 9",62
5,0,28089,Jason Day,129' 5",5954' 1",46
6,0,28237,Rory McIlroy,128' 0",3584' 4",28
7,0,46970,Jon Rahm,126' 11",6599' 3",52
8,0,27974,Sung Kang,125' 3",7890' 3",63
9,0,27129,Luke List,124' 5",8583',69
10,0,31323,Gary Woodland,123' 8",6306' 0",51
11,0,33141,Keegan Bradley,123' 6",8891' 4",72
12,0,32448,James Hahn,123' 5",8390' 2",68
13,0,29461,Jamie Lovemark,123' 2",7019' 6",57
14,0,36689,Brooks Koepka,122' 6",5514' 4",45
15,0,39954,Cody Gribble,122' 3",6477',53
16,0,30925,Dustin Johnson,121' 9",5236' 8",43
17,0,01810,Phil Mickelson,121' 6",6803' 7",56
18,0,24358,Robert Garrigus,120' 8",6636' 3",55
19,0,39324,J.J. Spaun,120' 1",7082',59
20,0,24361,Pat Perez,119' 10",6469' 6",54
21,0,46440,Smylie Kaufman,119' 6",6811' 3",57
22,0,34021,Bud Cauley,119' 0",7970' 9",67
23,0,29289,S.Y. Noh,118' 11",8326' 2",70
24,0,26758,David Hearn,118' 7",7232' 1",61
25,0,22405,Justin Rose,118' 5",4855' 0",41
26,0,23497,Tag Ridings,118' 4",4969' 1",42
27,0,33448,Justin Thomas,118' 3",5794' 1",49
28,0,25804,Bubba Watson,117' 11",4832',41
29,0,36699,Patrick Rodgers,117' 5",5517' 8",47
30,0,29725,Tony Finau,117' 3",9030' 5",77
31,0,30944,Jason Kokrak,117' 1",7958',68
32,0,23320,Ryan Palmer,117' 0",4797',41
33,0,48081,Xander Schauffele,116' 10",5373',46
34,0,32839,Hideki Matsuyama,116' 3",5346' 7",46
35,0,29223,Sam Saunders,115' 9",6599' 5",57
36,0,25818,Scott Piercy,115' 3",5069',44
37,0,24140,Sean O'Hair,114' 0",6268' 4",55
38,0,31416,Derek Fathauer,113' 10",5806' 7",51
39,0,33461,Morgan Hoffmann,113' 9",8645' 4",76
40,0,27958,Ryan Blaum,113' 7",8177',72
40,0,35450,Patrick Cantlay,113' 7",3974' 7",35
42,0,34409,David Lingmerth,113' 6",6698' 8",59
43,0,25632,Jimmy Walker,113' 4",4305' 8",38
44,0,12716,Charley Hoffman,113' 1",8367',74
45,0,20157,Retief Goosen,112' 7",3939' 5",35
46,0,46601,Trey Mullinax,112' 2",6955' 6",62
47,0,24781,Hunter Mahan,112' 0",6384' 1",57
48,0,34099,Harris English,111' 7",6804',61
49,0,24924,Bill Haas,111' 6",6243' 3",56
49,0,34264,Hudson Swafford,111' 6",6465' 6",58
51,0,37455,Si Woo Kim,111' 4",5679',51
52,0,46550,Brandon Hagy,111' 0",6326' 2",57
