RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,46046,Scottie Scheffler,16.4935,692.7282,-475.9944,727.4548
2,0,48081,Xander Schauffele,9.7198,417.9506,-252.8993,444.2496
3,0,28237,Rory McIlroy,8.1105,381.1943,-337.7904,347.8940
4,0,50525,Collin Morikawa,5.7216,251.7504,-155.7337,243.9563
5,0,52955,Ludvig Åberg,5.5818,223.2738,-103.5536,221.6311
6,0,51766,Wyndham Clark,4.9750,228.8496,-202.3667,222.3401
7,0,32839,Hideki Matsuyama,4.9611,223.2500,-111.7935,249.3404
8,0,46717,Viktor Hovland,4.6961,187.8430,-239.4854,104.1527
9,0,30911,Tommy Fleetwood,3.9993,207.9652,-164.3495,185.4421
10,0,47959,Bryson DeChambeau,3.9413,157.6535,-52.2814,179.0000
11,0,35450,Patrick Cantlay,3.7798,151.1921,-195.3828,130.3452
12,1,33141,Keegan Bradley,3.7255,167.6475,-137.2393,155.2142
13,-1,51634,Sahith Theegala,3.7080,189.1071,-143.9068,199.8829
14,1,52215,Robert MacIntyre,3.5205,183.0636,-80.9633,182.4060
15,1,34363,Tyrrell Hatton,3.5023,140.0919,-146.7639,100.4707
16,1,29420,Billy Horschel,3.4462,172.3123,-82.2969,182.0011
17,-3,34098,Russell Henley,3.4277,140.5357,-114.8897,134.1667
18,1,24502,Adam Scott,3.1746,152.3825,-84.9651,146.5150
19,1,47504,Sam Burns,3.0863,138.8854,-135.5492,133.5946
20,-2,46970,Jon Rahm,3.0769,123.0778,-278.3745,55.2815
21,6,55182,Tom Kim,3.0457,158.3788,-162.5771,122.3668
22,3,33448,Justin Thomas,3.0413,130.7777,-119.5702,128.9508
23,-2,46414,Aaron Rai,2.9937,155.6743,-68.6519,148.9786
24,-1,39971,Sungjae Im,2.8998,150.7898,-134.7617,147.0895
25,-3,33948,Byeong Hun An,2.8655,134.6799,-85.3721,144.1739
26,0,29725,Tony Finau,2.8148,126.6643,-151.3042,127.0621
27,-3,27644,Brian Harman,2.7785,141.7023,-175.2963,102.0411
28,0,33204,Shane Lowry,2.7587,137.9368,-102.5479,141.2017
29,2,56630,Akshay Bhatia,2.6850,139.6211,-64.7539,151.1385
30,-1,48153,Matthieu Pavon,2.5767,133.9863,-81.7351,156.5609
31,-1,46442,Maverick McNealy,2.5520,107.1826,-40.3254,120.3881
32,1,59866,Nick Dunlap,2.5026,100.1036,-28.2104,128.3140
33,1,49771,J.T. Poston,2.4043,122.6197,-96.4843,116.1726
34,-2,28089,Jason Day,2.3940,100.5487,-110.5299,85.1040
