RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,47959,Bryson DeChambeau,81.88,131,160,-0.27
2,0,28237,Rory McIlroy,81.08,120,148,-0.18
3,0,56278,Matthew Wolff,76.36,84,110,-0.17
4,0,52372,Cameron Champ,74.00,111,150,-0.26
5,0,56762,Will Gordon,72.16,127,176,-0.24
6,0,36689,Brooks Koepka,71.97,95,132,-0.21
7,0,51766,Wyndham Clark,71.15,111,156,-0.21
8,0,46550,Brandon Hagy,68.92,102,148,-0.21
9,0,28420,Ryan Brehm,68.10,79,116,-0.28
10,0,27129,Luke List,67.98,121,178,-0.29
11,0,21209,Sergio Garcia,66.89,99,148,-0.32
12,0,45486,Joaquin Niemann,66.67,136,204,-0.24
13,0,30944,Jason Kokrak,66.48,117,176,-0.20
14,0,30925,Dustin Johnson,65.97,95,144,-0.25
15,0,35658,Kris Ventura,65.71,92,140,-0.22
15,0,31323,Gary Woodland,65.71,92,140,-0.20
17,0,45157,Cam Davis,65.43,123,188,-0.22
18,0,34255,Joseph Bramlett,64.74,101,156,-0.21
19,0,29970,Dylan Frittelli,64.58,93,144,-0.24
20,0,20229,Stewart Cink,64.44,116,180,-0.25
21,0,40042,Tyler McCumber,63.97,87,136,-0.33
22,0,47483,Will Zalatoris,63.79,111,174,-0.17
23,0,46970,Jon Rahm,63.64,98,154,-0.21
24,0,40006,Erik van Rooyen,63.01,92,146,-0.16
25,0,39546,Keith Mitchell,62.50,105,168,-0.21
25,0,24502,Adam Scott,62.50,90,144,-0.17
25,0,27064,Jhonattan Vegas,62.50,110,176,-0.27
28,0,32333,Kevin Tway,62.10,77,124,-0.21
29,0,36699,Patrick Rodgers,60.78,124,204,-0.26
30,0,47504,Sam Burns,60.71,102,168,-0.27
31,0,48081,Xander Schauffele,59.87,91,152,-0.24
32,0,29725,Tony Finau,59.44,107,180,-0.33
33,0,35617,Martin Trainer,59.32,70,118,-0.07
34,0,27141,J.B. Holmes,58.33,56,96,-0.18
35,0,34213,Grayson Murray,58.16,57,98,-0.30
36,0,12716,Charley Hoffman,58.08,115,198,-0.28
37,0,25364,Paul Casey,57.64,83,144,-0.36
38,0,27554,Scott Harrington,57.59,91,158,-0.15
39,0,35461,Beau Hossler,57.39,101,176,-0.37
40,0,23320,Ryan Palmer,56.76,84,148,-0.35
41,0,33448,Justin Thomas,56.55,95,168,-0.32
42,0,25804,Bubba Watson,56.52,78,138,-0.24
43,0,46046,Scottie Scheffler,55.61,109,196,-0.32
44,0,46717,Viktor Hovland,55.42,92,166,-0.23
45,0,26300,Matt Jones,55.39,113,204,-0.24
46,0,35450,Patrick Cantlay,54.49,85,156,-0.20
47,0,35310,Lanto Griffin,54.44,98,180,-0.13
48,0,33667,Carlos Ortiz,53.26,98,184,-0.38
49,0,35104,Tom Lewis,53.13,85,160,-0.15
50,0,29518,Brendan Steele,52.63,80,152,-0.11
51,0,26331,Charl Schwartzel,52.33,90,172,-0.38
52,0,49964,Aaron Wise,51.88,83,160,-0.08
53,0,33948,Byeong Hun An,51.79,87,168,-0.16
54,0,30911,Tommy Fleetwood,51.67,62,120,-0.18
55,0,49960,Sepp Straka,51.04,98,192,-0.16
56,0,33204,Shane Lowry,50.66,77,152,-0.19
57,0,34099,Harris English,50.54,93,184,-0.37
58,0,34264,Hudson Swafford,50.00,82,164,-0.37
59,0,39977,Max Homa,48.84,84,172,-0.29
60,0,47347,Adam Schenk,48.53,99,204,-0.31
61,0,37189,Harold Varner III,48.33,87,180,-0.09
62,0,34363,Tyrrell Hatton,48.21,54,112,-0.02
63,0,48887,Matt Wallace,48.11,51,106,-0.37
64,0,33597,Harry Higgs,47.50,76,160,-0.26
65,0,01810,Phil Mickelson,47.30,70,148,-0.13
66,0,34046,Jordan Spieth,47.16,83,176,-0.31
67,0,33141,Keegan Bradley,47.09,81,172,-0.37
68,0,32757,Patton Kizzire,47.06,96,204,-0.15
68,0,24140,Sean O'Hair,47.06,48,102,-0.23
70,0,49771,J.T. Poston,47.02,79,168,-0.33
71,0,28089,Jason Day,46.92,61,130,-0.21
72,0,32839,Hideki Matsuyama,46.77,87,186,-0.33
73,0,33419,Cameron Tringale,46.74,86,184,-0.24
74,0,29926,Danny Lee,46.61,55,118,-0.07
75,0,36871,Matthew NeSmith,46.59,82,176,-0.35
76,0,29268,Bronson Burgoon,46.53,67,144,-0.15
77,0,31646,Emiliano Grillo,46.35,89,192,-0.33
78,0,27095,Nick Watney,46.30,50,108,-0.16
79,0,22405,Justin Rose,45.37,49,108,-0.33
80,0,48119,Ben Taylor,45.00,45,100,-0.18
81,0,32791,K.H. Lee,44.34,94,212,-0.22
82,0,40026,Daniel Berger,44.05,74,168,-0.22
83,0,25632,Jimmy Walker,43.92,65,148,-0.22
84,0,39971,Sungjae Im,43.85,107,244,-0.34
85,0,34563,Chesson Hadley,43.75,63,144,-0.22
86,0,25818,Scott Piercy,43.67,69,158,-0.10
87,0,37275,Sam Ryder,43.60,75,172,-0.20
88,0,46442,Maverick McNealy,43.59,68,156,-0.34
89,0,46402,Talor Gooch,43.33,78,180,-0.33
90,0,32662,Michael Gligic,43.13,69,160,-0.19
91,0,32102,Rickie Fowler,42.95,67,156,-0.31
92,0,35891,Cameron Smith,42.68,70,164,-0.39
93,0,32070,Rafael Campos,42.50,51,120,-0.43
94,0,30692,Scott Stallings,42.11,64,152,-0.16
95,0,24924,Bill Haas,42.05,37,88,-0.24
96,0,31420,Anirban Lahiri,41.91,57,136,-0.39
97,0,21961,Charles Howell III,41.43,58,140,-0.28
98,0,27936,Martin Laird,41.25,66,160,-0.20
99,0,24781,Hunter Mahan,41.23,47,114,-0.11
100,0,39997,Corey Conners,40.87,85,208,-0.27
101,0,27349,Alex Noren,40.85,67,164,-0.34
102,0,51894,Vince Whaley,40.63,65,160,-0.25
103,0,29908,C.T. Pan,40.00,64,160,-0.08
104,0,37455,Si Woo Kim,39.89,75,188,-0.48
105,0,34314,Sebastian Cappelen,39.81,43,108,-0.16
106,0,28252,Seamus Power,39.66,46,116,-0.33
107,0,48822,Sebastián Muñoz,39.22,80,204,-0.30
108,0,39975,Michael Kim,39.13,54,138,-0.15
109,0,29974,Branden Grace,38.89,63,162,-0.32
110,0,32448,James Hahn,38.57,54,140,-0.11
111,0,33486,Roger Sloan,38.41,63,164,-0.35
112,0,23623,Bo Van Pelt,38.19,55,144,-0.25
113,0,29479,Scott Brown,38.13,61,160,-0.21
114,0,33404,Chris Baker,37.96,41,108,-0.12
115,0,47993,Denny McCarthy,37.23,70,188,-0.27
116,0,26329,Louis Oosthuizen,37.16,55,148,-0.31
117,0,25900,Lucas Glover,36.98,71,192,-0.28
117,0,27214,Kevin Streelman,36.98,71,192,-0.13
119,0,26851,Marc Leishman,36.84,56,152,-0.11
120,0,30163,Henrik Norlander,36.31,61,168,-0.25
121,0,46441,Robby Shelton,36.25,58,160,-0.21
122,0,35506,Mackenzie Hughes,36.11,65,180,-0.05
122,0,49766,Hank Lebioda,36.11,52,144,-0.29
124,0,29420,Billy Horschel,36.05,62,172,-0.34
125,0,50525,Collin Morikawa,35.90,56,156,-0.27
126,0,40098,Matt Fitzpatrick,35.61,47,132,-0.13
127,0,27974,Sung Kang,35.47,61,172,-0.05
128,0,27770,Camilo Villegas,35.06,54,154,-0.17
129,0,27644,Brian Harman,35.00,70,200,-0.36
129,0,25493,Nick Taylor,35.00,63,180,-0.06
131,0,53165,Doc Redman,34.87,53,152,-0.09
132,0,23788,D.J. Trahan,34.85,46,132,-0.37
133,0,20396,Lee Westwood,34.68,43,124,-0.33
134,0,34431,Robert Streb,34.15,56,164,-0.27
135,0,33413,Ben Martin,34.00,34,100,-0.32
136,0,29221,Webb Simpson,33.78,50,148,-0.38
137,0,34466,Peter Malnati,33.75,54,160,-0.17
138,0,47128,Richy Werenski,33.72,58,172,-0.26
139,0,33399,Adam Hadwin,33.52,59,176,-0.15
140,0,33410,Andrew Landry,33.33,44,132,-0.09
140,0,27330,Josh Teater,33.33,32,96,-0.13
142,0,27556,Ted Potter Jr.,33.09,45,136,-0.04
142,0,32254,Xinjun Zhang,33.09,45,136,-0.27
144,0,32618,Rhein Gibson,33.04,37,112,-0.22
145,0,48045,Michael Gellerman,32.98,31,94,E
145,0,32139,Danny Willett,32.98,31,94,-0.26
147,0,31557,Jim Herman,32.58,43,132,-0.26
148,0,34076,Joel Dahmen,32.32,53,164,+0.04
149,0,24361,Pat Perez,32.29,62,192,-0.35
150,0,33122,Russell Knox,31.52,58,184,-0.31
151,0,52375,Doug Ghim,31.40,54,172,-0.11
152,0,30110,Kyle Stanley,31.11,56,180,-0.21
153,0,34174,John Huh,31.03,36,116,-0.14
154,0,34098,Russell Henley,30.95,52,168,-0.27
155,0,30926,Chris Kirk,30.81,53,172,-0.11
156,0,25686,Jason Dufner,30.23,52,172,-0.19
157,0,27942,Rob Oppenheim,29.73,44,148,-0.45
158,0,32640,Troy Merritt,29.08,57,196,-0.21
159,0,28775,Nate Lashley,28.95,44,152,-0.18
160,0,22371,Aaron Baddeley,28.70,31,108,-0.26
161,0,45609,Tyler Duncan,28.33,51,180,+0.06
162,0,49298,Kramer Hickok,28.26,39,138,-0.41
163,0,33490,Bo Hoag,28.16,49,174,-0.20
164,0,35230,Nelson Ledesma,28.13,27,96,-0.07
165,0,45526,Abraham Ancer,28.06,55,196,-0.24
166,0,46435,Austin Cook,27.78,40,144,-0.13
167,0,29535,Brice Garnett,27.72,51,184,-0.35
168,0,34360,Patrick Reed,27.56,43,156,-0.26
169,0,29478,Kevin Kisner,26.92,42,156,-0.12
170,0,26499,Rafa Cabrera Bello,26.35,39,148,-0.21
171,0,32816,Satoshi Kodaira,26.32,40,152,-0.23
172,0,35449,Adam Long,26.19,44,168,-0.16
173,0,23621,Rory Sabbatini,26.00,39,150,-0.26
174,0,39953,Chase Seiffert,25.64,40,156,-0.25
175,0,25396,Kevin Na,25.29,44,174,-0.30
176,0,23983,Luke Donald,25.00,28,112,-0.25
176,0,35532,Tom Hoge,25.00,48,192,-0.23
176,0,24024,Zach Johnson,25.00,42,168,-0.33
179,0,23108,Matt Kuchar,24.24,32,132,-0.19
180,0,24138,Ian Poulter,23.61,34,144,-0.21
181,0,22056,Cameron Percy,23.38,36,154,-0.33
182,0,27649,Brandt Snedeker,23.21,39,168,-0.05
183,0,32150,Michael Thompson,22.97,34,148,-0.26
184,0,39324,J.J. Spaun,22.22,32,144,-0.25
185,0,19846,Brian Gay,21.43,30,140,-0.20
186,0,34256,Andrew Putnam,21.35,38,178,-0.21
187,0,28679,Fabián Gómez,21.30,23,108,-0.17
188,0,33120,Mark Anderson,20.54,23,112,-0.09
189,0,26476,Chez Reavie,19.05,32,168,-0.19
190,0,19803,Ryan Armour,18.59,29,156,-0.21
191,0,36801,Mark Hubbard,17.19,33,192,-0.06
192,0,23325,Vaughn Taylor,13.46,21,156,-0.10
193,0,30927,Brendon Todd,11.63,20,172,-0.50
194,0,31560,Brian Stuard,11.54,24,208,-0.21
195,0,26758,David Hearn,7.81,10,128,-0.40
196,0,24357,K.J. Choi,3.85,4,104,E
