RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,24138,Ian Poulter,45.37,392,864
2,0,25396,Kevin Na,44.60,570,1278
3,0,34360,Patrick Reed,44.37,591,1332
4,6,40026,Daniel Berger,43.84,505,1152
5,1,30927,Brendon Todd,43.73,677,1548
6,1,40009,Dominic Bozzelli,43.67,283,648
7,1,34466,Peter Malnati,43.66,448,1026
8,-4,47959,Bryson DeChambeau,43.19,482,1116
9,2,51766,Wyndham Clark,43.08,473,1098
10,2,34046,Jordan Spieth,43.01,480,1116
11,2,27644,Brian Harman,42.95,603,1404
12,2,46442,Maverick McNealy,42.84,586,1368
13,3,29221,Webb Simpson,42.74,400,936
14,3,49771,J.T. Poston,42.66,599,1404
15,10,29478,Kevin Kisner,42.39,557,1314
15,3,27963,Chris Stroud,42.39,351,828
17,13,48081,Xander Schauffele,42.30,533,1260
18,2,23325,Vaughn Taylor,42.26,464,1098
19,2,35617,Martin Trainer,42.15,349,828
20,2,40058,Zac Blair,42.09,500,1188
21,-2,39971,Sungjae Im,42.02,711,1692
22,2,22371,Aaron Baddeley,41.96,355,846
23,0,35891,Cameron Smith,41.93,483,1152
24,2,32757,Patton Kizzire,41.92,415,990
25,2,32139,Danny Willett,41.81,301,720
26,2,29268,Bronson Burgoon,41.72,398,954
26,2,26499,Rafa Cabrera Bello,41.72,398,954
28,2,40098,Matt Fitzpatrick,41.67,405,972
28,2,32102,Rickie Fowler,41.67,330,792
28,29,35506,Mackenzie Hughes,41.67,525,1260
31,3,22405,Justin Rose,41.52,284,684
32,3,28089,Jason Day,41.51,396,954
33,-3,45526,Abraham Ancer,41.44,552,1332
34,2,35450,Patrick Cantlay,41.43,343,828
35,2,29926,Danny Lee,41.38,514,1242
36,10,35310,Lanto Griffin,41.36,685,1656
37,2,34076,Joel Dahmen,41.35,588,1422
38,2,01810,Phil Mickelson,41.29,379,918
39,-1,30925,Dustin Johnson,41.27,364,882
40,1,33948,Byeong Hun An,41.19,556,1350
41,2,47128,Richy Werenski,41.17,415,1008
42,2,36801,Mark Hubbard,41.15,637,1548
43,11,28237,Rory McIlroy,41.02,443,1080
44,21,46970,Jon Rahm,41.00,428,1044
45,0,33448,Justin Thomas,40.99,487,1188
46,1,23108,Matt Kuchar,40.97,413,1008
46,1,32791,K.H. Lee,40.97,531,1296
48,1,31560,Brian Stuard,40.95,597,1458
49,1,34256,Andrew Putnam,40.94,339,828
49,1,51894,Vince Whaley,40.94,280,684
51,2,23320,Ryan Palmer,40.93,501,1224
52,0,19846,Brian Gay,40.92,464,1134
53,2,37455,Si Woo Kim,40.84,544,1332
53,2,47993,Denny McCarthy,40.84,566,1386
55,3,32366,Kevin Chappell,40.79,301,738
56,12,48822,Sebastián Muñoz,40.74,616,1512
57,4,46046,Scottie Scheffler,40.72,601,1476
58,1,33597,Harry Higgs,40.70,608,1494
59,8,29725,Tony Finau,40.66,527,1296
60,2,27349,Alex Noren,40.58,409,1008
61,2,35230,Nelson Ledesma,40.56,292,720
62,2,35532,Tom Hoge,40.54,540,1332
63,2,48887,Matt Wallace,40.53,321,792
64,5,26596,Ryan Moore,40.40,320,792
65,5,26329,Louis Oosthuizen,40.39,349,864
66,5,29970,Dylan Frittelli,40.31,595,1476
67,5,27649,Brandt Snedeker,40.25,384,954
68,5,33410,Andrew Landry,40.12,455,1134
69,5,39546,Keith Mitchell,40.10,462,1152
69,5,28252,Seamus Power,40.10,231,576
71,5,35449,Adam Long,40.09,635,1584
71,7,32839,Hideki Matsuyama,40.09,534,1332
71,5,47347,Adam Schenk,40.09,534,1332
74,4,39977,Max Homa,40.08,505,1260
75,5,23621,Rory Sabbatini,40.07,476,1188
76,5,34314,Sebastian Cappelen,40.04,382,954
77,6,24024,Zach Johnson,39.98,439,1098
78,6,35461,Beau Hossler,39.97,482,1206
79,15,29420,Billy Horschel,39.94,568,1422
80,10,50525,Collin Morikawa,39.93,575,1440
81,4,12716,Charley Hoffman,39.92,424,1062
82,4,26758,David Hearn,39.87,366,918
83,4,32254,Xinjun Zhang,39.83,552,1386
84,4,33413,Ben Martin,39.81,258,648
85,4,32150,Michael Thompson,39.78,444,1116
86,18,34363,Tyrrell Hatton,39.68,300,756
87,4,33667,Carlos Ortiz,39.66,514,1296
88,-6,46717,Viktor Hovland,39.64,528,1332
89,3,34021,Bud Cauley,39.62,435,1098
89,11,34099,Harris English,39.62,542,1368
91,2,37275,Sam Ryder,39.60,499,1260
92,2,32618,Rhein Gibson,39.56,356,900
93,3,33419,Cameron Tringale,39.51,448,1134
94,3,29518,Brendan Steele,39.50,455,1152
95,3,24502,Adam Scott,39.47,270,684
96,3,45157,Cam Davis,39.37,411,1044
97,4,31323,Gary Woodland,39.34,439,1116
98,4,28775,Nate Lashley,39.32,368,936
99,4,33486,Roger Sloan,39.22,360,918
100,5,46402,Talor Gooch,39.16,585,1494
100,14,26851,Marc Leishman,39.16,430,1098
102,4,36699,Patrick Rodgers,39.13,641,1638
103,4,56278,Matthew Wolff,39.11,521,1332
104,4,47504,Sam Burns,39.08,408,1044
105,4,32640,Troy Merritt,39.05,478,1224
106,4,34213,Grayson Murray,39.04,253,648
107,4,34563,Chesson Hadley,38.98,407,1044
108,4,45609,Tyler Duncan,38.96,582,1494
108,4,26300,Matt Jones,38.96,533,1368
110,4,33120,Mark Anderson,38.89,329,846
110,4,33399,Adam Hadwin,38.89,455,1170
110,4,30692,Scott Stallings,38.89,469,1206
110,4,35658,Kris Ventura,38.89,308,792
114,5,25493,Nick Taylor,38.79,412,1062
115,5,25632,Jimmy Walker,38.77,321,828
116,9,52372,Cameron Champ,38.65,487,1260
116,5,25349,Tim Wilkinson,38.65,320,828
118,4,27554,Scott Harrington,38.64,473,1224
119,4,29974,Branden Grace,38.62,285,738
120,4,39953,Chase Seiffert,38.58,375,972
121,5,25572,Graeme McDowell,38.54,333,864
122,14,45486,Joaquin Niemann,38.52,527,1368
123,4,36689,Brooks Koepka,38.47,277,720
124,4,29479,Scott Brown,38.45,443,1152
125,4,21209,Sergio Garcia,38.38,304,792
126,4,48045,Michael Gellerman,38.36,290,756
127,4,25818,Scott Piercy,38.22,454,1188
127,4,39324,J.J. Spaun,38.22,399,1044
129,4,27214,Kevin Streelman,38.20,502,1314
130,4,28679,Fabián Gómez,38.18,378,990
131,4,27556,Ted Potter Jr.,38.13,302,792
132,5,49298,Kramer Hickok,38.10,336,882
132,5,31420,Anirban Lahiri,38.10,240,630
134,5,32662,Michael Gligic,38.08,329,864
135,5,30911,Tommy Fleetwood,38.06,274,720
136,5,49960,Sepp Straka,38.02,479,1260
137,5,46435,Austin Cook,37.96,410,1080
137,5,32333,Kevin Tway,37.96,328,864
139,5,46550,Brandon Hagy,37.92,314,828
139,5,35732,Wes Roach,37.92,273,720
141,5,25900,Lucas Glover,37.81,456,1206
142,5,27942,Rob Oppenheim,37.80,415,1098
143,5,24361,Pat Perez,37.78,374,990
144,5,21961,Charles Howell III,37.76,469,1242
145,5,27974,Sung Kang,37.75,496,1314
146,5,29535,Brice Garnett,37.74,394,1044
147,5,53165,Doc Redman,37.67,556,1476
148,5,27095,Nick Watney,37.63,298,792
149,6,30163,Henrik Norlander,37.61,501,1332
150,6,20229,Stewart Cink,37.58,345,918
151,6,25804,Bubba Watson,37.54,446,1188
152,6,22056,Cameron Percy,37.53,304,810
153,6,33449,Zack Sucher,37.50,243,648
154,6,37189,Harold Varner III,37.46,499,1332
155,6,36871,Matthew NeSmith,37.42,458,1224
156,6,28307,Matt Every,37.41,303,810
157,7,19803,Ryan Armour,37.36,390,1044
158,7,27330,Josh Teater,37.26,275,738
159,7,25686,Jason Dufner,37.19,415,1116
160,7,49766,Hank Lebioda,37.17,368,990
161,7,26476,Chez Reavie,37.16,515,1386
162,7,30944,Jason Kokrak,37.10,414,1116
163,7,29484,Peter Uihlein,37.08,287,774
164,7,33204,Shane Lowry,36.87,292,792
165,7,33122,Russell Knox,36.86,418,1134
166,7,34098,Russell Henley,36.68,416,1134
167,7,23788,D.J. Trahan,36.64,310,846
168,7,46441,Robby Shelton,36.62,468,1278
169,7,25364,Paul Casey,36.41,367,1008
170,7,21407,Arjun Atwal,36.38,203,558
171,7,40042,Tyler McCumber,36.37,347,954
172,7,34431,Robert Streb,36.33,327,900
173,7,34255,Joseph Bramlett,36.16,345,954
174,7,33141,Keegan Bradley,36.11,442,1224
174,7,24924,Bill Haas,36.11,286,792
174,7,48119,Ben Taylor,36.11,273,756
174,7,27064,Jhonattan Vegas,36.11,325,900
178,7,30110,Kyle Stanley,35.95,343,954
179,7,33490,Bo Hoag,35.90,433,1206
180,7,27129,Luke List,35.75,444,1242
181,8,27936,Martin Laird,35.33,248,702
182,8,49964,Aaron Wise,35.06,284,810
183,8,32448,James Hahn,35.03,227,648
184,8,52375,Doug Ghim,34.86,251,720
185,8,31557,Jim Herman,34.81,376,1080
186,8,33404,Chris Baker,34.58,305,882
187,8,39997,Corey Conners,34.46,459,1332
188,8,28420,Ryan Brehm,34.44,310,900
189,8,29908,C.T. Pan,34.23,345,1008
190,8,56762,Will Gordon,33.85,195,576
191,8,31646,Emiliano Grillo,33.76,395,1170
192,8,23623,Bo Van Pelt,33.46,259,774
193,8,10809,Jim Furyk,31.91,224,702
