RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,39067,MJ Daffue,38' 10",144932,311,12077.667,+1.00
2,0,32366,Kevin Chappell,39' 0",77202,165,6433.500,+1.00
3,0,27974,Sung Kang,39' 1",72717,155,6059.750,+11.00
4,0,39335,Kevin Roy,39' 7",106787,225,8898.917,+19.00
5,0,24140,Sean O'Hair,40' 6",54407,112,4533.917,+6.00
6,0,52955,Ludvig Åberg,40' 7",75554,155,6296.167,+6.00
6,0,48084,Wesley Bryan,40' 7",65204,134,5433.667,+4.00
8,0,46717,Viktor Hovland,40' 9",116978,239,9748.167,E
9,0,30926,Chris Kirk,40' 11",128197,261,10683.083,+22.00
10,0,48867,Matti Schmid,41' 0",104880,213,8740.000,-6.00
11,0,19803,Ryan Armour,41' 4",88261,178,7355.083,+28.00
11,0,39971,Sungjae Im,41' 4",148373,299,12364.417,+23.00
13,0,25900,Lucas Glover,41' 5",123161,248,10263.417,+17.00
14,0,33122,Russell Knox,41' 7",144343,289,12028.583,+43.00
15,0,28237,Rory McIlroy,41' 9",135179,270,11264.917,+2.00
15,0,46046,Scottie Scheffler,41' 9",136241,272,11353.417,-6.00
17,0,46340,Alex Smalley,41' 10",176610,352,14717.500,+20.00
18,0,49453,Trevor Cone,41' 11",144866,288,12072.167,+3.00
18,0,22056,Cameron Percy,41' 11",85536,170,7128.000,-1.00
20,0,25686,Jason Dufner,42' 0",133576,265,11131.333,+23.00
20,0,30163,Henrik Norlander,42' 0",122582,243,10215.167,+18.00
22,0,27214,Kevin Streelman,42' 1",170619,338,14218.250,+25.00
23,0,51491,Brandon Matthews,42' 4",109216,215,9101.333,+21.00
24,0,33141,Keegan Bradley,42' 6",114319,224,9526.583,+20.00
24,0,29725,Tony Finau,42' 6",127496,250,10624.667,+7.00
26,0,34563,Chesson Hadley,42' 7",152280,298,12690.000,+23.00
27,0,39997,Corey Conners,42' 9",136054,265,11337.833,+11.00
27,0,39975,Michael Kim,42' 9",143642,280,11970.167,+29.00
27,0,47995,Davis Riley,42' 9",131367,256,10947.250,+23.00
30,0,27129,Luke List,42' 10",178447,347,14870.583,+6.00
31,0,27644,Brian Harman,43' 0",119277,231,9939.750,+2.00
31,0,25818,Scott Piercy,43' 0",141882,275,11823.500,+18.00
31,0,34610,Matthias Schwab,43' 0",158414,307,13201.167,+37.00
31,0,55893,Sam Stevens,43' 0",159431,309,13285.917,+4.00
31,0,45242,Kevin Yu,43' 0",94996,184,7916.333,+19.00
31,0,55454,Carl Yuan,43' 0",153738,298,12811.500,+19.00
37,0,54591,Ben Griffin,43' 1",196400,380,16366.667,+11.00
37,0,34363,Tyrrell Hatton,43' 1",120913,234,10076.083,E
39,0,51414,Brent Grant,43' 2",109752,212,9146.000,+37.00
39,0,35879,Kelly Kraft,43' 2",144643,279,12053.583,+25.00
39,0,51890,Greyson Sigg,43' 2",158078,305,13173.167,+30.00
42,0,49766,Hank Lebioda,43' 3",83639,161,6969.917,+26.00
43,0,26476,Chez Reavie,43' 4",152861,294,12738.417,+36.00
43,0,53165,Doc Redman,43' 4",127818,246,10651.500,+24.00
45,0,35450,Patrick Cantlay,43' 5",107758,207,8979.833,+2.00
45,0,30927,Brendon Todd,43' 5",135409,260,11284.083,+21.00
47,0,34076,Joel Dahmen,43' 6",128412,246,10701.000,+26.00
48,0,23108,Matt Kuchar,43' 7",138994,266,11582.833,+16.00
48,0,33410,Andrew Landry,43' 7",111816,214,9318.000,+36.00
48,0,33204,Shane Lowry,43' 7",92564,177,7713.667,+12.00
51,0,34098,Russell Henley,43' 8",99576,190,8298.000,+25.00
51,0,48699,Callum Tarren,43' 8",204022,389,17001.833,+13.00
53,0,39546,Keith Mitchell,43' 9",134333,256,11194.417,+32.00
53,0,31560,Brian Stuard,43' 9",99662,190,8305.167,+32.00
53,0,35617,Martin Trainer,43' 9",92327,176,7693.917,+7.00
56,0,52513,Carson Young,43' 10",130980,249,10915.000,+30.00
57,0,40162,Justin Lower,43' 11",158510,301,13209.167,+41.00
57,0,37275,Sam Ryder,43' 11",188611,358,15717.583,+30.00
57,0,31323,Gary Woodland,43' 11",151276,287,12606.333,+22.00
57,0,52374,Brandon Wu,43' 11",174466,331,14538.833,+42.00
61,0,40058,Zac Blair,44' 2",110201,208,9183.417,+36.00
62,0,36871,Matt NeSmith,44' 3",160872,303,13406.000,+38.00
62,0,32333,Kevin Tway,44' 3",199256,375,16604.667,+17.00
64,0,52375,Doug Ghim,44' 4",128307,241,10692.250,+16.00
64,0,31646,Emiliano Grillo,44' 4",162893,306,13574.417,+26.00
64,0,23320,Ryan Palmer,44' 4",117481,221,9790.083,+23.00
64,0,27963,Chris Stroud,44' 4",83505,157,6958.750,+12.00
64,0,33448,Justin Thomas,44' 4",137790,259,11482.500,-1.00
69,0,29970,Dylan Frittelli,44' 5",152962,287,12746.833,+57.00
69,0,32448,James Hahn,44' 5",124646,234,10387.167,+19.00
69,0,22405,Justin Rose,44' 5",100690,189,8390.833,+14.00
69,0,39324,J.J. Spaun,44' 5",148099,278,12341.583,+31.00
73,0,35901,Paul Haley II,44' 6",130250,244,10854.167,+53.00
73,0,33597,Harry Higgs,44' 6",138908,260,11575.667,+34.00
73,0,32640,Troy Merritt,44' 6",114911,215,9575.917,+25.00
76,0,40098,Matt Fitzpatrick,44' 7",125703,235,10475.250,+8.00
76,0,12716,Charley Hoffman,44' 7",121965,228,10163.750,+35.00
78,0,47591,Eric Cole,44' 8",254466,475,21205.500,+7.00
78,0,28775,Nate Lashley,44' 8",153184,286,12765.333,+26.00
78,0,51997,Andrew Novak,44' 8",137628,257,11469.000,+19.00
81,0,52411,Kyle Westmoreland,44' 9",165264,308,13772.000,+48.00
82,0,37338,Zecheng Dou,44' 10",187600,349,15633.333,+53.00
82,0,39954,Cody Gribble,44' 10",107544,200,8962.000,+24.00
82,0,32839,Hideki Matsuyama,44' 10",135124,251,11260.333,+23.00
85,0,59018,Ryan Gerard,44' 11",102370,190,8530.833,+11.00
86,0,24925,Jonathan Byrd,45' 0",76202,141,6350.167,+10.00
86,0,46970,Jon Rahm,45' 0",124144,230,10345.333,+19.00
86,0,27095,Nick Watney,45' 0",135042,250,11253.500,+45.00
