RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,22371,Aaron Baddeley,35' 0",1575.500,45,+4
2,0,46046,Scottie Scheffler,36' 7",1864.250,51,-1
3,0,56630,Akshay Bhatia,36' 8",1136.917,31,+6
4,0,46717,Viktor Hovland,36' 11",1771.417,48,+2
5,0,48084,Wesley Bryan,37' 2",706.583,19,-1
6,0,23108,Matt Kuchar,37' 8",1771.833,47,-1
7,0,35879,Kelly Kraft,37' 9",2227.250,59,+11
8,0,30926,Chris Kirk,38' 4",2182.750,57,+9
9,0,59018,Ryan Gerard,38' 5",1382.083,36,+9
9,0,46414,Aaron Rai,38' 5",2383.417,62,+8
11,0,25900,Lucas Glover,38' 6",2271.167,59,+5
12,0,22056,Cameron Percy,38' 9",1357.333,35,+3
12,0,52411,Kyle Westmoreland,38' 9",1820.083,47,+7
14,0,19803,Ryan Armour,38' 10",1008.583,26,+3
15,0,35450,Patrick Cantlay,38' 11",1829.500,47,+2
15,0,39335,Kevin Roy,38' 11",1362.250,35,+11
15,0,37275,Sam Ryder,38' 11",2800.167,72,+9
15,0,51634,Sahith Theegala,38' 11",2648.833,68,+5
19,0,46340,Alex Smalley,39' 0",2729.917,70,E
20,0,39067,MJ Daffue,39' 6",2173.750,55,+9
21,0,39954,Cody Gribble,39' 10",956.583,24,+5
21,0,39975,Michael Kim,39' 10",2192.167,55,+7
21,0,30927,Brendon Todd,39' 10",2228.333,56,+6
24,0,52513,Carson Young,39' 11",2396.250,60,+9
25,0,34363,Tyrrell Hatton,40' 0",2240.583,56,-5
26,0,12716,Charley Hoffman,40' 2",1928.167,48,+17
26,0,46970,Jon Rahm,40' 2",2050.083,51,+12
28,0,35310,Lanto Griffin,40' 3",1407.417,35,+5
29,0,30163,Henrik Norlander,40' 4",2301.250,57,+8
30,0,24140,Sean O'Hair,40' 5",1092.000,27,E
31,0,32791,K.H. Lee,40' 6",3442.667,85,+5
32,0,48867,Matti Schmid,40' 9",1060.417,26,+5
33,0,51491,Brandon Matthews,40' 11",1269.250,31,+10
33,0,50525,Collin Morikawa,40' 11",1637.167,40,+4
33,0,27963,Chris Stroud,40' 11",1308.917,32,-1
36,0,32366,Kevin Chappell,41' 0",1272.250,31,+9
37,0,40006,Erik van Rooyen,41' 1",1930.333,47,+7
38,0,33204,Shane Lowry,41' 3",1775.417,43,+4
39,0,55708,Hayden Buckley,41' 5",1948.250,47,+6
40,0,51997,Andrew Novak,41' 6",1825.500,44,+5
41,0,49766,Hank Lebioda,41' 8",1624.667,39,+8
41,0,40115,Adam Svensson,41' 8",3417.333,82,+12
43,0,53165,Doc Redman,41' 9",1921.250,46,+2
44,0,28775,Nate Lashley,41' 11",2223.250,53,+7
44,0,26596,Ryan Moore,41' 11",1635.167,39,+6
46,0,28420,Ryan Brehm,42' 0",2393.583,57,+2
46,0,20229,Stewart Cink,42' 0",2140.500,51,+8
46,0,49960,Sepp Straka,42' 0",2183.750,52,+7
49,0,45609,Tyler Duncan,42' 1",2063.333,49,+9
49,0,37455,Si Woo Kim,42' 1",2442.833,58,+9
49,0,51950,Max McGreevy,42' 1",2650.833,63,+12
52,0,36724,Augusto Núñez,42' 2",1643.917,39,+5
53,0,40058,Zac Blair,42' 4",1567.000,37,+7
54,0,30911,Tommy Fleetwood,42' 5",1822.417,43,+4
55,0,29725,Tony Finau,42' 6",2422.167,57,+7
55,0,36871,Matt NeSmith,42' 6",2679.000,63,+13
55,0,31560,Brian Stuard,42' 6",1487.333,35,+4
58,0,32640,Troy Merritt,42' 8",1878.750,44,+13
58,0,29221,Webb Simpson,42' 8",1748.500,41,+8
60,0,27974,Sung Kang,42' 11",1373.750,32,+7
60,0,26476,Chez Reavie,42' 11",2877.417,67,+9
60,0,48081,Xander Schauffele,42' 11",2230.917,52,+8
63,0,47988,Nick Hardy,43' 0",3137.833,73,+17
63,0,27129,Luke List,43' 0",3523.500,82,+11
63,0,51890,Greyson Sigg,43' 0",2879.250,67,+10
66,0,34256,Andrew Putnam,43' 1",2500.667,58,+3
66,0,27214,Kevin Streelman,43' 1",3314.750,77,+15
68,0,46435,Austin Cook,43' 2",1813.833,42,+2
68,0,57975,Harry Hall,43' 2",2503.250,58,+9
68,0,22405,Justin Rose,43' 2",2072.333,48,+7
71,0,32333,Kevin Tway,43' 3",3503.833,81,+9
72,0,27349,Alex Noren,43' 4",2428.833,56,+2
73,0,25686,Jason Dufner,43' 6",2651.083,61,+11
73,0,31202,William McGirt,43' 6",1130.417,26,+3
73,0,39324,J.J. Spaun,43' 6",2521.500,58,+9
76,0,24925,Jonathan Byrd,43' 7",1351.833,31,+5
76,0,35532,Tom Hoge,43' 7",3614.750,83,+2
76,0,32839,Hideki Matsuyama,43' 7",2526.250,58,+8
79,0,57362,Austin Eckroat,43' 8",1877.917,43,+6
80,0,52375,Doug Ghim,43' 9",2229.333,51,+12
80,0,33122,Russell Knox,43' 9",2448.167,56,+7
82,0,33413,Ben Martin,43' 11",2326.667,53,+6
83,0,32139,Danny Willett,44' 0",1582.500,36,+5
84,0,47079,Harrison Endycott,44' 1",2202.667,50,+8
84,0,56762,Will Gordon,44' 1",2998.167,68,+10
84,0,34610,Matthias Schwab,44' 1",2643.917,60,+11
84,0,50493,Justin Suh,44' 1",3749.667,85,+13
88,0,37338,Zecheng Dou,44' 3",2787.083,63,+15
88,0,35449,Adam Long,44' 3",2347.000,53,+9
90,0,46441,Robby Shelton,44' 5",2975.250,67,+14
91,0,34255,Joseph Bramlett,44' 6",2581.167,58,+12
91,0,31646,Emiliano Grillo,44' 6",2805.583,63,+18
91,0,33399,Adam Hadwin,44' 6",2579.917,58,+8
94,0,24024,Zach Johnson,44' 8",2011.250,45,+9
94,0,25818,Scott Piercy,44' 8",2053.333,46,+9
96,0,54591,Ben Griffin,44' 9",3089.750,69,+14
97,0,54783,Dylan Wu,44' 10",2601.750,58,+10
98,0,40162,Justin Lower,44' 11",2962.583,66,+13
98,0,47995,Davis Riley,44' 11",2065.667,46,+16
100,0,31323,Gary Woodland,45' 1",2345.583,52,+8
101,0,45522,Christiaan Bezuidenhout,45' 3",2261.750,50,+5
101,0,52453,Nicolai Hojgaard,45' 3",1220.833,27,+11
101,0,47128,Richy Werenski,45' 3",3123.583,69,+20
