RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK
1,0,01381,Fred Funk,9
1,0,01706,Davis Love III,9
3,0,06575,Dudley Hart,8
3,0,01527,Scott Hoch,8
3,0,01943,Chris Perry,8
3,0,01945,Kenny Perry,8
3,0,01968,Nick Price,8
3,0,02104,Jeff Sluman,8
9,0,06124,Patrick Burke,7
9,0,01203,Russ Cochran,7
9,0,01408,Kelly Gibson,7
9,0,02099,Scott Simpson,7
13,0,07867,Woody Austin,6
13,0,01098,Jay Don Blake,6
13,0,01132,Mark Brooks,6
13,0,01226,Fred Couples,6
13,0,09011,David Duval,6
13,0,01510,Nolan Henke,6
13,0,01599,Steve Jones,6
13,0,11032,Frank Lickliter II,6
13,0,01810,Phil Mickelson,6
13,0,02010,Loren Roberts,6
13,0,06527,Steve Stricker,6
13,0,02294,Willie Wood,6
13,0,08793,Tiger Woods,6
26,0,01116,Michael Bradley,5
26,0,01161,Mark Calcavecchia,5
26,0,01331,Rick Fehr,5
26,0,01475,Donnie Hammond,5
26,0,10860,Justin Leonard,5
26,0,01717,Sandy Lyle,5
26,0,01723,Andrew Magee,5
26,0,08547,John Maginnes,5
26,0,01876,Greg Norman,5
26,0,01887,Mark O'Meara,5
26,0,01891,David Ogrin,5
26,0,20095,Carl Paulson,5
26,0,01975,Tom Purtzer,5
26,0,07101,Dave Stockton Jr.,5
26,0,02214,Kirk Triplett,5
26,0,02279,Mark Wiebe,5
42,0,01024,Billy Andrade,4
42,0,20098,Stuart Appleby,4
42,0,01068,Andy Bean,4
42,0,10505,Shane Bertsch,4
42,0,01093,Ronnie Black,4
42,0,06214,Guy Boros,4
42,0,01139,Olin Browne,4
42,0,01143,Brad Bryant,4
42,0,20229,Stewart Cink,4
42,0,01196,Brian Claar,4
42,0,01201,Lennie Clements,4
42,0,01219,John Cook,4
42,0,08931,Glen Day,4
42,0,01261,Jay Delsing,4
42,0,07267,Allen Doyle,4
42,0,01306,David Edwards,4
42,0,01313,Steve Elkington,4
42,0,01323,Brad Fabel,4
42,0,01326,Nick Faldo,4
42,0,01329,Brad Faxon,4
42,0,01346,Ed Fiori,4
42,0,01361,Dan Forsman,4
42,0,01374,Robin Freeman,4
42,0,10809,Jim Furyk,4
42,0,06064,Jeff Gallagher,4
42,0,01388,Robert Gamez,4
42,0,01444,Ken Green,4
42,0,12626,Joey Gullion,4
42,0,01457,Jay Haas,4
42,0,01487,Jeff Hart,4
42,0,12782,Tim Herron,4
42,0,01549,Mike Hulbert,4
42,0,01553,John Huston,4
42,0,01577,Lee Janzen,4
42,0,06315,Pete Jordan,4
42,0,01604,Steve Jurgensen,4
42,0,08075,Jerry Kelly,4
42,0,01633,Tom Kite,4
42,0,06012,Greg Kraft,4
42,0,06332,Neal Lancaster,4
42,0,01677,Tom Lehman,4
42,0,01724,Jeff Maggert,4
42,0,01761,Len Mattiace,4
42,0,01766,Billy Mayfair,4
42,0,01771,Blaine McCallister,4
42,0,10585,Scott McCarron,4
42,0,01783,Mark McCumber,4
42,0,06140,Sean Murphy,4
42,0,01890,Brett Ogle,4
42,0,01928,Corey Pavin,4
42,0,01958,Dan Pohl,4
42,0,02023,Clarence Rose,4
42,0,06066,Gary Rusnak,4
42,0,20259,Hisayuki Sasaki,4
42,0,02106,Chris Smith,4
42,0,08375,Paul Stankowski,4
42,0,06595,Kevin Sutherland,4
42,0,02170,Hal Sutton,4
42,0,02186,Brian Tennyson,4
42,0,06613,Tommy Tolles,4
42,0,08385,Omar Uresti,4
42,0,06577,John Wilson,4
104,0,01006,John Adams,3
104,0,01014,Fulton Allem,3
104,0,01035,Tommy Armour III,3
104,0,01040,Emlyn Aubrey,3
104,0,01060,Dave Barr,3
104,0,01096,Phil Blackmar,3
104,0,01133,Billy Ray Brown,3
104,0,01142,Bart Bryant,3
104,0,01157,Tom Byrum,3
104,0,20400,Michael Campbell,3
104,0,01175,Jim Carter,3
104,0,01185,Brandel Chamblee,3
104,0,01200,Keith Clearwater,3
104,0,19883,Joe Daley,3
104,0,01249,John Daly,3
104,0,06034,Marco Dawson,3
104,0,06036,Scott Dunlap,3
104,0,01307,Joel Edwards,3
104,0,06522,Ernie Els,3
104,0,01320,Bob Estes,3
104,0,01334,Keith Fergus,3
104,0,01353,Bruce Fleisher,3
104,0,01378,David Frost,3
104,0,01385,Jim Gallagher Jr.,3
104,0,01414,Bob Gilder,3
104,0,10203,Bryan Gorman,3
104,0,06643,Paul Goydos,3
104,0,06044,Scott Gump,3
104,0,08337,Mike Heinen,3
104,0,06617,Brian Henninger,3
104,0,01607,Brian Kamm,3
104,0,12389,Barry Lane,3
104,0,01690,Bruce Lietzke,3
104,0,01707,Steve Lowery,3
104,0,01725,John Mahaffey,3
104,0,01748,Doug Martin,3
104,0,06090,Jim McGovern,3
104,0,01797,Rocco Mediate,3
104,0,08635,Colin Montgomerie,3
104,0,01837,Gil Morgan,3
104,0,07235,John Morse,3
104,0,01864,Larry Nelson,3
104,0,01886,Peter O'Malley,3
104,0,01905,Joe Ozaki,3
104,0,12660,Jesper Parnevik,3
104,0,01920,Craig Parry,3
104,0,01949,Mark Pfeil,3
104,0,01960,Don Pooley,3
104,0,10213,Dicky Pride,3
104,0,01996,Mike Reid,3
104,0,07087,Hugh Royer III,3
104,0,02054,Ken Schall,3
104,0,02100,Tim Simpson,3
104,0,02101,Joey Sindelar,3
104,0,06567,Vijay Singh,3
104,0,02115,Taylor Smith,3
104,0,02131,Mike Springer,3
104,0,02133,Craig Stadler,3
104,0,02135,Mike Standly,3
104,0,02146,Payne Stewart,3
104,0,02195,Leonard Thompson,3
104,0,02206,David Toms,3
104,0,02218,Ted Tryba,3
104,0,07269,Greg Turner,3
104,0,02223,Bob Tway,3
104,0,02226,Tray Tyner,3
104,0,02241,Bobby Wadkins,3
104,0,02245,Grant Waite,3
104,0,02246,Duffy Waldorf,3
104,0,19913,Ron Whittaker,3
104,0,10425,Jay Williamson,3
104,0,02321,Fuzzy Zoeller,3
104,0,02322,Richard Zokol,3
177,0,20051,Joe Acosta Jr.,2
177,0,01042,Paul Azinger,2
177,0,01072,Chip Beck,2
177,0,10569,Mike Brisky,2
177,0,01129,Bill Britton,2
177,0,01156,Curt Byrum,2
177,0,01162,Rex Caldwell,2
177,0,19825,Darren Clarke,2
177,0,21542,Simon Cooke,2
177,0,06251,Chris DiMarco,2
177,0,01284,Mike Donald,2
