RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
155,0,49771,J.T. Poston,24' 5",11685.583,478
157,0,12510,Chad Campbell,24' 4",13300.500,546
157,0,32366,Kevin Chappell,24' 4",12083.917,497
157,0,37454,Whee Kim,24' 4",13278.833,545
157,0,32816,Satoshi Kodaira,24' 4",7145.750,294
161,0,28307,Matt Every,24' 3",11530.500,476
161,0,24140,Sean O'Hair,24' 3",10918.500,451
161,0,34046,Jordan Spieth,24' 3",13570.500,560
161,0,28132,Tyrone Van Aswegen,24' 3",16448.833,679
165,0,45526,Abraham Ancer,24' 2",16431.500,681
165,0,29926,Danny Lee,24' 2",13302.583,551
165,0,34360,Patrick Reed,24' 2",12047.417,499
165,0,27963,Chris Stroud,24' 2",10719.417,443
169,0,37338,Zecheng Dou,24' 1",6816.167,283
169,0,34099,Harris English,24' 1",12913.750,537
169,0,12716,Charley Hoffman,24' 1",13547.500,563
172,0,33413,Ben Martin,24' 0",10618.917,442
172,0,28237,Rory McIlroy,24' 0",9916.167,413
172,0,39328,Conrad Shindler,24' 0",8957.833,373
172,0,33448,Justin Thomas,24' 0",12852.417,535
176,0,39997,Corey Conners,23' 11",16556.250,693
176,0,31646,Emiliano Grillo,23' 11",14475.750,605
176,0,20572,Rod Pampling,23' 11",8399.500,351
179,0,26758,David Hearn,23' 10",10327.417,434
179,0,26596,Ryan Moore,23' 10",13986.917,586
179,0,23320,Ryan Palmer,23' 10",11298.250,474
182,0,30978,Kiradech Aphibarnrat,23' 9",6334.250,267
182,0,30925,Dustin Johnson,23' 9",12004.833,506
182,0,36689,Brooks Koepka,23' 9",10429.750,439
182,0,33410,Andrew Landry,23' 9",14374.917,606
182,0,25198,Francesco Molinari,23' 9",11943.083,503
187,0,34076,Joel Dahmen,23' 8",14601.083,616
188,0,22056,Cameron Percy,23' 7",8599.333,365
188,0,35891,Cameron Smith,23' 7",10983.500,465
190,0,24358,Robert Garrigus,23' 5",12804.250,546
191,0,22582,Kyle Thompson,23' 2",6627.083,286
192,0,34213,Grayson Murray,23' 1",9800.167,424
193,0,35532,Tom Hoge,22' 8",14046.333,620
