RANK,MOVEMENT,PLAYER_ID,PLAYER,COMBINED RANK,CARRY EFFICIENCY RANK,TOTAL DIST. EFFIC. RANK
1,0,26758,David Hearn,6,3,3
2,0,46523,Joey Garber,9,2,7
3,0,35732,Wes Roach,13,7,6
4,0,19846,Brian Gay,15,6,9
4,0,35461,Beau Hossler,15,13,2
6,0,49960,Sepp Straka,16,4,12
7,0,39954,Cody Gribble,21,5,16
7,0,35449,Adam Long,21,12,9
9,0,29268,Bronson Burgoon,24,19,5
10,0,28089,Jason Day,25,9,16
11,0,25493,Nick Taylor,26,18,8
12,0,33141,Keegan Bradley,27,1,26
13,0,34021,Bud Cauley,34,20,14
14,0,47128,Richy Werenski,38,22,16
15,0,27958,Ryan Blaum,46,26,20
15,0,31560,Brian Stuard,46,42,4
17,0,33948,Byeong Hun An,47,15,32
18,0,29223,Sam Saunders,50,17,33
19,0,32150,Michael Thompson,56,28,28
20,0,29970,Dylan Frittelli,57,29,28
21,0,28679,Fabián Gómez,58,46,12
21,0,27644,Brian Harman,58,37,21
23,0,27330,Josh Teater,62,20,42
24,0,32102,Rickie Fowler,65,7,58
25,0,22405,Justin Rose,66,14,52
25,0,32139,Danny Willett,66,10,56
27,0,46435,Austin Cook,70,48,22
28,0,37189,Harold Varner III,74,24,50
29,0,34563,Chesson Hadley,76,29,47
30,0,23325,Vaughn Taylor,77,33,44
31,0,30786,Brady Schnell,78,64,14
32,0,24781,Hunter Mahan,81,33,48
33,0,33410,Andrew Landry,85,69,16
33,0,37340,Chase Wright,85,41,44
35,0,40009,Dominic Bozzelli,86,36,50
35,0,35879,Kelly Kraft,86,62,24
35,0,01810,Phil Mickelson,86,11,75
38,0,32640,Troy Merritt,91,24,67
39,0,30692,Scott Stallings,92,55,37
40,0,06522,Ernie Els,96,69,27
40,0,30925,Dustin Johnson,96,16,80
42,0,20472,Alex Cejka,98,31,67
43,0,23108,Matt Kuchar,99,62,37
43,0,28775,Nate Lashley,99,74,25
45,0,39975,Michael Kim,104,35,69
45,0,27936,Martin Laird,104,64,40
47,0,35376,Roberto Díaz,107,84,23
48,0,27214,Kevin Streelman,108,45,63
49,0,26951,Johnson Wagner,109,108,1
49,0,49964,Aaron Wise,109,69,40
51,0,25632,Jimmy Walker,110,74,36
52,0,47993,Denny McCarthy,112,55,57
52,0,39327,Ben Silverman,112,84,28
54,0,29518,Brendan Steele,115,43,72
55,0,27895,Jonas Blixt,116,64,52
56,0,29926,Danny Lee,118,49,69
57,0,35617,Martin Trainer,119,44,75
58,0,39324,J.J. Spaun,121,27,94
59,0,23320,Ryan Palmer,122,79,43
60,0,28259,Sangmoon Bae,129,57,72
61,0,45157,Cam Davis,130,23,107
62,0,32058,José de Jesús Rodríguez,131,120,11
63,0,49766,Hank Lebioda,132,49,83
63,0,33667,Carlos Ortiz,132,69,63
65,0,23353,J.J. Henry,134,101,33
65,0,29221,Webb Simpson,134,69,65
67,0,30946,Alex Prugh,137,39,98
68,0,39997,Corey Conners,138,78,60
68,0,46601,Trey Mullinax,138,37,101
70,0,32839,Hideki Matsuyama,139,49,90
71,0,29535,Brice Garnett,141,89,52
72,0,25686,Jason Dufner,142,83,59
73,0,27974,Sung Kang,144,46,98
74,0,30191,Julián Etulain,147,49,98
75,0,28237,Rory McIlroy,150,31,119
76,0,47504,Sam Burns,154,58,96
76,0,25572,Graeme McDowell,154,39,115
78,0,27963,Chris Stroud,155,86,69
79,0,26476,Chez Reavie,156,96,60
80,0,47990,Kyle Jones,157,109,48
81,0,33486,Roger Sloan,158,49,109
82,0,34076,Joel Dahmen,160,86,74
83,0,35532,Tom Hoge,168,90,78
83,0,24024,Zach Johnson,168,113,55
85,0,33399,Adam Hadwin,171,64,107
86,0,37380,Curtis Luck,173,90,83
87,0,21961,Charles Howell III,175,131,44
88,0,25198,Francesco Molinari,179,54,125
89,0,35891,Cameron Smith,180,101,79
90,0,36852,Jim Knous,183,79,104
91,0,35450,Patrick Cantlay,184,96,88
92,0,34099,Harris English,185,74,111
92,0,35421,Brandon Harkins,185,99,86
94,0,12716,Charley Hoffman,187,60,127
94,0,35506,Mackenzie Hughes,187,86,101
94,0,31420,Anirban Lahiri,187,122,65
97,0,34098,Russell Henley,189,161,28
98,0,24925,Jonathan Byrd,195,58,137
98,0,27649,Brandt Snedeker,195,101,94
100,0,39971,Sungjae Im,196,113,83
101,0,49303,Anders Albertson,197,135,62
102,0,19803,Ryan Armour,198,161,37
103,0,29420,Billy Horschel,199,109,90
104,0,51766,Wyndham Clark,201,74,127
105,0,30110,Kyle Stanley,202,169,33
106,0,36799,Stephan Jaeger,203,60,143
107,0,27129,Luke List,209,79,130
107,0,29908,C.T. Pan,209,116,93
109,0,34466,Peter Malnati,210,95,115
110,0,27095,Nick Watney,212,122,90
111,0,37454,Whee Kim,213,96,117
112,0,34306,John Chin,214,105,109
113,0,32200,Roberto Castro,215,127,88
113,0,24924,Bill Haas,215,93,122
115,0,25818,Scott Piercy,219,118,101
115,0,23621,Rory Sabbatini,219,144,75
117,0,25900,Lucas Glover,221,141,80
117,0,45486,Joaquin Niemann,221,139,82
119,0,47959,Bryson DeChambeau,222,64,158
120,0,49771,J.T. Poston,226,112,114
121,0,49298,Kramer Hickok,230,113,117
122,0,32757,Patton Kizzire,231,79,152
123,0,26499,Rafa Cabrera Bello,232,101,131
124,0,30944,Jason Kokrak,233,92,141
125,0,39546,Keith Mitchell,237,111,126
126,0,27556,Ted Potter Jr.,240,136,104
127,0,29725,Tony Finau,244,105,139
127,0,34363,Tyrrell Hatton,244,107,137
127,0,27141,J.B. Holmes,244,100,144
127,0,32816,Satoshi Kodaira,244,125,119
131,0,32791,K.H. Lee,247,134,113
132,0,40026,Daniel Berger,248,144,104
133,0,29479,Scott Brown,251,129,122
134,0,45609,Tyler Duncan,252,131,121
135,0,30911,Tommy Fleetwood,257,93,164
136,0,40115,Adam Svensson,260,149,111
137,0,52372,Cameron Champ,265,131,134
138,0,37455,Si Woo Kim,269,125,144
138,0,24138,Ian Poulter,269,183,86
140,0,34264,Hudson Swafford,270,120,150
141,0,45526,Abraham Ancer,274,152,122
142,0,26596,Ryan Moore,276,180,96
143,0,34046,Jordan Spieth,277,117,160
144,0,34431,Robert Streb,278,147,131
145,0,31323,Gary Woodland,280,144,136
146,0,39977,Max Homa,282,143,139
147,0,46970,Jon Rahm,286,122,164
148,0,30978,Kiradech Aphibarnrat,289,129,160
149,0,46501,Ollie Schniederjans,291,119,172
149,0,33448,Justin Thomas,291,138,153
151,0,26300,Matt Jones,296,149,147
152,0,26329,Louis Oosthuizen,297,128,169
153,0,47856,Seth Reeves,303,174,129
154,0,20572,Rod Pampling,304,171,133
155,0,10809,Jim Furyk,306,165,141
156,0,21209,Sergio Garcia,307,141,166
156,0,31557,Jim Herman,307,163,144
158,0,31646,Emiliano Grillo,311,155,156
159,0,25364,Paul Casey,312,156,156
160,0,29478,Kevin Kisner,313,154,159
160,0,48081,Xander Schauffele,313,147,166
160,0,27064,Jhonattan Vegas,313,179,134
163,0,22371,Aaron Baddeley,314,160,154
164,0,48822,Sebastián Muñoz,315,164,151
164,0,33418,Shawn Stefani,315,167,148
166,0,36689,Brooks Koepka,318,137,181
167,0,36699,Patrick Rodgers,319,159,160
168,0,25804,Bubba Watson,320,140,180
169,0,32333,Kevin Tway,323,152,171
170,0,37275,Sam Ryder,326,177,149
171,0,33419,Cameron Tringale,329,156,173
172,0,27349,Alex Noren,334,151,183
173,0,24361,Pat Perez,335,158,177
174,0,28252,Seamus Power,339,173,166
175,0,34261,Scott Langley,340,185,155
176,0,33122,Russell Knox,341,166,175
177,0,21528,Henrik Stenson,342,169,173
178,0,29974,Branden Grace,346,176,170
178,0,21731,Freddie Jacobson,346,186,160
180,0,26851,Marc Leishman,350,168,182
181,0,40098,Matt Fitzpatrick,356,178,178
181,0,46402,Talor Gooch,356,171,185
183,0,34360,Patrick Reed,358,182,176
184,0,29484,Peter Uihlein,359,175,184
185,0,25396,Kevin Na,366,187,179
186,0,47347,Adam Schenk,367,181,186
187,0,24502,Adam Scott,371,184,187
188,0,34256,Andrew Putnam,376,188,188
