RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
1,0,26951,Johnson Wagner,2.701,289.199,107.065,74,0224703264
2,0,35461,Beau Hossler,2.698,306.981,113.796,136,0224303234
3,0,26758,David Hearn,2.697,283.664,105.176,61,0241903239
4,0,31560,Brian Stuard,2.688,286.006,106.410,82,0232103147
5,0,29268,Bronson Burgoon,2.686,299.674,111.568,89,0231303121
6,0,35732,Wes Roach,2.685,298.234,111.074,103,0225603162
7,0,46523,Joey Garber,2.683,299.856,111.778,103,0224803313
8,0,25493,Nick Taylor,2.680,297.416,110.968,146,0182703298
9,0,19846,Brian Gay,2.676,285.575,106.704,85,0225803026
9,0,35449,Adam Long,2.676,295.439,110.383,101,0227803145
11,0,32058,José de Jesús Rodríguez,2.673,294.426,110.141,85,0219703083
12,0,28679,Fabián Gómez,2.671,291.665,109.191,114,0180103173
12,0,49960,Sepp Straka,2.671,307.081,114.987,107,0219603055
14,0,34021,Bud Cauley,2.668,298.057,111.719,131,0227003196
14,0,30786,Brady Schnell,2.668,287.088,107.612,77,0223303092
16,0,28089,Jason Day,2.666,313.580,117.616,39,0234303036
16,0,39954,Cody Gribble,2.666,306.760,115.074,99,0222003168
16,0,33410,Andrew Landry,2.666,290.142,108.844,111,0230003194
16,0,47128,Richy Werenski,2.666,296.514,111.236,151,0209303042
20,0,27958,Ryan Blaum,2.663,290.961,109.261,129,0206503123
21,0,27644,Brian Harman,2.662,294.029,110.468,107,0220403004
22,0,46435,Austin Cook,2.661,293.269,110.210,95,0221103173
23,0,35376,Roberto Díaz,2.658,287.784,108.268,116,0233103108
24,0,35879,Kelly Kraft,2.657,291.117,109.552,108,0206203232
25,0,28775,Nate Lashley,2.654,296.092,111.551,103,0230903128
26,0,33141,Keegan Bradley,2.653,301.283,113.556,61,0236103020
27,0,06522,Ernie Els,2.652,292.573,110.304,39,0239603035
28,0,29970,Dylan Frittelli,2.651,302.319,114.033,133,0202703260
28,0,34098,Russell Henley,2.651,291.740,110.069,110,0173703163
28,0,39327,Ben Silverman,2.651,293.244,110.626,132,0218703066
28,0,32150,Michael Thompson,2.651,293.289,110.639,104,0215303230
32,0,33948,Byeong Hun An,2.650,308.863,116.561,72,0231703006
33,0,23353,J.J. Henry,2.648,296.235,111.865,89,0230903141
33,0,29223,Sam Saunders,2.648,303.289,114.550,109,0228303194
33,0,30110,Kyle Stanley,2.648,293.321,110.775,99,0224403029
36,0,25632,Jimmy Walker,2.647,302.704,114.337,103,0217903063
37,0,19803,Ryan Armour,2.644,283.515,107.241,116,0204303068
37,0,23108,Matt Kuchar,2.644,288.560,109.118,62,0235403115
37,0,30692,Scott Stallings,2.644,306.258,115.826,110,0226203250
40,0,27936,Martin Laird,2.643,304.803,115.343,145,0215103267
40,0,49964,Aaron Wise,2.643,308.026,116.540,64,0235203006
42,0,27330,Josh Teater,2.640,297.179,112.581,120,0209903102
43,0,23320,Ryan Palmer,2.639,306.450,116.145,88,0223703248
44,0,21961,Charles Howell III,2.638,310.447,117.684,91,0230303046
44,0,23325,Vaughn Taylor,2.638,285.514,108.227,106,0221803076
44,0,37340,Chase Wright,2.638,302.588,114.698,112,0226203167
47,0,34563,Chesson Hadley,2.637,302.833,114.843,77,0222803163
48,0,47990,Kyle Jones,2.636,286.755,108.766,127,0218203239
48,0,24781,Hunter Mahan,2.636,300.063,113.815,75,0220302952
50,0,40009,Dominic Bozzelli,2.635,302.235,114.720,84,0203402957
50,0,37189,Harold Varner III,2.635,304.944,115.725,80,0187803057
52,0,27895,Jonas Blixt,2.634,294.943,111.976,129,0228203005
52,0,29535,Brice Garnett,2.634,292.888,111.185,131,0197603039
52,0,22405,Justin Rose,2.634,303.552,115.244,36,0203103088
55,0,24024,Zach Johnson,2.632,289.381,109.963,73,0208303083
56,0,32139,Danny Willett,2.628,296.980,113.006,32,0211902931
57,0,47993,Denny McCarthy,2.627,296.001,112.662,105,0219902974
58,0,32102,Rickie Fowler,2.626,303.859,115.722,61,0191503126
59,0,25686,Jason Dufner,2.625,294.261,112.096,88,0214603010
60,0,39997,Corey Conners,2.623,300.316,114.478,96,0222402941
60,0,26476,Chez Reavie,2.623,285.437,108.807,74,0227202944
62,0,49303,Anders Albertson,2.622,296.640,113.114,113,0194003179
63,0,33667,Carlos Ortiz,2.621,307.229,117.208,120,0219203134
63,0,27214,Kevin Streelman,2.621,296.084,112.952,112,0204902977
65,0,31420,Anirban Lahiri,2.620,291.375,111.209,113,0203803066
65,0,29221,Webb Simpson,2.620,288.836,110.260,60,0231202931
67,0,20472,Alex Cejka,2.618,280.097,106.986,63,0209902899
67,0,32640,Troy Merritt,2.618,293.599,112.158,88,0206003055
69,0,39975,Michael Kim,2.617,289.992,110.829,66,0204403165
69,0,29926,Danny Lee,2.617,303.621,116.014,117,0223703253
69,0,27963,Chris Stroud,2.617,292.048,111.585,102,0203703118
72,0,28259,Sangmoon Bae,2.615,296.866,113.545,90,0171703068
72,0,29518,Brendan Steele,2.615,301.023,115.099,134,0217403100
74,0,34076,Joel Dahmen,2.614,292.303,111.828,94,0221403170
75,0,01810,Phil Mickelson,2.613,313.860,120.107,22,0212603156
75,0,23621,Rory Sabbatini,2.613,291.597,111.582,122,0223703070
75,0,35617,Martin Trainer,2.613,308.467,118.034,98,0209702967
78,0,35532,Tom Hoge,2.612,292.890,112.152,150,0216303098
79,0,35891,Cameron Smith,2.611,292.503,112.026,51,0207602997
80,0,25900,Lucas Glover,2.609,300.643,115.219,105,0215803177
80,0,30925,Dustin Johnson,2.609,310.980,119.178,42,0226302963
82,0,45486,Joaquin Niemann,2.608,305.918,117.302,153,0220003078
83,0,39971,Sungjae Im,2.607,298.783,114.622,194,0222103110
83,0,49766,Hank Lebioda,2.607,297.717,114.213,99,0212903137
83,0,37380,Curtis Luck,2.607,296.306,113.659,97,0177803001
86,0,35421,Brandon Harkins,2.606,303.443,116.440,127,0142003019
86,0,24138,Ian Poulter,2.606,292.660,112.284,41,0223602969
88,0,35450,Patrick Cantlay,2.605,302.913,116.265,49,0228902882
88,0,32200,Roberto Castro,2.605,288.906,110.906,129,0165703149
90,0,29420,Billy Horschel,2.603,295.741,113.614,78,0223703000
90,0,32839,Hideki Matsuyama,2.603,304.857,117.105,86,0213503327
90,0,27095,Nick Watney,2.603,311.524,119.672,118,0219603078
93,0,29908,C.T. Pan,2.602,287.927,110.666,58,0202602918
94,0,27649,Brandt Snedeker,2.601,285.978,109.961,103,0210103240
94,0,39324,J.J. Spaun,2.601,293.368,112.807,108,0207002996
96,0,47504,Sam Burns,2.600,312.342,120.123,128,0215403001
96,0,26596,Ryan Moore,2.600,283.642,109.082,128,0209803150
98,0,30191,Julián Etulain,2.599,292.444,112.537,66,0222102956
98,0,27974,Sung Kang,2.599,296.290,113.992,71,0232302953
98,0,30946,Alex Prugh,2.599,304.949,117.325,101,0224202954
101,0,35506,Mackenzie Hughes,2.598,302.944,116.590,149,0192803054
101,0,46601,Trey Mullinax,2.598,317.107,122.037,128,0068803123
101,0,25818,Scott Piercy,2.598,296.889,114.284,72,0230102961
104,0,40026,Daniel Berger,2.597,302.330,116.404,118,0211903059
104,0,36852,Jim Knous,2.597,301.249,115.986,69,0225002838
104,0,27556,Ted Potter Jr.,2.597,292.296,112.539,110,0170202996
107,0,45157,Cam Davis,2.596,308.689,118.915,99,0222603139
107,0,33399,Adam Hadwin,2.596,292.036,112.501,75,0206202958
109,0,34306,John Chin,2.594,306.203,118.046,57,0225002858
109,0,33486,Roger Sloan,2.594,296.752,114.393,129,0222603093
111,0,34099,Harris English,2.593,305.969,117.989,126,0212003027
111,0,40115,Adam Svensson,2.593,293.267,113.119,99,0222503018
113,0,32791,K.H. Lee,2.592,292.076,112.691,138,0115803052
114,0,49771,J.T. Poston,2.591,295.290,113.957,124,0210402925
115,0,34466,Peter Malnati,2.590,295.121,113.963,168,0209903148
115,0,25572,Graeme McDowell,2.590,289.811,111.875,59,0218302868
117,0,49298,Kramer Hickok,2.587,295.358,114.181,117,0209402954
117,0,37454,Whee Kim,2.587,282.443,109.188,91,0210603006
119,0,32816,Satoshi Kodaira,2.585,278.788,107.852,62,0213903085
119,0,28237,Rory McIlroy,2.585,314.083,121.504,45,0219802847
121,0,45609,Tyler Duncan,2.584,290.145,112.306,136,0214103023
122,0,45526,Abraham Ancer,2.582,289.275,112.035,89,0190103022
122,0,29479,Scott Brown,2.582,293.455,113.640,145,0208503211
122,0,24924,Bill Haas,2.582,297.164,115.097,106,0212302968
125,0,25198,Francesco Molinari,2.581,288.508,111.800,51,0224202941
126,0,39546,Keith Mitchell,2.579,314.697,122.032,92,0215103021
127,0,51766,Wyndham Clark,2.578,312.156,121.069,104,0147203141
127,0,12716,Charley Hoffman,2.578,298.292,115.693,77,0224902916
129,0,47856,Seth Reeves,2.577,316.303,122.729,85,0195802926
130,0,27129,Luke List,2.576,314.044,121.904,81,0224303016
131,0,26499,Rafa Cabrera Bello,2.575,288.720,112.125,40,0218202867
