RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SPIN SPEED,TOTAL ATTEMPTS
1,0,24502,Adam Scott,3404.2,61276,18
2,0,21209,Sergio Garcia,3172.7,120564,38
3,0,47347,Adam Schenk,3165.1,414633,131
4,0,27141,J.B. Holmes,3135.7,175597,56
5,0,46501,Ollie Schniederjans,3105.0,242189,78
6,0,32200,Roberto Castro,3067.2,374204,122
7,0,24361,Pat Perez,3046.3,164502,54
8,0,40115,Adam Svensson,3030.8,281861,93
9,0,12716,Charley Hoffman,3004.0,195263,65
10,0,33399,Adam Hadwin,2985.8,211989,71
11,0,26300,Matt Jones,2978.4,250184,84
12,0,34099,Harris English,2962.6,334772,113
12,0,34360,Patrick Reed,2962.6,281451,95
14,0,33122,Russell Knox,2955.9,230559,78
15,0,27349,Alex Noren,2951.4,162327,55
16,0,29484,Peter Uihlein,2948.7,209357,71
17,0,32640,Troy Merritt,2938.9,238054,81
18,0,29725,Tony Finau,2937.8,217396,74
19,0,34431,Robert Streb,2933.4,275736,94
20,0,24924,Bill Haas,2932.3,278572,95
21,0,29478,Kevin Kisner,2930.9,240330,82
22,0,32333,Kevin Tway,2922.3,227938,78
23,0,34264,Hudson Swafford,2904.9,209150,72
24,0,33419,Cameron Tringale,2900.1,327709,113
25,0,34256,Andrew Putnam,2893.8,141796,49
26,0,25818,Scott Piercy,2890.3,184981,64
27,0,33486,Roger Sloan,2884.0,348963,121
28,0,51766,Wyndham Clark,2879.4,259147,90
29,0,32757,Patton Kizzire,2873.1,183877,64
30,0,47959,Bryson DeChambeau,2870.2,129159,45
31,0,45157,Cam Davis,2864.0,240572,84
32,0,46402,Talor Gooch,2859.0,231583,81
33,0,22371,Aaron Baddeley,2857.9,157187,55
34,0,39977,Max Homa,2854.8,251218,88
35,0,49766,Hank Lebioda,2844.6,273079,96
36,0,29970,Dylan Frittelli,2839.8,360650,127
37,0,36799,Stephan Jaeger,2834.3,246586,87
38,0,25396,Kevin Na,2810.2,101167,36
39,0,21961,Charles Howell III,2809.1,238772,85
40,0,33448,Justin Thomas,2800.0,140000,50
41,0,30110,Kyle Stanley,2792.3,259681,93
42,0,27129,Luke List,2789.4,184099,66
43,0,37275,Sam Ryder,2787.9,295519,106
44,0,34466,Peter Malnati,2782.1,434013,156
45,0,32839,Hideki Matsuyama,2773.7,199703,72
46,0,29535,Brice Garnett,2772.5,324378,117
47,0,23353,J.J. Henry,2771.7,227281,82
48,0,33667,Carlos Ortiz,2771.4,277144,100
49,0,39971,Sungjae Im,2765.0,489406,177
50,0,25686,Jason Dufner,2759.7,240091,87
51,0,45526,Abraham Ancer,2759.0,223482,81
52,0,39997,Corey Conners,2751.1,233841,85
53,0,31646,Emiliano Grillo,2740.1,197285,72
54,0,24925,Jonathan Byrd,2737.8,156055,57
55,0,25364,Paul Casey,2736.7,109466,40
56,0,23325,Vaughn Taylor,2736.5,268181,98
57,0,35532,Tom Hoge,2731.8,382453,140
58,0,35506,Mackenzie Hughes,2731.4,385128,141
59,0,31323,Gary Woodland,2729.4,128280,47
60,0,25572,Graeme McDowell,2728.3,141872,52
61,0,27095,Nick Watney,2728.1,294637,108
62,0,34076,Joel Dahmen,2727.6,242756,89
63,0,45609,Tyler Duncan,2726.6,351733,129
64,0,52372,Cameron Champ,2722.3,163337,60
65,0,30925,Dustin Johnson,2717.2,103255,38
66,0,45486,Joaquin Niemann,2710.7,357808,132
67,0,47990,Kyle Jones,2701.0,332224,123
68,0,48822,Sebastián Muñoz,2697.0,275098,102
69,0,36689,Brooks Koepka,2695.7,204870,76
70,0,40098,Matt Fitzpatrick,2687.9,112893,42
71,0,37340,Chase Wright,2687.6,282203,105
72,0,32102,Rickie Fowler,2682.0,142146,53
73,0,33141,Keegan Bradley,2679.8,136670,51
74,0,39324,J.J. Spaun,2678.4,278555,104
75,0,25198,Francesco Molinari,2674.1,136378,51
76,0,49960,Sepp Straka,2673.6,256666,96
77,0,27064,Jhonattan Vegas,2669.9,154856,58
78,0,24024,Zach Johnson,2667.7,178739,67
79,0,47856,Seth Reeves,2665.8,199932,75
80,0,30978,Kiradech Aphibarnrat,2660.7,114410,43
81,0,37454,Whee Kim,2660.4,218154,82
82,0,27556,Ted Potter Jr.,2658.4,271158,102
83,0,28259,Sangmoon Bae,2656.6,228465,86
84,0,31557,Jim Herman,2655.8,177937,67
85,0,30692,Scott Stallings,2651.4,243929,92
86,0,34306,John Chin,2650.5,145775,55
87,0,33410,Andrew Landry,2641.8,250971,95
88,0,35449,Adam Long,2639.3,232260,88
89,0,27649,Brandt Snedeker,2639.0,229589,87
90,0,10809,Jim Furyk,2633.9,168569,64
91,0,39546,Keith Mitchell,2631.8,221074,84
92,0,47993,Denny McCarthy,2627.5,252240,96
93,0,29518,Brendan Steele,2627.0,323117,123
94,0,49298,Kramer Hickok,2623.9,291250,111
95,0,32150,Michael Thompson,2620.1,246287,94
96,0,27963,Chris Stroud,2613.9,253545,97
97,0,34261,Scott Langley,2613.4,263950,101
98,0,20572,Rod Pampling,2611.6,219377,84
99,0,29974,Branden Grace,2610.8,99212,38
100,0,48081,Xander Schauffele,2607.6,75619,29
101,0,30911,Tommy Fleetwood,2604.5,85950,33
102,0,21731,Freddie Jacobson,2604.2,229173,88
103,0,30191,Julián Etulain,2602.5,161356,62
104,0,37455,Si Woo Kim,2598.8,194910,75
105,0,46601,Trey Mullinax,2597.5,267547,103
106,0,40009,Dominic Bozzelli,2594.8,212777,82
107,0,25804,Bubba Watson,2594.5,72645,28
108,0,35617,Martin Trainer,2593.2,212640,82
109,0,47504,Sam Burns,2589.2,308109,119
110,0,21528,Henrik Stenson,2585.1,43946,17
111,0,26596,Ryan Moore,2581.6,307209,119
112,0,40026,Daniel Berger,2576.2,288539,112
113,0,06522,Ernie Els,2575.5,90141,35
113,0,37380,Curtis Luck,2575.5,239524,93
115,0,29420,Billy Horschel,2574.7,175082,68
116,0,49771,J.T. Poston,2571.6,295733,115
117,0,29479,Scott Brown,2565.7,346373,135
118,0,35732,Wes Roach,2562.8,248592,97
119,0,30946,Alex Prugh,2560.9,233041,91
120,0,24138,Ian Poulter,2553.1,84253,33
121,0,27644,Brian Harman,2552.3,255231,100
122,0,31560,Brian Stuard,2550.5,188735,74
123,0,26851,Marc Leishman,2546.9,114612,45
124,0,35450,Patrick Cantlay,2543.8,114472,45
