RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,23983,Luke Donald,.934,56.986,61
2,0,08793,Tiger Woods,.877,42.109,48
3,0,01329,Brad Faxon,.780,40.558,52
4,0,22621,Ben Curtis,.766,36.002,47
5,0,27649,Brandt Snedeker,.761,49.434,65
6,0,23800,Bryce Molder,.747,40.353,54
7,0,19846,Brian Gay,.726,59.549,82
8,0,10809,Jim Furyk,.715,46.476,65
9,0,20593,Greg Chalmers,.698,49.524,71
9,0,23108,Matt Kuchar,.698,49.542,71
11,0,24449,Parker McLachlin,.617,41.318,67
12,0,22371,Aaron Baddeley,.604,35.041,58
13,0,10117,Bob Heintz,.601,30.670,51
14,0,26300,Matt Jones,.583,26.230,45
15,0,29221,Webb Simpson,.555,48.298,87
16,0,21949,Joe Ogilvie,.546,42.051,77
17,0,24361,Pat Perez,.534,33.121,62
18,0,21731,Freddie Jacobson,.516,37.703,73
19,0,28089,Jason Day,.500,25.009,50
20,0,22046,Geoff Ogilvy,.493,28.570,58
21,0,20160,Charlie Wi,.488,38.583,79
22,0,20766,Padraig Harrington,.477,22.883,48
22,0,25396,Kevin Na,.477,37.176,78
24,0,10585,Scott McCarron,.473,38.344,81
25,0,20157,Retief Goosen,.470,26.301,56
26,0,10423,Mike Weir,.469,31.421,67
27,0,24503,Jeff Klauk,.453,39.896,88
28,0,21350,Ryuji Imada,.442,30.518,69
29,0,06004,Stephen Ames,.436,24.834,57
30,0,23541,Ben Crane,.431,34.466,80
31,0,01928,Corey Pavin,.429,23.148,54
32,0,24781,Hunter Mahan,.410,30.772,75
33,0,24490,George McNeill,.408,30.987,76
34,0,27466,Spencer Levin,.400,26.811,67
35,0,21878,Mark Wilson,.386,33.932,88
36,0,24024,Zach Johnson,.380,30.009,79
37,0,23718,Nathan Green,.375,34.494,92
38,0,12602,Dean Wilson,.351,24.555,70
39,0,22961,David Mathis,.349,24.066,69
40,0,26596,Ryan Moore,.347,26.009,75
41,0,20127,Chris Riley,.346,23.151,67
42,0,23048,Eric Axley,.341,20.097,59
43,0,20229,Stewart Cink,.340,20.074,59
44,0,23325,Vaughn Taylor,.339,26.781,79
45,0,26420,Richard Johnson,.332,24.597,74
46,0,08075,Jerry Kelly,.327,25.173,77
47,0,21805,Harrison Frazar,.322,27.073,84
48,0,25345,Carl Pettersson,.321,23.732,74
49,0,01320,Bob Estes,.313,21.594,69
50,0,01948,Tim Petrovic,.306,26.287,86
51,0,20850,Daniel Chopra,.302,25.084,83
52,0,23135,Tim Clark,.276,16.287,59
53,0,23623,Bo Van Pelt,.275,22.533,82
54,0,06595,Kevin Sutherland,.270,19.697,73
55,0,01945,Kenny Perry,.268,19.566,73
56,0,01577,Lee Janzen,.262,15.965,61
57,0,29718,Anthony Kim,.245,14.676,60
58,0,26301,James Nitties,.238,18.057,76
59,0,27095,Nick Watney,.237,16.125,68
60,0,25190,Jeff Quinney,.217,15.433,71
61,0,06527,Steve Stricker,.207,12.843,62
62,0,23320,Ryan Palmer,.188,13.186,70
63,0,20848,Ángel Cabrera,.172,6.542,38
64,0,25900,Lucas Glover,.149,11.789,79
65,0,26851,Marc Leishman,.141,11.857,84
66,0,06643,Paul Goydos,.135,8.803,65
67,0,20572,Rod Pampling,.127,8.149,64
68,0,28475,Jeff Overton,.125,9.473,76
69,0,01473,Todd Hamilton,.123,7.868,64
70,0,27214,Kevin Streelman,.121,10.526,87
71,0,23353,J.J. Henry,.114,9.554,84
72,0,22405,Justin Rose,.111,6.325,57
73,0,28158,Steve Marino,.110,9.202,84
74,0,28620,Aron Price,.109,8.425,77
