RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
1,0,01139,Olin Browne,89.23,1177,1319
2,0,08385,Omar Uresti,88.24,1035,1173
3,0,06621,Joe Durant,88.18,1000,1134
4,0,01487,Jeff Hart,87.51,743,849
5,0,01766,Billy Mayfair,87.48,1342,1534
6,0,20099,Doug Barron,87.41,854,977
7,0,01142,Bart Bryant,87.17,1114,1278
8,0,10425,Jay Williamson,87.14,644,739
9,0,01381,Fred Funk,87.10,1229,1411
10,0,22293,Heath Slocum,86.97,1201,1381
11,0,08123,Jeff Brehaut,86.68,807,931
12,0,26758,David Hearn,86.48,819,947
13,0,21753,Brian Davis,86.25,903,1047
14,0,22295,Darron Stiles,86.24,915,1061
15,0,21951,Joey Snyder III,86.10,1177,1367
16,0,02239,Scott Verplank,86.07,1038,1206
17,0,01945,Kenny Perry,85.84,964,1123
18,0,19972,José Coceres,85.81,647,754
19,0,02101,Joey Sindelar,85.79,1244,1450
20,0,12454,Mario Tiziani,85.75,776,905
21,0,01619,Skip Kendall,85.73,931,1086
22,0,21209,Sergio Garcia,85.68,826,964
23,0,12826,Paul Claxton,85.66,944,1102
24,0,19881,Robert Damron,85.55,1060,1239
25,0,20548,Hidemichi Tanaka,85.49,1214,1420
26,0,01035,Tommy Armour III,85.47,1224,1432
27,0,06567,Vijay Singh,85.41,1311,1535
28,0,23349,Charles Warren,85.38,1034,1211
29,0,20645,John Senden,85.35,1177,1379
30,0,20498,Briny Baird,85.33,1140,1336
31,0,20623,Gavin Coles,85.19,834,979
32,0,08725,Tom Gillis,84.98,888,1045
33,0,22405,Justin Rose,84.97,1125,1324
34,0,20382,Stephen Leaney,84.84,1013,1194
35,0,21878,Mark Wilson,84.69,824,973
36,0,20691,Greg Owen,84.66,944,1115
37,0,26420,Richard Johnson,84.60,588,695
38,0,02246,Duffy Waldorf,84.55,974,1152
39,0,01219,John Cook,84.51,824,975
40,0,20628,Arron Oberholser,84.49,741,877
41,0,01157,Tom Byrum,84.41,980,1161
42,0,01127,Danny Briggs,84.40,801,949
43,0,02104,Jeff Sluman,84.39,1103,1307
44,0,01724,Jeff Maggert,84.30,870,1032
45,0,20812,Tjaart van der Walt,84.23,657,780
46,0,08075,Jerry Kelly,84.19,1161,1379
47,0,01175,Jim Carter,84.11,704,837
48,0,01161,Mark Calcavecchia,84.05,1059,1260
49,0,10809,Jim Furyk,84.04,1095,1303
49,0,02214,Kirk Triplett,84.04,611,727
51,0,12602,Dean Wilson,84.02,1004,1195
52,0,01457,Jay Haas,83.99,598,712
53,0,20472,Alex Cejka,83.97,948,1129
54,0,06034,Marco Dawson,83.95,957,1140
55,0,01823,Larry Mize,83.93,585,697
56,0,23983,Luke Donald,83.83,710,847
56,0,24024,Zach Johnson,83.83,1120,1336
58,0,23788,D.J. Trahan,83.81,901,1075
59,0,20094,Jonathan Kaye,83.73,870,1039
60,0,23623,Bo Van Pelt,83.72,1311,1566
61,0,10885,Robert Allenby,83.69,1047,1251
62,0,21806,Paul Gow,83.64,864,1033
63,0,01677,Tom Lehman,83.63,787,941
64,0,24290,D.J. Brigman,83.58,840,1005
64,0,26287,Roland Thatcher,83.58,850,1017
66,0,23325,Vaughn Taylor,83.51,1155,1383
67,0,20474,Phillip Price,83.45,847,1015
68,0,12652,Cameron Beckman,83.42,1067,1279
69,0,22621,Ben Curtis,83.41,759,910
70,0,23353,J.J. Henry,83.39,1160,1391
71,0,10860,Justin Leonard,83.33,880,1056
72,0,10733,Kent Jones,83.32,1124,1349
72,0,23322,Brett Wetterich,83.32,859,1031
74,0,20634,Peter Lonard,83.28,981,1178
75,0,23036,Chris Anderson,83.24,720,865
75,0,21805,Harrison Frazar,83.24,1172,1408
77,0,22046,Geoff Ogilvy,83.23,1087,1306
78,0,01928,Corey Pavin,83.20,847,1018
79,0,01685,J.L. Lewis,83.19,1133,1362
80,0,24140,Sean O'Hair,83.08,1154,1389
81,0,23135,Tim Clark,83.05,1014,1221
81,0,21959,Ted Purdy,83.05,1421,1711
83,0,19846,Brian Gay,83.03,1145,1379
84,0,01797,Rocco Mediate,83.02,841,1013
85,0,01313,Steve Elkington,83.01,772,930
86,0,25900,Lucas Glover,82.99,995,1199
87,0,06595,Kevin Sutherland,82.96,1008,1215
88,0,21961,Charles Howell III,82.92,1044,1259
89,0,20378,Mathias Grönberg,82.90,669,807
90,0,08545,Glen Hnatiuk,82.88,634,765
91,0,01226,Fred Couples,82.86,793,957
92,0,10962,Bradley Hughes,82.85,599,723
93,0,24357,K.J. Choi,82.78,851,1028
94,0,24980,Scott Gutschewski,82.74,954,1153
95,0,19824,Craig Barlow,82.63,885,1071
96,0,06575,Dudley Hart,82.62,970,1174
