RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,1,45522,Christiaan Bezuidenhout,$729265,839265
2,2,39834,Guido Migliozzi,$630759,630759
3,2,29454,Bernd Wiesberger,$489738,573559
4,2,47679,Victor Perez,$392391,1071391
5,2,50493,Justin Suh,$388181,388181
6,2,33293,Thomas Pieters,$327602,327602
7,2,39058,Lucas Herbert,$312429,403929
8,2,46501,Ollie Schniederjans,$276000,276000
9,2,40250,Taylor Pendrith,$271959,271959
10,2,56630,Akshay Bhatia,$258961,258961
11,2,36326,David Lipsky,$220825,265325
12,2,51890,Greyson Sigg,$189662,189662
13,2,51634,Sahith Theegala,$188613,188613
14,2,39067,MJ Daffue,$176780,176780
15,2,56272,Wilco Nienaber,$169214,205214
16,2,54628,Lee Hodges,$160344,160344
17,2,37187,Tain Lee,$158240,158240
18,2,46340,Alex Smalley,$151353,151353
19,2,34587,Chan Kim,$148751,213251
20,2,23481,Marcel Siem,$143063,143063
21,2,28938,Justin Harding,$138750,138750
22,2,46646,Antoine Rozner,$138599,252299
23,2,47988,Nick Hardy,$137703,137703
24,2,57362,Austin Eckroat,$133827,133827
25,2,46414,Aaron Rai,$109000,323500
26,2,33653,Thomas Detry,$106112,188612
27,2,31569,Jason Scrivener,$103814,156314
28,2,47056,Rikuya Hoshino,$101541,101541
29,2,55182,Tom Kim,$98258,98258
30,2,47238,Jazz Janewattananond,$98220,98220
31,2,56676,John Augenstein,$94998,94998
32,2,36799,Stephan Jaeger,$92489,92489
33,2,52374,Brandon Wu,$91125,91125
34,2,58168,Davis Thompson,$85612,85612
35,2,28114,Dawie van der Walt,$82600,82600
36,2,32775,Shugo Imahira,$81861,81861
37,2,10381,Curtis Thompson,$81750,81750
38,2,35314,Andy Sullivan,$79821,160267
39,2,29461,Jamie Lovemark,$77527,77527
40,2,35181,Daniel van Tonder,$76717,108967
41,2,37157,Renato Paratore,$75649,75649
42,2,54783,Dylan Wu,$71030,71030
43,2,24494,Erik Compton,$68438,68438
44,2,33974,Dean Burmester,$66817,66817
45,2,37250,Romain Langasque,$64024,64024
46,2,49773,Chase Koepka,$60754,60754
47,2,30812,Benjamin Hebert,$60143,60143
48,2,23814,Edoardo Molinari,$57696,57696
49,2,45836,Richard Bland,$54227,54227
50,2,47989,Sam Horsfield,$51850,51850
51,2,26328,Shaun Norris,$50137,50137
52,2,45847,JC Ritchie,$45417,78292
53,2,56320,Bryson Nimmer,$44299,44299
54,2,26341,Wade Ormsby,$43883,130383
55,2,30852,Ryo Ishikawa,$43603,43603
56,2,54364,Stephen Stallings Jr.,$42220,42220
57,2,34500,Ryosuke Kinoshita,$41657,94657
58,2,52686,Rasmus Hojgaard,$37700,70950
59,2,47995,Davis Riley,$35297,35297
60,2,48640,Johannes Veerman,$33679,33679
61,2,54687,Broc Everett,$33337,33337
62,2,46732,Rick Lamb,$32351,32351
63,2,56781,Isaiah Salinda,$32002,32002
64,2,54334,Ben Cook,$31300,31300
65,2,34374,Erik Barnes,$29750,29750
66,2,45194,Marcus Armitage,$29417,29417
66,2,50722,Jon Thomson,$29417,29417
68,2,50006,Willie Mack III,$28343,28343
69,2,47591,Eric Cole,$28000,28000
69,2,35544,Andrew Yun,$28000,28000
69,2,29939,Fabrizio Zanotti,$28000,28000
72,2,37212,Paul Barjon,$27330,27330
73,2,29936,Ryan Fox,$26900,26900
73,2,34708,Jack Senior,$26900,26900
75,2,47917,Takumi Kanaya,$26880,26880
75,2,23802,Brad Kennedy,$26880,114880
77,2,54190,Richard Mansell,$26125,26125
78,2,34541,Poom Saksansin,$25938,25938
79,2,55789,Taylor Montgomery,$25183,25183
80,2,52330,Dylan Meyer,$23358,23358
81,2,47842,Hanbyeol Kim,$23205,23205
82,2,52411,Kyle Westmoreland,$22814,22814
83,2,47334,Sam Fidone,$21853,21853
84,2,54314,Tyler Strafaci,$21111,21111
85,2,57944,Andy Ogletree,$20952,20952
86,2,50188,S.H. Kim,$20169,20169
87,2,46930,Jaekyeong Lee,$19208,19208
88,2,59872,Brad Marek,$18800,18800
89,2,30996,Mark Baldwin,$18235,18235
90,2,57975,Harry Hall,$17777,17777
91,2,46724,Jeongwoo Ham,$16965,16965
92,2,33605,Gunn Charoenkul,$16480,16480
93,2,29425,Andrew Svoboda,$16206,16206
94,2,58381,Kyle Mendoza,$15900,15900
95,2,49481,Tae Hee Lee,$15795,15795
96,2,59160,John Pak,$15225,15225
97,2,58693,George Markham,$15120,15120
98,2,31997,Steve Lewton,$14784,14784
99,2,34656,Mikumu Horikawa,$14560,14560
100,2,27171,Jay McLuen,$14454,14454
101,2,36698,Andy Zhang,$13398,13398
102,2,47918,Naoki Sekito,$13280,13280
103,2,39831,Bobby Bai,$12425,12425
103,2,49310,David Gazzolo,$12425,12425
105,2,46045,Michael Miller,$10180,10180
106,2,46439,Will Grimmer,$9287,9287
107,2,34610,Matthias Schwab,$9160,9160
108,2,32199,Matthew Borchert,$8440,8440
108,2,35946,Willy Pumarol,$8440,8440
110,2,32582,Eric Dugas,$8360,8360
111,2,57124,Michael Feagles,$8155,8155
112,2,35376,Roberto Díaz,$7920,7920
113,2,47127,David Pastore,$7315,7315
113,2,51395,Trey Shirley,$7315,7315
115,2,48705,Dalton Ward,$7062,7062
116,2,35300,Andrew Loupe,$6895,6895
117,2,36299,Edward Figueroa,$6750,6750
118,2,51567,Will Cannon,$6360,6360
119,2,37076,Marcelo Rozo,$6150,6150
