RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,46970,Jon Rahm,3.94,7705933,195450000
2,0,47959,Bryson DeChambeau,3.77,7426415,197200000
3,0,35450,Patrick Cantlay,3.66,7638805,208550000
4,0,50525,Collin Morikawa,3.48,7059908,203150000
5,0,26329,Louis Oosthuizen,3.44,6306679,183350000
6,0,39834,Guido Migliozzi,3.34,630759,18900000
7,0,33448,Justin Thomas,3.20,6537153,204550000
8,0,36689,Brooks Koepka,3.17,5204136,164050000
9,0,34046,Jordan Spieth,2.95,6470482,219150000
10,0,34099,Harris English,2.93,6200481,211950000
11,0,35891,Cameron Smith,2.78,5851867,210550000
12,0,30925,Dustin Johnson,2.74,5001136,182800000
13,0,48081,Xander Schauffele,2.65,5240653,197850000
14,0,47504,Sam Burns,2.57,5160030,201000000
15,0,45526,Abraham Ancer,2.52,5816565,230450000
16,0,29725,Tony Finau,2.49,5740097,230900000
17,0,46717,Viktor Hovland,2.41,5048772,209450000
18,0,28237,Rory McIlroy,2.27,4391809,193050000
19,0,30944,Jason Kokrak,2.22,5118629,230950000
20,0,40026,Daniel Berger,2.18,4258579,195250000
21,0,32839,Hideki Matsuyama,2.15,4963594,230450000
22,0,54421,Garrick Higgo,2.10,1378456,65700000
23,0,34360,Patrick Reed,2.04,4019044,197000000
24,0,20396,Lee Westwood,1.94,3435368,177100000
25,0,47483,Will Zalatoris,1.89,3935686,208700000
26,0,46046,Scottie Scheffler,1.86,4505589,242150000
27,0,29420,Billy Horschel,1.85,4030906,218150000
28,0,20229,Stewart Cink,1.79,3596319,200500000
29,0,45486,Joaquin Niemann,1.73,3936912,227850000
30,0,25364,Paul Casey,1.70,3129666,183950000
31,0,25396,Kevin Na,1.66,3625982,217850000
32,0,39997,Corey Conners,1.65,4007567,243150000
33,0,34021,Bud Cauley,1.53,100650,6600000
34,0,56278,Matthew Wolff,1.50,2507324,167350000
35,0,21209,Sergio Garcia,1.49,2998555,201850000
36,0,29221,Webb Simpson,1.48,2783012,187700000
37,0,39971,Sungjae Im,1.47,4157182,282750000
38,0,28252,Seamus Power,1.45,1547290,106500000
39,0,39977,Max Homa,1.41,3448578,244200000
39,0,26851,Marc Leishman,1.41,3107047,221050000
