RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
1,0,08553,Lee Porter,17,0,1,18,1993390
2,0,01129,Bill Britton,14,0,3,3,1993110
2,0,06589,Jeff Woodland,14,0,1,18,1993260
4,0,01072,Chip Beck,13,0,4,9,1993270
5,0,01248,Rick Dalpos,12,2,2,11,1993310
5,0,01755,Dick Mast,12,4,3,14,1993400
5,0,02010,Loren Roberts,12,0,1,5,1993200
8,0,01098,Jay Don Blake,11,0,4,18,1993320
8,0,01143,Brad Bryant,11,0,1,10,1993190
8,0,01200,Keith Clearwater,11,0,3,7,1993220
8,0,01201,Lennie Clements,11,0,3,2,1993190
8,0,06247,David Delong,11,11,1,16,1993410
8,0,01306,David Edwards,11,0,3,3,1993430
8,0,01457,Jay Haas,11,1,1,7,1993160
8,0,01468,Gary Hallberg,11,1,4,8,1993110
8,0,01550,Ed Humenik,11,0,3,6,1993050
8,0,01926,Steve Pate,11,5,1,12,1993070
8,0,02135,Mike Standly,11,0,3,8,1993130
19,0,06599,John Elliott,10,1,1,3,1993410
19,0,06058,John Flannery,10,0,3,1,1993370
19,0,02049,Gene Sauers,10,3,2,11,1993160
19,0,02146,Payne Stewart,10,1,2,6,1993110
19,0,02241,Bobby Wadkins,10,1,1,16,1993410
24,0,01049,Ian Baker-Finch,9,1,2,14,1993220
24,0,01196,Brian Claar,9,0,2,16,1993040
24,0,01218,Jeff Cook,9,0,2,3,1993130
24,0,01235,Ben Crenshaw,9,0,4,6,1993020
24,0,01329,Brad Faxon,9,1,2,10,1993220
24,0,01378,David Frost,9,1,3,10,1993370
24,0,01381,Fred Funk,9,1,1,11,1993010
24,0,01408,Kelly Gibson,9,0,4,1,1993090
24,0,01414,Bob Gilder,9,9,3,12,1993420
24,0,01418,Bill Glasson,9,0,4,18,1993040
24,0,01495,Morris Hatalsky,9,0,3,13,1993130
24,0,01569,Peter Jacobsen,9,1,2,15,1993270
24,0,10207,Jimmy Johnston,9,0,2,4,1993050
24,0,06128,Steve Lamontagne,9,0,4,2,1993410
24,0,10860,Justin Leonard,9,0,1,17,1993220
24,0,01715,Mark Lye,9,2,1,7,1993090
24,0,01724,Jeff Maggert,9,3,3,16,1993080
24,0,06090,Jim McGovern,9,1,4,17,1993170
24,0,01823,Larry Mize,9,2,2,15,1993030
24,0,08045,Perry Moss,9,0,2,3,1993200
24,0,01846,Jodie Mudd,9,0,1,12,1993040
24,0,01876,Greg Norman,9,0,1,4,1993230
24,0,01934,Dave Peege,9,1,1,8,1993260
24,0,01968,Nick Price,9,0,3,11,1993190
24,0,02104,Jeff Sluman,9,0,4,1,1993260
24,0,10795,Neale Smith,9,1,1,16,1993380
24,0,02159,Curtis Strange,9,0,2,16,1993040
24,0,02294,Willie Wood,9,2,3,14,1993180
52,0,01014,Fulton Allem,8,1,4,5,1993190
52,0,01042,Paul Azinger,8,0,1,1,1993110
52,0,01068,Andy Bean,8,0,2,5,1993060
52,0,01161,Mark Calcavecchia,8,2,3,8,1993090
52,0,07569,Mark Carnevale,8,5,2,13,1993040
52,0,01226,Fred Couples,8,0,2,1,1993090
52,0,01284,Mike Donald,8,0,3,1,1993310
52,0,01323,Brad Fabel,8,0,2,3,1993160
52,0,01331,Rick Fehr,8,1,1,2,1993270
52,0,01374,Robin Freeman,8,0,1,2,1993410
52,0,06617,Brian Henninger,8,3,1,7,1993410
52,0,01549,Mike Hulbert,8,0,4,10,1993030
52,0,01559,Hale Irwin,8,0,1,5,1993190
52,0,01607,Brian Kamm,8,0,3,16,1993370
52,0,01659,Massy Kuramoto,8,1,2,16,1993210
52,0,01666,Bernhard Langer,8,1,3,6,1993110
52,0,01890,Brett Ogle,8,0,4,18,1993210
52,0,01938,David Peoples,8,0,4,18,1993330
52,0,02099,Scott Simpson,8,1,2,14,1993110
52,0,02131,Mike Springer,8,0,1,3,1993270
52,0,02190,Doug Tewell,8,0,4,5,1993260
52,0,02218,Ted Tryba,8,0,1,11,1993270
52,0,02279,Mark Wiebe,8,5,3,6,1993240
52,0,02311,Kim Young,8,0,2,3,1993410
52,0,02322,Richard Zokol,8,1,1,11,1993360
77,0,01060,Dave Barr,7,1,4,1,1993090
77,0,01132,Mark Brooks,7,1,4,1,1993380
77,0,01157,Tom Byrum,7,0,3,16,1993410
77,0,01203,Russ Cochran,7,0,2,17,1993410
77,0,10195,Tim Conley,7,1,3,16,1993430
77,0,06150,Carl Cooper,7,0,1,7,1993190
77,0,01249,John Daly,7,0,2,16,1993320
77,0,01320,Bob Estes,7,4,2,16,1993200
77,0,01346,Ed Fiori,7,0,1,16,1993130
77,0,01388,Robert Gamez,7,6,1,10,1993130
77,0,06643,Paul Goydos,7,0,3,14,1993190
77,0,01443,Hubert Green,7,2,3,10,1993190
77,0,06044,Scott Gump,7,0,4,15,1993380
77,0,01469,Dan Halldorson,7,0,1,10,1993080
77,0,06284,Jim Hallet,7,2,1,15,1993130
77,0,01527,Scott Hoch,7,0,2,7,1993330
77,0,01639,Kenny Knox,7,0,3,14,1993130
77,0,01648,Billy Kratzert,7,1,2,3,1993280
77,0,01690,Bruce Lietzke,7,1,2,6,1993010
77,0,01701,Bob Lohr,7,6,3,1,1993110
77,0,01761,Len Mattiace,7,4,2,16,1993240
77,0,01887,Mark O'Meara,7,1,1,2,1993220
77,0,01960,Don Pooley,7,0,1,15,1993270
77,0,01975,Tom Purtzer,7,2,1,9,1993090
77,0,02007,Larry Rinker,7,0,3,18,1993110
77,0,02067,Ted Schulz,7,1,1,9,1993130
77,0,02101,Joey Sindelar,7,3,4,5,1993050
77,0,02111,Mike Smith,7,3,2,6,1993190
77,0,02133,Craig Stadler,7,0,2,2,1993010
77,0,02214,Kirk Triplett,7,0,2,3,1993410
77,0,02224,Greg Twiggs,7,0,4,10,1993200
77,0,02242,Lanny Wadkins,7,1,2,1,1993230
77,0,02267,D.A. Weibring,7,0,2,3,1993050
110,0,01006,John Adams,6,0,3,13,1993040
110,0,06197,Michael Allen,6,0,2,17,1993170
110,0,01024,Billy Andrade,6,0,4,5,1993420
110,0,06086,Russell Beiersdorf,6,0,3,18,1993380
110,0,01116,Michael Bradley,6,0,1,14,1993420
110,0,06124,Patrick Burke,6,6,3,2,1993430
110,0,01191,Barry Cheesman,6,2,1,5,1993420
110,0,01219,John Cook,6,0,1,1,1993110
110,0,06034,Marco Dawson,6,4,3,16,1993200
110,0,01261,Jay Delsing,6,1,3,16,1993410
110,0,01307,Joel Edwards,6,0,4,3,1993190
110,0,01313,Steve Elkington,6,1,1,8,1993090
110,0,01353,Bruce Fleisher,6,0,1,10,1993030
110,0,01361,Dan Forsman,6,1,4,10,1993260
110,0,01385,Jim Gallagher Jr.,6,0,2,16,1993040
110,0,01390,Buddy Gardner,6,3,1,11,1993120
110,0,01435,Wayne Grady,6,0,1,4,1993330
110,0,01444,Ken Green,6,1,4,5,1993160
110,0,06575,Dudley Hart,6,0,2,15,1993240
110,0,01553,John Huston,6,0,1,10,1993090
110,0,01557,John Inman,6,0,2,15,1993100
110,0,01564,David Jackson,6,0,2,11,1993420
110,0,01609,Jim Kane,6,3,1,9,1993050
110,0,01619,Skip Kendall,6,1,1,10,1993090
110,0,06012,Greg Kraft,6,2,1,16,1993310
110,0,01682,Wayne Levi,6,4,1,11,1993170
110,0,01706,Davis Love III,6,2,4,5,1993190
110,0,01707,Steve Lowery,6,0,1,12,1993270
110,0,01783,Mark McCumber,6,0,4,7,1993120
110,0,01797,Rocco Mediate,6,0,1,8,1993450
110,0,01849,Bill Murchison,6,2,4,9,1993240
110,0,01928,Corey Pavin,6,0,3,7,1993380
110,0,06136,Mike Schuchart,6,1,2,10,1993410
110,0,02090,Tom Sieckmann,6,0,1,2,1993440
110,0,02100,Tim Simpson,6,0,1,6,1993310
110,0,02148,Ray Stewart,6,0,1,18,1993380
110,0,02185,Lance Ten Broeck,6,0,1,14,1993240
110,0,02206,David Toms,6,0,2,1,1993100
110,0,06751,Chris Tucker,6,0,2,7,1993050
110,0,02223,Bob Tway,6,0,4,17,1993240
110,0,02230,Stan Utley,6,1,2,15,1993070
110,0,02245,Grant Waite,6,1,1,10,1993130
110,0,02255,Denis Watson,6,5,1,18,1993130
110,0,02256,Tom Watson,6,1,3,11,1993110
110,0,02298,Jim Woodward,6,1,2,3,1993410
110,0,02321,Fuzzy Zoeller,6,0,4,8,1993230
156,0,06006,JC Anderson,5,0,1,6,1993440
156,0,01035,Tommy Armour III,5,5,1,12,1993430
156,0,01093,Ronnie Black,5,1,2,7,1993040
156,0,06691,Greg Cesario,5,0,3,3,1993410
156,0,01185,Brandel Chamblee,5,1,3,8,1993200
156,0,01288,Ed Dougherty,5,0,2,2,1993380
156,0,06144,John Dowdall,5,1,1,6,1993370
