RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,30925,Dustin Johnson,37' 10",104940,231,8745.000,+8.00
2,0,34409,David Lingmerth,39' 3",106416,226,8868.000,+14.00
3,0,26289,Boo Weekley,39' 7",79721,168,6643.417,+12.00
4,0,34099,Harris English,40' 0",156936,327,13078.000,+23.00
4,0,46970,Jon Rahm,40' 0",114753,239,9562.750,-8.00
6,0,27095,Nick Watney,40' 1",118260,246,9855.000,+27.00
7,0,30692,Scott Stallings,40' 2",132092,274,11007.667,+53.00
8,0,34046,Jordan Spieth,40' 7",118415,243,9867.917,-3.00
9,0,27129,Luke List,40' 8",167013,342,13917.750,-1.00
10,0,34021,Bud Cauley,40' 9",136544,279,11378.667,+32.00
11,0,25804,Bubba Watson,41' 1",95735,194,7977.917,+21.00
12,0,29221,Webb Simpson,41' 2",121101,245,10091.750,+6.00
13,0,33120,Mark Anderson,41' 5",85537,172,7128.083,+16.00
13,0,22371,Aaron Baddeley,41' 5",97986,197,8165.500,+19.00
15,0,23320,Ryan Palmer,41' 6",96161,193,8013.417,+25.00
16,0,20104,Ken Duke,41' 8",95497,191,7958.083,+29.00
16,0,28500,Martin Flores,41' 8",158501,317,13208.417,+13.00
16,0,01810,Phil Mickelson,41' 8",143969,288,11997.417,+38.00
19,0,28093,Miguel Angel Carballo,41' 9",89138,178,7428.167,+31.00
19,0,25632,Jimmy Walker,41' 9",100266,200,8355.500,+34.00
21,0,23621,Rory Sabbatini,42' 0",91294,181,7607.833,+7.00
22,0,24924,Bill Haas,42' 1",130164,258,10847.000,+22.00
22,0,33461,Morgan Hoffmann,42' 1",153433,304,12786.083,+39.00
22,0,35300,Andrew Loupe,42' 1",118189,234,9849.083,+38.00
25,0,25686,Jason Dufner,42' 2",125075,247,10422.917,+28.00
25,0,31557,Jim Herman,42' 2",95149,188,7929.083,+8.00
25,0,27649,Brandt Snedeker,42' 2",68243,135,5686.917,+15.00
25,0,33448,Justin Thomas,42' 2",136539,270,11378.250,-5.00
29,0,19803,Ryan Armour,42' 3",73587,145,6132.250,+20.00
30,0,27436,Graham DeLaet,42' 4",113680,224,9473.333,+15.00
30,0,26329,Louis Oosthuizen,42' 4",84290,166,7024.167,+15.00
32,0,27064,Jhonattan Vegas,42' 5",150551,296,12545.917,+23.00
33,0,29926,Danny Lee,42' 6",132496,260,11041.333,+38.00
33,0,32839,Hideki Matsuyama,42' 6",111673,219,9306.083,+15.00
33,0,28237,Rory McIlroy,42' 6",64257,126,5354.750,+8.00
36,0,48081,Xander Schauffele,42' 8",140868,275,11739.000,+15.00
37,0,24507,Jason Bohn,42' 9",118970,232,9914.167,+38.00
37,0,26331,Charl Schwartzel,42' 9",102511,200,8542.583,+16.00
39,0,29420,Billy Horschel,42' 10",152753,297,12729.417,+47.00
39,0,23108,Matt Kuchar,42' 10",114577,223,9548.083,+32.00
39,0,25198,Francesco Molinari,42' 10",82773,161,6897.750,+29.00
39,0,24361,Pat Perez,42' 10",137771,268,11480.917,+26.00
43,0,23983,Luke Donald,42' 11",75195,146,6266.250,+18.00
43,0,20157,Retief Goosen,42' 11",84474,164,7039.500,+28.00
43,0,26596,Ryan Moore,42' 11",96306,187,8025.500,+37.00
43,0,46601,Trey Mullinax,42' 11",166779,324,13898.250,+27.00
47,0,20771,Steven Alker,43' 0",73263,142,6105.250,+18.00
47,0,36801,Mark Hubbard,43' 0",123220,239,10268.333,+38.00
47,0,22046,Geoff Ogilvy,43' 0",123277,239,10273.083,+21.00
50,0,49771,J.T. Poston,43' 1",154583,299,12881.917,+34.00
50,0,34358,Jonathan Randolph,43' 1",90933,176,7577.750,+32.00
52,0,32200,Roberto Castro,43' 2",84984,164,7082.000,+15.00
52,0,34466,Peter Malnati,43' 2",130087,251,10840.583,+30.00
