RANK,MOVEMENT,PLAYER_ID,PLAYER,% UNDER THEN OVER PAR,TOTAL UNDER THEN OVER PAR,UNDER PAR
1,0,26596,Ryan Moore,9.71,30,309
2,0,22405,Justin Rose,10.48,26,248
3,0,24361,Pat Perez,11.51,32,278
4,0,28307,Matt Every,11.63,35,301
5,0,33418,Shawn Stefani,11.68,23,197
6,0,34261,Scott Langley,12.10,38,314
7,0,10809,Jim Furyk,12.27,33,269
8,0,26758,David Hearn,12.42,40,322
9,0,33122,Russell Knox,12.75,39,306
10,0,30944,Jason Kokrak,12.82,30,234
11,0,32102,Rickie Fowler,12.85,41,319
12,0,12716,Charley Hoffman,12.86,45,350
13,0,21209,Sergio Garcia,12.90,28,217
13,0,01724,Jeff Maggert,12.90,20,155
15,0,24502,Adam Scott,13.01,35,269
16,0,24490,George McNeill,13.12,37,282
17,0,25345,Carl Pettersson,13.16,40,304
18,0,27436,Graham DeLaet,13.19,38,288
19,0,24924,Bill Haas,13.37,48,359
20,0,25804,Bubba Watson,13.40,39,291
21,0,23108,Matt Kuchar,13.46,44,327
22,0,28475,Jeff Overton,13.53,36,266
23,0,21961,Charles Howell III,13.60,51,375
24,0,28237,Rory McIlroy,13.62,38,279
25,0,31202,William McGirt,13.68,45,329
26,0,26851,Marc Leishman,13.82,38,275
27,0,33141,Keegan Bradley,13.89,45,324
27,0,27466,Spencer Levin,13.89,25,180
29,0,30927,Brendon Todd,13.93,51,366
30,0,33413,Ben Martin,13.97,38,272
31,0,12510,Chad Campbell,14.02,23,164
32,0,20229,Stewart Cink,14.04,41,292
32,0,35541,John Peterson,14.04,25,178
34,0,23800,Bryce Molder,14.10,33,234
34,0,31560,Brian Stuard,14.10,44,312
36,0,24024,Zach Johnson,14.11,46,326
37,0,24140,Sean O'Hair,14.16,33,233
38,0,22293,Heath Slocum,14.22,30,211
39,0,35300,Andrew Loupe,14.35,31,216
40,0,26331,Charl Schwartzel,14.40,35,243
40,0,25632,Jimmy Walker,14.40,55,382
42,0,29222,Billy Hurley III,14.56,38,261
43,0,27556,Ted Potter Jr.,14.57,29,199
44,0,23638,Brendon de Jonge,14.58,50,343
45,0,25191,Gonzalo Fernandez-Castaño,14.67,38,259
46,0,32366,Kevin Chappell,14.81,52,351
47,0,10860,Justin Leonard,14.86,33,222
48,0,23623,Bo Van Pelt,14.87,40,269
49,0,27963,Chris Stroud,14.94,49,328
50,0,29535,Brice Garnett,14.95,42,281
50,0,30926,Chris Kirk,14.95,55,368
50,0,29518,Brendan Steele,14.95,45,301
53,0,23353,J.J. Henry,14.96,38,254
54,0,22621,Ben Curtis,14.98,34,227
55,0,33419,Cameron Tringale,15.00,54,360
56,0,34046,Jordan Spieth,15.01,56,373
57,0,30925,Dustin Johnson,15.04,34,226
58,0,29420,Billy Horschel,15.06,47,312
59,0,21731,Freddie Jacobson,15.11,47,311
60,0,26289,Boo Weekley,15.20,31,204
61,0,34264,Hudson Swafford,15.22,35,230
62,0,20157,Retief Goosen,15.30,43,281
63,0,27644,Brian Harman,15.32,59,385
