RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,28475,Jeff Overton,58.84,173,294
2,0,26679,Kevin Stadler,57.40,291,507
3,0,20645,John Senden,57.11,265,464
4,0,20574,Mathew Goggin,56.69,250,441
5,0,24358,Robert Garrigus,56.55,354,626
6,0,12652,Cameron Beckman,56.39,234,415
7,0,28158,Steve Marino,56.15,315,561
8,0,23349,Charles Warren,55.98,262,468
9,0,27141,J.B. Holmes,55.64,222,399
10,0,23322,Brett Wetterich,55.58,284,511
11,0,23623,Bo Van Pelt,55.54,306,551
12,0,20691,Greg Owen,55.53,221,398
13,0,08793,Tiger Woods,55.46,188,339
14,0,27933,John Merrick,55.37,263,475
15,0,01035,Tommy Armour III,55.14,177,321
16,0,20850,Daniel Chopra,55.07,364,661
17,0,12714,Chris Tidland,54.95,161,293
18,0,01249,John Daly,54.77,264,482
18,0,22892,Jason Gore,54.77,241,440
20,0,12660,Jesper Parnevik,54.65,241,441
20,0,28486,Michael Putnam,54.65,282,516
22,0,27095,Nick Watney,54.43,258,474
23,0,02101,Joey Sindelar,54.42,197,362
24,0,20378,Mathias Grönberg,54.12,289,534
25,0,24924,Bill Haas,53.91,248,460
26,0,20472,Alex Cejka,53.89,187,347
27,0,11123,Chris Couch,53.80,248,461
28,0,21209,Sergio Garcia,53.71,217,404
29,0,01724,Jeff Maggert,53.56,203,379
30,0,01707,Steve Lowery,53.54,204,381
31,0,25892,Steve Wheatcroft,53.23,173,325
32,0,29476,Kyle Reifers,53.16,210,395
33,0,24140,Sean O'Hair,53.09,258,486
34,0,21633,Steve Allan,53.05,174,328
34,0,20104,Ken Duke,53.05,270,509
36,0,10885,Robert Allenby,52.97,259,489
37,0,12716,Charley Hoffman,52.92,308,582
37,0,26596,Ryan Moore,52.92,245,463
39,0,06567,Vijay Singh,52.83,299,566
40,0,07363,Craig Bowden,52.80,151,286
41,0,20105,Jeff Gove,52.74,260,493
42,0,01945,Kenny Perry,52.70,215,408
43,0,26881,Jarrod Lyle,52.63,210,399
44,0,08123,Jeff Brehaut,52.59,142,270
45,0,23788,D.J. Trahan,52.51,251,478
46,0,06621,Joe Durant,52.48,169,322
47,0,22293,Heath Slocum,52.39,197,376
48,0,24912,Will MacKenzie,52.36,277,529
49,0,25804,Bubba Watson,52.23,258,494
50,0,23621,Rory Sabbatini,52.20,237,454
51,0,24361,Pat Perez,52.18,227,435
52,0,20498,Briny Baird,52.01,272,523
53,0,24490,George McNeill,51.97,264,508
54,0,29718,Anthony Kim,51.87,263,507
55,0,01157,Tom Byrum,51.85,98,189
56,0,24507,Jason Bohn,51.81,143,276
57,0,02246,Duffy Waldorf,51.76,176,340
58,0,23933,Michael Boyd,51.71,106,205
59,0,21660,Jason Schultz,51.69,168,325
60,0,20160,Charlie Wi,51.46,211,410
61,0,07867,Woody Austin,51.44,250,486
62,0,27649,Brandt Snedeker,51.41,291,566
63,0,21731,Freddie Jacobson,51.40,184,358
64,0,21805,Harrison Frazar,51.39,278,541
65,0,21961,Charles Howell III,51.32,311,606
66,0,20229,Stewart Cink,51.30,276,538
67,0,01142,Bart Bryant,51.27,181,353
68,0,19824,Craig Barlow,51.24,145,283
69,0,01948,Tim Petrovic,51.19,301,588
70,0,25686,Jason Dufner,51.09,280,548
71,0,24980,Scott Gutschewski,51.03,198,388
72,0,26289,Boo Weekley,50.83,244,480
73,0,01766,Billy Mayfair,50.75,203,400
74,0,21959,Ted Purdy,50.72,248,489
75,0,06522,Ernie Els,50.71,178,351
76,0,23353,J.J. Henry,50.70,218,430
77,0,10809,Jim Furyk,50.68,150,296
78,0,10117,Bob Heintz,50.63,201,397
79,0,08375,Paul Stankowski,50.56,135,267
80,0,12705,Cliff Kresge,50.52,293,580
81,0,23497,Tag Ridings,50.50,151,299
81,0,22405,Justin Rose,50.50,151,299
83,0,11032,Frank Lickliter II,50.44,230,456
83,0,22046,Geoff Ogilvy,50.44,227,450
85,0,25900,Lucas Glover,50.41,246,488
86,0,19803,Ryan Armour,50.35,215,427
87,0,23613,Rich Barcelo,50.33,230,457
88,0,07457,Steve Flesch,50.29,256,509
89,0,20766,Padraig Harrington,50.27,186,370
90,0,20382,Stephen Leaney,50.26,196,390
91,0,06034,Marco Dawson,50.25,200,398
91,0,06515,Shaun Micheel,50.25,200,398
93,0,24925,Jonathan Byrd,50.24,206,410
94,0,21753,Brian Davis,50.13,199,397
95,0,20572,Rod Pampling,50.11,233,465
95,0,06595,Kevin Sutherland,50.11,234,467
97,0,25345,Carl Pettersson,50.00,314,628
98,0,27770,Camilo Villegas,49.89,226,453
99,0,20628,Arron Oberholser,49.86,182,365
100,0,21806,Paul Gow,49.69,158,318
100,0,27120,Troy Matteson,49.69,242,487
102,0,21528,Henrik Stenson,49.64,138,278
103,0,21646,David Branshaw,49.49,196,396
104,0,01388,Robert Gamez,49.44,178,360
105,0,27702,Matt Hendrix,49.37,157,318
106,0,01677,Tom Lehman,49.36,154,312
107,0,12195,Tom Johnson,49.30,175,355
107,0,24457,Jaco Van Zyl,49.30,106,215
109,0,06004,Stephen Ames,49.29,173,351
110,0,24449,Parker McLachlin,49.26,234,475
111,0,24290,D.J. Brigman,49.25,164,333
112,0,23718,Nathan Green,49.24,259,526
113,0,22212,Craig Lile,49.22,190,386
114,0,01161,Mark Calcavecchia,49.20,214,435
115,0,08537,J.P. Hayes,49.17,236,480
116,0,10213,Dicky Pride,49.14,172,350
117,0,01810,Phil Mickelson,49.07,210,428
118,0,23638,Brendon de Jonge,49.02,201,410
119,0,26360,Bubba Dickerson,49.00,123,251
120,0,10425,Jay Williamson,48.96,94,192
121,0,02214,Kirk Triplett,48.74,155,318
122,0,19972,José Coceres,48.73,77,158
123,0,24502,Adam Scott,48.72,191,392
