RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,20105,Jeff Gove,81.97,773,943
2,0,20229,Stewart Cink,81.09,566,698
3,0,24502,Adam Scott,80.99,460,568
4,0,08793,Tiger Woods,80.79,408,505
5,0,10885,Robert Allenby,80.13,609,760
6,0,20498,Briny Baird,80.02,821,1026
7,0,24357,K.J. Choi,79.79,616,772
8,0,20382,Stephen Leaney,79.63,598,751
9,0,12652,Cameron Beckman,79.54,692,870
10,0,01810,Phil Mickelson,79.33,449,566
11,0,26951,Johnson Wagner,79.29,689,869
12,0,25804,Bubba Watson,79.19,491,620
13,0,01677,Tom Lehman,78.92,438,555
14,0,27933,John Merrick,78.84,596,756
15,0,10733,Kent Jones,78.64,729,927
16,0,06527,Steve Stricker,78.60,562,715
17,0,27770,Camilo Villegas,78.57,539,686
18,0,01024,Billy Andrade,78.46,572,729
19,0,06595,Kevin Sutherland,78.44,564,719
20,0,28486,Michael Putnam,78.40,606,773
21,0,20472,Alex Cejka,78.24,579,740
22,0,24781,Hunter Mahan,78.09,677,867
23,0,19824,Craig Barlow,78.05,345,442
24,0,27095,Nick Watney,78.03,579,742
25,0,12782,Tim Herron,78.02,632,810
26,0,23788,D.J. Trahan,77.94,703,902
27,0,20691,Greg Owen,77.89,553,710
28,0,21961,Charles Howell III,77.82,463,595
29,0,20574,Mathew Goggin,77.80,708,910
30,0,21959,Ted Purdy,77.75,685,881
31,0,10809,Jim Furyk,77.65,667,859
32,0,24290,D.J. Brigman,77.55,425,548
33,0,23108,Matt Kuchar,77.53,583,752
34,0,01035,Tommy Armour III,77.48,585,755
34,0,07457,Steve Flesch,77.48,688,888
36,0,25900,Lucas Glover,77.43,676,873
37,0,06567,Vijay Singh,77.42,648,837
38,0,07749,Brett Quigley,77.41,473,611
39,0,24912,Will MacKenzie,77.39,671,867
40,0,24361,Pat Perez,77.34,529,684
41,0,23322,Brett Wetterich,77.32,549,710
42,0,10860,Justin Leonard,77.28,721,933
43,0,22378,Trevor Immelman,77.26,479,620
43,0,20645,John Senden,77.26,693,897
45,0,24358,Robert Garrigus,77.21,542,702
46,0,06197,Michael Allen,77.19,484,627
47,0,26420,Richard Johnson,77.11,640,830
48,0,21805,Harrison Frazar,77.07,511,663
49,0,27963,Chris Stroud,77.05,460,597
50,0,23353,J.J. Henry,76.93,587,763
51,0,02104,Jeff Sluman,76.79,354,461
51,0,02223,Bob Tway,76.79,642,836
53,0,25686,Jason Dufner,76.77,651,848
54,0,12510,Chad Campbell,76.67,608,793
55,0,01945,Kenny Perry,76.64,571,745
56,0,24924,Bill Haas,76.57,598,781
56,0,29476,Kyle Reifers,76.57,438,572
