RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF PUTTS,# OF HOLES
1,0,35891,Cameron Smith,1.542,2276,1476
2,0,34360,Patrick Reed,1.545,2169,1404
3,0,24138,Ian Poulter,1.548,2006,1296
4,0,25396,Kevin Na,1.550,2428,1566
5,0,34046,Jordan Spieth,1.558,2468,1584
6,0,27644,Brian Harman,1.564,2816,1800
7,0,33597,Harry Higgs,1.566,2255,1440
8,0,35532,Tom Hoge,1.567,2707,1728
8,0,32757,Patton Kizzire,1.567,2877,1836
10,0,31420,Anirban Lahiri,1.569,1921,1224
10,0,34466,Peter Malnati,1.569,2260,1440
12,0,23325,Vaughn Taylor,1.570,2204,1404
13,0,22371,Aaron Baddeley,1.571,1527,972
14,0,34099,Harris English,1.572,2603,1656
14,0,27349,Alex Noren,1.572,2320,1476
16,0,34363,Tyrrell Hatton,1.573,1586,1008
17,0,39977,Max Homa,1.578,2442,1548
17,0,33419,Cameron Tringale,1.578,2613,1656
19,0,29725,Tony Finau,1.581,2562,1620
19,0,28237,Rory McIlroy,1.581,2106,1332
19,0,46442,Maverick McNealy,1.581,2220,1404
19,0,46441,Robby Shelton,1.581,2276,1440
23,0,29221,Webb Simpson,1.582,2107,1332
23,0,33448,Justin Thomas,1.582,2392,1512
23,0,35617,Martin Trainer,1.582,1680,1062
26,0,30925,Dustin Johnson,1.583,2052,1296
27,0,47504,Sam Burns,1.584,2395,1512
27,0,45157,Cam Davis,1.584,2680,1692
27,0,23320,Ryan Palmer,1.584,2110,1332
30,0,32618,Rhein Gibson,1.585,1598,1008
30,0,30927,Brendon Todd,1.585,2454,1548
30,0,25632,Jimmy Walker,1.585,2111,1332
33,0,45526,Abraham Ancer,1.586,2797,1764
33,0,19846,Brian Gay,1.586,1998,1260
33,0,27942,Rob Oppenheim,1.586,2112,1332
33,0,32139,Danny Willett,1.586,1342,846
37,0,33399,Adam Hadwin,1.588,2515,1584
37,0,46717,Viktor Hovland,1.588,2372,1494
37,0,27649,Brandt Snedeker,1.588,2401,1512
40,0,29974,Branden Grace,1.590,2318,1458
41,0,51766,Wyndham Clark,1.591,2234,1404
41,0,47959,Bryson DeChambeau,1.591,2291,1440
43,0,35506,Mackenzie Hughes,1.592,2579,1620
43,0,32791,K.H. Lee,1.592,3038,1908
43,0,26329,Louis Oosthuizen,1.592,2121,1332
43,0,28252,Seamus Power,1.592,1662,1044
43,0,46046,Scottie Scheffler,1.592,2808,1764
48,0,46402,Talor Gooch,1.593,2580,1620
48,0,34431,Robert Streb,1.593,2352,1476
50,0,12716,Charley Hoffman,1.594,2840,1782
50,0,47993,Denny McCarthy,1.594,2697,1692
50,0,48081,Xander Schauffele,1.594,2181,1368
53,0,35310,Lanto Griffin,1.595,2584,1620
53,0,37455,Si Woo Kim,1.595,2699,1692
53,0,35449,Adam Long,1.595,2412,1512
53,0,24781,Hunter Mahan,1.595,1636,1026
53,0,51894,Vince Whaley,1.595,2297,1440
58,0,25493,Nick Taylor,1.596,2586,1620
59,0,34076,Joel Dahmen,1.597,2357,1476
59,0,27141,J.B. Holmes,1.597,1380,864
59,0,36801,Mark Hubbard,1.597,2760,1728
59,0,39971,Sungjae Im,1.597,3507,2196
59,0,30926,Chris Kirk,1.597,2472,1548
59,0,32839,Hideki Matsuyama,1.597,2673,1674
59,0,33667,Carlos Ortiz,1.597,2645,1656
59,0,49771,J.T. Poston,1.597,2414,1512
59,0,40006,Erik van Rooyen,1.597,2099,1314
68,0,35450,Patrick Cantlay,1.598,2243,1404
68,0,40098,Matt Fitzpatrick,1.598,1898,1188
68,0,26300,Matt Jones,1.598,2934,1836
71,0,29479,Scott Brown,1.599,2303,1440
71,0,34314,Sebastian Cappelen,1.599,1554,972
71,0,26758,David Hearn,1.599,1842,1152
71,0,36689,Brooks Koepka,1.599,1900,1188
71,0,27556,Ted Potter Jr.,1.599,1957,1224
76,0,34563,Chesson Hadley,1.600,2073,1296
76,0,29478,Kevin Kisner,1.600,2247,1404
76,0,24361,Pat Perez,1.600,2764,1728
76,0,31560,Brian Stuard,1.600,2996,1872
76,0,48119,Ben Taylor,1.600,1440,900
81,0,39546,Keith Mitchell,1.601,2420,1512
81,0,25818,Scott Piercy,1.601,2276,1422
81,0,47128,Richy Werenski,1.601,2479,1548
84,0,32102,Rickie Fowler,1.602,2249,1404
84,0,48822,Sebastián Muñoz,1.602,2942,1836
86,0,28679,Fabián Gómez,1.603,1558,972
86,0,29420,Billy Horschel,1.603,2482,1548
86,0,35461,Beau Hossler,1.603,2539,1584
86,0,22405,Justin Rose,1.603,1558,972
90,0,40026,Daniel Berger,1.604,2426,1512
90,0,32640,Troy Merritt,1.604,2829,1764
90,0,23621,Rory Sabbatini,1.604,2166,1350
90,0,32254,Xinjun Zhang,1.604,1963,1224
94,0,46435,Austin Cook,1.605,2080,1296
94,0,23108,Matt Kuchar,1.605,1907,1188
96,0,49960,Sepp Straka,1.606,2776,1728
96,0,35658,Kris Ventura,1.606,2023,1260
98,0,19803,Ryan Armour,1.607,2256,1404
98,0,27554,Scott Harrington,1.607,2285,1422
98,0,45486,Joaquin Niemann,1.607,2950,1836
98,0,32150,Michael Thompson,1.607,2140,1332
102,0,24502,Adam Scott,1.608,2084,1296
103,0,24924,Bill Haas,1.609,1274,792
103,0,27770,Camilo Villegas,1.609,2230,1386
105,0,29535,Brice Garnett,1.610,2666,1656
105,0,46550,Brandon Hagy,1.610,2144,1332
105,0,24024,Zach Johnson,1.610,2435,1512
105,0,34256,Andrew Putnam,1.610,2580,1602
105,0,46970,Jon Rahm,1.610,2231,1386
105,0,53165,Doc Redman,1.610,2203,1368
105,0,48887,Matt Wallace,1.610,1536,954
112,0,33948,Byeong Hun An,1.611,2436,1512
112,0,52375,Doug Ghim,1.611,2494,1548
112,0,33410,Andrew Landry,1.611,1914,1188
112,0,50525,Collin Morikawa,1.611,2262,1404
112,0,31323,Gary Woodland,1.611,2030,1260
117,0,30944,Jason Kokrak,1.612,2554,1584
118,0,24357,K.J. Choi,1.613,1510,936
118,0,32816,Satoshi Kodaira,1.613,2207,1368
118,0,27330,Josh Teater,1.613,1394,864
121,0,32448,James Hahn,1.614,2034,1260
122,0,29518,Brendan Steele,1.615,2210,1368
123,0,49766,Hank Lebioda,1.616,2094,1296
123,0,26851,Marc Leishman,1.616,2211,1368
123,0,56278,Matthew Wolff,1.616,1600,990
126,0,33120,Mark Anderson,1.617,1630,1008
126,0,25900,Lucas Glover,1.617,2794,1728
126,0,47347,Adam Schenk,1.617,2969,1836
129,0,28775,Nate Lashley,1.618,2214,1368
129,0,39953,Chase Seiffert,1.618,2272,1404
129,0,27214,Kevin Streelman,1.618,2796,1728
132,0,32070,Rafael Campos,1.619,1748,1080
132,0,35230,Nelson Ledesma,1.619,1399,864
134,0,26499,Rafa Cabrera Bello,1.620,2158,1332
134,0,34098,Russell Henley,1.620,2449,1512
134,0,33413,Ben Martin,1.620,1458,900
137,0,28089,Jason Day,1.621,1896,1170
137,0,20396,Lee Westwood,1.621,1809,1116
139,0,29908,C.T. Pan,1.622,2335,1440
140,0,20229,Stewart Cink,1.623,2630,1620
140,0,37275,Sam Ryder,1.623,2513,1548
140,0,26331,Charl Schwartzel,1.623,2513,1548
143,0,29970,Dylan Frittelli,1.624,2105,1296
143,0,34174,John Huh,1.624,1695,1044
143,0,01810,Phil Mickelson,1.624,2163,1332
146,0,25364,Paul Casey,1.625,2106,1296
146,0,21961,Charles Howell III,1.625,2048,1260
146,0,32333,Kevin Tway,1.625,1814,1116
146,0,37189,Harold Varner III,1.625,2632,1620
150,0,39997,Corey Conners,1.626,3044,1872
150,0,25686,Jason Dufner,1.626,2517,1548
150,0,30911,Tommy Fleetwood,1.626,1756,1080
150,0,33486,Roger Sloan,1.626,2400,1476
150,0,30692,Scott Stallings,1.626,2224,1368
