RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,35891,Cameron Smith,37.47,362,966
2,0,47959,Bryson DeChambeau,37.27,360,966
3,0,28237,Rory McIlroy,37.10,325,876
4,0,34046,Jordan Spieth,36.06,366,1015
5,0,33448,Justin Thomas,36.00,369,1025
6,0,34099,Harris English,35.64,386,1083
7,0,47504,Sam Burns,35.59,363,1020
8,0,34360,Patrick Reed,35.56,309,869
9,0,45157,Cam Davis,35.36,389,1100
10,0,33597,Harry Higgs,35.27,322,913
11,0,30925,Dustin Johnson,35.23,304,863
12,0,46046,Scottie Scheffler,35.09,420,1197
13,0,46970,Jon Rahm,35.04,349,996
13,0,48081,Xander Schauffele,35.04,328,936
15,0,36689,Brooks Koepka,34.86,281,806
16,0,23320,Ryan Palmer,34.37,299,870
17,0,29221,Webb Simpson,34.27,316,922
18,0,32757,Patton Kizzire,34.11,422,1237
19,0,31420,Anirban Lahiri,34.05,269,790
20,0,24502,Adam Scott,34.00,288,847
21,0,12716,Charley Hoffman,33.97,410,1207
22,0,30944,Jason Kokrak,33.91,371,1094
23,0,35532,Tom Hoge,33.70,364,1080
24,0,46717,Viktor Hovland,33.69,344,1021
25,0,39977,Max Homa,33.60,331,985
26,0,48822,Sebastián Muñoz,33.50,409,1221
27,0,29725,Tony Finau,33.30,360,1081
28,0,35450,Patrick Cantlay,33.10,325,982
29,0,45486,Joaquin Niemann,33.04,415,1256
30,0,34363,Tyrrell Hatton,33.02,211,639
31,0,34466,Peter Malnati,33.00,298,903
32,0,23621,Rory Sabbatini,32.99,288,873
33,0,32839,Hideki Matsuyama,32.89,368,1119
34,0,45526,Abraham Ancer,32.87,401,1220
35,0,40026,Daniel Berger,32.86,350,1065
36,0,33419,Cameron Tringale,32.83,367,1118
37,0,22405,Justin Rose,32.81,210,640
38,0,56278,Matthew Wolff,32.76,210,641
39,0,40006,Erik van Rooyen,32.70,276,844
40,0,27644,Brian Harman,32.67,377,1154
40,0,49960,Sepp Straka,32.67,376,1151
42,0,50525,Collin Morikawa,32.66,324,992
43,0,25396,Kevin Na,32.63,327,1002
44,0,39971,Sungjae Im,32.54,493,1515
45,0,40098,Matt Fitzpatrick,32.50,248,763
46,0,52372,Cameron Champ,32.43,287,885
47,0,27064,Jhonattan Vegas,32.32,352,1089
48,0,49771,J.T. Poston,32.27,303,939
49,0,32070,Rafael Campos,32.22,221,686
50,0,37455,Si Woo Kim,32.16,357,1110
51,0,34076,Joel Dahmen,32.12,309,962
51,0,27141,J.B. Holmes,32.12,167,520
53,0,27349,Alex Noren,32.08,299,932
53,0,27942,Rob Oppenheim,32.08,272,848
55,0,39546,Keith Mitchell,32.07,313,976
55,0,33667,Carlos Ortiz,32.07,354,1104
57,0,32139,Danny Willett,32.03,164,512
58,0,01810,Phil Mickelson,31.98,268,838
59,0,27129,Luke List,31.96,350,1095
60,0,49964,Aaron Wise,31.95,323,1011
61,0,27556,Ted Potter Jr.,31.93,243,761
61,0,24138,Ian Poulter,31.93,251,786
63,0,31323,Gary Woodland,31.86,252,791
64,0,39997,Corey Conners,31.83,415,1304
65,0,26329,Louis Oosthuizen,31.81,286,899
66,0,56762,Will Gordon,31.73,337,1062
67,0,52375,Doug Ghim,31.72,341,1075
67,0,46442,Maverick McNealy,31.72,295,930
69,0,27649,Brandt Snedeker,31.64,306,967
70,0,28252,Seamus Power,31.59,224,709
71,0,29479,Scott Brown,31.51,293,930
72,0,34264,Hudson Swafford,31.46,314,998
73,0,34563,Chesson Hadley,31.34,262,836
74,0,21209,Sergio Garcia,31.32,290,926
75,0,31646,Emiliano Grillo,31.31,386,1233
76,0,29974,Branden Grace,31.27,293,937
77,0,32448,James Hahn,31.21,270,865
78,0,27214,Kevin Streelman,31.18,372,1193
79,0,25493,Nick Taylor,31.16,330,1059
80,0,24361,Pat Perez,31.12,356,1144
81,0,29478,Kevin Kisner,31.10,283,910
82,0,25364,Paul Casey,31.09,277,891
83,0,24781,Hunter Mahan,31.01,182,587
84,0,46402,Talor Gooch,30.98,329,1062
85,0,35461,Beau Hossler,30.95,320,1034
86,0,35310,Lanto Griffin,30.93,326,1054
87,0,25900,Lucas Glover,30.90,356,1152
87,0,27330,Josh Teater,30.90,178,576
89,0,25818,Scott Piercy,30.89,287,929
90,0,35658,Kris Ventura,30.85,240,778
91,0,32102,Rickie Fowler,30.80,276,896
92,0,46550,Brandon Hagy,30.79,258,838
93,0,19803,Ryan Armour,30.74,288,937
93,0,47347,Adam Schenk,30.74,380,1236
95,0,51766,Wyndham Clark,30.67,272,887
96,0,32791,K.H. Lee,30.66,374,1220
97,0,20229,Stewart Cink,30.63,344,1123
98,0,33204,Shane Lowry,30.62,286,934
99,0,32816,Satoshi Kodaira,30.60,272,889
99,0,30927,Brendon Todd,30.60,306,1000
101,0,36699,Patrick Rodgers,30.54,375,1228
102,0,26300,Matt Jones,30.53,367,1202
103,0,29420,Billy Horschel,30.51,313,1026
104,0,35506,Mackenzie Hughes,30.49,318,1043
105,0,34314,Sebastian Cappelen,30.46,180,591
106,0,35449,Adam Long,30.42,289,950
107,0,33410,Andrew Landry,30.37,229,754
108,0,35230,Nelson Ledesma,30.32,171,564
109,0,27770,Camilo Villegas,30.29,275,908
110,0,49766,Hank Lebioda,30.24,270,893
111,0,37189,Harold Varner III,30.08,330,1097
112,0,29926,Danny Lee,30.07,206,685
112,0,26851,Marc Leishman,30.07,270,898
112,0,26331,Charl Schwartzel,30.07,310,1031
112,0,31560,Brian Stuard,30.07,375,1247
116,0,33399,Adam Hadwin,30.06,297,988
117,0,22371,Aaron Baddeley,30.05,186,619
117,0,36801,Mark Hubbard,30.05,336,1118
119,0,48887,Matt Wallace,30.00,183,610
120,0,47483,Will Zalatoris,29.98,325,1084
121,0,33486,Roger Sloan,29.94,303,1012
122,0,47993,Denny McCarthy,29.91,323,1080
123,0,32618,Rhein Gibson,29.84,188,630
123,0,40042,Tyler McCumber,29.84,236,791
125,0,23108,Matt Kuchar,29.81,231,775
125,0,46441,Robby Shelton,29.81,262,879
127,0,51894,Vince Whaley,29.76,278,934
128,0,47128,Richy Werenski,29.75,293,985
129,0,32333,Kevin Tway,29.62,221,746
130,0,30911,Tommy Fleetwood,29.58,205,693
131,0,24024,Zach Johnson,29.50,298,1010
132,0,37275,Sam Ryder,29.40,309,1051
133,0,34256,Andrew Putnam,29.36,310,1056
134,0,33141,Keegan Bradley,29.31,316,1078
135,0,34098,Russell Henley,29.29,307,1048
136,0,39953,Chase Seiffert,29.27,274,936
137,0,30926,Chris Kirk,29.19,308,1055
138,0,29518,Brendan Steele,29.10,259,890
139,0,20396,Lee Westwood,29.09,210,722
140,0,32640,Troy Merritt,29.04,329,1133
141,0,33413,Ben Martin,28.93,173,598
142,0,34255,Joseph Bramlett,28.90,278,962
143,0,28089,Jason Day,28.88,225,779
144,0,23623,Bo Van Pelt,28.86,243,842
145,0,29535,Brice Garnett,28.84,325,1127
145,0,34431,Robert Streb,28.84,274,950
145,0,35617,Martin Trainer,28.84,169,586
148,0,36871,Matthew NeSmith,28.83,324,1124
149,0,33948,Byeong Hun An,28.75,274,953
150,0,32150,Michael Thompson,28.74,250,870
151,0,28420,Ryan Brehm,28.69,202,704
152,0,23325,Vaughn Taylor,28.68,259,903
153,0,25804,Bubba Watson,28.67,242,844
154,0,49298,Kramer Hickok,28.62,241,842
154,0,48119,Ben Taylor,28.62,170,594
156,0,31557,Jim Herman,28.61,226,790
157,0,27554,Scott Harrington,28.59,253,885
157,0,27936,Martin Laird,28.59,285,997
159,0,34213,Grayson Murray,28.52,156,547
160,0,19846,Brian Gay,28.48,217,762
160,0,32662,Michael Gligic,28.48,272,955
162,0,25632,Jimmy Walker,28.42,218,767
163,0,26758,David Hearn,28.33,215,759
163,0,32254,Xinjun Zhang,28.33,215,759
165,0,24924,Bill Haas,28.32,147,519
166,0,29970,Dylan Frittelli,28.31,235,830
167,0,26499,Rafa Cabrera Bello,28.28,235,831
168,0,29908,C.T. Pan,28.25,267,945
169,0,27974,Sung Kang,28.23,271,960
170,0,30692,Scott Stallings,28.22,263,932
171,0,34174,John Huh,28.13,191,679
172,0,33122,Russell Knox,28.09,327,1164
173,0,25686,Jason Dufner,28.01,286,1021
174,0,29268,Bronson Burgoon,27.91,247,885
175,0,46435,Austin Cook,27.90,233,835
176,0,28775,Nate Lashley,27.85,249,894
177,0,22056,Cameron Percy,27.84,279,1002
178,0,23788,D.J. Trahan,27.80,216,777
179,0,53165,Doc Redman,27.78,250,900
180,0,33120,Mark Anderson,27.66,190,687
181,0,45609,Tyler Duncan,27.62,287,1039
182,0,33490,Bo Hoag,27.53,299,1086
183,0,35104,Tom Lewis,27.36,258,943
184,0,39324,J.J. Spaun,27.26,238,873
185,0,28679,Fabián Gómez,27.15,164,604
186,0,39975,Michael Kim,27.02,204,755
187,0,26476,Chez Reavie,26.88,272,1012
188,0,21961,Charles Howell III,26.80,227,847
189,0,24140,Sean O'Hair,26.76,167,624
190,0,24357,K.J. Choi,26.75,157,587
191,0,30110,Kyle Stanley,26.26,296,1127
192,0,30163,Henrik Norlander,26.20,273,1042
193,0,48045,Michael Gellerman,25.96,155,597
194,0,23983,Luke Donald,25.19,170,675
195,0,33404,Chris Baker,24.92,159,638
196,0,27095,Nick Watney,24.37,154,632
