RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,34046,Jordan Spieth,37' 11",92836,204,7736.333,+6.00
2,0,32102,Rickie Fowler,38' 10",100630,216,8385.833,+22.00
2,0,25818,Scott Piercy,38' 10",114531,246,9544.250,+18.00
4,0,28780,Nicholas Thompson,38' 11",138739,297,11561.583,+29.00
5,0,23452,Nicolas Colsaerts,39' 1",75498,161,6291.500,+25.00
6,0,32200,Roberto Castro,39' 6",112742,238,9395.167,+29.00
7,0,26679,Kevin Stadler,39' 7",114859,242,9571.583,+12.00
8,0,01810,Phil Mickelson,39' 8",113736,239,9478.000,+10.00
9,0,28307,Matt Every,39' 9",145360,305,12113.333,+26.00
9,0,24138,Ian Poulter,39' 9",56312,118,4692.667,+10.00
11,0,06567,Vijay Singh,39' 10",86119,180,7176.583,+35.00
11,0,27214,Kevin Streelman,39' 10",102868,215,8572.333,+15.00
13,0,23135,Tim Clark,39' 11",61308,128,5109.000,+18.00
13,0,28500,Martin Flores,39' 11",155613,325,12967.750,+18.00
13,0,25345,Carl Pettersson,39' 11",105749,221,8812.417,+36.00
13,0,23621,Rory Sabbatini,39' 11",137980,288,11498.333,+30.00
13,0,29221,Webb Simpson,39' 11",113077,236,9423.083,+5.00
18,0,27770,Camilo Villegas,40' 1",116988,243,9749.000,+35.00
19,0,25804,Bubba Watson,40' 2",108865,226,9072.083,+6.00
20,0,21099,David Lynn,40' 5",107760,222,8980.000,+35.00
21,0,35539,Luke Guthrie,40' 6",121519,250,10126.583,+28.00
21,0,21731,Freddie Jacobson,40' 6",90416,186,7534.667,+3.00
21,0,34409,David Lingmerth,40' 6",99241,204,8270.083,+21.00
24,0,21209,Sergio Garcia,40' 7",83821,172,6985.083,-6.00
24,0,27649,Brandt Snedeker,40' 7",95544,196,7962.000,+17.00
24,0,27095,Nick Watney,40' 7",114553,235,9546.083,+43.00
27,0,23623,Bo Van Pelt,40' 9",72906,149,6075.500,+15.00
28,0,20229,Stewart Cink,40' 11",104999,214,8749.917,+24.00
29,0,27129,Luke List,41' 0",131259,267,10938.250,+11.00
29,0,23788,D.J. Trahan,41' 0",70843,144,5903.583,+20.00
29,0,25632,Jimmy Walker,41' 0",149619,304,12468.250,-1.00
32,0,27644,Brian Harman,41' 1",149372,303,12447.667,+53.00
32,0,27120,Troy Matteson,41' 1",105966,215,8830.500,+20.00
32,0,24502,Adam Scott,41' 1",73906,150,6158.833,+4.00
32,0,25834,Daniel Summerhays,41' 1",140416,285,11701.333,+27.00
36,0,25686,Jason Dufner,41' 3",107847,218,8987.250,+16.00
36,0,21961,Charles Howell III,41' 3",159959,323,13329.917,+4.00
36,0,30944,Jason Kokrak,41' 3",145523,294,12126.917,+24.00
36,0,22405,Justin Rose,41' 3",74279,150,6189.917,+3.00
40,0,25240,D.A. Points,41' 4",108718,219,9059.833,+15.00
41,0,24358,Robert Garrigus,41' 6",104996,211,8749.667,+9.00
42,0,28259,Sangmoon Bae,41' 7",147687,296,12307.250,+34.00
42,0,33418,Shawn Stefani,41' 7",103245,207,8603.750,+13.00
44,0,30925,Dustin Johnson,41' 8",119984,240,9998.667,+11.00
45,0,25336,Alistair Presnell,41' 9",92255,184,7687.917,+38.00
45,0,34360,Patrick Reed,41' 9",156801,313,13066.750,+13.00
47,0,30750,Tommy Gainey,41' 10",157706,314,13142.167,+49.00
47,0,20766,Padraig Harrington,41' 10",62738,125,5228.167,+21.00
49,0,31557,Jim Herman,41' 11",86973,173,7247.750,+17.00
49,0,12716,Charley Hoffman,41' 11",120819,240,10068.250,+9.00
49,0,27408,Martin Kaymer,41' 11",66880,133,5573.333,+12.00
49,0,08075,Jerry Kelly,41' 11",95597,190,7966.417,+22.00
49,0,28237,Rory McIlroy,41' 11",72977,145,6081.417,+4.00
49,0,22056,Cameron Percy,41' 11",109198,217,9099.833,+17.00
55,0,24846,Ricky Barnes,42' 0",122855,244,10237.917,+33.00
55,0,29740,Brad Fritsch,42' 0",135129,268,11260.750,+47.00
55,0,33461,Morgan Hoffmann,42' 0",111857,222,9321.417,+20.00
58,0,33141,Keegan Bradley,42' 2",126614,250,10551.167,+22.00
59,0,25572,Graeme McDowell,42' 3",48137,95,4011.417,+13.00
59,0,26289,Boo Weekley,42' 3",126855,250,10571.250,+43.00
61,0,24924,Bill Haas,42' 5",127658,251,10638.167,+6.00
62,0,20593,Greg Chalmers,42' 6",120245,236,10020.417,+35.00
62,0,28455,Will Claxton,42' 6",108684,213,9057.000,+49.00
62,0,28089,Jason Day,42' 6",117715,231,9809.583,+8.00
62,0,24361,Pat Perez,42' 6",111678,219,9306.500,+24.00
66,0,24399,Scott Gardiner,42' 7",112528,220,9377.333,+29.00
66,0,27936,Martin Laird,42' 7",90523,177,7543.583,+23.00
68,0,06522,Ernie Els,42' 8",81480,159,6790.000,+6.00
68,0,28679,Fabián Gómez,42' 8",100775,197,8397.917,+28.00
68,0,30110,Kyle Stanley,42' 8",111017,217,9251.417,+30.00
71,0,20098,Stuart Appleby,42' 9",128283,250,10690.250,+32.00
71,0,23638,Brendon de Jonge,42' 9",150819,294,12568.250,+32.00
71,0,20104,Ken Duke,42' 9",118931,232,9910.917,+55.00
71,0,22961,David Mathis,42' 9",116975,228,9747.917,+49.00
71,0,21878,Mark Wilson,42' 9",67196,131,5599.667,+9.00
71,0,31323,Gary Woodland,42' 9",161990,316,13499.167,+26.00
77,0,01724,Jeff Maggert,42' 10",93073,181,7756.083,+31.00
77,0,32150,Michael Thompson,42' 10",95096,185,7924.667,+39.00
79,0,21753,Brian Davis,42' 11",121643,236,10136.917,+35.00
79,0,27436,Graham DeLaet,42' 11",124109,241,10342.417,+13.00
79,0,24781,Hunter Mahan,42' 11",113274,220,9439.500,+24.00
79,0,20572,Rod Pampling,42' 11",66983,130,5581.917,+26.00
79,0,20443,Jin Park,42' 11",72101,140,6008.417,+20.00
84,0,24494,Erik Compton,43' 0",130048,252,10837.333,+36.00
84,0,28092,D.H. Lee,43' 0",94371,183,7864.250,+18.00
84,0,20396,Lee Westwood,43' 0",80477,156,6706.417,+13.00
87,0,20848,Ángel Cabrera,43' 1",124167,240,10347.250,+28.00
87,0,01320,Bob Estes,43' 1",101836,197,8486.333,+32.00
87,0,19846,Brian Gay,43' 1",110675,214,9222.917,+28.00
87,0,35139,Richard Lee,43' 1",110730,214,9227.500,+23.00
87,0,22046,Geoff Ogilvy,43' 1",80618,156,6718.167,+20.00
87,0,28475,Jeff Overton,43' 1",157654,305,13137.833,+33.00
87,0,10213,Dicky Pride,43' 1",103404,200,8617.000,+29.00
94,0,24357,K.J. Choi,43' 3",91923,177,7660.250,+9.00
94,0,23108,Matt Kuchar,43' 3",136531,263,11377.583,+20.00
94,0,29289,S.Y. Noh,43' 3",148562,286,12380.167,+33.00
94,0,30692,Scott Stallings,43' 3",119284,230,9940.333,+36.00
98,0,27330,Josh Teater,43' 4",112782,217,9398.500,+12.00
99,0,32448,James Hahn,43' 5",130827,251,10902.250,+33.00
99,0,22792,Peter Hanson,43' 5",80183,154,6681.917,+13.00
101,0,25274,Steven Bowditch,43' 6",118408,227,9867.333,+33.00
101,0,01116,Michael Bradley,43' 6",89305,171,7442.083,+30.00
