RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,0,21528,Henrik Stenson,$2550185,2697810
2,0,20396,Lee Westwood,$1085414,1379964
3,0,28237,Rory McIlroy,$849719,1239111
4,0,25572,Graeme McDowell,$645516,780141
5,0,32102,Rickie Fowler,$571090,571090
6,0,27896,Ross Fisher,$544547,1142547
7,0,27408,Martin Kaymer,$454657,656407
8,0,29461,Jamie Lovemark,$453872,453872
9,0,23624,Soren Hansen,$432644,617536
10,0,22000,Chris Wood,$428442,428442
11,0,20686,Jeev Milkha Singh,$378686,824436
12,0,20218,Shingo Katayama,$360000,544500
13,0,29926,Danny Lee,$359846,406346
14,0,25198,Francesco Molinari,$304368,304368
15,0,22986,Søren Kjeldsen,$280919,557669
16,0,27506,Oliver Wilson,$229273,756773
17,0,32366,Kevin Chappell,$197488,197488
18,0,22792,Peter Hanson,$159459,357959
19,0,19958,Miguel Angel Jiménez,$148099,493682
20,0,24461,Thomas Aiken,$147172,339672
21,0,20121,Todd Fischer,$136701,136701
22,0,30110,Kyle Stanley,$132039,132039
23,0,19970,Robert Karlsson,$130237,243737
24,0,27124,Chris Baryla,$123038,123038
25,0,24511,Thongchai Jaidee,$114601,157351
26,0,12662,Thomas Levet,$80755,80755
27,0,26331,Charl Schwartzel,$76741,171741
28,0,27088,Johan Edfors,$74336,74336
29,0,21207,José Manuel Lara,$72000,72000
30,0,22951,Azuma Yano,$71485,107485
31,0,25191,Gonzalo Fernandez-Castaño,$70617,108867
32,0,24459,Richard Sterne,$66518,185268
33,0,27072,Alvaro Quiros,$65579,298846
34,0,29419,Tadd Fujikawa,$61892,61892
35,0,27797,Derek Lamely,$58188,58188
36,0,23725,Brendan Jones,$53113,98113
37,0,20669,James Kingston,$47794,127936
37,0,20940,Kenichi Kuboya,$47794,47794
39,0,19825,Darren Clarke,$34479,160907
40,0,24236,Nick Dougherty,$31176,77676
41,0,24494,Erik Compton,$27524,27524
42,0,30852,Ryo Ishikawa,$26217,26217
43,0,29974,Branden Grace,$25539,25539
43,0,12461,Paul McGinley,$25539,25539
43,0,22540,Anthony Wall,$25539,25539
46,0,32876,Martin Piller,$22570,22570
47,0,23834,Jean-Francois Lucquin,$22501,22501
47,0,22122,Andrew McLardy,$22501,22501
49,0,21498,Hideto Tanihara,$21600,21600
50,0,19904,Paul Lawrie,$21571,21571
51,0,08123,Jeff Brehaut,$20630,20630
51,0,32210,Trevor Murphy,$20630,20630
53,0,12755,Vance Veazey,$19600,19600
54,0,20608,David Howell,$18295,18295
54,0,23969,Graeme Storm,$18295,18295
56,0,08191,Paul Broadhurst,$17013,17013
56,0,24179,David Drysdale,$17013,17013
58,0,20367,Fredrik Andersson Hed,$16199,16199
59,0,21284,Hiroyuki Fujita,$15525,15525
60,0,32698,Bobby Gates,$15177,15177
61,0,22368,Daniel Gaunt,$15140,15140
62,0,20569,Richard Green,$15000,15000
63,0,25892,Steve Wheatcroft,$14907,14907
64,0,29938,Alan Wagner,$14700,14700
65,0,32058,José de Jesús Rodríguez,$14400,14400
66,0,20624,David Smail,$14050,14050
67,0,27436,Graham DeLaet,$13872,13872
68,0,29664,Gregory Bisconti,$13600,13600
69,0,33545,Grant Sturgeon,$13300,13300
70,0,24184,Alastair Forsyth,$13100,13100
71,0,26329,Louis Oosthuizen,$12660,137802
72,0,27129,Luke List,$12600,12600
73,0,31044,Matt Harmon,$11893,11893
74,0,27463,Matthew Loving,$11712,11712
75,0,27447,John Ellis,$11651,11651
75,0,30926,Chris Kirk,$11651,11651
77,0,30151,Fernando Mechereffe,$11271,11271
78,0,07941,Mike Grob,$11118,11118
79,0,29720,Andres Gonzales,$10965,10965
80,0,25863,Rod Perry,$10798,10798
81,0,23613,Rich Barcelo,$10500,10500
82,0,32888,Lucas Lee,$10251,10251
83,0,27090,Junpei Takayama,$9936,9936
84,0,33046,Cortland Lowe,$9434,9434
85,0,23783,Felipe Aguilar,$9364,9364
85,0,31577,Tano Goya,$9364,9364
85,0,32532,Manuel Villegas,$9364,9364
88,0,28456,Andrew Ruthkoski,$8428,8428
89,0,24121,Andy Matthews,$7700,7700
90,0,28380,Ryan Helminen,$7360,7360
91,0,06078,Esteban Toledo,$7344,7344
91,0,25437,James Vargas,$7344,7344
