RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,21528,Henrik Stenson,76.55,470,614,-0.19
2,0,19803,Ryan Armour,73.79,991,1343,-0.14
3,0,26596,Ryan Moore,72.28,665,920,-0.17
4,0,30110,Kyle Stanley,71.31,671,941,-0.20
5,0,31560,Brian Stuard,71.15,873,1227,-0.16
6,0,26476,Chez Reavie,71.09,595,837,-0.16
7,0,19846,Brian Gay,71.01,911,1283,-0.18
8,0,31646,Emiliano Grillo,70.08,712,1016,-0.18
9,0,34098,Russell Henley,69.36,566,816,-0.17
10,0,25892,Steve Wheatcroft,68.92,439,637,-0.18
11,0,10809,Jim Furyk,68.59,439,640,-0.09
12,0,27214,Kevin Streelman,68.24,780,1143,-0.16
13,0,34409,David Lingmerth,68.13,654,960,-0.15
14,0,29908,C.T. Pan,68.04,775,1139,-0.19
15,0,33122,Russell Knox,67.74,697,1029,-0.15
16,0,33141,Keegan Bradley,67.66,751,1110,-0.22
17,0,26499,Rafa Cabrera Bello,67.61,453,670,-0.20
18,0,30978,Kiradech Aphibarnrat,67.51,320,474,-0.15
19,0,29420,Billy Horschel,67.50,729,1080,-0.20
20,0,46435,Austin Cook,67.14,860,1281,-0.18
20,0,23325,Vaughn Taylor,67.14,656,977,-0.15
22,0,25198,Francesco Molinari,67.00,530,791,-0.21
23,0,20472,Alex Cejka,66.87,557,833,-0.15
24,0,22405,Justin Rose,66.76,492,737,-0.26
25,0,27644,Brian Harman,66.67,672,1008,-0.18
25,0,29478,Kevin Kisner,66.67,606,909,-0.17
25,0,39328,Conrad Shindler,66.67,408,612,-0.19
28,0,27556,Ted Potter Jr.,66.57,711,1068,-0.14
29,0,39324,J.J. Spaun,66.46,658,990,-0.18
30,0,33399,Adam Hadwin,66.45,612,921,-0.20
31,0,24138,Ian Poulter,66.33,461,695,-0.16
32,0,32816,Satoshi Kodaira,66.19,370,559,-0.07
33,0,45609,Tyler Duncan,66.11,747,1130,-0.15
34,0,23353,J.J. Henry,66.02,575,871,-0.15
35,0,23541,Ben Crane,65.99,425,644,-0.15
36,0,32102,Rickie Fowler,65.88,560,850,-0.20
37,0,26758,David Hearn,65.85,459,697,-0.14
38,0,37275,Sam Ryder,65.81,639,971,-0.18
39,0,30911,Tommy Fleetwood,65.74,495,753,-0.29
40,0,32150,Michael Thompson,65.38,508,777,-0.20
41,0,25818,Scott Piercy,65.29,617,945,-0.17
42,0,39327,Ben Silverman,65.28,690,1057,-0.16
43,0,35879,Kelly Kraft,65.27,671,1028,-0.15
44,0,25686,Jason Dufner,65.24,473,725,-0.16
45,0,34076,Joel Dahmen,65.22,645,989,-0.16
