RANK,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
1,0,29222,Billy Hurley III,30.0,95,317,+1.16
2,0,34431,Robert Streb,36.9,141,382,+2.34
3,0,32150,Michael Thompson,38.2,100,262,+1.10
4,0,48084,Wesley Bryan,39.0,126,323,+2.86
5,0,35545,Blayne Barber,40.4,114,282,+1.67
6,0,23108,Matt Kuchar,40.5,123,304,+1.95
7,0,01810,Phil Mickelson,41.3,177,429,+0.45
8,0,27958,Ryan Blaum,42.2,147,348,+1.63
9,0,28307,Matt Every,42.4,158,373,+1.77
10,0,30926,Chris Kirk,43.3,202,466,+0.99
10,0,29485,Brett Stegmaier,43.3,113,261,+1.42
12,0,36699,Patrick Rodgers,43.4,160,369,+1.13
13,0,28252,Seamus Power,43.5,168,386,+0.89
14,0,32366,Kevin Chappell,43.7,129,295,+1.01
15,0,20472,Alex Cejka,43.8,116,265,+2.50
16,0,35544,Andrew Yun,44.1,100,227,+3.00
17,0,24024,Zach Johnson,44.2,144,326,+0.76
17,0,39546,Keith Mitchell,44.2,207,468,+0.82
19,0,21528,Henrik Stenson,44.5,57,128,+1.93
20,0,33141,Keegan Bradley,44.7,149,333,+1.14
21,0,27644,Brian Harman,44.8,138,308,+1.81
22,0,22056,Cameron Percy,45.2,99,219,+2.32
23,0,22371,Aaron Baddeley,45.4,199,438,+1.21
24,0,30978,Kiradech Aphibarnrat,45.6,62,136,+0.48
25,0,23353,J.J. Henry,45.7,132,289,+1.89
26,0,29478,Kevin Kisner,45.8,130,284,+1.92
27,0,27649,Brandt Snedeker,46.0,162,352,+0.74
28,0,46435,Austin Cook,46.2,186,403,+2.31
28,0,27141,J.B. Holmes,46.2,174,377,+0.57
28,0,29518,Brendan Steele,46.2,120,260,+0.83
31,0,47993,Denny McCarthy,46.4,108,233,+1.57
32,0,36689,Brooks Koepka,46.6,132,283,+0.98
32,0,29221,Webb Simpson,46.6,187,401,+0.75
34,0,32876,Martin Piller,46.7,176,377,+1.42
35,0,34099,Harris English,46.8,173,370,+1.33
35,0,34563,Chesson Hadley,46.8,214,457,+1.40
35,0,37454,Whee Kim,46.8,183,391,+2.62
35,0,46501,Ollie Schniederjans,46.8,235,502,+1.28
39,0,34213,Grayson Murray,47.0,163,347,+1.72
