RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
165,0,08845,Scott Sterling,36.67,11,30
166,0,01139,Olin Browne,36.36,12,33
166,0,12823,Carlos Franco,36.36,12,33
166,0,24024,Zach Johnson,36.36,8,22
166,0,23349,Charles Warren,36.36,12,33
170,0,01024,Billy Andrade,35.71,10,28
170,0,28089,Jason Day,35.71,15,42
172,0,12826,Paul Claxton,35.29,6,17
172,0,30925,Dustin Johnson,35.29,12,34
172,0,01948,Tim Petrovic,35.29,12,34
175,0,02206,David Toms,35.00,7,20
176,0,10733,Kent Jones,34.78,8,23
176,0,10425,Jay Williamson,34.78,8,23
178,0,22582,Kyle Thompson,34.48,10,29
179,0,20634,Peter Lonard,34.38,11,32
180,0,01473,Todd Hamilton,34.29,12,35
181,0,21633,Steve Allan,33.33,9,27
181,0,22046,Geoff Ogilvy,33.33,7,21
183,0,26476,Chez Reavie,32.43,12,37
184,0,20472,Alex Cejka,32.14,9,28
184,0,28780,Nicholas Thompson,32.14,18,56
186,0,20645,John Senden,31.58,12,38
187,0,26951,Johnson Wagner,31.43,11,35
188,0,06621,Joe Durant,30.56,11,36
189,0,23788,D.J. Trahan,29.73,11,37
190,0,21805,Harrison Frazar,28.57,4,14
190,0,26631,Cody Freeman,28.57,8,28
190,0,25804,Bubba Watson,28.57,12,42
193,0,22892,Jason Gore,27.91,12,43
194,0,24227,Justin Bolli,26.92,7,26
195,0,19913,Ron Whittaker,26.32,5,19
196,0,28475,Jeff Overton,23.53,8,34
197,0,06522,Ernie Els,21.43,3,14
