RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,06575,Dudley Hart,63.71,79,124,+28.00
2,0,01928,Corey Pavin,63.11,65,103,+37.00
3,0,01810,Phil Mickelson,62.50,80,128,+20.00
4,0,10423,Mike Weir,62.09,95,153,+39.00
5,0,20850,Daniel Chopra,61.64,98,159,+45.00
6,0,21878,Mark Wilson,60.14,86,143,+46.00
7,0,20623,Gavin Coles,59.42,41,69,+26.00
8,0,07547,Craig Kanada,58.43,52,89,+31.00
9,0,20766,Padraig Harrington,58.06,54,93,+23.00
9,0,24138,Ian Poulter,58.06,54,93,+29.00
11,0,20663,Brenden Pappas,57.65,49,85,+22.00
12,0,25396,Kevin Na,57.54,103,179,+53.00
13,0,24502,Adam Scott,57.47,50,87,+14.00
14,0,22621,Ben Curtis,57.43,85,148,+52.00
15,0,20127,Chris Riley,57.35,39,68,+19.00
16,0,21350,Ryuji Imada,57.24,87,152,+51.00
17,0,21753,Brian Davis,57.23,95,166,+50.00
18,0,21959,Ted Purdy,57.14,48,84,+14.00
19,0,21731,Freddie Jacobson,57.04,81,142,+45.00
20,0,21209,Sergio Garcia,57.02,69,121,+23.00
21,0,20443,Jin Park,56.88,62,109,+47.00
22,0,19846,Brian Gay,56.71,93,164,+69.00
23,0,06034,Marco Dawson,56.57,56,99,+49.00
24,0,20098,Stuart Appleby,56.30,76,135,+42.00
24,0,08537,J.P. Hayes,56.30,67,119,+49.00
26,0,20498,Briny Baird,56.25,90,160,+46.00
27,0,23157,Richard Johnson,56.03,79,141,+40.00
28,0,10649,Tom Scherrer,56.00,28,50,+18.00
29,0,24361,Pat Perez,55.80,77,138,+38.00
30,0,02223,Bob Tway,55.56,45,81,+24.00
31,0,25720,Chad Collins,55.34,57,103,+37.00
32,0,21949,Joe Ogilvie,55.28,89,161,+46.00
33,0,10860,Justin Leonard,55.17,80,145,+49.00
34,0,08931,Glen Day,54.95,50,91,+28.00
