RANK,MOVEMENT,PLAYER_ID,PLAYER,HOLE OUTS
1,0,39971,Sungjae Im,25
2,0,39977,Max Homa,22
3,0,37455,Si Woo Kim,21
3,0,46340,Alex Smalley,21
3,0,40115,Adam Svensson,21
6,0,37275,Sam Ryder,20
7,0,45157,Cam Davis,19
7,0,24924,Bill Haas,19
7,0,34466,Peter Malnati,19
7,0,47995,Davis Riley,19
11,0,29970,Dylan Frittelli,18
11,0,30926,Chris Kirk,18
11,0,46442,Maverick McNealy,18
11,0,47983,Chad Ramey,18
11,0,27214,Kevin Streelman,18
11,0,57366,Cameron Young,18
17,0,23983,Luke Donald,17
17,0,45609,Tyler Duncan,17
17,0,27644,Brian Harman,17
17,0,23108,Matt Kuchar,17
17,0,27129,Luke List,17
17,0,32640,Troy Merritt,17
17,0,51997,Andrew Novak,17
24,0,55708,Hayden Buckley,16
24,0,46402,Talor Gooch,16
24,0,34563,Chesson Hadley,16
24,0,54628,Lee Hodges,16
24,0,49771,J.T. Poston,16
24,0,51634,Sahith Theegala,16
30,0,20229,Stewart Cink,15
30,0,33597,Harry Higgs,15
30,0,36799,Stephan Jaeger,15
30,0,39546,Keith Mitchell,15
30,0,49947,Taylor Moore,15
30,0,45486,Joaquin Niemann,15
30,0,53165,Doc Redman,15
30,0,30692,Scott Stallings,15
30,0,34431,Robert Streb,15
30,0,31560,Brian Stuard,15
30,0,33419,Cameron Tringale,15
41,0,39997,Corey Conners,14
41,0,29725,Tony Finau,14
41,0,32102,Rickie Fowler,14
41,0,31646,Emiliano Grillo,14
41,0,24980,Scott Gutschewski,14
41,0,33399,Adam Hadwin,14
41,0,34098,Russell Henley,14
41,0,26300,Matt Jones,14
41,0,28775,Nate Lashley,14
41,0,34360,Patrick Reed,14
41,0,36699,Patrick Rodgers,14
41,0,47347,Adam Schenk,14
41,0,27064,Jhonattan Vegas,14
41,0,27095,Nick Watney,14
55,0,34255,Joseph Bramlett,13
55,0,24925,Jonathan Byrd,13
55,0,35532,Tom Hoge,13
55,0,29420,Billy Horschel,13
55,0,32791,K.H. Lee,13
55,0,47993,Denny McCarthy,13
55,0,29289,S.Y. Noh,13
55,0,24361,Pat Perez,13
55,0,26476,Chez Reavie,13
55,0,29221,Webb Simpson,13
55,0,27139,David Skinns,13
55,0,25493,Nick Taylor,13
55,0,30927,Brendon Todd,13
55,0,51894,Vince Whaley,13
69,0,33141,Keegan Bradley,12
69,0,51766,Wyndham Clark,12
69,0,46435,Austin Cook,12
69,0,52375,Doug Ghim,12
69,0,46550,Brandon Hagy,12
69,0,39058,Lucas Herbert,12
69,0,29926,Danny Lee,12
69,0,46601,Trey Mullinax,12
69,0,33667,Carlos Ortiz,12
69,0,25818,Scott Piercy,12
69,0,34610,Matthias Schwab,12
69,0,24502,Adam Scott,12
69,0,39324,J.J. Spaun,12
69,0,34046,Jordan Spieth,12
69,0,49960,Sepp Straka,12
84,0,35110,Brett Drewitt,11
84,0,35461,Beau Hossler,11
84,0,27974,Sung Kang,11
84,0,32757,Patton Kizzire,11
84,0,33122,Russell Knox,11
84,0,35879,Kelly Kraft,11
84,0,27936,Martin Laird,11
84,0,49766,Hank Lebioda,11
84,0,35449,Adam Long,11
84,0,25198,Francesco Molinari,11
84,0,47529,Mito Pereira,11
84,0,28252,Seamus Power,11
84,0,34256,Andrew Putnam,11
84,0,46046,Scottie Scheffler,11
84,0,35891,Cameron Smith,11
84,0,48699,Callum Tarren,11
84,0,33448,Justin Thomas,11
84,0,10381,Curtis Thompson,11
84,0,37189,Harold Varner III,11
84,0,49964,Aaron Wise,11
84,0,31323,Gary Woodland,11
84,0,47483,Will Zalatoris,11
106,0,52372,Cameron Champ,10
106,0,35310,Lanto Griffin,10
106,0,34363,Tyrrell Hatton,10
