RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,47529,Mito Pereira,273,the Memorial,4,7
2,0,45526,Abraham Ancer,250,THE CJ CUP,2,14
3,0,34098,Russell Henley,240,THE PLAYERS,4,11
4,0,46717,Viktor Hovland,219,THE PLAYERS,3,8
5,0,36801,Mark Hubbard,216,Rocket Mortgage,1,11
6,0,26851,Marc Leishman,213,AT&T Byron Nelson,4,15
7,0,37455,Si Woo Kim,210,Sanderson Farms,4,7
8,0,36799,Stephan Jaeger,205,John Deere,4,2
9,0,10381,Curtis Thompson,204,Honda,1,6
10,0,26331,Charl Schwartzel,194,Valspar,1,16
11,0,33399,Adam Hadwin,194,the Memorial,2,16
12,0,40250,Taylor Pendrith,191,Farmers,2,12
13,0,29479,Scott Brown,191,Barbasol,3,16
14,0,34466,Peter Malnati,189,AT&T Byron Nelson,1,13
15,0,30978,Kiradech Aphibarnrat,189,Mexico Open,1,5
15,0,24980,Scott Gutschewski,189,Mexico Open,1,5
17,0,27214,Kevin Streelman,189,John Deere,4,12
18,0,35310,Lanto Griffin,188,Wells Fargo,1,6
19,0,39997,Corey Conners,187,RBC Heritage,1,7
20,0,30911,Tommy Fleetwood,187,AT&T Byron Nelson,4,3
21,0,56278,Matthew Wolff,187,Houston Open,4,9
22,0,10809,Jim Furyk,187,Sony Open,1,17
23,0,34255,Joseph Bramlett,182,Wyndham,3,16
24,0,36871,Matthew NeSmith,181,Honda,3,2
25,0,28938,Justin Harding,181,PGA Championship,1,7
26,0,49947,Taylor Moore,180,The RSM Classic,2,17
27,0,27129,Luke List,179,Houston Open,1,14
28,0,33667,Carlos Ortiz,179,WM Phoenix Open,4,16
29,0,40115,Adam Svensson,179,RBC Heritage,3,10
30,0,34360,Patrick Reed,178,Houston Open,2,4
31,0,55708,Hayden Buckley,176,Shriners,1,17
32,0,60853,Ryan Alford,176,Farmers,1,1
33,0,32757,Patton Kizzire,171,The American Express,4,4
34,0,19803,Ryan Armour,169,AT&T Byron Nelson,2,8
35,0,29289,S.Y. Noh,169,3M Open,1,9
36,0,24361,Pat Perez,167,Farmers,4,7
37,0,57366,Cameron Young,165,U.S. Open,2,6
38,0,46442,Maverick McNealy,165,Farmers,3,8
39,0,46340,Alex Smalley,165,Mexico Open,2,3
40,0,55930,Fred Biondi,164,U.S. Open,2,4
41,0,39977,Max Homa,164,Arnold Palmer,3,14
42,0,23621,Rory Sabbatini,162,Rocket Mortgage,2,15
43,0,21209,Sergio Garcia,161,Wells Fargo,1,15
44,0,32150,Michael Thompson,158,Wyndham,1,18
45,0,35891,Cameron Smith,156,FedEx St. Jude,1,13
46,0,25818,Scott Piercy,156,RBC Canadian,3,18
47,0,40162,Justin Lower,154,AT&T Byron Nelson,1,10
48,0,30927,Brendon Todd,154,Wyndham,4,4
49,0,47993,Denny McCarthy,153,FedEx St. Jude,2,6
50,0,32791,K.H. Lee,152,the Memorial,1,9
51,0,29478,Kevin Kisner,152,BMW Championship,4,10
51,0,31560,Brian Stuard,152,Honda,1,9
53,0,20229,Stewart Cink,150,RBC Heritage,1,10
54,0,29974,Branden Grace,150,THE CJ CUP,4,15
55,0,37275,Sam Ryder,148,Arnold Palmer,1,13
56,0,46550,Brandon Hagy,148,Barbasol,2,18
57,0,52374,Brandon Wu,147,Wyndham,3,11
58,0,27064,Jhonattan Vegas,143,Genesis,3,3
59,0,46601,Trey Mullinax,143,AT&T Byron Nelson,1,13
60,0,27963,Chris Stroud,142,Wyndham,1,1
61,0,28089,Jason Day,142,the Memorial,3,3
