RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER TEE SHOT,TOTAL TEE SHOTS
1,0,57366,Cameron Young,155.7,5399013.000,963
2,0,40250,Taylor Pendrith,155.9,4564143.000,813
3,0,46601,Trey Mullinax,157.8,5089170.000,896
4,0,34255,Joseph Bramlett,158.1,5167890.000,908
5,0,28237,Rory McIlroy,158.2,4048724.000,711
6,0,47856,Seth Reeves,159.4,3832523.000,668
7,0,27129,Luke List,159.8,5079978.000,883
8,0,35450,Patrick Cantlay,160.1,4178336.000,725
8,0,51766,Wyndham Clark,160.1,5832394.000,1012
8,0,46550,Brandon Hagy,160.1,4646593.000,806
11,0,56278,Matthew Wolff,160.6,2943744.000,509
12,0,39546,Keith Mitchell,161.3,5785026.000,996
13,0,12716,Charley Hoffman,161.6,4590423.000,789
13,0,48699,Callum Tarren,161.6,4286245.000,737
15,0,46046,Scottie Scheffler,161.8,5270529.000,905
16,0,45157,Cam Davis,162.2,6136749.000,1051
17,0,46970,Jon Rahm,162.3,4470634.000,765
18,0,36689,Brooks Koepka,162.5,3123823.000,534
19,0,54421,Garrick Higgo,162.6,3055301.000,522
20,0,32366,Kevin Chappell,162.7,3526237.000,602
21,0,47988,Nick Hardy,162.8,3645246.000,622
21,0,47483,Will Zalatoris,162.8,4659687.000,795
23,0,34046,Jordan Spieth,163.0,4958162.000,845
24,0,48117,Kurt Kitayama,163.2,3649027.000,621
25,0,21961,Charles Howell III,163.5,3796754.000,645
26,0,45486,Joaquin Niemann,163.7,4738611.000,804
27,0,33448,Justin Thomas,164.0,4972049.000,842
27,0,32333,Kevin Tway,164.0,5408062.000,916
29,0,52372,Cameron Champ,164.3,3815597.000,645
30,0,46717,Viktor Hovland,164.4,4576305.000,773
31,0,29518,Brendan Steele,164.5,5110212.000,863
32,0,45540,Jared Wolfe,164.9,3810868.000,642
33,0,20229,Stewart Cink,165.1,5397570.000,908
33,0,36699,Patrick Rodgers,165.1,5610854.000,944
35,0,37212,Paul Barjon,165.4,5126497.000,861
36,0,24502,Adam Scott,165.6,5192757.000,871
36,0,35617,Martin Trainer,165.6,4971135.000,834
38,0,29725,Tony Finau,165.7,5828607.000,977
39,0,47504,Sam Burns,165.8,5651201.000,947
40,0,46442,Maverick McNealy,166.1,5997611.000,1003
41,0,27064,Jhonattan Vegas,166.2,4793616.000,801
42,0,35461,Beau Hossler,166.4,5318354.000,888
42,0,37189,Harold Varner III,166.4,4647953.000,776
44,0,39997,Corey Conners,166.5,5892364.000,983
45,0,39058,Lucas Herbert,166.7,3312923.000,552
45,0,30944,Jason Kokrak,166.7,4212875.000,702
45,0,23320,Ryan Palmer,166.7,4109919.000,685
45,0,47995,Davis Riley,166.7,6722235.000,1120
49,0,32791,K.H. Lee,166.8,7163646.000,1193
50,0,26300,Matt Jones,166.9,4241857.000,706
51,0,29970,Dylan Frittelli,167.0,5999772.000,998
51,0,51894,Vince Whaley,167.0,5519102.000,918
53,0,39971,Sungjae Im,167.3,6288155.000,1044
53,0,28252,Seamus Power,167.3,4901366.000,814
55,0,32662,Michael Gligic,167.4,4712402.000,782
56,0,32102,Rickie Fowler,167.8,4615061.000,764
56,0,39977,Max Homa,167.8,5864786.000,971
58,0,55708,Hayden Buckley,168.0,6433638.000,1064
58,0,49947,Taylor Moore,168.0,6512712.000,1077
60,0,48081,Xander Schauffele,168.1,4780711.000,790
61,0,29221,Webb Simpson,168.3,4326130.000,714
62,0,35891,Cameron Smith,168.4,4091333.000,675
62,0,49964,Aaron Wise,168.4,6420439.000,1059
64,0,32757,Patton Kizzire,168.6,6828189.000,1125
65,0,32839,Hideki Matsuyama,168.8,4832268.000,795
65,0,50095,Austin Smotherman,168.8,5214566.000,858
67,0,36852,Jim Knous,169.0,2938732.000,483
67,0,30692,Scott Stallings,169.0,7007792.000,1152
69,0,22056,Cameron Percy,169.1,2659662.000,437
69,0,10381,Curtis Thompson,169.1,3663680.000,602
71,0,47529,Mito Pereira,169.2,6298013.000,1034
72,0,32448,James Hahn,169.5,5041717.000,826
72,0,33597,Harry Higgs,169.5,5626561.000,922
74,0,40098,Matt Fitzpatrick,169.8,4045921.000,662
74,0,34563,Chesson Hadley,169.8,5342826.000,874
74,0,51634,Sahith Theegala,169.8,7935220.000,1298
77,0,34264,Hudson Swafford,169.9,4005296.000,655
78,0,33141,Keegan Bradley,170.0,5612251.000,917
78,0,26851,Marc Leishman,170.0,5367511.000,877
80,0,46340,Alex Smalley,170.3,6257776.000,1021
80,0,54783,Dylan Wu,170.3,4278607.000,698
82,0,31646,Emiliano Grillo,170.4,5926749.000,966
82,0,51997,Andrew Novak,170.4,4526840.000,738
82,0,48887,Matt Wallace,170.4,4036848.000,658
85,0,29420,Billy Horschel,170.5,4713213.000,768
85,0,37455,Si Woo Kim,170.5,6919255.000,1127
87,0,28114,Dawie van der Walt,170.7,4018282.000,654
88,0,34363,Tyrrell Hatton,170.8,4008634.000,652
88,0,49960,Sepp Straka,170.8,6270604.000,1020
90,0,54628,Lee Hodges,170.9,7021551.000,1141
90,0,32139,Danny Willett,170.9,3519381.000,572
92,0,27895,Jonas Blixt,171.3,3563610.000,578
92,0,33667,Carlos Ortiz,171.3,4348384.000,705
94,0,25900,Lucas Glover,171.5,7054855.000,1143
94,0,49771,J.T. Poston,171.5,6808657.000,1103
96,0,34431,Robert Streb,171.7,6170194.000,998
96,0,40006,Erik van Rooyen,171.7,3406771.000,551
98,0,22405,Justin Rose,171.8,3215197.000,520
98,0,33486,Roger Sloan,171.8,5233041.000,846
100,0,46402,Talor Gooch,172.1,4707460.000,760
100,0,29974,Branden Grace,172.1,3668445.000,592
100,0,25818,Scott Piercy,172.1,5663417.000,914
103,0,27644,Brian Harman,172.2,6491737.000,1047
103,0,23621,Rory Sabbatini,172.2,4309439.000,695
105,0,24924,Bill Haas,172.3,5744847.000,926
105,0,34466,Peter Malnati,172.3,7413072.000,1195
107,0,33204,Shane Lowry,172.4,4057993.000,654
108,0,30911,Tommy Fleetwood,172.5,3397323.000,547
109,0,28775,Nate Lashley,172.7,5186179.000,834
110,0,31420,Anirban Lahiri,172.8,5170455.000,831
111,0,24980,Scott Gutschewski,172.9,3235985.000,520
111,0,36871,Matthew NeSmith,172.9,6680302.000,1073
111,0,27095,Nick Watney,172.9,5265076.000,846
114,0,34076,Joel Dahmen,173.0,6377585.000,1024
114,0,48822,Sebastián Muñoz,173.0,5896920.000,947
116,0,35532,Tom Hoge,173.2,6397633.000,1026
116,0,50525,Collin Morikawa,173.2,4171811.000,669
116,0,27139,David Skinns,173.2,4389697.000,704
119,0,45609,Tyler Duncan,173.3,5572286.000,893
119,0,35506,Mackenzie Hughes,173.3,5628284.000,902
121,0,36801,Mark Hubbard,173.4,4718787.000,756
122,0,30926,Chris Kirk,173.5,5438862.000,871
123,0,34610,Matthias Schwab,173.6,4698811.000,752
124,0,47347,Adam Schenk,173.7,6609680.000,1057
124,0,31323,Gary Woodland,173.7,4797580.000,767
126,0,33490,Bo Hoag,173.8,3166147.000,506
127,0,27974,Sung Kang,174.0,5275270.000,842
128,0,28089,Jason Day,174.1,4368102.000,697
129,0,33399,Adam Hadwin,174.2,6533228.000,1042
130,0,37275,Sam Ryder,174.4,6785729.000,1081
131,0,35310,Lanto Griffin,174.5,5815628.000,926
131,0,34098,Russell Henley,174.5,5432549.000,865
133,0,49298,Kramer Hickok,174.6,6387478.000,1016
134,0,52374,Brandon Wu,174.7,4333472.000,689
135,0,30978,Kiradech Aphibarnrat,174.8,3096457.000,492
136,0,33122,Russell Knox,175.0,6433888.000,1021
136,0,53165,Doc Redman,175.0,5448564.000,865
138,0,29926,Danny Lee,175.1,3409956.000,541
138,0,40115,Adam Svensson,175.1,7269600.000,1153
138,0,25493,Nick Taylor,175.1,5945420.000,943
141,0,39324,J.J. Spaun,175.2,6350377.000,1007
142,0,24925,Jonathan Byrd,175.3,3679626.000,583
142,0,52375,Doug Ghim,175.3,5900325.000,935
142,0,27349,Alex Noren,175.3,4171344.000,661
142,0,51890,Greyson Sigg,175.3,6239909.000,989
146,0,39953,Chase Seiffert,175.4,3194350.000,506
147,0,45526,Abraham Ancer,175.5,4037217.000,639
147,0,29289,S.Y. Noh,175.5,3854696.000,610
149,0,35110,Brett Drewitt,175.6,3584297.000,567
150,0,32640,Troy Merritt,175.7,6494447.000,1027
151,0,40162,Justin Lower,176.0,4681109.000,739
152,0,27214,Kevin Streelman,176.1,6954243.000,1097
153,0,33419,Cameron Tringale,176.3,6346167.000,1000
154,0,36799,Stephan Jaeger,176.5,6282607.000,989
155,0,46414,Aaron Rai,176.6,6007008.000,945
156,0,19803,Ryan Armour,176.7,3066222.000,482
156,0,27770,Camilo Villegas,176.7,4464878.000,702
158,0,27936,Martin Laird,176.8,5366347.000,843
159,0,25686,Jason Dufner,177.2,3388203.000,531
159,0,29478,Kevin Kisner,177.2,4861928.000,762
159,0,49766,Hank Lebioda,177.2,5918938.000,928
162,0,34174,John Huh,177.5,5334306.000,835
162,0,47128,Richy Werenski,177.5,4376804.000,685
164,0,31557,Jim Herman,177.6,3765165.000,589
165,0,36326,David Lipsky,177.7,6293832.000,984
166,0,45522,Christiaan Bezuidenhout,177.8,4884787.000,763
167,0,30163,Henrik Norlander,177.9,5259139.000,821
168,0,27649,Brandt Snedeker,178.0,4299891.000,671
168,0,23325,Vaughn Taylor,178.0,3517205.000,549
170,0,47983,Chad Ramey,178.1,4840846.000,755
171,0,23983,Luke Donald,178.3,4517721.000,704
171,0,36884,Ben Kohles,178.3,3915387.000,610
171,0,29908,C.T. Pan,178.3,6275923.000,978
174,0,46435,Austin Cook,178.5,4659548.000,725
174,0,29535,Brice Garnett,178.5,5346275.000,832
174,0,32816,Satoshi Kodaira,178.5,3643713.000,567
174,0,35449,Adam Long,178.5,6694518.000,1042
178,0,25198,Francesco Molinari,178.6,3522474.000,548
179,0,39436,Joshua Creel,178.7,3261838.000,507
179,0,24024,Zach Johnson,178.7,4849352.000,754
181,0,47993,Denny McCarthy,179.1,7742245.000,1201
181,0,24138,Ian Poulter,179.1,3210025.000,498
183,0,51950,Max McGreevy,179.5,4910848.000,760
183,0,32150,Michael Thompson,179.5,6612319.000,1023
185,0,23108,Matt Kuchar,179.7,5363280.000,829
186,0,35879,Kelly Kraft,179.8,5028276.000,777
187,0,48084,Wesley Bryan,180.4,3351324.000,516
188,0,34256,Andrew Putnam,181.5,7318471.000,1120
189,0,34360,Patrick Reed,182.8,4594233.000,698
190,0,26476,Chez Reavie,183.7,6786159.000,1026
191,0,30927,Brendon Todd,185.2,6418812.000,963
192,0,24361,Pat Perez,186.7,4671661.000,695
193,0,31560,Brian Stuard,188.4,6422861.000,947
