RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST OF APPR SHOT,TOTAL HOLES
146,0,48084,Wesley Bryan,168.5,4221199.000,696
146,0,32791,K.H. Lee,168.5,9317637.000,1536
146,0,28252,Seamus Power,168.5,6356605.000,1048
150,0,34098,Russell Henley,168.6,6816270.000,1123
150,0,37455,Si Woo Kim,168.6,8739357.000,1440
150,0,27139,David Skinns,168.6,5613934.000,925
153,0,35506,Mackenzie Hughes,168.7,7147429.000,1177
154,0,33490,Bo Hoag,168.8,4022322.000,662
154,0,32816,Satoshi Kodaira,168.8,4430700.000,729
154,0,51634,Sahith Theegala,168.8,10314328.000,1697
157,0,40098,Matt Fitzpatrick,168.9,5209608.000,857
157,0,39546,Keith Mitchell,168.9,7838847.000,1289
159,0,28089,Jason Day,169.1,5521196.000,907
159,0,46717,Viktor Hovland,169.1,6092642.000,1001
159,0,27349,Alex Noren,169.1,5216773.000,857
159,0,34264,Hudson Swafford,169.1,5217088.000,857
163,0,27974,Sung Kang,169.2,6706500.000,1101
163,0,33419,Cameron Tringale,169.2,7935069.000,1303
165,0,37212,Paul Barjon,169.4,6853200.000,1124
165,0,27936,Martin Laird,169.4,6642053.000,1089
167,0,32448,James Hahn,169.6,6526143.000,1069
167,0,50525,Collin Morikawa,169.6,5213642.000,854
167,0,47128,Richy Werenski,169.6,5501630.000,901
167,0,52374,Brandon Wu,169.6,5434471.000,890
171,0,40006,Erik van Rooyen,169.7,4362876.000,714
172,0,46402,Talor Gooch,169.8,6003326.000,982
172,0,35310,Lanto Griffin,169.8,7421537.000,1214
174,0,30944,Jason Kokrak,170.0,5580992.000,912
174,0,36871,Matthew NeSmith,170.0,8545621.000,1396
176,0,52372,Cameron Champ,170.1,5124702.000,837
177,0,26300,Matt Jones,170.2,5552416.000,906
178,0,29725,Tony Finau,170.3,7735954.000,1262
179,0,48822,Sebastián Muñoz,170.4,7556285.000,1232
180,0,30911,Tommy Fleetwood,170.5,4381934.000,714
181,0,34360,Patrick Reed,170.7,5554309.000,904
182,0,29535,Brice Garnett,170.8,6697315.000,1089
182,0,36799,Stephan Jaeger,170.8,8016201.000,1304
184,0,25198,Francesco Molinari,170.9,4367182.000,710
185,0,36689,Brooks Koepka,171.2,4307379.000,699
186,0,48081,Xander Schauffele,171.3,6272565.000,1017
187,0,36801,Mark Hubbard,171.4,6071030.000,984
188,0,27064,Jhonattan Vegas,171.7,6522509.000,1055
189,0,32839,Hideki Matsuyama,171.8,6290638.000,1017
190,0,24361,Pat Perez,172.0,5647308.000,912
191,0,33667,Carlos Ortiz,172.2,5741043.000,926
192,0,45526,Abraham Ancer,172.5,5056335.000,814
193,0,29926,Danny Lee,173.4,4438020.000,711
