RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST. (FT),TOT BIRDIE PUTTS MADE,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,40058,Zac Blair,12' 10",3109.750,243,68,4"
2,0,32150,Michael Thompson,12' 6",1599.083,128,53,1"
2,0,25892,Steve Wheatcroft,12' 6",1486.000,119,57,6"
4,0,23800,Bryce Molder,11' 6",2040.083,178,56,3"
5,0,25274,Steven Bowditch,11' 5",1129.083,99,62,4"
6,0,35545,Blayne Barber,11' 4",2714.833,240,51,2"
7,0,29476,Kyle Reifers,11' 3",2245.083,199,80,3"
8,0,29420,Billy Horschel,11' 2",2935.417,262,73,2"
8,0,37454,Whee Kim,11' 2",2081.917,187,46,6"
8,0,37278,Nicholas Lindheim,11' 2",1631.917,146,63,9"
8,0,34466,Peter Malnati,11' 2",2714.167,243,62,6"
12,0,19803,Ryan Armour,11' 0",1660.250,151,45,9"
12,0,10809,Jim Furyk,11' 0",1465.250,133,38,1"
12,0,34098,Russell Henley,11' 0",3510.083,318,56,3"
12,0,29222,Billy Hurley III,11' 0",2529.500,230,85,3"
16,0,39954,Cody Gribble,10' 11",2532.167,232,44,2"
16,0,34174,John Huh,10' 11",2529.583,231,71,7"
16,0,25396,Kevin Na,10' 11",2700.917,248,63,3"
19,0,27895,Jonas Blixt,10' 10",1997.667,184,55,8"
19,0,23983,Luke Donald,10' 10",1341.750,124,47,11"
19,0,28500,Martin Flores,10' 10",2273.250,210,58,6"
19,0,19846,Brian Gay,10' 10",2364.750,219,50,5"
19,0,36699,Patrick Rodgers,10' 10",2105.500,195,60,3"
24,0,36801,Mark Hubbard,10' 9",1824.500,170,53,10"
24,0,25572,Graeme McDowell,10' 9",1786.750,166,50,4"
24,0,25240,D.A. Points,10' 9",1910.167,178,50,3"
24,0,27649,Brandt Snedeker,10' 9",1684.750,157,45,3"
28,0,35110,Brett Drewitt,10' 8",1378.333,129,47,2"
28,0,26951,Johnson Wagner,10' 8",1849.000,174,41,4"
30,0,29478,Kevin Kisner,10' 7",2745.083,260,48,2"
30,0,48822,Sebastián Muñoz,10' 7",1490.500,141,44,5"
30,0,23497,Tag Ridings,10' 7",1872.083,177,53,1"
30,0,27770,Camilo Villegas,10' 7",2282.417,216,67,4"
