RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,25396,Kevin Na,.593,40.294,68
2,0,20127,Chris Riley,.590,40.088,68
3,0,35087,Bio Kim,.515,29.886,58
4,0,22371,Aaron Baddeley,.438,27.152,62
5,0,19846,Brian Gay,.425,31.429,74
6,0,20472,Alex Cejka,.413,19.401,47
7,0,22348,Nick O'Hern,.378,28.734,76
8,0,06527,Steve Stricker,.364,19.306,53
9,0,21961,Charles Howell III,.358,32.618,91
10,0,20572,Rod Pampling,.353,21.183,60
11,0,23800,Bryce Molder,.346,24.569,71
12,0,10860,Justin Leonard,.338,25.023,74
13,0,21350,Ryuji Imada,.337,25.602,76
14,0,01810,Phil Mickelson,.333,19.319,58
15,0,24357,K.J. Choi,.296,17.180,58
16,0,01766,Billy Mayfair,.292,24.813,85
17,0,23409,James Driscoll,.285,17.380,61
18,0,23983,Luke Donald,.273,14.215,52
18,0,27797,Derek Lamely,.273,15.860,58
20,0,10505,Shane Bertsch,.267,13.865,52
20,0,01948,Tim Petrovic,.267,20.590,77
22,0,21209,Sergio Garcia,.263,11.823,45
23,0,26300,Matt Jones,.262,16.790,64
24,0,29221,Webb Simpson,.261,21.695,83
25,0,21878,Mark Wilson,.255,17.820,70
26,0,24781,Hunter Mahan,.254,19.321,76
27,0,20593,Greg Chalmers,.253,19.971,79
27,0,07457,Steve Flesch,.253,19.706,78
29,0,22378,Trevor Immelman,.250,16.747,67
30,0,23621,Rory Sabbatini,.248,15.103,61
31,0,06515,Shaun Micheel,.245,15.944,65
32,0,22405,Justin Rose,.243,15.332,63
33,0,20160,Charlie Wi,.239,18.368,77
34,0,01116,Michael Bradley,.234,13.803,59
35,0,12782,Tim Herron,.221,16.985,77
36,0,08075,Jerry Kelly,.211,14.345,68
37,0,26851,Marc Leishman,.207,16.526,80
38,0,27466,Spencer Levin,.202,18.945,94
39,0,08375,Paul Stankowski,.199,12.951,65
40,0,10585,Scott McCarron,.193,10.396,54
