RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL LATE ROUNDS
1,0,46046,Scottie Scheffler,67.85,3528,52
2,0,51997,Andrew Novak,68.58,2949,43
3,0,52215,Robert MacIntyre,68.68,2816,41
4,0,48081,Xander Schauffele,68.88,3926,57
5,0,54591,Ben Griffin,68.92,3584,52
6,0,51977,Max Greyserman,68.96,3103,45
7,0,58168,Davis Thompson,69.02,2899,42
7,0,45242,Kevin Yu,69.02,2899,42
9,0,46442,Maverick McNealy,69.07,3177,46
9,0,52513,Carson Young,69.07,2970,43
11,0,52375,Doug Ghim,69.09,2971,43
12,0,27064,Jhonattan Vegas,69.10,2695,39
13,0,30163,Henrik Norlander,69.14,2558,37
14,0,27349,Alex Noren,69.24,2839,41
15,0,46414,Aaron Rai,69.30,3049,44
16,0,35461,Beau Hossler,69.31,3327,48
17,0,32757,Patton Kizzire,69.32,2357,34
18,0,35310,Lanto Griffin,69.38,2359,34
19,0,55182,Tom Kim,69.46,2848,41
20,0,50525,Collin Morikawa,69.48,3474,50
20,0,51634,Sahith Theegala,69.48,3474,50
22,0,60004,Jacob Bridgeman,69.50,2919,42
23,0,54576,Patrick Fishburn,69.51,2572,37
24,0,29535,Brice Garnett,69.52,1599,23
25,0,32333,Kevin Tway,69.53,2225,32
25,0,52666,Sami Valimaki,69.53,2225,32
27,0,51349,Nico Echavarria,69.57,3200,46
27,0,36801,Mark Hubbard,69.57,3270,47
29,0,51696,Rico Hoey,69.58,3131,45
29,0,34587,Chan Kim,69.58,2783,40
29,0,39546,Keith Mitchell,69.58,2783,40
32,0,48084,Wesley Bryan,69.60,1740,25
33,0,40026,Daniel Berger,69.61,2854,41
33,0,40006,Erik van Rooyen,69.61,2854,41
35,0,55893,Sam Stevens,69.63,3551,51
35,0,33448,Justin Thomas,69.63,2646,38
37,0,52955,Ludvig Ãberg,69.65,2995,43
38,0,47993,Denny McCarthy,69.66,3065,44
39,0,37455,Si Woo Kim,69.68,2857,41
40,0,40115,Adam Svensson,69.69,3415,49
41,0,12716,Charley Hoffman,69.71,2440,35
41,0,35506,Mackenzie Hughes,69.71,3346,48
41,0,51894,Vince Whaley,69.71,2649,38
44,0,57362,Austin Eckroat,69.73,3138,45
45,0,33653,Thomas Detry,69.74,2441,35
46,0,40250,Taylor Pendrith,69.75,3069,44
47,0,33399,Adam Hadwin,69.78,2582,37
48,0,40162,Justin Lower,69.80,3769,54
49,0,47988,Nick Hardy,69.81,2583,37
49,0,48887,Matt Wallace,69.81,2164,31
51,0,32791,K.H. Lee,69.83,2863,41
52,0,34021,Bud Cauley,69.88,1677,24
52,0,24024,Zach Johnson,69.88,1677,24
52,0,37378,Min Woo Lee,69.88,2236,32
52,0,46340,Alex Smalley,69.88,2935,42
56,0,35532,Tom Hoge,69.92,3496,50
56,0,39971,Sungjae Im,69.92,3636,52
56,0,51890,Greyson Sigg,69.92,2657,38
59,0,34255,Joseph Bramlett,69.93,3007,43
60,0,60067,Joe Highsmith,69.94,2448,35
60,0,33204,Shane Lowry,69.94,2448,35
60,0,47679,Victor Perez,69.94,2168,31
60,0,34256,Andrew Putnam,69.94,2518,36
64,0,29420,Billy Horschel,69.95,2728,39
65,0,56630,Akshay Bhatia,69.96,3358,48
65,0,36799,Stephan Jaeger,69.96,3428,49
67,0,30911,Tommy Fleetwood,69.97,2729,39
67,0,27214,Kevin Streelman,69.97,2309,33
69,0,32839,Hideki Matsuyama,69.98,3149,45
69,0,28252,Seamus Power,69.98,3779,54
71,0,29725,Tony Finau,70.00,3220,46
71,0,59143,Mac Meissner,70.00,2100,30
71,0,39324,J.J. Spaun,70.00,2800,40
74,0,34076,Joel Dahmen,70.02,3011,43
75,0,33948,Byeong Hun An,70.03,2731,39
75,0,45522,Christiaan Bezuidenhout,70.03,2661,38
77,0,36699,Patrick Rodgers,70.04,3642,52
78,0,34099,Harris English,70.05,3012,43
78,0,48867,Matti Schmid,70.05,2872,41
78,0,39327,Ben Silverman,70.05,2592,37
81,0,27129,Luke List,70.06,2172,31
81,0,24502,Adam Scott,70.06,2522,36
81,0,50095,Austin Smotherman,70.06,1191,17
84,0,59095,Chris Gotterup,70.07,2032,29
84,0,34098,Russell Henley,70.07,3013,43
84,0,50484,Hayden Springer,70.07,2943,42
84,0,57366,Cameron Young,70.07,3013,43
88,0,51766,Wyndham Clark,70.08,2593,37
88,0,47591,Eric Cole,70.08,3574,51
90,0,27936,Martin Laird,70.09,2453,35
90,0,28237,Rory McIlroy,70.09,3154,45
92,0,47504,Sam Burns,70.11,3295,47
92,0,23108,Matt Kuchar,70.11,2664,38
92,0,54783,Dylan Wu,70.11,2454,35
95,0,57900,Chandler Phillips,70.12,2875,41
96,0,48153,Matthieu Pavon,70.13,2244,32
97,0,25900,Lucas Glover,70.15,3297,47
98,0,29908,C.T. Pan,70.16,2175,31
98,0,27139,David Skinns,70.16,3017,43
100,0,32367,Jorge Campillo,70.17,1614,23
100,0,34563,Chesson Hadley,70.17,2105,30
102,0,49771,J.T. Poston,70.18,3088,44
102,0,37275,Sam Ryder,70.18,2667,38
104,0,47663,Kevin Dougherty,70.22,2247,32
105,0,52514,Trace Crowe,70.26,2389,34
106,0,51287,Ryo Hisatsune,70.27,2319,33
107,0,57975,Harry Hall,70.28,2249,32
108,0,47995,Davis Riley,70.29,2460,35
108,0,47483,Will Zalatoris,70.29,2952,42
110,0,39997,Corey Conners,70.31,3445,49
110,0,25493,Nick Taylor,70.31,2742,39
112,0,35450,Patrick Cantlay,70.35,2603,37
113,0,59442,Parker Coody,70.36,1970,28
113,0,54628,Lee Hodges,70.36,3518,50
113,0,39975,Michael Kim,70.36,2955,42
116,0,32640,Troy Merritt,70.38,2604,37
116,0,30927,Brendon Todd,70.38,3519,50
116,0,38991,Alejandro Tosti,70.38,2393,34
119,0,40058,Zac Blair,70.40,3027,43
119,0,27644,Brian Harman,70.40,3027,43
119,0,26476,Chez Reavie,70.40,2464,35
122,0,59836,Pierceson Coody,70.41,2746,39
123,0,32366,Kevin Chappell,70.43,1620,23
124,0,45609,Tyler Duncan,70.44,2536,36
124,0,34046,Jordan Spieth,70.44,2395,34
126,0,49947,Taylor Moore,70.45,3452,49
126,0,23320,Ryan Palmer,70.45,1550,22
128,0,33141,Keegan Bradley,70.48,2819,40
129,0,52372,Cameron Champ,70.53,2257,32
130,0,46717,Viktor Hovland,70.54,1834,26
131,0,48117,Kurt Kitayama,70.55,2681,38
132,0,59866,Nick Dunlap,70.57,2611,37
132,0,47420,Jake Knapp,70.57,2611,37
132,0,55789,Taylor Montgomery,70.57,1976,28
135,0,36326,David Lipsky,70.61,2542,36
136,0,28775,Nate Lashley,70.62,2401,34
137,0,40098,Matt Fitzpatrick,70.63,2684,38
138,0,30926,Chris Kirk,70.66,2897,41
138,0,52374,Brandon Wu,70.66,2473,35
140,0,31646,Emiliano Grillo,70.68,2827,40
140,0,33486,Roger Sloan,70.68,1979,28
142,0,29936,Ryan Fox,70.69,3181,45
142,0,60767,Blaine Hale Jr.,70.69,1838,26
144,0,36884,Ben Kohles,70.70,3323,47
145,0,46113,Ryan McCormick,70.71,2192,31
146,0,32070,Rafael Campos,70.72,2263,32
147,0,47983,Chad Ramey,70.77,3326,47
148,0,46441,Robby Shelton,70.82,2762,39
149,0,28089,Jason Day,70.83,2479,35
150,0,50497,Adrien Dumont de Chassart,70.84,2692,38
151,0,26596,Ryan Moore,70.85,2763,39
151,0,49960,Sepp Straka,70.85,2905,41
153,0,55454,Carl Yuan,70.88,2339,33
154,0,32102,Rickie Fowler,70.89,2694,38
154,0,54421,Garrick Higgo,70.89,2694,38
156,0,50493,Justin Suh,70.91,2482,35
156,0,48699,Callum Tarren,70.91,2269,32
158,0,22405,Justin Rose,70.92,1844,26
159,0,33968,ThorbjÃ¸rn Olesen,70.95,1561,22
160,0,39977,Max Homa,70.97,2484,35
160,0,34466,Peter Malnati,70.97,2484,35
162,0,56149,Wilson Furr,71.00,1846,26
163,0,50188,S.H. Kim,71.02,3125,44
164,0,48119,Ben Taylor,71.03,2131,30
165,0,45157,Cam Davis,71.08,2843,40
166,0,28420,Ryan Brehm,71.10,2204,31
167,0,55708,Hayden Buckley,71.17,2491,35
167,0,51070,Vincent Norrman,71.17,1637,23
167,0,29221,Webb Simpson,71.17,1708,24
170,0,22371,Aaron Baddeley,71.18,2349,33
171,0,47347,Adam Schenk,71.26,2993,42
172,0,36871,Matt NeSmith,71.27,2637,37
173,0,27330,Josh Teater,71.30,1640,23
174,0,48319,Tom Whitney,71.32,2211,31
175,0,33408,Tyson Alexander,71.38,2641,37
176,0,52453,Nicolai HÃ¸jgaard,71.43,2000,28
177,0,27649,Brandt Snedeker,71.52,2217,31
177,0,35617,Martin Trainer,71.52,1931,27
177,0,27770,Camilo Villegas,71.52,1931,27
180,0,31323,Gary Woodland,71.75,2296,32
181,0,29478,Kevin Kisner,72.04,1729,24
182,0,37212,Paul Barjon,72.19,1877,26
183,0,34374,Erik Barnes,72.42,1883,26
184,0,47806,Raul Pereda,72.64,1598,22
