RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,08793,Tiger Woods,69.78,254,364
2,0,01968,Nick Price,68.54,281,410
3,0,01706,Davis Love III,67.28,255,379
4,0,01527,Scott Hoch,66.53,324,487
5,0,01132,Mark Brooks,66.07,370,560
6,0,01320,Bob Estes,66.04,315,477
7,0,02239,Scott Verplank,65.99,324,491
8,0,02010,Loren Roberts,65.52,325,496
9,0,08931,Glen Day,65.46,345,527
10,0,01666,Bernhard Langer,65.43,212,324
11,0,12660,Jesper Parnevik,65.32,339,519
12,0,10809,Jim Furyk,64.91,296,456
13,0,01381,Fred Funk,64.72,433,669
14,0,10423,Mike Weir,64.55,315,488
15,0,21961,Charles Howell III,64.29,261,406
16,0,01761,Len Mattiace,64.17,403,628
17,0,06527,Steve Stricker,64.06,262,409
18,0,01418,Bill Glasson,63.95,243,380
19,0,01329,Brad Faxon,63.88,329,515
20,0,01945,Kenny Perry,63.76,292,458
21,0,20593,Greg Chalmers,63.69,349,548
22,0,19846,Brian Gay,63.66,417,655
23,0,06332,Neal Lancaster,63.58,384,604
24,0,01823,Larry Mize,63.56,300,472
25,0,01928,Corey Pavin,63.50,294,463
26,0,19881,Robert Damron,63.46,363,572
27,0,10457,Frank Nobilo,63.44,328,517
28,0,02294,Willie Wood,63.25,222,351
29,0,01307,Joel Edwards,63.09,347,550
30,0,01810,Phil Mickelson,63.07,263,417
31,0,01042,Paul Azinger,63.01,276,438
31,0,02257,Brian Watts,63.01,218,346
33,0,10585,Scott McCarron,62.99,320,508
34,0,21806,Paul Gow,62.87,298,474
35,0,02218,Ted Tryba,62.86,413,657
36,0,06078,Esteban Toledo,62.78,447,712
37,0,12652,Cameron Beckman,62.77,349,556
38,0,02214,Kirk Triplett,62.75,278,443
39,0,06004,Stephen Ames,62.74,293,467
40,0,07003,David Berganio Jr.,62.73,271,432
41,0,01014,Fulton Allem,62.64,228,364
42,0,06315,Pete Jordan,62.60,405,647
42,0,01887,Mark O'Meara,62.60,231,369
