RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE
1,0,39997,Corey Conners,79.79,991,1242,-271.00
2,0,28237,Rory McIlroy,78.56,806,1026,-305.00
3,0,30946,Alex Prugh,78.46,805,1026,-221.00
4,0,36689,Brooks Koepka,77.87,813,1044,-273.00
5,0,25364,Paul Casey,77.78,770,990,-237.00
6,0,33448,Justin Thomas,77.48,781,1008,-285.00
7,0,27064,Jhonattan Vegas,77.41,850,1098,-281.00
8,0,32839,Hideki Matsuyama,77.32,1016,1314,-343.00
9,0,27330,Josh Teater,77.25,737,954,-210.00
10,0,52372,Cameron Champ,76.63,938,1224,-285.00
11,0,46970,Jon Rahm,76.52,730,954,-259.00
12,0,27214,Kevin Streelman,76.17,946,1242,-249.00
13,0,33418,Shawn Stefani,76.16,850,1116,-231.00
14,0,30944,Jason Kokrak,76.00,1026,1350,-328.00
15,0,31323,Gary Woodland,75.98,889,1170,-303.00
16,0,49766,Hank Lebioda,75.96,793,1044,-232.00
17,0,49964,Aaron Wise,75.93,738,972,-255.00
18,0,49960,Sepp Straka,75.67,790,1044,-261.00
19,0,28089,Jason Day,75.65,640,846,-197.00
20,0,40115,Adam Svensson,75.56,748,990,-206.00
20,0,25804,Bubba Watson,75.56,680,900,-203.00
22,0,48822,Sebastián Muñoz,75.52,870,1152,-279.00
23,0,26951,Johnson Wagner,75.41,638,846,-187.00
24,0,46402,Talor Gooch,75.35,651,864,-194.00
25,0,33141,Keegan Bradley,75.29,908,1206,-241.00
25,0,34306,John Chin,75.29,515,684,-135.00
27,0,35732,Wes Roach,75.28,664,882,-191.00
28,0,29518,Brendan Steele,75.27,691,918,-168.00
29,0,48081,Xander Schauffele,75.26,718,954,-232.00
30,0,35450,Patrick Cantlay,75.24,772,1026,-277.00
31,0,33122,Russell Knox,75.14,798,1062,-209.00
32,0,33419,Cameron Tringale,74.95,688,918,-213.00
33,0,33948,Byeong Hun An,74.86,822,1098,-265.00
34,0,49298,Kramer Hickok,74.76,794,1062,-211.00
35,0,29970,Dylan Frittelli,74.75,915,1224,-261.00
36,0,45157,Cam Davis,74.66,766,1026,-242.00
37,0,30925,Dustin Johnson,74.60,752,1008,-266.00
38,0,27936,Martin Laird,74.58,980,1314,-291.00
39,0,24502,Adam Scott,74.49,590,792,-216.00
40,0,23320,Ryan Palmer,74.40,683,918,-219.00
41,0,33667,Carlos Ortiz,74.38,964,1296,-269.00
42,0,29535,Brice Garnett,74.36,870,1170,-250.00
43,0,25900,Lucas Glover,74.35,1084,1458,-337.00
44,0,47347,Adam Schenk,74.24,1095,1475,-339.00
45,0,46601,Trey Mullinax,74.16,841,1134,-240.00
46,0,37275,Sam Ryder,74.07,800,1080,-246.00
47,0,32640,Troy Merritt,74.01,746,1008,-259.00
48,0,47959,Bryson DeChambeau,73.91,878,1188,-298.00
49,0,39971,Sungjae Im,73.89,1330,1800,-429.00
49,0,45486,Joaquin Niemann,73.89,1064,1440,-315.00
51,0,34098,Russell Henley,73.86,811,1098,-219.00
52,0,29725,Tony Finau,73.85,864,1170,-272.00
53,0,27095,Nick Watney,73.83,917,1242,-270.00
54,0,49303,Anders Albertson,73.82,691,936,-189.00
54,0,21961,Charles Howell III,73.82,970,1314,-302.00
54,0,23108,Matt Kuchar,73.82,877,1188,-273.00
57,0,25818,Scott Piercy,73.81,930,1260,-272.00
58,0,39324,J.J. Spaun,73.78,850,1152,-239.00
59,0,32200,Roberto Castro,73.75,823,1116,-224.00
60,0,37340,Chase Wright,73.59,755,1026,-240.00
61,0,31646,Emiliano Grillo,73.54,728,990,-210.00
62,0,45609,Tyler Duncan,73.50,860,1170,-204.00
62,0,37189,Harold Varner III,73.50,979,1332,-285.00
64,0,21528,Henrik Stenson,73.41,555,756,-143.00
65,0,10809,Jim Furyk,73.39,753,1026,-191.00
66,0,27129,Luke List,73.33,726,990,-229.00
67,0,24924,Bill Haas,73.22,804,1098,-232.00
68,0,25686,Jason Dufner,73.20,751,1026,-191.00
69,0,24781,Hunter Mahan,73.17,619,846,-174.00
70,0,28775,Nate Lashley,73.13,724,990,-219.00
71,0,47990,Kyle Jones,73.05,710,972,-186.00
72,0,29268,Bronson Burgoon,72.93,617,846,-171.00
72,0,30110,Kyle Stanley,72.93,722,990,-198.00
74,0,35421,Brandon Harkins,72.87,905,1242,-278.00
75,0,27974,Sung Kang,72.86,918,1260,-261.00
76,0,29478,Kevin Kisner,72.85,931,1278,-279.00
77,0,28679,Fabián Gómez,72.80,629,864,-172.00
77,0,32333,Kevin Tway,72.80,878,1206,-251.00
79,0,33399,Adam Hadwin,72.76,812,1116,-249.00
79,0,35532,Tom Hoge,72.76,943,1296,-268.00
81,0,30911,Tommy Fleetwood,72.67,654,900,-194.00
82,0,26476,Chez Reavie,72.54,914,1260,-275.00
83,0,34021,Bud Cauley,72.52,966,1332,-303.00
84,0,46523,Joey Garber,72.48,561,774,-141.00
85,0,26851,Marc Leishman,72.42,743,1026,-228.00
86,0,34431,Robert Streb,72.41,782,1080,-208.00
87,0,26596,Ryan Moore,72.40,821,1134,-257.00
88,0,34076,Joel Dahmen,72.37,990,1368,-290.00
88,0,23621,Rory Sabbatini,72.37,990,1368,-324.00
90,0,28259,Sangmoon Bae,72.36,521,720,-130.00
91,0,36699,Patrick Rodgers,72.35,586,810,-182.00
92,0,32102,Rickie Fowler,72.31,820,1134,-281.00
93,0,49771,J.T. Poston,72.29,1145,1584,-335.00
94,0,34099,Harris English,72.22,1027,1422,-295.00
94,0,23353,J.J. Henry,72.22,533,738,-90.00
94,0,26300,Matt Jones,72.22,858,1188,-267.00
94,0,29221,Webb Simpson,72.22,897,1242,-307.00
94,0,25493,Nick Taylor,72.22,1118,1548,-331.00
99,0,47128,Richy Werenski,72.15,948,1314,-275.00
100,0,39546,Keith Mitchell,72.13,792,1098,-250.00
101,0,36799,Stephan Jaeger,72.12,740,1026,-201.00
102,0,33410,Andrew Landry,72.05,843,1170,-242.00
103,0,47993,Denny McCarthy,71.98,894,1242,-314.00
104,0,31557,Jim Herman,71.93,492,684,-137.00
105,0,29479,Scott Brown,71.90,880,1224,-258.00
106,0,34360,Patrick Reed,71.84,944,1314,-312.00
107,0,47856,Seth Reeves,71.80,685,954,-187.00
108,0,36852,Jim Knous,71.79,504,702,-128.00
109,0,27644,Brian Harman,71.75,917,1278,-273.00
109,0,34264,Hudson Swafford,71.75,607,846,-187.00
111,0,35506,Mackenzie Hughes,71.72,852,1188,-236.00
112,0,34363,Tyrrell Hatton,71.69,542,756,-150.00
113,0,21209,Sergio Garcia,71.64,490,684,-162.00
114,0,45526,Abraham Ancer,71.60,915,1278,-277.00
115,0,30692,Scott Stallings,71.57,876,1224,-257.00
116,0,40098,Matt Fitzpatrick,71.47,476,666,-130.00
117,0,35376,Roberto Díaz,71.46,656,918,-193.00
118,0,26758,David Hearn,71.41,437,612,-111.00
119,0,23325,Vaughn Taylor,71.34,1053,1476,-339.00
120,0,51766,Wyndham Clark,71.31,937,1314,-333.00
121,0,39977,Max Homa,71.26,885,1242,-263.00
122,0,29420,Billy Horschel,71.18,884,1242,-249.00
123,0,27958,Ryan Blaum,71.14,922,1296,-267.00
124,0,40026,Daniel Berger,71.09,755,1062,-210.00
124,0,27895,Jonas Blixt,71.09,819,1152,-240.00
124,0,40009,Dominic Bozzelli,71.09,627,882,-208.00
124,0,22405,Justin Rose,71.09,627,882,-219.00
128,0,46435,Austin Cook,71.07,678,954,-216.00
129,0,27349,Alex Noren,71.06,550,774,-150.00
130,0,32150,Michael Thompson,71.03,831,1170,-250.00
131,0,37455,Si Woo Kim,71.00,754,1062,-240.00
132,0,32139,Danny Willett,70.89,638,900,-170.00
133,0,39327,Ben Silverman,70.83,714,1008,-178.00
134,0,29223,Sam Saunders,70.81,854,1206,-254.00
135,0,29926,Danny Lee,70.76,917,1296,-253.00
136,0,24138,Ian Poulter,70.71,560,792,-195.00
136,0,33486,Roger Sloan,70.71,891,1260,-276.00
138,0,37454,Whee Kim,70.69,598,846,-159.00
139,0,19803,Ryan Armour,70.67,954,1350,-257.00
140,0,27649,Brandt Snedeker,70.49,1015,1440,-315.00
141,0,12716,Charley Hoffman,70.45,596,846,-176.00
142,0,32791,K.H. Lee,70.43,786,1116,-205.00
143,0,47504,Sam Burns,70.42,862,1224,-279.00
143,0,20472,Alex Cejka,70.42,507,720,-107.00
145,0,29484,Peter Uihlein,70.40,735,1044,-230.00
146,0,35449,Adam Long,70.26,860,1224,-222.00
147,0,27556,Ted Potter Jr.,70.19,758,1080,-210.00
148,0,35461,Beau Hossler,69.85,855,1224,-258.00
149,0,32058,José de Jesús Rodríguez,69.84,616,882,-186.00
150,0,30786,Brady Schnell,69.80,490,702,-132.00
151,0,01810,Phil Mickelson,69.78,628,900,-185.00
152,0,31560,Brian Stuard,69.62,965,1386,-268.00
153,0,32816,Satoshi Kodaira,69.61,639,918,-157.00
154,0,32757,Patton Kizzire,69.50,663,954,-200.00
155,0,27141,J.B. Holmes,69.44,600,864,-175.00
