RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
1,0,35461,Beau Hossler,1.33,16,1206
2,2,23108,Matt Kuchar,1.49,15,1008
3,2,49771,J.T. Poston,1.50,21,1404
4,-2,46970,Jon Rahm,1.53,16,1044
5,-2,34363,Tyrrell Hatton,1.59,12,756
6,0,46402,Talor Gooch,1.67,25,1494
7,7,29221,Webb Simpson,1.71,16,936
8,-1,29535,Brice Garnett,1.72,18,1044
9,-1,23325,Vaughn Taylor,1.73,19,1098
10,-1,24502,Adam Scott,1.75,12,684
11,-1,36699,Patrick Rodgers,1.77,29,1638
12,-1,27649,Brandt Snedeker,1.78,17,954
12,-1,31560,Brian Stuard,1.78,26,1458
14,-1,34021,Bud Cauley,1.82,20,1098
15,-1,40098,Matt Fitzpatrick,1.85,18,972
15,-1,27644,Brian Harman,1.85,26,1404
17,1,34360,Patrick Reed,1.88,25,1332
18,-4,34099,Harris English,1.90,26,1368
18,1,35506,Mackenzie Hughes,1.90,24,1260
20,-1,36801,Mark Hubbard,1.94,30,1548
20,-1,25818,Scott Piercy,1.94,23,1188
22,0,20229,Stewart Cink,1.96,18,918
22,0,01810,Phil Mickelson,1.96,18,918
24,1,31323,Gary Woodland,1.97,22,1116
25,3,47504,Sam Burns,2.01,21,1044
25,3,32448,James Hahn,2.01,13,648
27,3,32757,Patton Kizzire,2.02,20,990
28,-1,29420,Billy Horschel,2.04,29,1422
29,2,27349,Alex Noren,2.08,21,1008
30,2,24024,Zach Johnson,2.09,23,1098
30,2,47993,Denny McCarthy,2.09,29,1386
32,-6,45526,Abraham Ancer,2.10,28,1332
32,2,28089,Jason Day,2.10,20,954
32,6,46717,Viktor Hovland,2.10,28,1332
35,0,19846,Brian Gay,2.12,24,1134
36,2,33399,Adam Hadwin,2.14,25,1170
36,2,39977,Max Homa,2.14,27,1260
38,6,47959,Bryson DeChambeau,2.15,24,1116
39,2,34256,Andrew Putnam,2.17,18,828
39,2,25349,Tim Wilkinson,2.17,18,828
41,3,29484,Peter Uihlein,2.20,17,774
42,4,33597,Harry Higgs,2.21,33,1494
42,-1,29478,Kevin Kisner,2.21,29,1314
44,3,35230,Nelson Ledesma,2.22,16,720
45,4,26476,Chez Reavie,2.24,31,1386
46,1,39971,Sungjae Im,2.25,38,1692
47,4,25804,Bubba Watson,2.27,27,1188
48,-13,29725,Tony Finau,2.31,30,1296
48,4,24138,Ian Poulter,2.31,20,864
50,3,34046,Jordan Spieth,2.33,26,1116
50,3,32150,Michael Thompson,2.33,26,1116
52,3,25493,Nick Taylor,2.35,25,1062
53,3,22371,Aaron Baddeley,2.36,20,846
53,8,33448,Justin Thomas,2.36,28,1188
55,2,47128,Richy Werenski,2.38,24,1008
56,2,34076,Joel Dahmen,2.39,34,1422
57,2,33490,Bo Hoag,2.40,29,1206
58,2,29268,Bronson Burgoon,2.41,23,954
59,16,35891,Cameron Smith,2.43,28,1152
60,2,34466,Peter Malnati,2.44,25,1026
61,2,32640,Troy Merritt,2.45,30,1224
61,2,36871,Matthew NeSmith,2.45,30,1224
63,3,34098,Russell Henley,2.47,28,1134
63,3,33413,Ben Martin,2.47,16,648
63,3,33667,Carlos Ortiz,2.47,32,1296
66,14,30927,Brendon Todd,2.52,39,1548
67,2,32102,Rickie Fowler,2.53,20,792
67,2,28679,Fabián Gómez,2.53,25,990
67,2,26596,Ryan Moore,2.53,20,792
70,2,35450,Patrick Cantlay,2.54,21,828
71,2,56278,Matthew Wolff,2.55,34,1332
72,2,53165,Doc Redman,2.57,38,1476
73,9,25396,Kevin Na,2.58,33,1278
74,2,26758,David Hearn,2.61,24,918
75,2,26499,Rafa Cabrera Bello,2.62,25,954
75,2,49960,Sepp Straka,2.62,33,1260
77,2,37189,Harold Varner III,2.63,35,1332
78,2,12716,Charley Hoffman,2.64,28,1062
79,3,30692,Scott Stallings,2.65,32,1206
80,4,27963,Chris Stroud,2.66,22,828
80,4,32333,Kevin Tway,2.66,23,864
82,4,25364,Paul Casey,2.68,27,1008
83,3,28237,Rory McIlroy,2.69,29,1080
84,4,10809,Jim Furyk,2.71,19,702
84,4,35449,Adam Long,2.71,43,1584
86,11,30925,Dustin Johnson,2.72,24,882
87,3,28775,Nate Lashley,2.78,26,936
87,11,48822,Sebastián Muñoz,2.78,42,1512
87,3,26329,Louis Oosthuizen,2.78,24,864
87,15,23320,Ryan Palmer,2.78,34,1224
87,3,34431,Robert Streb,2.78,25,900
92,3,45609,Tyler Duncan,2.81,42,1494
93,3,21961,Charles Howell III,2.82,35,1242
93,30,26851,Marc Leishman,2.82,31,1098
95,12,35310,Lanto Griffin,2.84,47,1656
96,2,37455,Si Woo Kim,2.85,38,1332
96,2,46442,Maverick McNealy,2.85,39,1368
96,2,30163,Henrik Norlander,2.85,38,1332
99,3,37275,Sam Ryder,2.86,36,1260
100,4,39324,J.J. Spaun,2.87,30,1044
101,4,29908,C.T. Pan,2.88,29,1008
102,4,27214,Kevin Streelman,2.89,38,1314
103,4,46441,Robby Shelton,2.90,37,1278
103,4,35658,Kris Ventura,2.90,23,792
103,4,48887,Matt Wallace,2.90,23,792
106,5,33410,Andrew Landry,2.91,33,1134
107,5,22405,Justin Rose,2.92,20,684
108,5,40009,Dominic Bozzelli,2.93,19,648
108,5,24361,Pat Perez,2.93,29,990
110,5,33141,Keegan Bradley,2.94,36,1224
110,5,33486,Roger Sloan,2.94,27,918
112,-22,40026,Daniel Berger,2.95,34,1152
113,16,46046,Scottie Scheffler,2.98,44,1476
113,4,39953,Chase Seiffert,2.98,29,972
115,3,32618,Rhein Gibson,3.00,27,900
115,3,26300,Matt Jones,3.00,41,1368
115,3,33122,Russell Knox,3.00,34,1134
115,3,33419,Cameron Tringale,3.00,34,1134
119,3,25572,Graeme McDowell,3.01,26,864
120,4,46435,Austin Cook,3.06,33,1080
121,4,35532,Tom Hoge,3.08,41,1332
122,4,32791,K.H. Lee,3.09,40,1296
123,4,51766,Wyndham Clark,3.10,34,1098
123,14,48081,Xander Schauffele,3.10,39,1260
125,4,28252,Seamus Power,3.13,18,576
126,5,19803,Ryan Armour,3.16,33,1044
127,5,33120,Mark Anderson,3.19,27,846
128,5,22056,Cameron Percy,3.21,26,810
129,5,27064,Jhonattan Vegas,3.22,29,900
130,5,39997,Corey Conners,3.23,43,1332
131,15,50525,Collin Morikawa,3.26,47,1440
131,5,25632,Jimmy Walker,3.26,27,828
133,4,23621,Rory Sabbatini,3.28,39,1188
133,4,27095,Nick Watney,3.28,26,792
135,5,29479,Scott Brown,3.30,38,1152
136,5,48119,Ben Taylor,3.31,25,756
136,5,23788,D.J. Trahan,3.31,28,846
138,5,32254,Xinjun Zhang,3.32,46,1386
139,5,36689,Brooks Koepka,3.33,24,720
139,5,32139,Danny Willett,3.33,24,720
141,6,40058,Zac Blair,3.37,40,1188
142,9,32839,Hideki Matsuyama,3.38,45,1332
143,5,32366,Kevin Chappell,3.39,25,738
143,5,29974,Branden Grace,3.39,25,738
