RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE EARLY RDS.
1,0,35450,Patrick Cantlay,67.38,539,8
2,0,46046,Scottie Scheffler,67.50,540,8
3,0,52955,Ludvig Ãberg,67.54,878,13
4,0,48081,Xander Schauffele,67.55,743,11
5,0,29725,Tony Finau,67.75,813,12
6,0,39546,Keith Mitchell,67.77,881,13
7,0,28237,Rory McIlroy,67.78,610,9
8,0,51766,Wyndham Clark,68.00,884,13
8,0,39997,Corey Conners,68.00,748,11
8,0,33399,Adam Hadwin,68.00,544,8
8,0,49771,J.T. Poston,68.00,544,8
12,0,45522,Christiaan Bezuidenhout,68.08,817,12
12,0,36699,Patrick Rodgers,68.08,817,12
14,0,47679,Victor Perez,68.15,886,13
15,0,32839,Hideki Matsuyama,68.17,818,12
16,0,37455,Si Woo Kim,68.31,888,13
17,0,39971,Sungjae Im,68.36,752,11
18,0,35532,Tom Hoge,68.37,1299,19
19,0,57366,Cameron Young,68.40,684,10
20,0,51349,Nico Echavarria,68.47,1027,15
21,0,27936,Martin Laird,68.50,685,10
22,0,51634,Sahith Theegala,68.53,1302,19
23,0,34255,Joseph Bramlett,68.56,1097,16
23,0,48117,Kurt Kitayama,68.56,617,9
23,0,51894,Vince Whaley,68.56,1234,18
26,0,39975,Michael Kim,68.57,1440,21
27,0,50525,Collin Morikawa,68.58,823,12
28,0,35461,Beau Hossler,68.60,1029,15
29,0,36801,Mark Hubbard,68.63,1647,24
30,0,34021,Bud Cauley,68.64,755,11
31,0,48084,Wesley Bryan,68.67,618,9
32,0,54591,Ben Griffin,68.68,1717,25
33,0,31646,Emiliano Grillo,68.69,893,13
34,0,47504,Sam Burns,68.70,687,10
35,0,60004,Jacob Bridgeman,68.71,1168,17
35,0,30926,Chris Kirk,68.71,481,7
37,0,34587,Chan Kim,68.73,1031,15
37,0,32333,Kevin Tway,68.73,756,11
37,0,48887,Matt Wallace,68.73,756,11
40,0,28089,Jason Day,68.75,825,12
41,0,34098,Russell Henley,68.80,344,5
41,0,57900,Chandler Phillips,68.80,1376,20
43,0,51977,Max Greyserman,68.83,826,12
44,0,33448,Justin Thomas,68.86,482,7
45,0,52375,Doug Ghim,68.87,1584,23
46,0,40058,Zac Blair,68.89,1240,18
