RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. (INCHES),TOTAL ROUNDS,AVG DIST.,BEST ROUND
120,0,24140,Sean O'Hair,72' 3",58936,68,405,4402001568
122,0,10885,Robert Allenby,72' 1",74412,86,405,1001001767
123,0,01388,Robert Gamez,72' 0",61309,71,403,4101001671
123,0,25900,Lucas Glover,72' 0",71677,83,404,1201001677
123,0,26695,Michael Letzig,72' 0",63954,74,404,4801002167
126,0,23614,Rich Beem,71' 11",68173,79,404,4601001911
126,0,01706,Davis Love III,71' 11",56110,65,403,1601001710
126,0,10423,Mike Weir,71' 11",56931,66,404,3901001684
129,0,07749,Brett Quigley,71' 9",62865,73,405,1001001683
130,0,08931,Glen Day,71' 7",48078,56,405,1004001636
130,0,02002,John Riegger,71' 7",54950,64,400,4601001726
132,0,20623,Gavin Coles,71' 6",37768,44,405,3102001395
133,0,25842,Jon Mills,71' 5",66827,78,400,0504001824
134,0,20472,Alex Cejka,71' 4",51352,60,400,1202001569
134,0,01577,Lee Janzen,71' 4",64228,75,402,4402001648
134,0,24024,Zach Johnson,71' 4",60760,71,402,4802001589
134,0,22913,John Rollins,71' 4",67618,79,403,0402001517
138,0,06197,Michael Allen,71' 3",66714,78,402,3804001818
138,0,10809,Jim Furyk,71' 3",64115,75,399,4303001757
138,0,20574,Mathew Goggin,71' 3",70128,82,402,2402001708
141,0,01320,Bob Estes,71' 2",73453,86,401,3303001814
142,0,09011,David Duval,71' 1",34966,41,400,2401001286
142,0,20127,Chris Riley,71' 1",34125,40,399,3701001784
144,0,01142,Bart Bryant,71' 0",57114,67,398,1002001482
144,0,20572,Rod Pampling,71' 0",57942,68,399,2301001398
146,0,21209,Sergio Garcia,70' 11",47659,56,398,2504001930
147,0,01766,Billy Mayfair,70' 10",80790,95,398,2101001658
148,0,12680,Shigeki Maruyama,70' 9",35673,42,400,3001001385
148,0,20443,Jin Park,70' 9",59396,70,397,2002001447
150,0,06034,Marco Dawson,70' 8",45781,54,398,4701002056
150,0,23497,Tag Ridings,70' 8",68656,81,397,3702001979
152,0,26679,Kevin Stadler,70' 7",61824,73,398,1102001774
153,0,24663,Y.E. Yang,70' 6",67717,80,395,4804001518
154,0,20157,Retief Goosen,70' 5",35482,42,398,3501001609
155,0,20645,John Senden,70' 4",69211,82,397,1804001601
156,0,22621,Ben Curtis,70' 3",53132,63,397,2704001354
156,0,06621,Joe Durant,70' 3",66580,79,394,4904001617
156,0,12716,Charley Hoffman,70' 3",72488,86,395,0304001860
159,0,10649,Tom Scherrer,70' 2",37034,44,393,4602001327
160,0,20766,Padraig Harrington,70' 0",26880,32,396,2503001400
161,0,01797,Rocco Mediate,69' 11",57909,69,392,2101001386
162,0,24912,Will MacKenzie,69' 10",47781,57,392,2902001676
162,0,27120,Troy Matteson,69' 10",74577,89,392,2701001650
164,0,12826,Paul Claxton,69' 8",41790,50,391,0304001392
165,0,23540,Jason Allred,69' 6",41700,50,390,4502001490
165,0,25594,Travis Perkins,69' 6",33371,40,389,0602001244
167,0,06573,Brandt Jobe,69' 5",39158,47,388,4401001606
168,0,20498,Briny Baird,69' 4",79824,96,389,0504001947
168,0,10875,Todd Demsey,69' 4",59052,71,390,4401001475
170,0,27963,Chris Stroud,69' 2",54768,66,389,1002001632
171,0,01226,Fred Couples,69' 0",42223,51,388,3901001336
171,0,01677,Tom Lehman,69' 0",31467,38,388,2803001281
171,0,10425,Jay Williamson,69' 0",66254,80,390,3802001771
174,0,30925,Dustin Johnson,68' 7",66671,81,386,3102001374
175,0,23353,J.J. Henry,68' 5",81314,99,383,3901001667
175,0,27613,David Lutterus,68' 5",41026,50,385,4101001281
175,0,06090,Jim McGovern,68' 5",51692,63,384,2903001505
178,0,27933,John Merrick,68' 4",63110,77,382,1502001834
179,0,08845,Scott Sterling,68' 3",60574,74,384,4101001335
180,0,24227,Justin Bolli,68' 2",59707,73,381,3804001617
180,0,21961,Charles Howell III,68' 2",71154,87,382,2002001720
180,0,06567,Vijay Singh,68' 2",51513,63,384,3904002096
183,0,01139,Olin Browne,68' 1",57187,70,383,3301001506
184,0,08385,Omar Uresti,67' 10",51302,63,383,4102001708
185,0,02239,Scott Verplank,67' 9",52867,65,382,2504001698
186,0,23788,D.J. Trahan,67' 8",63337,78,381,2904001592
187,0,20105,Jeff Gove,67' 6",35633,44,379,1903001754
187,0,22293,Heath Slocum,67' 6",69669,86,379,2204001581
189,0,23778,Brad Adamonis,67' 2",61246,76,378,2001001820
189,0,21959,Ted Purdy,67' 2",47581,59,376,1901001663
191,0,25804,Bubba Watson,67' 0",64301,80,376,4004001741
192,0,06522,Ernie Els,66' 8",28815,36,376,1001001273
193,0,20848,Ángel Cabrera,65' 11",30854,39,372,3503001175
193,0,23797,Brett Rumford,65' 11",48236,61,371,3504001292
195,0,21805,Harrison Frazar,65' 9",48945,62,368,4401001884
196,0,23349,Charles Warren,64' 5",57207,74,360,2701001362
197,0,22378,Trevor Immelman,64' 0",41478,54,362,2404001508
