RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,DISTANCE RANK,ACCURACY RANK
1,0,08793,Tiger Woods,56,2,54
2,0,09011,David Duval,58,18,40
3,0,21209,Sergio Garcia,65,39,26
4,0,21805,Harrison Frazar,67,7,60
5,0,10885,Robert Allenby,75,10,65
6,0,01161,Mark Calcavecchia,86,31,55
7,0,06522,Ernie Els,89,38,51
8,0,01707,Steve Lowery,91,52,39
9,0,20095,Carl Paulson,92,14,78
10,0,02170,Hal Sutton,97,67,30
11,0,01943,Chris Perry,99,75,24
12,0,10425,Jay Williamson,106,63,43
13,0,01797,Rocco Mediate,108,88,20
14,0,06036,Scott Dunlap,109,78,31
15,0,01307,Joel Edwards,110,68,42
16,0,01418,Bill Glasson,115,27,88
17,0,01945,Kenny Perry,117,21,96
18,0,06621,Joe Durant,118,116,2
19,0,20094,Jonathan Kaye,121,71,50
19,0,01724,Jeff Maggert,121,105,16
21,0,12388,Michael Clark II,122,22,100
22,0,20574,Mathew Goggin,123,9,114
23,0,02206,David Toms,124,68,56
24,0,02214,Kirk Triplett,125,90,35
25,0,07457,Steve Flesch,126,32,94
26,0,01810,Phil Mickelson,130,3,127
27,0,20593,Greg Chalmers,134,42,92
27,0,01920,Craig Parry,134,122,12
27,0,01938,David Peoples,134,43,91
27,0,01968,Nick Price,134,97,37
31,0,01569,Peter Jacobsen,136,63,73
31,0,02245,Grant Waite,136,33,103
33,0,01706,Davis Love III,139,3,136
34,0,06567,Vijay Singh,142,30,112
35,0,01035,Tommy Armour III,144,28,116
35,0,19881,Robert Damron,144,34,110
35,0,12645,Brent Geiberger,144,86,58
38,0,23125,Brad Elder,146,56,90
38,0,02239,Scott Verplank,146,143,3
40,0,20043,Edward Fryatt,147,61,86
40,0,01577,Lee Janzen,147,83,64
42,0,10809,Jim Furyk,150,136,14
42,0,10860,Justin Leonard,150,105,45
44,0,01313,Steve Elkington,152,81,71
45,0,06251,Chris DiMarco,154,48,106
46,0,01408,Kelly Gibson,155,15,140
46,0,01677,Tom Lehman,155,103,52
48,0,01326,Nick Faldo,157,147,10
48,0,01975,Tom Purtzer,157,34,123
50,0,07867,Woody Austin,158,81,77
50,0,23614,Rich Beem,158,45,113
50,0,20445,Casey Martin,158,6,152
53,0,12660,Jesper Parnevik,159,93,66
54,0,01771,Blaine McCallister,160,140,20
55,0,24357,K.J. Choi,162,73,89
55,0,11032,Frank Lickliter II,162,139,23
55,0,06350,Bob May,162,57,105
58,0,01381,Fred Funk,163,162,1
59,0,01157,Tom Byrum,164,153,11
60,0,19824,Craig Barlow,165,24,141
60,0,12782,Tim Herron,165,12,153
62,0,01139,Olin Browne,166,160,6
62,0,01185,Brandel Chamblee,166,97,69
64,0,01761,Len Mattiace,167,97,70
65,0,10457,Frank Nobilo,168,127,41
66,0,20029,Notah Begay III,169,93,76
66,0,08375,Paul Stankowski,169,19,150
68,0,01388,Robert Gamez,170,126,44
69,0,06004,Stephen Ames,171,78,93
69,0,06575,Dudley Hart,171,110,61
69,0,01599,Steve Jones,171,41,130
72,0,01219,John Cook,172,143,29
72,0,01619,Skip Kendall,172,125,47
74,0,06809,Bob Burns,173,48,125
74,0,01766,Billy Mayfair,173,151,22
76,0,20098,Stuart Appleby,174,8,166
77,0,06581,David Sutherland,177,90,87
78,0,01527,Scott Hoch,178,131,47
78,0,08075,Jerry Kelly,178,80,98
78,0,06515,Shaun Micheel,178,52,126
78,0,01823,Larry Mize,178,173,5
78,0,02246,Duffy Waldorf,178,19,159
83,0,12680,Shigeki Maruyama,183,26,157
83,0,21949,Joe Ogilvie,183,54,129
85,0,01723,Andrew Magee,184,39,145
86,0,10585,Scott McCarron,185,5,180
87,0,24356,Jason Buha,186,75,111
87,0,07763,Doug Dunakey,186,37,149
89,0,19846,Brian Gay,187,170,17
90,0,08931,Glen Day,188,150,38
90,0,08993,Franklin Langham,188,93,95
92,0,12652,Cameron Beckman,189,29,160
92,0,06044,Scott Gump,189,182,7
92,0,23621,Rory Sabbatini,189,11,178
95,0,08545,Glen Hnatiuk,190,182,8
95,0,01553,John Huston,190,86,104
97,0,01249,John Daly,191,1,190
97,0,06573,Brandt Jobe,191,23,168
