RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,20229,Stewart Cink,245,Chrysler-Tampa,4,8 - Par 3 -
2,0,07101,Dave Stockton Jr.,239,100th Western,1,5 - Par 5 -
3,0,01098,Jay Don Blake,225,Bell Canadian,4,13 - Par 3
4,0,01381,Fred Funk,219,Bell Canadian,4,6 - Par 3 -
5,0,25034,James McLean,214,Honda Classic,1,17 - Par 5
6,0,20436,Garrett Willis,208,Deutsche Bank,2,11 - Par 3
7,0,01072,Chip Beck,206,Milwaukee Open,2,7 - Par 3 -
8,0,01361,Dan Forsman,204,Las Vegas Inv'l,5,5 - Par 3 -
9,0,06034,Marco Dawson,202,Shell Houston,3,3 - Par 3 -
10,0,06643,Paul Goydos,199,Wachovia Champ,1,18 - Par 4
11,0,02246,Duffy Waldorf,198,FUNAI-Disney,3,6 - Par 3 -
12,0,02170,Hal Sutton,192,Colonial,3,16 - Par 3
13,0,02049,Gene Sauers,191,EDS B. Nelson,4,18 - Par 4
14,0,01157,Tom Byrum,189,Greensboro,1,14 - Par 4
15,0,20585,Niclas Fasth,187,Bay Hill Invita,4,8 - Par 4 -
16,0,02294,Willie Wood,186,FedEx St. Jude,4,4 - Par 3 -
17,0,23353,J.J. Henry,183,Hartford Open,2,10 - Par 4
18,0,01329,Brad Faxon,182,EDS B. Nelson,1,5 - Par 3 -
19,0,01948,Tim Petrovic,182,EDS B. Nelson,2,5 - Par 3 -
20,0,22624,Joel Kribel,182,FedEx St. Jude,2,11 - Par 3
21,0,12782,Tim Herron,181,Phoenix Open,2,4 - Par 3 -
22,0,08547,John Maginnes,180,Texas Open,3,17 - Par 3
23,0,12680,Shigeki Maruyama,177,Colonial,1,8 - Par 3 -
24,0,01938,David Peoples,175,FedEx St. Jude,2,8 - Par 3 -
25,0,06809,Bob Burns,174,Phoenix Open,1,4 - Par 3 -
26,0,01713,David Lundstrom,173,Shell Houston,1,18 - Par 4
27,0,01761,Len Mattiace,170,Nissan Open,2,12 - Par 4
28,0,02135,Mike Standly,167,Pennsylvania,2,17 - Par 3
29,0,01035,Tommy Armour III,164,Bell Canadian,4,9 - Par 4 -
30,0,23621,Rory Sabbatini,164,Phoenix Open,3,11 - Par 4
31,0,12602,Dean Wilson,164,EDS B. Nelson,3,6 - Par 4 -
32,0,10423,Mike Weir,163,Memorial Tourna,3,1 - Par 4 -
33,0,01926,Steve Pate,163,Hartford Open,3,14 - Par 4
34,0,01313,Steve Elkington,162,Phoenix Open,3,18 - Par 4
35,0,10201,Matt Gogel,161,Nissan Open,2,16 - Par 3
36,0,22295,Darron Stiles,160,100th Western,4,16 - Par 4
37,0,23788,D.J. Trahan,158,Buick Classic,2,8 - Par 4 -
40,0,01577,Lee Janzen,156,FedEx St. Jude,1,13 - Par 4
41,0,01203,Russ Cochran,154,FedEx St. Jude,2,1 - Par 4 -
42,0,23983,Luke Donald,154,Reno-Tahoe Open,2,18 - Par 4
43,0,01374,Robin Freeman,153,Hartford Open,3,3 - Par 4 -
44,0,20098,Stuart Appleby,152,WGC-NEC Invit'l,3,14 - Par 4
45,0,10809,Jim Furyk,152,Honda Classic,4,12 - Par 4
46,0,07941,Mike Grob,152,Deutsche Bank,1,12 - Par 4
47,0,12652,Cameron Beckman,147,Reno-Tahoe Open,4,8 - Par 4 -
49,0,20498,Briny Baird,146,FedEx St. Jude,1,13 - Par 4
51,0,01941,Tom Pernice Jr.,144,FUNAI-Disney,1,16 - Par 4
52,0,25349,Tim Wilkinson,143,Deutsche Bank,2,4 - Par 4 -
53,0,23338,David Gossett,143,100th Western,3,1 - Par 4 -
54,0,12760,Danny Ellis,142,Capital Open,3,2 - Par 5 -
57,0,24511,Thongchai Jaidee,140,WGC-Am Express,3,17 - Par 4
59,0,08725,Tom Gillis,136,BellSouth Class,1,2 - Par 3 -
60,0,01677,Tom Lehman,136,Memorial Tourna,1,14 - Par 4
61,0,01143,Brad Bryant,135,So. Farm Bureau,4,17 - Par 4
62,0,02214,Kirk Triplett,134,HP Classic,2,9 - Par 4 -
63,0,01200,Keith Clearwater,132,B.C. Open,2,18 - Par 4
64,0,23552,Hank Kuehne,131,BellSouth Class,3,2 - Par 3 -
65,0,24361,Pat Perez,131,Memorial Tourna,2,5 - Par 5 -
67,0,23177,Kenneth Staton,128,Buick Open,1,2 - Par 4 -
68,0,02206,David Toms,128,WGC-NEC Invit'l,2,6 - Par 4 -
70,0,23091,Alan Morin,125,Honda Classic,2,7 - Par 4 -
71,0,20094,Jonathan Kaye,125,WGC-Am Express,4,8 - Par 4 -
72,0,12823,Carlos Franco,123,Wachovia Champ,2,1 - Par 4 -
73,0,20568,Anthony Painter,123,100th Western,1,8 - Par 4 -
74,0,01553,John Huston,122,Memorial Tourna,1,9 - Par 4 -
75,0,25692,Akio Sadakata,122,HP Classic,1,9 - Par 4 -
76,0,01945,Kenny Perry,122,Buick Open,3,10 - Par 4
77,0,08075,Jerry Kelly,122,WGC-NEC Invit'l,4,10 - Par 4
80,0,01014,Fulton Allem,120,Tucson,2,1 - Par 4 -
81,0,02002,John Riegger,119,So. Farm Bureau,1,3 - Par 4 -
83,0,11032,Frank Lickliter II,118,Milwaukee Open,3,15 - Par 5
84,0,02239,Scott Verplank,118,THE PLAYERS,4,4 - Par 4 -
85,0,07721,Pat Bates,117,Reno-Tahoe Open,3,18 - Par 4
87,0,02131,Mike Springer,116,Bell Canadian,3,7 - Par 4 -
88,0,01766,Billy Mayfair,116,Tucson,3,5 - Par 4 -
89,0,20566,Kaname Yokoo,115,Hartford Open,2,9 - Par 4 -
90,0,02101,Joey Sindelar,114,100th Western,2,7 - Par 4 -
91,0,11011,Mike Sposa,114,Buick Open,1,12 - Par 4
92,0,24925,Jonathan Byrd,114,Bay Hill Invita,3,3 - Par 4 -
98,0,23036,Chris Anderson,107,Bell Canadian,4,15 - Par 4
99,0,06573,Brandt Jobe,107,Chrysler-Tampa,1,7 - Par 4 -
100,0,10425,Jay Williamson,106,BellSouth Class,2,15 - Par 4
101,0,12510,Chad Campbell,106,Bob Hope Chrysl,4,14 - Par 5
102,0,25364,Paul Casey,105,WGC-NEC Invit'l,3,1 - Par 4 -
108,0,01968,Nick Price,101,Colonial,3,6 - Par 4 -
109,0,01139,Olin Browne,101,Shell Houston,3,12 - Par 5
110,0,06090,Jim McGovern,99,Pennsylvania,1,11 - Par 5
111,0,01249,John Daly,99,Buick Open,3,13 - Par 5
114,0,20095,Carl Paulson,98,HP Classic,1,4 - Par 4 -
115,0,06251,Chris DiMarco,98,Phoenix Open,3,6 - Par 4 -
117,0,06012,Greg Kraft,96,Milwaukee Open,3,18 - Par 5
119,0,01928,Corey Pavin,95,Bob Hope Chrysl,4,18 - Par 5
120,0,01927,Dennis Paulson,92,Milwaukee Open,4,18 - Par 5
121,0,01685,J.L. Lewis,91,Pennsylvania,4,4 - Par 4 -
122,0,06498,Matt Peterson,91,BellSouth Class,1,6 - Par 5 -
125,0,01175,Jim Carter,90,Wachovia Champ,3,5 - Par 5 -
126,0,20771,Steven Alker,90,Buick Invitatio,3,18 - Par 5
127,0,06515,Shaun Micheel,90,HP Classic,4,16 - Par 4
128,0,20623,Gavin Coles,87,BellSouth Class,2,6 - Par 5 -
129,0,01388,Robert Gamez,87,HP Classic,1,4 - Par 4 -
131,0,19972,José Coceres,86,FedEx St. Jude,4,9 - Par 4 -
132,0,08931,Glen Day,85,Ford Champ,1,1 - Par 5 -
