RANK,MOVEMENT,PLAYER_ID,PLAYER,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,0,01996,Mike Reid,1.99,149,75
2,0,08793,Tiger Woods,2.15,161,75
3,0,01320,Bob Estes,2.16,225,104
4,0,01706,Davis Love III,2.20,163,74
5,0,02104,Jeff Sluman,2.21,237,107
6,0,01968,Nick Price,2.24,130,58
7,0,02214,Kirk Triplett,2.27,195,86
8,0,09011,David Duval,2.30,161,70
8,0,10860,Justin Leonard,2.30,230,100
10,0,06004,Stephen Ames,2.33,128,55
10,0,02010,Loren Roberts,2.33,207,89
12,0,06078,Esteban Toledo,2.35,251,107
13,0,06522,Ernie Els,2.36,132,56
13,0,20094,Jonathan Kaye,2.36,255,108
15,0,20229,Stewart Cink,2.38,214,90
15,0,01381,Fred Funk,2.38,278,117
15,0,10809,Jim Furyk,2.38,219,92
18,0,01677,Tom Lehman,2.40,187,78
18,0,10649,Tom Scherrer,2.40,223,93
20,0,12645,Brent Geiberger,2.41,248,103
21,0,02223,Bob Tway,2.43,219,90
22,0,06567,Vijay Singh,2.45,243,99
23,0,06315,Pete Jordan,2.46,221,90
24,0,08993,Franklin Langham,2.47,245,99
25,0,01361,Dan Forsman,2.48,228,92
25,0,06595,Kevin Sutherland,2.48,238,96
27,0,01943,Chris Perry,2.49,299,120
28,0,12782,Tim Herron,2.50,230,92
28,0,02170,Hal Sutton,2.50,215,86
30,0,20098,Stuart Appleby,2.51,221,88
31,0,01527,Scott Hoch,2.52,249,99
31,0,11032,Frank Lickliter II,2.52,262,104
33,0,01203,Russ Cochran,2.53,210,83
34,0,01378,David Frost,2.54,201,79
34,0,06044,Scott Gump,2.54,236,93
34,0,08547,John Maginnes,2.54,231,91
37,0,01533,P.H. Horgan III,2.55,250,98
38,0,06014,Eric Booker,2.56,230,90
38,0,02245,Grant Waite,2.56,248,97
40,0,08537,J.P. Hayes,2.57,231,90
41,0,01175,Jim Carter,2.58,248,96
41,0,01418,Bill Glasson,2.58,196,76
41,0,06575,Dudley Hart,2.58,217,84
41,0,01724,Jeff Maggert,2.58,201,78
41,0,01926,Steve Pate,2.58,237,92
46,0,01098,Jay Don Blake,2.59,238,92
47,0,08931,Glen Day,2.60,237,91
47,0,01619,Skip Kendall,2.60,273,105
47,0,01928,Corey Pavin,2.60,208,80
50,0,01810,Phil Mickelson,2.61,198,76
51,0,06251,Chris DiMarco,2.62,259,99
52,0,10885,Robert Allenby,2.63,221,84
52,0,01042,Paul Azinger,2.63,192,73
52,0,01282,Trevor Dodds,2.63,255,97
52,0,01927,Dennis Paulson,2.63,260,99
52,0,10213,Dicky Pride,2.63,221,84
52,0,10423,Mike Weir,2.63,255,97
58,0,01823,Larry Mize,2.64,185,70
59,0,21007,Gabriel Hjertstedt,2.66,255,96
59,0,08045,Perry Moss,2.66,189,71
59,0,01945,Kenny Perry,2.66,218,82
62,0,20593,Greg Chalmers,2.67,283,106
62,0,01261,Jay Delsing,2.67,203,76
62,0,21805,Harrison Frazar,2.67,256,96
65,0,01766,Billy Mayfair,2.68,217,81
65,0,02133,Craig Stadler,2.68,134,50
67,0,01096,Phil Blackmar,2.69,239,89
67,0,01388,Robert Gamez,2.69,159,59
67,0,06527,Steve Stricker,2.69,180,67
67,0,02206,David Toms,2.69,277,103
71,0,07867,Woody Austin,2.71,263,97
71,0,06012,Greg Kraft,2.71,257,95
71,0,01723,Andrew Magee,2.71,222,82
71,0,01941,Tom Pernice Jr.,2.71,241,89
75,0,01226,Fred Couples,2.73,153,56
75,0,01510,Nolan Henke,2.73,227,83
77,0,06036,Scott Dunlap,2.74,225,82
77,0,01313,Steve Elkington,2.74,181,66
77,0,06643,Paul Goydos,2.74,260,95
77,0,02257,Brian Watts,2.74,219,80
81,0,01139,Olin Browne,2.75,220,80
81,0,01219,John Cook,2.75,223,81
81,0,02008,Lee Rinker,2.75,250,91
84,0,07457,Steve Flesch,2.76,270,98
84,0,10963,Jimmy Green,2.76,207,75
84,0,06062,Charles Raulerson,2.76,282,102
87,0,01771,Blaine McCallister,2.77,260,94
87,0,02146,Payne Stewart,2.77,177,64
89,0,01040,Emlyn Aubrey,2.78,142,51
89,0,01599,Steve Jones,2.78,153,55
89,0,10585,Scott McCarron,2.78,245,88
