RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,23108,Matt Kuchar,69.606,6596,16.608,95
2,0,06527,Steve Stricker,69.660,5024,- 8.472,72
3,0,20157,Retief Goosen,69.718,4967,- 17.013,71
4,0,25364,Paul Casey,69.720,4056,- 12.228,58
5,0,10809,Jim Furyk,69.828,5197,- 29.746,74
6,0,06522,Ernie Els,69.843,4926,- 36.992,70
7,0,23983,Luke Donald,69.850,4777,- 27.218,68
8,0,22405,Justin Rose,69.885,5454,- 2.946,78
9,0,23623,Bo Van Pelt,69.955,7287,- 11.638,104
10,0,01810,Phil Mickelson,69.966,5346,- 28.559,76
11,0,27141,J.B. Holmes,70.089,7022,- 13.115,100
12,0,24357,K.J. Choi,70.099,5772,- 23.865,82
13,0,10885,Robert Allenby,70.131,5219,- 29.311,74
14,0,30925,Dustin Johnson,70.135,5778,- 26.926,82
15,0,20766,Padraig Harrington,70.174,3964,- 34.250,56
16,0,12602,Dean Wilson,70.223,3763,29.051,54
17,0,25804,Bubba Watson,70.229,5406,1.613,77
18,0,23541,Ben Crane,70.234,5765,- 5.845,82
19,0,23135,Tim Clark,70.246,5976,- 5.084,85
20,0,12716,Charley Hoffman,70.254,5944,27.579,85
21,0,27649,Brandt Snedeker,70.258,6255,- 2.011,89
22,0,28089,Jason Day,70.274,5775,- 12.547,82
23,0,20160,Charlie Wi,70.284,6655,21.988,95
24,0,27095,Nick Watney,70.291,6196,- 10.379,88
25,0,21961,Charles Howell III,70.292,7206,34.121,103
26,0,24924,Bill Haas,70.308,6109,7.819,87
27,0,25396,Kevin Na,70.314,6514,25.236,93
28,0,01313,Steve Elkington,70.318,5182,21.508,74
29,0,02206,David Toms,70.337,5965,13.666,85
30,0,06567,Vijay Singh,70.343,5231,- 25.630,74
31,0,23638,Brendon de Jonge,70.344,7996,23.250,114
32,0,20127,Chris Riley,70.345,5113,22.162,73
33,0,28237,Rory McIlroy,70.351,3689,- 30.723,52
34,0,08375,Paul Stankowski,70.354,4327,34.978,62
35,0,06621,Joe Durant,70.365,4677,37.462,67
36,0,21731,Freddie Jacobson,70.367,5825,15.462,83
37,0,27466,Spencer Levin,70.385,7710,32.305,110
38,0,23800,Bryce Molder,70.403,5909,4.824,84
39,0,10860,Justin Leonard,70.419,6214,- 17.092,88
40,0,27770,Camilo Villegas,70.425,5105,- 34.381,72
41,0,32102,Rickie Fowler,70.429,6894,8.067,98
42,0,20229,Stewart Cink,70.431,5644,- 9.496,80
43,0,24925,Jonathan Byrd,70.437,5961,26.183,85
44,0,24502,Adam Scott,70.468,4817,- 25.147,68
45,0,24846,Ricky Barnes,70.470,7258,.396,103
46,0,24781,Hunter Mahan,70.476,5934,- 14.043,84
47,0,28475,Jeff Overton,70.497,6260,14.269,89
48,0,06515,Shaun Micheel,70.499,4940,- 5.094,70
49,0,08725,Tom Gillis,70.514,6802,37.822,97
50,0,24024,Zach Johnson,70.527,6424,- 6.086,91
51,0,25345,Carl Pettersson,70.552,6963,21.686,99
52,0,24361,Pat Perez,70.593,6304,49.327,90
53,0,25720,Chad Collins,70.599,6096,46.098,87
54,0,24140,Sean O'Hair,70.603,5805,- 15.531,82
55,0,06595,Kevin Sutherland,70.604,6034,37.959,86
56,0,26300,Matt Jones,70.605,6262,21.882,89
57,0,20645,John Senden,70.618,7249,24.672,103
58,0,26596,Ryan Moore,70.623,5584,- 4.778,79
59,0,12510,Chad Campbell,70.629,6553,15.481,93
60,0,20686,Jeev Milkha Singh,70.631,3939,16.319,56
61,0,06004,Stephen Ames,70.639,5218,9.298,74
61,0,20498,Briny Baird,70.639,6113,32.577,87
63,0,27436,Graham DeLaet,70.645,6169,47.748,88
64,0,23788,D.J. Trahan,70.661,6474,26.784,92
65,0,22293,Heath Slocum,70.673,6842,13.286,97
66,0,29221,Webb Simpson,70.683,6884,42.981,98
67,0,27214,Kevin Streelman,70.727,6343,22.474,90
68,0,22913,John Rollins,70.728,5705,23.978,81
69,0,20593,Greg Chalmers,70.732,6535,43.078,93
70,0,21350,Ryuji Imada,70.753,6339,28.807,90
71,0,19846,Brian Gay,70.756,6908,26.114,98
72,0,01941,Tom Pernice Jr.,70.757,5212,24.050,74
73,0,22046,Geoff Ogilvy,70.764,4248,- 2.169,60
74,0,26851,Marc Leishman,70.769,6162,- 5.087,87
75,0,23353,J.J. Henry,70.772,6484,27.042,92
76,0,23325,Vaughn Taylor,70.794,6139,20.074,87
77,0,23320,Ryan Palmer,70.824,5927,22.239,84
78,0,26881,Jarrod Lyle,70.835,3818,7.068,54
79,0,02239,Scott Verplank,70.838,5186,- 14.834,73
80,0,01945,Kenny Perry,70.841,4820,- 2.828,68
81,0,23322,Brett Wetterich,70.847,3804,21.734,54
82,0,25190,Jeff Quinney,70.851,6410,37.466,91
82,0,26289,Boo Weekley,70.851,6202,32.864,88
84,0,24507,Jason Bohn,70.856,5934,17.881,84
84,0,28620,Aron Price,70.856,4918,41.953,70
86,0,22621,Ben Curtis,70.871,5536,- 8.069,78
87,0,28158,Steve Marino,70.875,5750,- 9.119,81
88,0,30946,Alex Prugh,70.878,6205,32.234,88
89,0,01706,Davis Love III,70.888,5594,6.121,79
90,0,26882,Michael Sim,70.896,4440,26.453,63
91,0,23673,Michael Connell,70.900,6275,35.142,89
92,0,23349,Charles Warren,70.917,4514,24.673,64
93,0,24912,Will MacKenzie,70.918,5092,14.105,72
94,0,20848,Ángel Cabrera,70.919,4484,- 16.091,63
95,0,10585,Scott McCarron,70.940,6348,36.588,90
96,0,11123,Chris Couch,70.948,4644,38.561,66
97,0,25900,Lucas Glover,70.949,5256,- 5.744,74
98,0,26695,Michael Letzig,70.951,5922,37.898,84
99,0,25632,Jimmy Walker,70.953,5803,15.152,82
100,0,20098,Stuart Appleby,70.954,7188,- 21.628,101
100,0,23409,James Driscoll,70.954,5510,24.439,78
100,0,08075,Jerry Kelly,70.954,7009,15.405,99
103,0,25240,D.A. Points,70.958,6371,15.212,90
104,0,27963,Chris Stroud,70.966,6360,26.978,90
105,0,08537,J.P. Hayes,70.981,5571,36.504,79
106,0,06251,Chris DiMarco,70.983,6192,54.497,88
107,0,28307,Matt Every,70.986,4241,18.183,60
107,0,25562,Andres Romero,70.986,5165,17.014,73
109,0,01948,Tim Petrovic,70.992,7426,28.143,105
110,0,22371,Aaron Baddeley,70.995,6637,36.538,94
111,0,25686,Jason Dufner,71.018,6196,- 17.459,87
112,0,24663,Y.E. Yang,71.033,4982,- 9.691,70
113,0,21209,Sergio Garcia,71.076,3720,- 24.062,52
114,0,29910,Blake Adams,71.077,5938,32.438,84
115,0,07749,Brett Quigley,71.082,6786,37.824,96
116,0,01320,Bob Estes,71.086,5589,26.792,79
