RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,01226,Fred Couples,82.43,394,478
2,0,01677,Tom Lehman,82.08,568,692
3,0,01418,Bill Glasson,81.09,506,624
4,0,01706,Davis Love III,80.44,654,813
5,0,01219,John Cook,80.00,748,935
6,0,01887,Mark O'Meara,79.97,491,614
7,0,01334,Keith Fergus,79.65,454,570
8,0,01797,Rocco Mediate,79.57,623,783
8,0,08793,Tiger Woods,79.57,588,739
10,0,01876,Greg Norman,79.42,355,447
11,0,01203,Russ Cochran,79.40,740,932
12,0,09011,David Duval,79.30,682,860
13,0,01920,Craig Parry,78.84,503,638
14,0,02245,Grant Waite,78.79,769,976
15,0,01569,Peter Jacobsen,78.47,645,822
16,0,12660,Jesper Parnevik,78.46,470,599
17,0,02223,Bob Tway,78.42,665,848
18,0,01249,John Daly,78.38,290,370
19,0,01313,Steve Elkington,78.27,425,543
20,0,01161,Mark Calcavecchia,78.08,691,885
21,0,01024,Billy Andrade,77.94,657,843
22,0,01619,Skip Kendall,77.93,784,1006
23,0,01549,Mike Hulbert,77.88,655,841
24,0,01374,Robin Freeman,77.80,424,545
25,0,02321,Fuzzy Zoeller,77.74,433,557
26,0,01945,Kenny Perry,77.56,598,771
27,0,01926,Steve Pate,77.47,564,728
28,0,10585,Scott McCarron,77.42,552,713
29,0,01577,Lee Janzen,77.35,731,945
30,0,01975,Tom Purtzer,77.30,412,533
31,0,02170,Hal Sutton,77.28,762,986
32,0,01527,Scott Hoch,77.27,680,880
33,0,01006,John Adams,77.23,519,672
34,0,01810,Phil Mickelson,77.13,489,634
35,0,02104,Jeff Sluman,77.11,721,935
36,0,01408,Kelly Gibson,77.03,805,1045
37,0,01143,Brad Bryant,76.91,543,706
37,0,01320,Bob Estes,76.91,513,667
39,0,01599,Steve Jones,76.88,512,666
40,0,01771,Blaine McCallister,76.84,647,842
41,0,06567,Vijay Singh,76.79,516,672
42,0,06613,Tommy Tolles,76.56,565,738
43,0,12782,Tim Herron,76.52,694,907
44,0,02023,Clarence Rose,76.51,697,911
45,0,12645,Brent Geiberger,76.43,681,891
