object_name,field_name,field_type,field_description
Video,endsAt,SCALAR,"The `AWSTimestamp` scalar type provided by AWS AppSync, represents the number of seconds that have elapsed since `1970-01-01T00:00Z`. Negative values are also accepted and these represent the number of seconds till `1970-01-01T00:00Z`.  Timestamps are serialized and deserialized as integers. The minimum supported timestamp value is **`-31557014167219200`** which corresponds to `-1000000000-01-01T00:00Z`. The maximum supported timestamp value is **`31556889864403199`** which corresponds to `1000000000-12-31T23:59:59.999999999Z`."
Video,created,SCALAR,"The `AWSTimestamp` scalar type provided by AWS AppSync, represents the number of seconds that have elapsed since `1970-01-01T00:00Z`. Negative values are also accepted and these represent the number of seconds till `1970-01-01T00:00Z`.  Timestamps are serialized and deserialized as integers. The minimum supported timestamp value is **`-31557014167219200`** which corresponds to `-1000000000-01-01T00:00Z`. The maximum supported timestamp value is **`31556889864403199`** which corresponds to `1000000000-12-31T23:59:59.999999999Z`."
Video,category,NON_NULL,
Video,categoryDisplayName,NON_NULL,
Video,franchise,NON_NULL,
Video,franchiseDisplayName,NON_NULL,
Video,playerVideos,LIST,
Video,year,SCALAR,Built-in String
Video,tourCode,NON_NULL,
Video,tournamentId,SCALAR,Built-in String
Video,contentTournamentId,SCALAR,Built-in String
Video,roundNumber,SCALAR,Built-in String
Video,shareUrl,SCALAR,Built-in String
Video,duration,NON_NULL,
Video,holeNumber,SCALAR,Built-in String
Video,seqHoleNumber,SCALAR,Built-in String
Video,shotNumber,SCALAR,Built-in String
Video,sponsor,OBJECT,
Video,gamAccountId,SCALAR,Built-in String
Video,videoAccountId,SCALAR,Built-in String
Video,descriptionNode,LIST,
Video,highestRatedOnHole,SCALAR,Built-in Boolean
Video,pinned,NON_NULL,
Video,team,ENUM,
Video,players,LIST,
Video,tags,LIST,
Video,categories,LIST,
Video,topics,LIST,
Video,years,LIST,
ImageAsset,imageOrg,NON_NULL,
ImageAsset,imagePath,NON_NULL,
PlayerVideo,id,NON_NULL,
PlayerVideo,firstName,SCALAR,Built-in String
PlayerVideo,lastName,SCALAR,Built-in String
PlayerVideo,shortName,SCALAR,Built-in String
VideoSponsor,name,NON_NULL,
VideoSponsor,description,SCALAR,Built-in String
VideoSponsor,logoPrefix,SCALAR,Built-in String
VideoSponsor,logoAsset,NON_NULL,
VideoSponsor,logoDarkAsset,NON_NULL,
VideoSponsor,image,SCALAR,Built-in String
VideoSponsor,websiteUrl,SCALAR,Built-in String
VideoSponsor,gam,SCALAR,Built-in String
NewsArticleText,value,SCALAR,Built-in String
NewsArticleLink,segments,NON_NULL,
NewsArticleContentSegment,type,NON_NULL,
NewsArticleContentSegment,value,SCALAR,Built-in String
NewsArticleContentSegment,data,SCALAR,Built-in String
NewsArticleContentSegment,id,SCALAR,Built-in String
NewsArticleContentSegment,format,OBJECT,
NewsArticleContentSegment,imageOrientation,ENUM,
NewsArticleContentSegment,imageDescription,SCALAR,Built-in String
NewsArticleFormat,variants,LIST,
NewsArticleFormat,styles,LIST,
Style,key,NON_NULL,
Style,value,NON_NULL,
RyderCupContentPlayer,id,NON_NULL,
RyderCupContentPlayer,name,NON_NULL,
RyderCupContentPlayer,displayName,NON_NULL,
RyderCupContentTags,id,NON_NULL,
RyderCupContentTags,name,NON_NULL,
RyderCupContentCategories,id,NON_NULL,
RyderCupContentCategories,name,NON_NULL,
ContentTopics,value,SCALAR,Built-in String
ContentTopics,displayValue,SCALAR,Built-in String
BroadcastFullTelecast,id,NON_NULL,
BroadcastFullTelecast,streamTitle,NON_NULL,
BroadcastFullTelecast,roundNumber,NON_NULL,
BroadcastFullTelecast,roundDisplay,NON_NULL,
BroadcastFullTelecast,channelTitle,NON_NULL,
BroadcastFullTelecast,startTime,NON_NULL,
BroadcastFullTelecast,endTime,NON_NULL,
BroadcastFullTelecast,promoImage,SCALAR,Built-in String
BroadcastFullTelecast,promoImages,NON_NULL,
BroadcastFullTelecast,liveStatus,NON_NULL,
BroadcastFullTelecast,network,NON_NULL,
BroadcastNetwork,id,NON_NULL,
BroadcastNetwork,networkName,NON_NULL,
BroadcastNetwork,backgroundColor,SCALAR,Built-in String
BroadcastNetwork,backgroundColorDark,SCALAR,Built-in String
BroadcastNetwork,networkLogo,SCALAR,Built-in String
BroadcastNetwork,networkLogoDark,SCALAR,Built-in String
BroadcastNetwork,priorityNum,SCALAR,Built-in Int
BroadcastNetwork,url,SCALAR,Built-in String
BroadcastNetwork,iOSLink,NON_NULL,
BroadcastNetwork,appleAppStore,NON_NULL,
BroadcastNetwork,androidLink,NON_NULL,
BroadcastNetwork,googlePlayStore,NON_NULL,
BroadcastNetwork,simulcast,SCALAR,Built-in Boolean
BroadcastNetwork,simulcastUrl,SCALAR,Built-in String
BroadcastNetwork,streamUrl,SCALAR,Built-in String
BroadcastNetwork,iosStreamUrl,SCALAR,Built-in String
BroadcastNetwork,androidStreamUrl,SCALAR,Built-in String
BroadcastNetwork,caid,SCALAR,Built-in String
BroadcastNetwork,flag,SCALAR,Built-in String
BroadcastNetwork,metr,SCALAR,Built-in String
BroadcastNetwork,mode,SCALAR,Built-in String
BroadcastNetwork,nw,SCALAR,Built-in String
BroadcastNetwork,asnw,SCALAR,Built-in String
BroadcastNetwork,prof,SCALAR,Built-in String
BroadcastNetwork,resp,SCALAR,Built-in String
BroadcastNetwork,ssnw,SCALAR,Built-in String
BroadcastNetwork,vrdu,SCALAR,Built-in String
BroadcastNetwork,vdty,SCALAR,Built-in String
BroadcastNetwork,fwCoppa,SCALAR,Built-in String
BroadcastNetwork,fwHReferer,SCALAR,Built-in String
BroadcastNetwork,fwNielsenAppId,SCALAR,Built-in String
BroadcastNetwork,daiStreamActivityId,SCALAR,Built-in String
