enum_name,enum_values
WeatherCondition,"['DAY_SUNNY', 'DAY_MOSTLY_SUNNY', 'DAY_PARTLY_CLOUDY', 'DAY_MOSTLY_CLOUDY', 'DAY_CLOUDY', 'DAY_RAINY', 'DAY_SCATTERED_SHOWERS', 'DAY_THUNDERSTORMS', 'DAY_FOG_MIST', 'DAY_SNOW', 'NIGHT_CLEAR', 'NIGHT_ISOLATED_CLOUDS', 'NIGHT_PARTLY_CLOUDY', 'NIGHT_MOSTLY_CLOUDY']"
WindDirection,"['NORTH', 'NORTH_EAST', 'EAST', 'SOUTH_EAST', 'SOUTH', 'SOUTH_WEST', 'WEST', 'NORTH_WEST']"
StatColor,"['RED', 'GREEN', 'BLACK', 'GRAY']"
VideoLanguage,"['ENGLISH', 'FRENCH']"
SocialType,"['twitter', 'facebook', 'instagram', 'youtube']"
ArticleFormType,"['External', 'Standard']"
IntegrationPartner,['GOLFWRX']
PlayerSponsorBrand,"['TP5', 'ACE', 'ADAM_SCOTT', 'ADIDAS', 'ADP', 'AMAZON', 'AON', 'BONOBOS', 'BRANDT_SNEDEKER', 'BRIDGESTONE_GOLF', 'CALLAWAY', 'CALLAWAY_FEED', 'CAMERON_PERCY', 'CLEVELANDGOLF', 'CLEVELANDGOLF_FEED', 'COBRA', 'COBRAPUMA', 'CONCUR', 'COUNTRYINNS', 'EMPOWER_RETIREMENT', 'FEDEX', 'GOLDMAN_SACHS', 'GREYGOOSE', 'GOLFFOREVER', 'HONMA', 'IAN_POULTER', 'JORDAN_SPIETH', 'LEVELWEAR', 'MASSAGE_ENVY', 'MASTERCARD', 'MATT_KUCHAR', 'MERCEDES', 'METLIFE', 'MIZUNO', 'NIKE', 'NIKE_FEED', 'OAKLEY', 'OSTEO_BIFLEX', 'PACIFICLIFE', 'PERRY_ELLIS', 'PGATOURLIVEFRI', 'PGATOURLIVETHURS', 'PHIL_MICKELSON', 'PING', 'PUMA', 'PUTNAM', 'PUTNAM_BRADLEY', 'PUTNAM_CURRAN', 'PUTNAM_STEELE', 'QUICKENLOANS', 'RICKIE_FOWLER', 'RORY_MCILROY', 'SERGIO_GARCIA', 'SIKGOLF', 'SKECHERS', 'STRYKER_FRED', 'STRYKER_HAL', 'SUPERSTROKE', 'TAYLORMADE', 'TEST1', 'TEST2', 'TIGER_WOODS', 'TITLEIST', 'TITLEIST_BALL', 'TITLEIST_FULL', 'TMAG', 'TGLTEAMJUP', 'TGLTEAMBOS', 'TGLTEAMATL', 'TGLTEAMNY', 'TGLTEAMLA', 'TGLTEAMSF', 'UNITED_RENTALS', 'VERITEX', 'ZACH_JOHNSON', 'ZURICH']"
TourCupType,"['OFFICIAL', 'PROJECTED', 'OFFICIAL_AND_PROJECTED']"
StatDetailQueryType,"['EVENT_ONLY', 'THROUGH_EVENT']"
OddsProvider,"['BET365', 'MGM']"
PlayerProfileStatCategoryItem,"['ALL', 'STROKES_GAINED', 'APPROACH', 'AROUND_GREEN', 'PUTTING', 'SCORING', 'DRIVING', 'STREAKS', 'MONEY_FINISHES', 'POINTS_RANKINGS']"
ScoringTendency,"['ABOVE', 'BELOW', 'EVEN']"
HoleDetailsAvailability,"['SHOT_DETAILS', 'STATS', 'NONE']"
SummaryRowType,"['OUT', 'IN', 'TOTAL']"
YTTextPosition,"['TOP', 'BOTTOM']"
YtVideoStoryType,"['PLAYER_STORIES', 'TOPIC_STORIES']"
PromoSectionType,"['GAMING', 'MORE', 'WEBGOLFBET']"
StatCategory,"['APPROACH_GREEN', 'AROUND_GREEN', 'MONEY_FINISHES', 'OFF_TEE', 'POINTS_RANKINGS', 'PUTTING', 'SCORING', 'STREAKS', 'STROKES_GAINED', 'FACTS_AND_FIGURES']"
StatCategoryConfigType,"['ALL_TIME_RECORDS', 'TRADITIONAL_STAT']"
CategoryStatType,"['YTD', 'EVENT']"
StatRankMovement,"['UP', 'DOWN', 'CONSTANT']"
NewsArticleStatType,"['LINE_CHART', 'DOT_CHART', 'BY_NUMBERS']"
PlayerComparisonDisplay,"['GRAPH', 'TABLE']"
HistoricalOddsId,"['WINNER', 'TOP_RANKED_3', 'TOP_RANKED_5', 'TOP_RANKED_10', 'TOP_RANKED_20']"
OddsTimeType,['HOLE']
