YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2013,1,0,25818,Scott Piercy,"37' 1""",1445.917,39,E
2013,2,0,23135,Tim Clark,"37' 7""",714.333,19,+5
2013,3,0,21209,Sergio Garcia,"38' 4""",1225.333,32,+1
2013,4,0,24358,Robert Garrigus,"38' 8""",1083.75,28,E
2013,5,0,32102,Rickie Fowler,"40' 10""",1387.167,34,+6
2013,5,0,34046,Jordan Spieth,"40' 10""",1876.75,46,+4
2013,7,0,27408,Martin Kaymer,"41' 1""",657.333,16,+5
2013,8,0,29221,Webb Simpson,"42' 6""",1784.167,42,+5
2013,9,0,31557,Jim Herman,"42' 8""",982.25,23,+1
2013,10,0,24357,K.J. Choi,"42' 9""",1239.917,29,+5
2013,11,0,6527,Steve Stricker,"42' 10""",727.583,17,+2
2013,12,0,30944,Jason Kokrak,"43' 0""",2062.5,48,+5
2013,13,0,6522,Ernie Els,"43' 5""",1128.167,26,+2
2013,14,0,25336,Alistair Presnell,"44' 0""",1011.083,23,+6
2013,15,0,6567,Vijay Singh,"44' 3""",1592.667,36,+8
2013,16,0,28092,D.H. Lee,"44' 4""",1818.5,41,+7
2013,16,0,26331,Charl Schwartzel,"44' 4""",1284.75,29,+7
2013,18,0,28307,Matt Every,"44' 5""",2044.083,46,+10
2013,19,0,25900,Lucas Glover,"44' 7""",1381.25,31,+9
2013,19,0,23621,Rory Sabbatini,"44' 7""",2049.333,46,+8
2013,21,0,24846,Ricky Barnes,"44' 8""",2322.583,52,+11
2013,22,0,1116,Michael Bradley,"44' 10""",1658.917,37,+2
2013,23,0,29518,Brendan Steele,"44' 11""",2513.333,56,+7
2013,23,0,23788,D.J. Trahan,"44' 11""",808.667,18,+1
2013,25,0,1724,Jeff Maggert,"45' 1""",1217.167,27,+9
2013,26,0,21099,David Lynn,"45' 5""",1817.083,40,+11
2013,27,0,22056,Cameron Percy,"45' 7""",1414.083,31,+4
2013,28,0,20104,Ken Duke,"45' 8""",2510.167,55,+20
2013,29,0,1810,Phil Mickelson,"46' 2""",1847.0,40,+2
2013,30,0,25345,Carl Pettersson,"46' 3""",1202.417,26,+7
2013,31,0,20396,Lee Westwood,"46' 8""",1261.083,27,+5
2013,32,0,29740,Brad Fritsch,"46' 11""",2626.0,56,+18
2013,33,0,10885,Robert Allenby,"47' 1""",2025.667,43,+21
2013,34,0,12716,Charley Hoffman,"47' 3""",2268.667,48,+6
2013,34,0,25632,Jimmy Walker,"47' 3""",2314.25,49,+1
2013,36,0,19846,Brian Gay,"47' 7""",1616.833,34,+10
2013,37,0,24502,Adam Scott,"47' 8""",1765.083,37,+4
2013,37,0,21528,Henrik Stenson,"47' 8""",1049.25,22,+6
2013,39,0,33869,Eric Meierdierks,"47' 11""",1102.917,23,+1
2013,40,0,27129,Luke List,"48' 1""",1634.833,34,-1
2013,41,0,34021,Bud Cauley,"48' 2""",1781.083,37,+10
2013,41,0,28780,Nicholas Thompson,"48' 2""",2168.25,45,+8
2013,43,0,20645,John Senden,"48' 3""",1783.75,37,+11
2013,44,0,21753,Brian Davis,"48' 6""",2084.0,43,+9
2013,44,0,34409,David Lingmerth,"48' 6""",1601.25,33,+7
2013,44,0,27214,Kevin Streelman,"48' 6""",1891.75,39,+8
2013,47,0,27120,Troy Matteson,"48' 7""",1213.667,25,E
2013,48,0,29425,Andrew Svoboda,"48' 8""",778.75,16,+3
2013,49,0,28500,Martin Flores,"48' 9""",2875.5,59,+10
2013,49,0,8075,Jerry Kelly,"48' 9""",1705.0,35,+9
2013,49,0,26289,Boo Weekley,"48' 9""",2535.5,52,+19
2013,52,0,20098,Stuart Appleby,"48' 11""",2885.5,59,+10
2013,53,0,20443,Jin Park,"49' 3""",1084.083,22,+5
2013,54,0,6004,Stephen Ames,"49' 4""",1529.667,31,+7
2013,54,0,1320,Bob Estes,"49' 4""",2467.5,50,+17
2013,54,0,22792,Peter Hanson,"49' 4""",1085.333,22,+5
2013,54,0,21731,Freddie Jacobson,"49' 4""",1775.5,36,+7
2013,54,0,30110,Kyle Stanley,"49' 4""",1774.917,36,+6
2013,59,0,20691,Greg Owen,"49' 7""",2083.167,42,+20
2013,60,0,33141,Keegan Bradley,"49' 8""",2086.083,42,+6
2013,60,0,28089,Jason Day,"49' 8""",1737.5,35,+8
2013,60,0,20572,Rod Pampling,"49' 8""",893.333,18,+3
2013,63,0,26300,Matt Jones,"49' 9""",1541.75,31,+8
2013,64,0,25804,Bubba Watson,"49' 10""",1394.917,28,+5
2013,65,0,32366,Kevin Chappell,"49' 11""",2345.417,47,+4
2013,65,0,27933,John Merrick,"49' 11""",2447.75,49,+9
2013,67,0,35539,Luke Guthrie,"50' 1""",2103.083,42,+13
2013,68,0,25686,Jason Dufner,"50' 5""",1966.667,39,+9
2013,69,0,27770,Camilo Villegas,"50' 6""",2122.083,42,+19
2013,70,0,10213,Dicky Pride,"50' 9""",1320.25,26,+5
2013,71,0,20848,Ángel Cabrera,"50' 10""",2136.0,42,+12
2013,71,0,34174,John Huh,"50' 10""",1829.833,36,+5
2013,73,0,28259,Sangmoon Bae,"50' 11""",2902.5,57,+19
2013,73,0,23638,Brendon de Jonge,"50' 11""",2697.833,53,+9
2013,75,0,24663,Y.E. Yang,"51' 0""",1581.917,31,+12
2013,76,0,24494,Erik Compton,"51' 2""",2252.333,44,+7
2013,76,0,28475,Jeff Overton,"51' 2""",2454.167,48,+9
2013,78,0,23983,Luke Donald,"51' 3""",1485.667,29,+4
2013,78,0,22046,Geoff Ogilvy,"51' 3""",1537.083,30,+10
2013,80,0,30163,Henrik Norlander,"51' 4""",2000.417,39,+10
2013,80,0,23320,Ryan Palmer,"51' 4""",2156.833,42,+12
2013,82,0,24781,Hunter Mahan,"51' 5""",1747.5,34,+10
2013,82,0,8793,Tiger Woods,"51' 5""",1644.583,32,+6
2013,84,0,30852,Ryo Ishikawa,"51' 6""",1750.75,34,+16
2013,84,0,23623,Bo Van Pelt,"51' 6""",1853.667,36,+8
2013,86,0,32200,Roberto Castro,"51' 7""",1858.083,36,+13
2013,86,0,26951,Johnson Wagner,"51' 7""",1599.75,31,+8
2013,88,0,6573,Brandt Jobe,"51' 8""",1654.417,32,+8
2013,88,0,25834,Daniel Summerhays,"51' 8""",2737.333,53,+14
2013,90,0,27895,Jonas Blixt,"51' 9""",2535.167,49,+14
2013,90,0,34098,Russell Henley,"51' 9""",1760.083,34,+8
