YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
2013,1,0,6004,Stephen Ames,0.0,0,77,100.0
2013,1,0,27895,Jonas Blixt,0.0,0,114,100.0
2013,1,0,24507,Jason Bohn,0.0,0,123,100.0
2013,1,0,12510,Chad Campbell,0.0,0,140,100.0
2013,1,0,22621,Ben Curtis,0.0,0,79,100.0
2013,1,0,27436,Graham DeLaet,0.0,0,155,100.0
2013,1,0,23983,Luke Donald,0.0,0,71,100.0
2013,1,0,28500,Martin Flores,0.0,0,152,100.0
2013,1,0,24399,Scott Gardiner,0.0,0,106,100.0
2013,1,0,32698,Bobby Gates,0.0,0,71,100.0
2013,1,0,25900,Lucas Glover,0.0,0,87,100.0
2013,1,0,22792,Peter Hanson,0.0,0,56,100.0
2013,1,0,23353,J.J. Henry,0.0,0,140,100.0
2013,1,0,12782,Tim Herron,0.0,0,86,100.0
2013,1,0,21961,Charles Howell III,0.0,0,151,100.0
2013,1,0,22806,Doug LaBelle II,0.0,0,102,100.0
2013,1,0,1724,Jeff Maggert,0.0,0,103,100.0
2013,1,0,24781,Hunter Mahan,0.0,0,125,100.0
2013,1,0,27120,Troy Matteson,0.0,0,113,100.0
2013,1,0,33869,Eric Meierdierks,0.0,0,68,100.0
2013,1,0,25336,Alistair Presnell,0.0,0,74,100.0
2013,1,0,26331,Charl Schwartzel,0.0,0,98,100.0
2013,1,0,24502,Adam Scott,0.0,0,81,100.0
2013,1,0,20645,John Senden,0.0,0,116,100.0
2013,1,0,33418,Shawn Stefani,0.0,0,101,100.0
2013,1,0,21528,Henrik Stenson,0.0,0,78,100.0
2013,1,0,22295,Darron Stiles,0.0,0,100,100.0
2013,1,0,29425,Andrew Svoboda,0.0,0,62,100.0
2013,1,0,23325,Vaughn Taylor,0.0,0,71,100.0
2013,1,0,32150,Michael Thompson,0.0,0,101,100.0
2013,1,0,28310,Lee Williams,0.0,0,69,100.0
2013,32,0,23638,Brendon de Jonge,0.48,1,208,99.5
2013,33,0,34099,Harris English,0.6,1,167,99.4
2013,34,0,32200,Roberto Castro,0.66,1,152,99.3
2013,35,0,26476,Chez Reavie,0.69,1,145,99.3
2013,35,0,25632,Jimmy Walker,0.69,1,144,99.3
2013,37,0,33141,Keegan Bradley,0.72,1,138,99.2
2013,37,0,23108,Matt Kuchar,0.72,1,138,99.2
2013,37,0,23800,Bryce Molder,0.72,1,139,99.2
2013,40,0,25240,D.A. Points,0.73,1,137,99.2
2013,41,0,20098,Stuart Appleby,0.74,1,136,99.2
2013,41,0,32366,Kevin Chappell,0.74,1,136,99.2
2013,43,0,24490,George McNeill,0.75,1,133,99.2
2013,44,0,19846,Brian Gay,0.76,1,131,99.2
2013,44,0,32448,James Hahn,0.76,1,132,99.2
2013,46,0,20593,Greg Chalmers,0.78,1,128,99.2
2013,46,0,1320,Bob Estes,0.78,1,128,99.2
2013,48,0,26851,Marc Leishman,0.83,1,121,99.1
2013,48,0,10860,Justin Leonard,0.83,1,121,99.1
2013,48,0,23497,Tag Ridings,0.83,1,121,99.1
2013,51,0,28455,Will Claxton,0.85,1,117,99.1
2013,51,0,34046,Jordan Spieth,0.85,1,118,99.1
2013,53,0,24924,Bill Haas,0.87,1,115,99.1
2013,53,0,27214,Kevin Streelman,0.87,1,115,99.1
2013,55,0,34021,Bud Cauley,0.88,1,113,99.1
2013,55,0,32102,Rickie Fowler,0.88,1,114,99.1
2013,55,0,21099,David Lynn,0.88,1,114,99.1
2013,58,0,22961,David Mathis,0.9,1,111,99.1
2013,58,0,1810,Phil Mickelson,0.9,1,111,99.1
2013,60,0,22371,Aaron Baddeley,0.91,1,110,99.0
2013,61,0,28679,Fabián Gómez,0.93,1,107,99.0
2013,62,0,20229,Stewart Cink,0.94,1,106,99.0
2013,62,0,25686,Jason Dufner,0.94,1,106,99.0
2013,64,0,23541,Ben Crane,0.96,1,104,99.0
2013,65,0,30925,Dustin Johnson,0.97,1,103,99.0
2013,65,0,29289,S.Y. Noh,0.97,1,103,99.0
2013,65,0,27649,Brandt Snedeker,0.97,1,103,99.0
2013,68,0,27936,Martin Laird,0.98,1,102,99.0
2013,69,0,30711,Colt Knost,0.99,1,101,99.0
2013,70,0,27330,Josh Teater,1.0,1,100,99.0
