YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
2013,1,0,21528,Henrik Stenson,72.65,441,607,-0.19
2013,2,0,6527,Steve Stricker,72.24,354,490,-0.28
2013,3,0,8075,Jerry Kelly,71.51,635,888,-0.16
2013,4,0,21878,Mark Wilson,71.26,496,696,-0.11
2013,5,0,10809,Jim Furyk,70.87,630,889,-0.18
2013,6,0,26476,Chez Reavie,70.28,655,932,-0.12
2013,7,0,20104,Ken Duke,70.18,732,1043,-0.11
2013,8,0,24024,Zach Johnson,70.09,656,936,-0.16
2013,9,0,25572,Graeme McDowell,69.5,360,518,-0.09
2013,10,0,23135,Tim Clark,69.23,414,598,-0.1
2013,11,0,25444,Justin Hicks,69.1,633,916,-0.08
2013,11,0,26596,Ryan Moore,69.1,550,796,-0.16
2013,13,0,22295,Darron Stiles,69.07,402,582,-0.09
2013,14,0,24357,K.J. Choi,69.06,605,876,-0.18
2013,15,0,21753,Brian Davis,68.95,795,1153,-0.13
2013,16,0,34046,Jordan Spieth,68.39,636,930,-0.19
2013,17,0,34174,John Huh,68.35,717,1049,-0.09
2013,18,0,20443,Jin Park,68.34,408,597,-0.08
2013,19,0,27556,Ted Potter Jr.,68.23,524,768,-0.11
2013,20,0,1724,Jeff Maggert,68.22,543,796,-0.13
2013,21,0,32200,Roberto Castro,68.19,793,1163,-0.16
2013,22,0,22806,Doug LaBelle II,68.02,553,813,-0.1
2013,23,0,36884,Ben Kohles,67.52,578,856,-0.09
2013,24,0,27436,Graham DeLaet,67.29,751,1116,-0.18
2013,25,0,27214,Kevin Streelman,67.23,634,943,-0.16
2013,26,0,28092,D.H. Lee,67.13,537,800,-0.14
2013,27,0,23638,Brendon de Jonge,66.99,897,1339,-0.18
2013,28,0,24781,Hunter Mahan,66.88,636,951,-0.21
2013,29,0,35139,Richard Lee,66.77,667,999,-0.12
2013,30,0,30711,Colt Knost,66.67,534,801,-0.08
2013,31,0,26289,Boo Weekley,66.46,767,1154,-0.18
2013,32,0,24507,Jason Bohn,66.16,604,913,-0.14
2013,33,0,24490,George McNeill,66.03,587,889,-0.15
2013,34,0,34098,Russell Henley,66.01,604,915,-0.17
2013,35,0,23353,J.J. Henry,65.86,677,1028,-0.12
2013,36,0,34409,David Lingmerth,65.82,518,787,-0.1
2013,37,0,26300,Matt Jones,65.7,634,965,-0.17
2013,38,0,23800,Bryce Molder,65.58,644,982,-0.16
2013,39,0,6573,Brandt Jobe,65.48,480,733,-0.12
2013,40,0,24663,Y.E. Yang,65.44,373,570,-0.1
2013,41,0,28780,Nicholas Thompson,65.41,779,1191,-0.13
2013,42,0,2206,David Toms,65.32,290,444,-0.11
2013,43,0,31560,Brian Stuard,65.18,569,873,-0.11
2013,44,0,25686,Jason Dufner,65.14,555,852,-0.16
2013,45,0,23325,Vaughn Taylor,65.1,360,553,-0.17
2013,46,0,8725,Tom Gillis,65.02,541,832,-0.12
2013,47,0,10213,Dicky Pride,64.84,531,819,-0.12
2013,48,0,19846,Brian Gay,64.8,637,983,-0.12
2013,49,0,10860,Justin Leonard,64.74,672,1038,-0.14
2013,50,0,23623,Bo Van Pelt,64.71,484,748,-0.14
2013,51,0,33141,Keegan Bradley,64.66,644,996,-0.24
2013,52,0,29221,Webb Simpson,64.51,629,975,-0.18
2013,53,0,29420,Billy Horschel,64.17,736,1147,-0.16
2013,54,0,24138,Ian Poulter,64.15,349,544,-0.15
2013,55,0,1320,Bob Estes,64.1,550,858,-0.17
2013,56,0,20593,Greg Chalmers,63.99,613,958,-0.13
2013,57,0,25240,D.A. Points,63.91,602,942,-0.11
2013,58,0,26679,Kevin Stadler,63.78,611,958,-0.17
2013,59,0,20396,Lee Westwood,63.7,451,708,-0.16
2013,60,0,22405,Justin Rose,63.59,407,640,-0.2
2013,61,0,8793,Tiger Woods,63.41,376,593,-0.27
2013,62,0,24924,Bill Haas,63.33,608,960,-0.18
2013,63,0,27408,Martin Kaymer,63.24,363,574,-0.15
2013,64,0,28455,Will Claxton,63.23,490,775,-0.1
2013,65,0,32102,Rickie Fowler,63.17,518,820,-0.16
2013,66,0,31557,Jim Herman,63.11,385,610,-0.16
2013,66,0,27095,Nick Watney,63.11,638,1011,-0.2
2013,68,0,31202,William McGirt,63.03,619,982,-0.17
2013,68,0,23788,D.J. Trahan,63.03,329,522,-0.1
2013,70,0,22961,David Mathis,63.01,540,857,-0.1
2013,71,0,28135,Aaron Watkins,62.96,306,486,-0.16
2013,72,0,20160,Charlie Wi,62.88,576,916,-0.11
2013,73,0,27330,Josh Teater,62.75,524,835,-0.17
2013,74,0,27963,Chris Stroud,62.73,675,1076,-0.16
2013,75,0,20098,Stuart Appleby,62.7,679,1083,-0.13
2013,75,0,20572,Rod Pampling,62.7,306,488,-0.12
2013,77,0,33419,Cameron Tringale,62.68,650,1037,-0.12
2013,78,0,29425,Andrew Svoboda,62.55,304,486,-0.09
2013,79,0,34261,Scott Langley,62.47,556,890,-0.13
2013,79,0,32150,Michael Thompson,62.47,456,730,-0.12
2013,81,0,24502,Adam Scott,62.34,379,608,-0.2
2013,82,0,27649,Brandt Snedeker,62.3,504,809,-0.22
2013,83,0,32334,Charlie Beljan,62.23,468,752,-0.12
2013,84,0,32366,Kevin Chappell,62.18,577,928,-0.19
