YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
2013,1,0,1810,Phil Mickelson,20.95,66,315
2013,2,0,28259,Sangmoon Bae,19.23,65,338
2013,3,0,25562,Andres Romero,17.99,43,239
2013,4,0,29425,Andrew Svoboda,17.98,32,178
2013,5,0,24227,Justin Bolli,17.86,40,224
2013,6,0,24507,Jason Bohn,17.54,50,285
2013,7,0,23983,Luke Donald,17.37,41,236
2013,8,0,23320,Ryan Palmer,17.03,55,323
2013,9,0,28679,Fabián Gómez,16.98,45,265
2013,10,0,20160,Charlie Wi,16.84,49,291
2013,11,0,22806,Doug LaBelle II,16.55,47,284
2013,12,0,30926,Chris Kirk,16.48,59,358
2013,13,0,28475,Jeff Overton,16.35,52,318
2013,14,0,29221,Webb Simpson,16.34,58,355
2013,15,0,10885,Robert Allenby,16.3,37,227
2013,16,0,8793,Tiger Woods,16.25,39,240
2013,17,0,24358,Robert Garrigus,16.1,43,267
2013,18,0,25444,Justin Hicks,15.96,49,307
2013,19,0,21753,Brian Davis,15.95,59,370
2013,20,0,6004,Stephen Ames,15.84,32,202
2013,21,0,22046,Geoff Ogilvy,15.74,37,235
2013,22,0,23409,James Driscoll,15.65,46,294
2013,23,0,24361,Pat Perez,15.6,44,282
2013,24,0,23621,Rory Sabbatini,15.57,52,334
2013,25,0,35139,Richard Lee,15.56,49,315
2013,26,0,30925,Dustin Johnson,15.47,43,278
2013,27,0,24846,Ricky Barnes,15.44,44,285
2013,27,0,20593,Greg Chalmers,15.44,46,298
2013,27,0,22961,David Mathis,15.44,42,272
2013,30,0,32698,Bobby Gates,15.38,28,182
2013,30,0,34174,John Huh,15.38,54,351
2013,32,0,23788,D.J. Trahan,15.34,29,189
2013,33,0,24024,Zach Johnson,15.32,51,333
2013,34,0,25345,Carl Pettersson,15.26,49,321
2013,34,0,26679,Kevin Stadler,15.26,49,321
2013,36,0,31202,William McGirt,15.08,46,305
2013,36,0,27770,Camilo Villegas,15.08,46,305
2013,38,0,28237,Rory McIlroy,15.0,33,220
2013,39,0,26758,David Hearn,14.93,53,355
2013,40,0,1320,Bob Estes,14.87,40,269
2013,41,0,31560,Brian Stuard,14.85,45,303
2013,42,0,33461,Morgan Hoffmann,14.73,38,258
2013,42,0,25240,D.A. Points,14.73,52,353
2013,44,0,26476,Chez Reavie,14.68,43,293
2013,45,0,1116,Michael Bradley,14.55,31,213
2013,46,0,27408,Martin Kaymer,14.53,34,234
2013,47,0,30852,Ryo Ishikawa,14.49,41,283
2013,47,0,30163,Henrik Norlander,14.49,40,276
2013,49,0,20229,Stewart Cink,14.48,42,290
2013,50,0,34099,Harris English,14.47,56,387
2013,51,0,28780,Nicholas Thompson,14.46,58,401
2013,52,0,25834,Daniel Summerhays,14.45,49,339
2013,53,0,36884,Ben Kohles,14.43,42,291
2013,54,0,29289,S.Y. Noh,14.34,39,272
2013,55,0,12716,Charley Hoffman,14.33,49,342
2013,56,0,10860,Justin Leonard,14.29,50,350
2013,57,0,24494,Erik Compton,14.24,43,302
2013,57,0,28500,Martin Flores,14.24,48,337
2013,57,0,27649,Brandt Snedeker,14.24,45,316
2013,60,0,10809,Jim Furyk,14.2,45,317
2013,61,0,25804,Bubba Watson,14.19,41,289
2013,62,0,27933,John Merrick,14.15,45,318
2013,63,0,1724,Jeff Maggert,14.12,36,255
2013,64,0,23800,Bryce Molder,14.07,46,327
2013,65,0,34098,Russell Henley,14.01,44,314
2013,66,0,27503,Steve LeBrun,14.0,35,250
2013,67,0,20098,Stuart Appleby,13.99,48,343
2013,68,0,25274,Steven Bowditch,13.96,37,265
2013,68,0,29479,Scott Brown,13.96,37,265
2013,70,0,26300,Matt Jones,13.95,47,337
2013,71,0,25900,Lucas Glover,13.91,37,266
2013,71,0,24140,Sean O'Hair,13.91,32,230
2013,73,0,31557,Jim Herman,13.9,31,223
2013,74,0,20848,Ángel Cabrera,13.85,41,296
2013,75,0,29420,Billy Horschel,13.81,54,391
2013,76,0,31323,Gary Woodland,13.77,50,363
2013,77,0,22405,Justin Rose,13.75,33,240
2013,78,0,34261,Scott Langley,13.73,42,306
2013,79,0,24663,Y.E. Yang,13.72,31,226
2013,80,0,25818,Scott Piercy,13.71,41,299
2013,81,0,24781,Hunter Mahan,13.61,46,338
2013,82,0,26331,Charl Schwartzel,13.6,37,272
2013,83,0,27644,Brian Harman,13.58,47,346
2013,84,0,30944,Jason Kokrak,13.56,43,317
2013,85,0,6527,Steve Stricker,13.51,25,185
2013,86,0,24924,Bill Haas,13.47,45,334
2013,87,0,33419,Cameron Tringale,13.46,44,327
2013,88,0,23638,Brendon de Jonge,13.42,60,447
2013,89,0,23135,Tim Clark,13.41,33,246
2013,90,0,22792,Peter Hanson,13.37,23,172
2013,91,0,8075,Jerry Kelly,13.36,41,307
2013,92,0,2206,David Toms,13.33,24,180
2013,93,0,32448,James Hahn,13.29,40,301
2013,94,0,22371,Aaron Baddeley,13.28,36,271
2013,95,0,28092,D.H. Lee,13.26,35,264
2013,96,0,34046,Jordan Spieth,13.21,44,333
2013,97,0,30711,Colt Knost,13.16,35,266
2013,98,0,22056,Cameron Percy,13.11,35,267
2013,98,0,27556,Ted Potter Jr.,13.11,32,244
2013,98,0,27214,Kevin Streelman,13.11,46,351
2013,101,0,6573,Brandt Jobe,12.93,30,232
2013,102,0,34409,David Lingmerth,12.9,36,279
2013,103,0,29518,Brendan Steele,12.87,43,334
2013,104,0,32334,Charlie Beljan,12.85,32,249
2013,105,0,27436,Graham DeLaet,12.83,49,382
2013,106,0,19846,Brian Gay,12.81,41,320
2013,107,0,30750,Tommy Gainey,12.76,43,337
2013,108,0,20443,Jin Park,12.75,26,204
2013,109,0,34431,Robert Streb,12.71,37,291
