YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
2013,110,0,24502,Adam Scott,12.7,31,244
2013,111,0,28310,Lee Williams,12.65,31,245
2013,112,0,32366,Kevin Chappell,12.62,41,325
2013,112,0,28089,Jason Day,12.62,41,325
2013,114,0,35539,Luke Guthrie,12.61,42,333
2013,115,0,23353,J.J. Henry,12.58,41,326
2013,116,0,21961,Charles Howell III,12.57,43,342
2013,116,0,27963,Chris Stroud,12.57,45,358
2013,118,0,34360,Patrick Reed,12.5,42,336
2013,119,0,24138,Ian Poulter,12.44,26,209
2013,120,0,33418,Shawn Stefani,12.36,32,259
2013,120,0,28135,Aaron Watkins,12.36,22,178
2013,122,0,30692,Scott Stallings,12.3,39,317
2013,123,0,21099,David Lynn,12.27,34,277
2013,124,0,20691,Greg Owen,12.11,35,289
2013,124,0,21528,Henrik Stenson,12.11,31,256
2013,126,0,6522,Ernie Els,12.1,30,248
2013,126,0,22378,Trevor Immelman,12.1,34,281
2013,128,0,24399,Scott Gardiner,12.08,29,240
2013,128,0,22913,John Rollins,12.08,36,298
2013,128,0,26951,Johnson Wagner,12.08,29,240
2013,131,0,12510,Chad Campbell,12.05,37,307
2013,132,0,23497,Tag Ridings,11.99,32,267
2013,133,0,27330,Josh Teater,11.98,40,334
2013,134,0,32102,Rickie Fowler,11.95,35,293
2013,135,0,32200,Roberto Castro,11.9,47,395
2013,136,0,23325,Vaughn Taylor,11.89,22,185
2013,137,0,27095,Nick Watney,11.85,41,346
2013,138,0,29740,Brad Fritsch,11.82,37,313
2013,139,0,28455,Will Claxton,11.76,30,255
2013,140,0,8725,Tom Gillis,11.7,31,265
2013,140,0,33869,Eric Meierdierks,11.7,22,188
2013,140,0,30110,Kyle Stanley,11.7,33,282
2013,143,0,23108,Matt Kuchar,11.68,41,351
2013,144,0,28307,Matt Every,11.67,42,360
2013,145,0,21731,Freddie Jacobson,11.62,28,241
2013,146,0,27936,Martin Laird,11.51,32,278
2013,147,0,34021,Bud Cauley,11.37,29,255
2013,148,0,20396,Lee Westwood,11.19,31,277
2013,149,0,20766,Padraig Harrington,11.17,22,197
2013,150,0,20104,Ken Duke,11.08,39,352
2013,151,0,23541,Ben Crane,11.06,26,235
2013,152,0,33141,Keegan Bradley,11.01,38,345
2013,153,0,25686,Jason Dufner,11.0,34,309
2013,154,0,32150,Michael Thompson,10.9,29,266
2013,155,0,25632,Jimmy Walker,10.79,37,343
2013,156,0,25336,Alistair Presnell,10.73,25,233
2013,157,0,26851,Marc Leishman,10.68,33,309
2013,158,0,22621,Ben Curtis,10.67,24,225
2013,159,0,26596,Ryan Moore,10.6,30,283
2013,160,0,21209,Sergio Garcia,10.55,27,256
2013,160,0,22295,Darron Stiles,10.55,21,199
2013,162,0,20645,John Senden,10.44,33,316
2013,162,0,6567,Vijay Singh,10.44,26,249
2013,164,0,25572,Graeme McDowell,10.2,20,196
2013,165,0,27895,Jonas Blixt,10.16,31,305
2013,166,0,20572,Rod Pampling,10.06,17,169
2013,167,0,24357,K.J. Choi,10.0,34,340
2013,167,0,19970,Robert Karlsson,10.0,21,210
2013,169,0,26497,Casey Wittenberg,9.86,28,284
2013,170,0,26289,Boo Weekley,9.85,40,406
2013,171,0,12782,Tim Herron,9.78,18,184
2013,172,0,10423,Mike Weir,9.75,23,236
2013,173,0,24490,George McNeill,9.52,26,273
2013,174,0,27129,Luke List,9.24,23,249
2013,175,0,10213,Dicky Pride,9.12,25,274
2013,176,0,37273,Derek Ernst,8.97,21,234
2013,177,0,27120,Troy Matteson,8.92,24,269
2013,178,0,21878,Mark Wilson,8.65,18,208
2013,179,0,23623,Bo Van Pelt,8.51,24,282
2013,180,0,23452,Nicolas Colsaerts,7.98,15,188
2014,1,0,25632,Jimmy Walker,18.11,69,381
2014,2,0,26596,Ryan Moore,18.07,60,332
2014,3,0,30925,Dustin Johnson,17.78,40,225
2014,3,0,28132,Tyrone Van Aswegen,17.78,56,315
2014,5,0,29479,Scott Brown,17.71,71,401
2014,6,0,34099,Harris English,17.57,65,370
2014,7,0,26331,Charl Schwartzel,17.34,43,248
2014,8,0,23621,Rory Sabbatini,16.93,54,319
2014,9,0,30750,Tommy Gainey,16.67,47,282
2014,10,0,10885,Robert Allenby,16.41,54,329
2014,11,0,30927,Brendon Todd,16.4,72,439
2014,12,0,23623,Bo Van Pelt,16.32,55,337
2014,13,0,31202,William McGirt,16.2,63,389
2014,14,0,23135,Tim Clark,16.17,49,303
2014,15,0,26679,Kevin Stadler,16.16,58,359
2014,16,0,24912,Will MacKenzie,16.12,54,335
2014,17,0,28237,Rory McIlroy,16.02,41,256
2014,18,0,32640,Troy Merritt,16.0,40,250
2014,19,0,24846,Ricky Barnes,15.97,57,357
2014,20,0,21209,Sergio Garcia,15.95,37,232
2014,21,0,20229,Stewart Cink,15.76,58,368
2014,22,0,35732,Wes Roach,15.63,40,256
2014,23,0,35541,John Peterson,15.57,38,244
2014,24,0,30852,Ryo Ishikawa,15.36,47,306
2014,25,0,12716,Charley Hoffman,15.3,58,379
2014,25,0,27963,Chris Stroud,15.3,54,353
2014,27,0,33141,Keegan Bradley,15.25,54,354
2014,28,0,25191,Gonzalo Fernandez-Castaño,15.24,50,328
2014,29,0,27408,Martin Kaymer,15.23,39,256
2014,30,0,23541,Ben Crane,15.15,50,330
2014,31,0,27644,Brian Harman,15.08,68,451
2014,32,0,26329,Louis Oosthuizen,15.05,28,186
2014,33,0,25834,Daniel Summerhays,15.04,60,399
2014,34,0,34046,Jordan Spieth,15.01,59,393
2014,35,0,35139,Richard Lee,14.87,47,316
2014,36,0,32150,Michael Thompson,14.81,44,297
2014,37,0,35539,Luke Guthrie,14.78,51,345
2014,37,0,34261,Scott Langley,14.78,56,379
2014,39,0,24358,Robert Garrigus,14.72,48,326
2014,40,0,30944,Jason Kokrak,14.66,39,266
2014,41,0,24490,George McNeill,14.64,47,321
2014,42,0,30110,Kyle Stanley,14.63,49,335
2014,43,0,23320,Ryan Palmer,14.58,50,343
2014,43,0,27770,Camilo Villegas,14.58,56,384
2014,45,0,29926,Danny Lee,14.51,47,324
2014,45,0,26851,Marc Leishman,14.51,47,324
2014,47,0,31560,Brian Stuard,14.49,51,352
2014,48,0,29425,Andrew Svoboda,14.47,45,311
2014,49,0,12510,Chad Campbell,14.42,31,215
2014,50,0,28307,Matt Every,14.41,50,347
2014,51,0,1810,Phil Mickelson,14.39,41,285
2014,52,0,10860,Justin Leonard,14.38,44,306
2014,53,0,20104,Ken Duke,14.33,45,314
2014,53,0,26300,Matt Jones,14.33,48,335
2014,55,0,21731,Freddie Jacobson,14.29,53,371
2014,55,0,34264,Hudson Swafford,14.29,41,287
2014,57,0,26758,David Hearn,14.25,56,393
2014,58,0,24502,Adam Scott,14.18,38,268
2014,59,0,20098,Stuart Appleby,14.17,52,367
2014,60,0,36689,Brooks Koepka,14.16,32,226
2014,61,0,25444,Justin Hicks,14.14,57,403
2014,62,0,33122,Russell Knox,14.13,53,375
2014,63,0,27436,Graham DeLaet,14.06,45,320
2014,64,0,23983,Luke Donald,14.04,32,228
2014,65,0,34174,John Huh,14.03,47,335
2014,66,0,34098,Russell Henley,13.97,51,365
2014,67,0,27649,Brandt Snedeker,13.96,49,351
2014,67,0,30692,Scott Stallings,13.96,43,308
2014,69,0,20645,John Senden,13.9,56,403
2014,70,0,32366,Kevin Chappell,13.88,54,389
2014,71,0,24024,Zach Johnson,13.87,53,382
2014,72,0,25720,Chad Collins,13.86,42,303
2014,73,0,30926,Chris Kirk,13.8,57,413
2014,74,0,20498,Briny Baird,13.79,28,203
2014,75,0,32839,Hideki Matsuyama,13.75,44,320
2014,76,0,29420,Billy Horschel,13.69,49,358
2014,77,0,20848,Ángel Cabrera,13.67,38,278
2014,77,0,22293,Heath Slocum,13.67,38,278
2014,79,0,2206,David Toms,13.55,34,251
2014,80,0,29222,Billy Hurley III,13.54,47,347
2014,81,0,6522,Ernie Els,13.52,43,318
2014,82,0,28486,Michael Putnam,13.49,56,415
2014,83,0,33461,Morgan Hoffmann,13.47,54,401
2014,84,0,24361,Pat Perez,13.41,46,343
2014,85,0,25240,D.A. Points,13.4,39,291
2014,86,0,23108,Matt Kuchar,13.35,47,352
2014,87,0,29740,Brad Fritsch,13.33,26,195
2014,88,0,32334,Charlie Beljan,13.31,39,293
2014,89,0,24507,Jason Bohn,13.29,44,331
2014,90,0,27466,Spencer Levin,13.28,32,241
2014,91,0,25364,Paul Casey,13.27,30,226
2014,92,0,10423,Mike Weir,13.26,35,264
2014,93,0,37273,Derek Ernst,13.2,40,303
2014,94,0,31557,Jim Herman,13.19,31,235
2014,95,0,20157,Retief Goosen,13.11,48,366
2014,96,0,25396,Kevin Na,13.05,50,383
2014,97,0,25349,Tim Wilkinson,13.03,43,330
2014,98,0,35300,Andrew Loupe,13.01,32,246
2014,99,0,28475,Jeff Overton,12.99,40,308
2014,100,0,21528,Henrik Stenson,12.96,28,216
2014,100,0,27095,Nick Watney,12.96,39,301
2014,102,0,29518,Brendan Steele,12.87,44,342
2014,103,0,25562,Andres Romero,12.86,40,311
2014,103,0,33419,Cameron Tringale,12.86,58,451
2014,105,0,8075,Jerry Kelly,12.84,42,327
2014,106,0,29461,Jamie Lovemark,12.81,31,242
2014,107,0,24924,Bill Haas,12.8,54,422
2014,107,0,29221,Webb Simpson,12.8,43,336
2014,109,0,29478,Kevin Kisner,12.75,44,345
2014,110,0,24140,Sean O'Hair,12.74,40,314
2014,111,0,28092,D.H. Lee,12.68,26,205
2014,112,0,29289,S.Y. Noh,12.67,47,371
2014,113,0,33413,Ben Martin,12.65,41,324
2014,114,0,20160,Charlie Wi,12.63,36,285
2014,115,0,27141,J.B. Holmes,12.61,44,349
2014,116,0,34409,David Lingmerth,12.58,39,310
2014,117,0,31193,Jim Renner,12.55,30,239
2014,118,0,27214,Kevin Streelman,12.5,39,312
2014,119,0,22621,Ben Curtis,12.46,37,297
2014,120,0,25804,Bubba Watson,12.33,36,292
2014,121,0,19846,Brian Gay,12.3,39,317
2014,122,0,34563,Chesson Hadley,12.28,42,342
2014,123,0,34360,Patrick Reed,12.26,44,359
2014,124,0,32448,James Hahn,12.23,40,327
2014,125,0,25274,Steven Bowditch,12.2,46,377
2014,126,0,23800,Bryce Molder,12.12,36,297
2014,127,0,29535,Brice Garnett,12.11,43,355
2014,128,0,33418,Shawn Stefani,12.08,29,240
2014,129,0,24494,Erik Compton,12.01,43,358
2014,130,0,10809,Jim Furyk,12.0,39,325
2014,131,0,32102,Rickie Fowler,11.99,41,342
2014,131,0,24663,Y.E. Yang,11.99,38,317
2014,133,0,32333,Kevin Tway,11.98,29,242
2014,134,0,1724,Jeff Maggert,11.93,26,218
2014,135,0,31323,Gary Woodland,11.89,44,370
2014,136,0,20593,Greg Chalmers,11.82,39,330
2014,137,0,28259,Sangmoon Bae,11.76,36,306
2014,138,0,23409,James Driscoll,11.68,34,291
2014,139,0,22371,Aaron Baddeley,11.64,34,292
2014,140,0,22405,Justin Rose,11.59,32,276
2014,141,0,34431,Robert Streb,11.58,33,285
2014,142,0,25900,Lucas Glover,11.57,31,268
2014,143,0,24925,Jonathan Byrd,11.56,34,294
2014,144,0,24781,Hunter Mahan,11.44,39,341
2014,145,0,27330,Josh Teater,11.42,41,359
2014,146,0,24357,K.J. Choi,11.38,37,325
2014,146,0,27933,John Merrick,11.38,38,334
2014,148,0,26951,Johnson Wagner,11.36,30,264
2014,149,0,23353,J.J. Henry,11.33,40,353
2014,150,0,27556,Ted Potter Jr.,11.15,31,278
2014,151,0,23638,Brendon de Jonge,11.14,49,440
2014,152,0,25686,Jason Dufner,11.11,24,216
2014,152,0,27120,Troy Matteson,11.11,26,234
2014,154,0,21753,Brian Davis,10.88,41,377
2014,155,0,25572,Graeme McDowell,10.84,27,249
2014,156,0,32200,Roberto Castro,10.63,32,301
2014,157,0,27064,Jhonattan Vegas,10.6,32,302
2014,158,0,28780,Nicholas Thompson,10.57,35,331
2014,159,0,25345,Carl Pettersson,10.3,38,369
2014,160,0,20396,Lee Westwood,10.27,23,224
2014,161,0,21878,Mark Wilson,10.23,27,264
2014,162,0,1706,Davis Love III,10.17,30,295
2014,163,0,24138,Ian Poulter,9.82,22,224
2014,164,0,34021,Bud Cauley,9.73,22,226
2014,165,0,22378,Trevor Immelman,9.63,31,322
2014,166,0,22046,Geoff Ogilvy,9.57,31,324
2014,167,0,6567,Vijay Singh,9.55,32,335
2014,168,0,21961,Charles Howell III,9.53,41,430
2014,169,0,28089,Jason Day,9.33,18,193
2014,170,0,27895,Jonas Blixt,9.31,23,247
2014,171,0,7867,Woody Austin,9.28,22,237
2014,172,0,28500,Martin Flores,8.99,31,345
2014,173,0,27936,Martin Laird,8.94,22,246
2014,174,0,22913,John Rollins,8.67,28,323
2014,175,0,34265,Will Wilcox,8.59,17,198
2014,176,0,26956,Bronson La'Cassie,8.42,16,190
2014,177,0,26289,Boo Weekley,8.36,24,287
2022,1,0,51894,Vince Whaley,18.7,66,353
2022,2,0,36799,Stephan Jaeger,18.31,65,355
2022,3,0,25198,Francesco Molinari,18.18,38,209
2022,4,0,23983,Luke Donald,17.92,50,279
2022,5,0,47483,Will Zalatoris,17.88,54,302
2022,6,0,34098,Russell Henley,17.86,55,308
2022,7,0,46402,Talor Gooch,17.39,48,276
2022,8,0,28237,Rory McIlroy,17.37,41,236
2022,9,0,46046,Scottie Scheffler,17.16,58,338
2022,10,0,26851,Marc Leishman,17.13,49,286
2022,10,0,53165,Doc Redman,17.13,56,327
2022,12,0,46442,Maverick McNealy,16.99,62,365
2022,13,0,35891,Cameron Smith,16.94,42,248
2022,14,0,32150,Michael Thompson,16.91,58,343
2022,15,0,46717,Viktor Hovland,16.79,46,274
2022,16,0,33486,Roger Sloan,16.45,50,304
2022,17,0,32640,Troy Merritt,16.18,61,377
2022,18,0,50525,Collin Morikawa,16.12,39,242
2022,19,0,54421,Garrick Higgo,15.93,36,226
2022,20,0,37189,Harold Varner III,15.88,44,277
2022,21,0,28775,Nate Lashley,15.87,50,315
2022,22,0,39546,Keith Mitchell,15.86,56,353
2022,23,0,29908,C.T. Pan,15.79,54,342
2022,24,0,33141,Keegan Bradley,15.74,51,324
2022,24,0,40115,Adam Svensson,15.74,65,413
2022,26,0,47995,Davis Riley,15.68,61,389
2022,27,0,33667,Carlos Ortiz,15.63,40,256
2022,28,0,49964,Aaron Wise,15.61,54,346
2022,29,0,35532,Tom Hoge,15.6,61,391
2022,29,0,32839,Hideki Matsuyama,15.6,44,282
2022,31,0,48822,Sebastián Muñoz,15.59,53,340
2022,32,0,28114,Dawie van der Walt,15.56,40,257
2022,33,0,39977,Max Homa,15.55,51,328
2022,33,0,48117,Kurt Kitayama,15.55,44,283
2022,35,0,35450,Patrick Cantlay,15.47,41,265
2022,36,0,34466,Peter Malnati,15.46,66,427
2022,37,0,27139,David Skinns,15.38,42,273
2022,38,0,40250,Taylor Pendrith,15.33,44,287
2022,39,0,23621,Rory Sabbatini,15.32,34,222
2022,40,0,36801,Mark Hubbard,15.3,43,281
2022,41,0,36326,David Lipsky,15.26,56,367
2022,42,0,45486,Joaquin Niemann,15.22,49,322
2022,43,0,22405,Justin Rose,15.11,34,225
2022,44,0,36884,Ben Kohles,15.06,39,259
2022,45,0,34076,Joel Dahmen,14.99,52,347
2022,46,0,27974,Sung Kang,14.97,50,334
2022,47,0,45609,Tyler Duncan,14.96,51,341
2022,48,0,32816,Satoshi Kodaira,14.95,32,214
2022,49,0,30692,Scott Stallings,14.94,59,395
2022,50,0,33448,Justin Thomas,14.9,45,302
2022,51,0,31560,Brian Stuard,14.82,55,371
2022,52,0,40162,Justin Lower,14.81,44,297
2022,53,0,31646,Emiliano Grillo,14.74,51,346
2022,54,0,54628,Lee Hodges,14.73,57,387
2022,54,0,24024,Zach Johnson,14.73,38,258
2022,56,0,29926,Danny Lee,14.68,32,218
2022,57,0,35506,Mackenzie Hughes,14.66,50,341
2022,58,0,35461,Beau Hossler,14.59,41,281
2022,59,0,48081,Xander Schauffele,14.58,42,288
2022,59,0,48887,Matt Wallace,14.58,35,240
2022,61,0,34360,Patrick Reed,14.49,40,276
2022,62,0,12716,Charley Hoffman,14.48,42,290
2022,63,0,26476,Chez Reavie,14.45,51,353
2022,64,0,27936,Martin Laird,14.44,39,270
2022,64,0,24502,Adam Scott,14.44,41,284
2022,66,0,34256,Andrew Putnam,14.4,56,389
2022,67,0,46435,Austin Cook,14.39,41,285
2022,68,0,34264,Hudson Swafford,14.23,37,260
2022,69,0,47988,Nick Hardy,14.11,34,241
2022,70,0,33204,Shane Lowry,14.1,33,234
2022,71,0,47128,Richy Werenski,14.07,37,263
2022,72,0,56278,Matthew Wolff,14.06,27,192
2022,73,0,28089,Jason Day,14.04,33,235
2022,73,0,30911,Tommy Fleetwood,14.04,32,228
2022,75,0,27649,Brandt Snedeker,13.99,34,243
2022,76,0,29221,Webb Simpson,13.98,33,236
2022,77,0,27214,Kevin Streelman,13.97,51,365
2022,78,0,47993,Denny McCarthy,13.94,57,409
2022,79,0,49960,Sepp Straka,13.89,55,396
2022,80,0,31420,Anirban Lahiri,13.85,41,296
2022,81,0,20229,Stewart Cink,13.83,43,311
2022,81,0,30927,Brendon Todd,13.83,48,347
2022,83,0,27349,Alex Noren,13.81,37,268
2022,84,0,37212,Paul Barjon,13.8,41,297
2022,85,0,29970,Dylan Frittelli,13.79,52,377
2022,86,0,23108,Matt Kuchar,13.65,40,293
2022,87,0,21961,Charles Howell III,13.64,30,220
2022,88,0,25818,Scott Piercy,13.62,44,323
2022,89,0,10381,Curtis Thompson,13.58,36,265
2022,90,0,45157,Cam Davis,13.5,44,326
2022,90,0,27129,Luke List,13.5,44,326
2022,92,0,37455,Si Woo Kim,13.47,52,386
2022,93,0,54783,Dylan Wu,13.45,37,275
2022,94,0,50095,Austin Smotherman,13.4,43,321
2022,95,0,33419,Cameron Tringale,13.39,51,381
2022,96,0,57366,Cameron Young,13.35,43,322
2022,97,0,48084,Wesley Bryan,13.33,28,210
2022,98,0,46340,Alex Smalley,13.3,52,391
2022,99,0,39971,Sungjae Im,13.29,46,346
2022,100,0,45540,Jared Wolfe,13.28,32,241
2022,101,0,45526,Abraham Ancer,13.27,30,226
2022,102,0,34174,John Huh,13.23,41,310
2022,103,0,32366,Kevin Chappell,13.12,29,221
2022,104,0,30978,Kiradech Aphibarnrat,13.0,29,223
2022,104,0,45522,Christiaan Bezuidenhout,13.0,42,323
2022,104,0,29535,Brice Garnett,13.0,42,323
2022,107,0,37275,Sam Ryder,12.98,47,362
2022,108,0,31323,Gary Woodland,12.94,37,286
2022,109,0,49771,J.T. Poston,12.92,46,356
2022,110,0,33597,Harry Higgs,12.87,43,334
2022,110,0,51890,Greyson Sigg,12.87,48,373
2022,112,0,26300,Matt Jones,12.85,32,249
2022,113,0,34255,Joseph Bramlett,12.84,43,335
2022,113,0,29478,Kevin Kisner,12.84,33,257
2022,115,0,49947,Taylor Moore,12.83,44,343
2022,116,0,23320,Ryan Palmer,12.81,36,281
2022,117,0,36852,Jim Knous,12.8,27,211
2022,118,0,24138,Ian Poulter,12.79,22,172
2022,119,0,52375,Doug Ghim,12.78,45,352
2022,120,0,24925,Jonathan Byrd,12.77,30,235
2022,121,0,33399,Adam Hadwin,12.74,47,369
2022,122,0,23325,Vaughn Taylor,12.73,28,220
2022,123,0,47983,Chad Ramey,12.71,38,299
2022,124,0,35449,Adam Long,12.7,47,370
2022,125,0,32102,Rickie Fowler,12.67,37,292
2022,126,0,39324,J.J. Spaun,12.66,50,395
2022,127,0,29725,Tony Finau,12.57,43,342
2022,127,0,49298,Kramer Hickok,12.57,48,382
2022,129,0,30944,Jason Kokrak,12.5,30,240
2022,130,0,27895,Jonas Blixt,12.44,26,209
2022,131,0,25900,Lucas Glover,12.4,46,371
2022,131,0,25493,Nick Taylor,12.4,46,371
2022,133,0,51634,Sahith Theegala,12.36,57,461
2022,134,0,47504,Sam Burns,12.35,40,324
2022,135,0,46970,Jon Rahm,12.32,34,276
2022,136,0,34363,Tyrrell Hatton,12.31,32,260
2022,136,0,32791,K.H. Lee,12.31,48,390
2022,136,0,46601,Trey Mullinax,12.31,41,333
2022,139,0,49766,Hank Lebioda,12.28,41,334
2022,140,0,36871,Matthew NeSmith,12.27,47,383
2022,141,0,31557,Jim Herman,12.26,26,212
2022,142,0,36699,Patrick Rodgers,12.25,43,351
2022,143,0,24980,Scott Gutschewski,12.23,28,229
2022,144,0,29420,Billy Horschel,12.22,33,270
2022,144,0,34431,Robert Streb,12.22,43,352
2022,146,0,33122,Russell Knox,12.2,45,369
2022,147,0,39058,Lucas Herbert,12.14,25,206
2022,148,0,52372,Cameron Champ,12.12,28,231
2022,148,0,40006,Erik van Rooyen,12.12,24,198
2022,150,0,28252,Seamus Power,12.05,37,307
2022,151,0,35879,Kelly Kraft,12.03,35,291
2022,152,0,30163,Henrik Norlander,12.0,36,300
2022,152,0,47856,Seth Reeves,12.0,33,275
2022,154,0,51997,Andrew Novak,11.99,38,317
2022,155,0,24924,Bill Haas,11.94,45,377
2022,156,0,51766,Wyndham Clark,11.91,48,403
2022,157,0,34563,Chesson Hadley,11.85,39,329
2022,157,0,47529,Mito Pereira,11.85,43,363
2022,157,0,48699,Callum Tarren,11.85,34,287
2022,160,0,39997,Corey Conners,11.78,41,348
2022,161,0,27644,Brian Harman,11.72,43,367
2022,161,0,46414,Aaron Rai,11.72,43,367
2022,163,0,40098,Matt Fitzpatrick,11.58,33,285
2022,164,0,19803,Ryan Armour,11.48,24,209
2022,165,0,32333,Kevin Tway,11.43,36,315
2022,166,0,24361,Pat Perez,11.41,30,263
2022,167,0,35310,Lanto Griffin,11.31,37,327
2022,168,0,51950,Max McGreevy,11.3,34,301
2022,169,0,47347,Adam Schenk,11.29,42,372
2022,170,0,39436,Joshua Creel,11.28,22,195
