YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,TOTAL HOLES,TOTAL RTP
2013,1,0,21731,Freddie Jacobson,0.302,53,16.0
2013,2,0,23983,Luke Donald,0.319,69,22.0
2013,3,0,20098,Stuart Appleby,0.345,87,30.0
2013,4,0,24357,K.J. Choi,0.355,62,22.0
2013,5,0,6527,Steve Stricker,0.361,36,13.0
2013,6,0,22371,Aaron Baddeley,0.368,106,39.0
2013,7,0,24494,Erik Compton,0.373,83,31.0
2013,8,0,1320,Bob Estes,0.377,61,23.0
2013,9,0,23108,Matt Kuchar,0.378,74,28.0
2013,10,0,24924,Bill Haas,0.382,68,26.0
2013,11,0,25274,Steven Bowditch,0.385,78,30.0
2013,12,0,35139,Richard Lee,0.39,82,32.0
2013,13,0,6004,Stephen Ames,0.393,61,24.0
2013,14,0,26951,Johnson Wagner,0.394,71,28.0
2013,15,0,22792,Peter Hanson,0.4,50,20.0
2013,16,0,21961,Charles Howell III,0.402,102,41.0
2013,17,0,23541,Ben Crane,0.403,77,31.0
2013,18,0,2206,David Toms,0.405,37,15.0
2013,19,0,10213,Dicky Pride,0.406,69,28.0
2013,20,0,28089,Jason Day,0.408,76,31.0
2013,21,0,23135,Tim Clark,0.412,51,21.0
2013,22,0,22378,Trevor Immelman,0.414,70,29.0
2013,23,0,25632,Jimmy Walker,0.416,101,42.0
2013,24,0,8725,Tom Gillis,0.419,62,26.0
2013,25,0,25562,Andres Romero,0.42,69,29.0
2013,26,0,19846,Brian Gay,0.421,114,48.0
2013,27,0,25572,Graeme McDowell,0.422,45,19.0
2013,28,0,28135,Aaron Watkins,0.425,40,17.0
2013,29,0,33461,Morgan Hoffmann,0.426,61,26.0
2013,29,0,21878,Mark Wilson,0.426,61,26.0
2013,31,0,22405,Justin Rose,0.432,44,19.0
2013,32,0,24781,Hunter Mahan,0.435,62,27.0
2013,33,0,31557,Jim Herman,0.436,39,17.0
2013,34,0,21209,Sergio Garcia,0.438,48,21.0
2013,34,0,28310,Lee Williams,0.438,64,28.0
2013,36,0,27649,Brandt Snedeker,0.439,57,25.0
2013,37,0,27933,John Merrick,0.44,75,33.0
2013,38,0,33869,Eric Meierdierks,0.441,34,15.0
2013,39,0,12782,Tim Herron,0.443,70,31.0
2013,40,0,27895,Jonas Blixt,0.446,92,41.0
2013,40,0,25336,Alistair Presnell,0.446,65,29.0
