YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
2013,1,0,21753,Brian Davis,27.21,517,19
2013,2,0,23983,Luke Donald,27.38,356,13
2013,3,0,21878,Mark Wilson,27.56,248,9
2013,4,0,35139,Richard Lee,27.63,442,16
2013,5,0,19846,Brian Gay,27.81,445,16
2013,6,0,27644,Brian Harman,27.87,418,15
2013,7,0,28310,Lee Williams,27.9,279,10
2013,8,0,22371,Aaron Baddeley,28.0,280,10
2013,8,0,20593,Greg Chalmers,28.0,364,13
2013,8,0,10860,Justin Leonard,28.0,532,19
2013,8,0,1724,Jeff Maggert,28.0,336,12
2013,12,0,34409,David Lingmerth,28.08,337,12
2013,13,0,22792,Peter Hanson,28.1,281,10
2013,14,0,34098,Russell Henley,28.13,450,16
2013,15,0,6573,Brandt Jobe,28.18,310,11
2013,15,0,32150,Michael Thompson,28.18,310,11
2013,17,0,21209,Sergio Garcia,28.19,451,16
2013,18,0,10423,Mike Weir,28.22,254,9
2013,19,0,21731,Freddie Jacobson,28.25,339,12
2013,19,0,2206,David Toms,28.25,226,8
2013,21,0,34046,Jordan Spieth,28.28,509,18
2013,22,0,35539,Luke Guthrie,28.29,396,14
2013,23,0,20104,Ken Duke,28.31,453,16
2013,24,0,12716,Charley Hoffman,28.32,538,19
2013,25,0,24494,Erik Compton,28.33,425,15
2013,25,0,32448,James Hahn,28.33,340,12
2013,25,0,1810,Phil Mickelson,28.33,510,18
2013,28,0,31560,Brian Stuard,28.36,397,14
2013,29,0,28259,Sangmoon Bae,28.38,454,16
2013,29,0,25834,Daniel Summerhays,28.38,454,16
2013,31,0,21961,Charles Howell III,28.39,511,18
2013,32,0,23409,James Driscoll,28.4,426,15
2013,33,0,23135,Tim Clark,28.42,341,12
2013,34,0,20443,Jin Park,28.43,199,7
2013,35,0,27649,Brandt Snedeker,28.47,484,17
2013,36,0,30926,Chris Kirk,28.48,598,21
2013,37,0,28307,Matt Every,28.5,513,18
2013,37,0,20766,Padraig Harrington,28.5,285,10
2013,37,0,21099,David Lynn,28.5,399,14
2013,37,0,25572,Graeme McDowell,28.5,285,10
2013,37,0,6527,Steve Stricker,28.5,342,12
2013,37,0,27963,Chris Stroud,28.5,570,20
2013,37,0,20160,Charlie Wi,28.5,399,14
2013,44,0,20098,Stuart Appleby,28.56,514,18
2013,44,0,30944,Jason Kokrak,28.56,457,16
2013,44,0,24663,Y.E. Yang,28.56,257,9
2013,47,0,25562,Andres Romero,28.6,286,10
2013,48,0,28237,Rory McIlroy,28.62,372,13
2013,49,0,26758,David Hearn,28.63,544,19
