YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
2013,1,0,19846,Brian Gay,0.35,1,288
2013,2,0,26497,Casey Wittenberg,0.56,1,180
2013,3,0,1320,Bob Estes,0.74,2,270
2013,4,0,6004,Stephen Ames,0.79,1,126
2013,4,0,26476,Chez Reavie,0.79,2,252
2013,4,0,31560,Brian Stuard,0.79,2,252
2013,4,0,29425,Andrew Svoboda,0.79,1,126
2013,8,0,23983,Luke Donald,0.85,2,234
2013,9,0,24138,Ian Poulter,0.93,2,216
2013,10,0,10860,Justin Leonard,1.17,4,342
2013,11,0,30711,Colt Knost,1.23,2,162
2013,11,0,24663,Y.E. Yang,1.23,2,162
2013,13,0,24507,Jason Bohn,1.39,3,216
2013,13,0,23135,Tim Clark,1.39,3,216
2013,13,0,20104,Ken Duke,1.39,4,288
2013,13,0,21209,Sergio Garcia,1.39,4,288
2013,13,0,12782,Tim Herron,1.39,2,144
2013,13,0,24781,Hunter Mahan,1.39,5,360
2013,19,0,23108,Matt Kuchar,1.52,6,396
2013,20,0,25632,Jimmy Walker,1.54,5,324
2013,21,0,32102,Rickie Fowler,1.63,5,306
2013,22,0,33141,Keegan Bradley,1.67,6,360
2013,22,0,23497,Tag Ridings,1.67,3,180
2013,22,0,25562,Andres Romero,1.67,3,180
2013,22,0,28310,Lee Williams,1.67,3,180
2013,26,0,20593,Greg Chalmers,1.71,4,234
2013,27,0,26758,David Hearn,1.75,6,342
2013,28,0,32448,James Hahn,1.85,4,216
2013,28,0,21731,Freddie Jacobson,1.85,4,216
2013,28,0,29221,Webb Simpson,1.85,7,378
2013,28,0,10423,Mike Weir,1.85,3,162
2013,32,0,32200,Roberto Castro,1.94,7,360
2013,33,0,35539,Luke Guthrie,1.98,5,252
2013,34,0,6573,Brandt Jobe,2.02,4,198
2013,35,0,8075,Jerry Kelly,2.08,6,288
2013,35,0,28475,Jeff Overton,2.08,6,288
2013,35,0,25336,Alistair Presnell,2.08,3,144
2013,35,0,26331,Charl Schwartzel,2.08,6,288
2013,35,0,25834,Daniel Summerhays,2.08,6,288
2013,35,0,2206,David Toms,2.08,3,144
2013,41,0,30926,Chris Kirk,2.12,8,378
2013,42,0,22371,Aaron Baddeley,2.22,4,180
2013,42,0,27895,Jonas Blixt,2.22,6,270
2013,42,0,23409,James Driscoll,2.22,6,270
2013,42,0,32698,Bobby Gates,2.22,2,90
2013,42,0,27644,Brian Harman,2.22,6,270
2013,42,0,8793,Tiger Woods,2.22,6,270
