YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
2013,1,0,24227,Justin Bolli,100.0,21,21.0
2013,1,0,31557,Jim Herman,100.0,26,26.0
2013,3,0,21731,Freddie Jacobson,96.0,25,24.0
2013,4,0,6573,Brandt Jobe,95.65,23,22.0
2013,5,0,23325,Vaughn Taylor,95.45,22,21.0
2013,6,0,28092,D.H. Lee,94.87,39,37.0
2013,6,0,23800,Bryce Molder,94.87,39,37.0
2013,8,0,6004,Stephen Ames,94.12,17,16.0
2013,8,0,22792,Peter Hanson,94.12,17,16.0
2013,8,0,6527,Steve Stricker,94.12,34,32.0
2013,11,0,23623,Bo Van Pelt,93.55,31,29.0
2013,12,0,23452,Nicolas Colsaerts,92.86,14,13.0
2013,13,0,25804,Bubba Watson,92.59,27,25.0
2013,14,0,29420,Billy Horschel,92.5,40,37.0
2013,14,0,1810,Phil Mickelson,92.5,40,37.0
2013,16,0,25572,Graeme McDowell,92.31,13,12.0
2013,16,0,29518,Brendan Steele,92.31,39,36.0
2013,18,0,21209,Sergio Garcia,92.0,25,23.0
2013,18,0,28135,Aaron Watkins,92.0,25,23.0
2013,18,0,10423,Mike Weir,92.0,25,23.0
2013,18,0,21878,Mark Wilson,92.0,25,23.0
2013,22,0,25274,Steven Bowditch,91.43,35,32.0
2013,23,0,29425,Andrew Svoboda,91.3,23,21.0
2013,24,0,20593,Greg Chalmers,91.18,34,31.0
2013,25,0,23320,Ryan Palmer,90.7,43,39.0
2013,25,0,26476,Chez Reavie,90.7,43,39.0
2013,27,0,8075,Jerry Kelly,90.63,32,29.0
2013,27,0,21099,David Lynn,90.63,32,29.0
2013,29,0,21753,Brian Davis,90.38,52,47.0
2013,30,0,25444,Justin Hicks,90.0,30,27.0
2013,30,0,34360,Patrick Reed,90.0,40,36.0
2013,32,0,19846,Brian Gay,89.47,38,34.0
2013,33,0,24138,Ian Poulter,89.29,28,25.0
2013,34,0,30750,Tommy Gainey,88.89,27,24.0
2013,34,0,30944,Jason Kokrak,88.89,54,48.0
2013,34,0,34261,Scott Langley,88.89,36,32.0
2013,34,0,27120,Troy Matteson,88.89,27,24.0
2013,34,0,27963,Chris Stroud,88.89,45,40.0
2013,39,0,23621,Rory Sabbatini,88.68,53,47.0
2013,40,0,25562,Andres Romero,88.64,44,39.0
2013,41,0,24846,Ricky Barnes,88.57,35,31.0
2013,42,0,10885,Robert Allenby,88.46,26,23.0
2013,42,0,26497,Casey Wittenberg,88.46,26,23.0
2013,44,0,33141,Keegan Bradley,88.24,34,30.0
2013,44,0,27408,Martin Kaymer,88.24,17,15.0
2013,44,0,22056,Cameron Percy,88.24,34,30.0
2013,47,0,37273,Derek Ernst,88.0,25,22.0
2013,48,0,28475,Jeff Overton,87.8,41,36.0
2013,49,0,28780,Nicholas Thompson,87.69,65,57.0
2013,50,0,21961,Charles Howell III,87.5,48,42.0
2013,50,0,36884,Ben Kohles,87.5,16,14.0
2013,50,0,27649,Brandt Snedeker,87.5,40,35.0
2013,53,0,12716,Charley Hoffman,87.23,47,41.0
2013,54,0,23983,Luke Donald,87.1,31,27.0
2013,55,0,32150,Michael Thompson,86.96,23,20.0
2013,56,0,32448,James Hahn,86.84,38,33.0
2013,56,0,34098,Russell Henley,86.84,38,33.0
2013,56,0,22913,John Rollins,86.84,38,33.0
2013,59,0,23541,Ben Crane,86.67,30,26.0
2013,59,0,28679,Fabián Gómez,86.67,30,26.0
2013,61,0,23108,Matt Kuchar,86.49,37,32.0
2013,62,0,34409,David Lingmerth,86.36,22,19.0
2013,62,0,20443,Jin Park,86.36,22,19.0
