YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
2013,1,0,24227,Justin Bolli,25.75,103,4
2013,2,0,10423,Mike Weir,26.57,186,7
2013,3,0,19846,Brian Gay,26.63,426,16
2013,4,0,24663,Y.E. Yang,27.33,246,9
2013,5,0,24507,Jason Bohn,27.42,329,12
2013,6,0,23800,Bryce Molder,27.53,468,17
2013,7,0,34046,Jordan Spieth,27.61,497,18
2013,8,0,22806,Doug LaBelle II,27.69,360,13
2013,9,0,24138,Ian Poulter,27.73,305,11
2013,10,0,22371,Aaron Baddeley,27.8,278,10
2013,11,0,28089,Jason Day,27.85,557,20
2013,12,0,26300,Matt Jones,27.88,474,17
2013,13,0,27895,Jonas Blixt,27.92,363,13
2013,14,0,32102,Rickie Fowler,27.93,419,15
2013,15,0,33419,Cameron Tringale,27.94,447,16
2013,16,0,28135,Aaron Watkins,28.0,84,3
2013,17,0,25274,Steven Bowditch,28.09,309,11
2013,17,0,29420,Billy Horschel,28.09,618,22
2013,17,0,34431,Robert Streb,28.09,309,11
2013,20,0,33141,Keegan Bradley,28.11,534,19
2013,20,0,21961,Charles Howell III,28.11,506,18
2013,22,0,27963,Chris Stroud,28.12,478,17
2013,23,0,23325,Vaughn Taylor,28.13,225,8
2013,24,0,20593,Greg Chalmers,28.15,366,13
2013,24,0,22913,John Rollins,28.15,366,13
2013,26,0,25240,D.A. Points,28.2,423,15
2013,27,0,25562,Andres Romero,28.22,254,9
2013,28,0,1320,Bob Estes,28.27,424,15
2013,29,0,23320,Ryan Palmer,28.29,481,17
2013,30,0,28475,Jeff Overton,28.31,453,16
2013,31,0,27556,Ted Potter Jr.,28.33,255,9
2013,32,0,26758,David Hearn,28.35,482,17
2013,33,0,34360,Patrick Reed,28.36,397,14
2013,33,0,33418,Shawn Stefani,28.36,312,11
2013,35,0,23409,James Driscoll,28.38,369,13
2013,35,0,27936,Martin Laird,28.38,369,13
2013,35,0,31202,William McGirt,28.38,369,13
2013,38,0,30750,Tommy Gainey,28.42,341,12
2013,39,0,23108,Matt Kuchar,28.43,597,21
2013,39,0,23788,D.J. Trahan,28.43,199,7
2013,41,0,29479,Scott Brown,28.45,313,11
2013,41,0,33461,Morgan Hoffmann,28.45,313,11
2013,43,0,27644,Brian Harman,28.5,399,14
2013,43,0,33869,Eric Meierdierks,28.5,114,4
2013,45,0,27770,Camilo Villegas,28.53,428,15
2013,46,0,21099,David Lynn,28.54,371,13
2013,47,0,32150,Michael Thompson,28.55,314,11
2013,48,0,28500,Martin Flores,28.56,457,16
2013,49,0,30925,Dustin Johnson,28.57,400,14
2013,50,0,21753,Brian Davis,28.59,486,17
2013,51,0,8075,Jerry Kelly,28.6,429,15
2013,52,0,2206,David Toms,28.63,229,8
2013,53,0,23135,Tim Clark,28.64,315,11
2013,54,0,26851,Marc Leishman,28.67,430,15
2013,54,0,25572,Graeme McDowell,28.67,258,9
2013,56,0,29221,Webb Simpson,28.68,545,19
2013,57,0,27408,Martin Kaymer,28.69,373,13
2013,57,0,28237,Rory McIlroy,28.69,373,13
2013,57,0,25804,Bubba Watson,28.69,459,16
2013,60,0,37273,Derek Ernst,28.71,201,7
2013,61,0,28092,D.H. Lee,28.73,316,11
2013,61,0,30163,Henrik Norlander,28.73,316,11
2013,63,0,22792,Peter Hanson,28.75,230,8
2013,63,0,21731,Freddie Jacobson,28.75,345,12
2013,63,0,27649,Brandt Snedeker,28.75,460,16
2013,66,0,22295,Darron Stiles,28.8,144,5
2013,67,0,34099,Harris English,28.86,606,21
2013,68,0,20104,Ken Duke,28.87,433,15
2013,69,0,28310,Lee Williams,28.88,231,8
2013,70,0,20098,Stuart Appleby,28.89,520,18
2013,70,0,34021,Bud Cauley,28.89,260,9
2013,70,0,24024,Zach Johnson,28.89,520,18
2013,70,0,10860,Justin Leonard,28.89,549,19
2013,74,0,34261,Scott Langley,28.91,318,11
2013,74,0,34409,David Lingmerth,28.91,318,11
2013,76,0,31560,Brian Stuard,28.92,347,12
2013,77,0,23623,Bo Van Pelt,28.93,405,14
2013,78,0,6004,Stephen Ames,29.0,174,6
2013,78,0,24494,Erik Compton,29.0,348,12
2013,78,0,23541,Ben Crane,29.0,232,8
2013,78,0,32698,Bobby Gates,29.0,87,3
2013,78,0,25818,Scott Piercy,29.0,406,14
2013,83,0,27933,John Merrick,29.06,465,16
2013,83,0,1810,Phil Mickelson,29.06,523,18
2013,83,0,25632,Jimmy Walker,29.06,523,18
2013,86,0,6522,Ernie Els,29.08,378,13
2013,86,0,20160,Charlie Wi,29.08,378,13
2013,88,0,30110,Kyle Stanley,29.1,291,10
2013,89,0,30711,Colt Knost,29.11,262,9
2013,89,0,27214,Kevin Streelman,29.11,524,18
2013,91,0,24502,Adam Scott,29.13,437,15
2013,92,0,25444,Justin Hicks,29.14,408,14
2013,92,0,26596,Ryan Moore,29.14,408,14
2013,94,0,12510,Chad Campbell,29.15,379,13
2013,95,0,32448,James Hahn,29.17,350,12
2013,96,0,25345,Carl Pettersson,29.18,496,17
2013,97,0,28259,Sangmoon Bae,29.19,467,16
2013,98,0,25834,Daniel Summerhays,29.2,438,15
2013,99,0,22621,Ben Curtis,29.22,263,9
2013,100,0,20229,Stewart Cink,29.23,380,13
2013,100,0,30944,Jason Kokrak,29.23,380,13
2013,102,0,30852,Ryo Ishikawa,29.25,351,12
2013,103,0,29740,Brad Fritsch,29.27,439,15
2013,104,0,30926,Chris Kirk,29.3,586,20
2013,105,0,34098,Russell Henley,29.31,469,16
2013,105,0,26331,Charl Schwartzel,29.31,469,16
2013,107,0,24358,Robert Garrigus,29.33,352,12
2013,107,0,30692,Scott Stallings,29.33,352,12
2013,109,0,8725,Tom Gillis,29.36,323,11
2013,109,0,22405,Justin Rose,29.36,411,14
2013,109,0,6527,Steve Stricker,29.36,323,11
2013,112,0,24357,K.J. Choi,29.37,558,19
2013,112,0,31323,Gary Woodland,29.37,558,19
2013,114,0,23983,Luke Donald,29.38,382,13
2013,114,0,27129,Luke List,29.38,235,8
2013,116,0,10885,Robert Allenby,29.4,147,5
2013,116,0,28307,Matt Every,29.4,441,15
2013,118,0,25686,Jason Dufner,29.41,500,17
2013,119,0,32200,Roberto Castro,29.42,559,19
2013,120,0,23452,Nicolas Colsaerts,29.43,206,7
2013,120,0,25336,Alistair Presnell,29.43,206,7
2013,122,0,28679,Fabián Gómez,29.44,265,9
2013,123,0,34174,John Huh,29.47,442,15
2013,123,0,23621,Rory Sabbatini,29.47,442,15
2013,125,0,35139,Richard Lee,29.5,472,16
2013,125,0,20691,Greg Owen,29.5,354,12
2013,125,0,10213,Dicky Pride,29.5,295,10
2013,125,0,26476,Chez Reavie,29.5,413,14
2013,129,0,23638,Brendon de Jonge,29.56,739,25
2013,129,0,22046,Geoff Ogilvy,29.56,266,9
2013,129,0,29518,Brendan Steele,29.56,473,16
2013,132,0,25900,Lucas Glover,29.6,296,10
2013,133,0,10809,Jim Furyk,29.61,533,18
2013,134,0,24490,George McNeill,29.62,385,13
2013,135,0,24361,Pat Perez,29.69,386,13
2013,136,0,20396,Lee Westwood,29.71,505,17
2013,137,0,36884,Ben Kohles,29.73,327,11
2013,137,0,20645,John Senden,29.73,446,15
2013,137,0,26679,Kevin Stadler,29.73,446,15
2013,140,0,24781,Hunter Mahan,29.76,506,17
2013,141,0,27120,Troy Matteson,29.78,268,9
2013,141,0,26289,Boo Weekley,29.78,685,23
2013,143,0,21209,Sergio Garcia,29.8,447,15
2013,144,0,22378,Trevor Immelman,29.82,328,11
2013,144,0,1724,Jeff Maggert,29.82,328,11
2013,146,0,12716,Charley Hoffman,29.84,567,19
2013,147,0,12782,Tim Herron,29.86,209,7
2013,148,0,27436,Graham DeLaet,29.9,628,21
2013,149,0,28455,Will Claxton,30.0,240,8
2013,149,0,35539,Luke Guthrie,30.0,420,14
2013,149,0,19970,Robert Karlsson,30.0,240,8
2013,149,0,28780,Nicholas Thompson,30.0,600,20
2013,149,0,21878,Mark Wilson,30.0,210,7
2013,149,0,8793,Tiger Woods,30.0,450,15
2013,155,0,24924,Bill Haas,30.06,511,17
2013,156,0,21528,Henrik Stenson,30.07,451,15
2013,157,0,22056,Cameron Percy,30.08,391,13
2013,158,0,27503,Steve LeBrun,30.1,301,10
2013,159,0,31557,Jim Herman,30.11,271,9
2013,160,0,27330,Josh Teater,30.12,512,17
2013,161,0,32334,Charlie Beljan,30.17,181,6
2013,162,0,27095,Nick Watney,30.18,513,17
2013,163,0,23353,J.J. Henry,30.2,453,15
2013,163,0,20443,Jin Park,30.2,151,5
2013,165,0,29289,S.Y. Noh,30.22,272,9
2013,166,0,20848,Ángel Cabrera,30.31,485,16
2013,167,0,6573,Brandt Jobe,30.36,334,11
2013,168,0,1116,Michael Bradley,30.4,152,5
2013,168,0,32366,Kevin Chappell,30.4,456,15
2013,170,0,6567,Vijay Singh,30.45,335,11
2013,171,0,20572,Rod Pampling,30.5,183,6
2013,171,0,26497,Casey Wittenberg,30.5,244,8
2013,173,0,24846,Ricky Barnes,30.56,275,9
2013,173,0,23497,Tag Ridings,30.56,275,9
2013,175,0,20766,Padraig Harrington,30.67,276,9
2013,176,0,22961,David Mathis,30.7,307,10
2013,177,0,29425,Andrew Svoboda,30.8,154,5
2013,178,0,26951,Johnson Wagner,31.17,187,6
2013,179,0,24140,Sean O'Hair,31.29,219,7
2013,180,0,24399,Scott Gardiner,31.57,221,7
2014,1,0,10860,Justin Leonard,26.87,403,15
2014,2,0,30925,Dustin Johnson,27.38,356,13
2014,2,0,10423,Mike Weir,27.38,219,8
2014,4,0,20098,Stuart Appleby,27.59,469,17
2014,5,0,35139,Richard Lee,27.69,360,13
2014,6,0,25572,Graeme McDowell,27.73,416,15
2014,7,0,6522,Ernie Els,27.75,444,16
2014,8,0,36689,Brooks Koepka,27.92,335,12
2014,9,0,28475,Jeff Overton,27.93,419,15
2014,10,0,34046,Jordan Spieth,28.0,644,23
2014,11,0,21753,Brian Davis,28.06,505,18
