YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,ROUNDS
2013,1,0,23638,Brendon de Jonge,62
2013,2,0,33141,Keegan Bradley,56
2013,3,0,32200,Roberto Castro,55
2013,4,0,30926,Chris Kirk,54
2013,5,0,29420,Billy Horschel,53
2013,6,0,27436,Graham DeLaet,52
2013,7,0,27963,Chris Stroud,51
2013,8,0,34046,Jordan Spieth,50
2013,8,0,25632,Jimmy Walker,50
2013,10,0,34099,Harris English,48
2013,10,0,24024,Zach Johnson,48
2013,10,0,23108,Matt Kuchar,48
2013,10,0,28780,Nicholas Thompson,48
2013,14,0,12716,Charley Hoffman,47
2013,14,0,24781,Hunter Mahan,47
2013,14,0,27095,Nick Watney,47
2013,14,0,26289,Boo Weekley,47
2013,18,0,20098,Stuart Appleby,46
2013,18,0,21753,Brian Davis,46
2013,18,0,28307,Matt Every,46
2013,18,0,24924,Bill Haas,46
2013,18,0,26758,David Hearn,46
2013,18,0,23621,Rory Sabbatini,46
2013,24,0,21961,Charles Howell III,45
2013,24,0,26300,Matt Jones,45
2013,24,0,29221,Webb Simpson,45
2013,27,0,10809,Jim Furyk,44
2013,27,0,26679,Kevin Stadler,44
2013,27,0,27214,Kevin Streelman,44
2013,27,0,25834,Daniel Summerhays,44
2013,31,0,27649,Brandt Snedeker,43
2013,31,0,31323,Gary Woodland,43
2013,33,0,23800,Bryce Molder,42
2013,34,0,28089,Jason Day,41
2013,34,0,10860,Justin Leonard,41
2013,34,0,28475,Jeff Overton,41
2013,34,0,22913,John Rollins,41
2013,38,0,24357,K.J. Choi,40
2013,38,0,21528,Henrik Stenson,40
2013,40,0,23409,James Driscoll,39
2013,40,0,20104,Ken Duke,39
2013,40,0,1320,Bob Estes,39
2013,40,0,27644,Brian Harman,39
2013,40,0,34098,Russell Henley,39
2013,40,0,30944,Jason Kokrak,39
2013,40,0,27933,John Merrick,39
2013,40,0,23320,Ryan Palmer,39
2013,40,0,26476,Chez Reavie,39
2013,40,0,29518,Brendan Steele,39
2013,40,0,33419,Cameron Tringale,39
2013,51,0,8075,Jerry Kelly,38
2013,51,0,31202,William McGirt,38
2013,51,0,1810,Phil Mickelson,38
2013,51,0,34360,Patrick Reed,38
2013,51,0,22405,Justin Rose,38
2013,51,0,27770,Camilo Villegas,38
2013,57,0,28259,Sangmoon Bae,37
2013,57,0,32366,Kevin Chappell,37
2013,57,0,29740,Brad Fritsch,37
2013,57,0,23353,J.J. Henry,37
2013,57,0,35139,Richard Lee,37
2013,57,0,26331,Charl Schwartzel,37
2013,63,0,12510,Chad Campbell,36
2013,63,0,28500,Martin Flores,36
2013,63,0,34174,John Huh,36
2013,63,0,24490,George McNeill,36
2013,63,0,22056,Cameron Percy,36
2013,63,0,25804,Bubba Watson,36
