YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,CAREER BEST STREAK,BEST YTD STREAK
2013,1,0,1320,Bob Estes,17,5
2013,2,0,21961,Charles Howell III,16,9
2013,3,0,6251,Chris DiMarco,14,2
2013,3,0,1527,Scott Hoch,14,0
2013,3,0,8793,Tiger Woods,14,6
2013,6,0,23638,Brendon de Jonge,13,8
2013,6,0,21805,Harrison Frazar,13,0
2013,6,0,30926,Chris Kirk,13,5
2013,6,0,1706,Davis Love III,13,3
2013,6,0,25818,Scott Piercy,13,4
2013,6,0,29221,Webb Simpson,13,4
2013,12,0,20498,Briny Baird,12,0
2013,12,0,6621,Joe Durant,12,1
2013,12,0,12680,Shigeki Maruyama,12,0
2013,12,0,1887,Mark O'Meara,12,1
2013,12,0,1948,Tim Petrovic,12,4
2013,12,0,20127,Chris Riley,12,2
2013,12,0,6595,Kevin Sutherland,12,3
2013,12,0,2206,David Toms,12,3
2013,12,0,26951,Johnson Wagner,12,2
2013,21,0,7223,Brian Bateman,11,0
2013,21,0,25274,Steven Bowditch,11,11
2013,21,0,24925,Jonathan Byrd,11,4
2013,21,0,23541,Ben Crane,11,4
2013,21,0,1306,David Edwards,11,0
2013,21,0,10809,Jim Furyk,11,4
2013,21,0,8537,J.P. Hayes,11,0
2013,21,0,8075,Jerry Kelly,11,5
2013,21,0,1666,Bernhard Langer,11,0
2013,21,0,1690,Bruce Lietzke,11,0
2013,21,0,1783,Mark McCumber,11,0
2013,21,0,28237,Rory McIlroy,11,2
2013,21,0,1925,Jerry Pate,11,0
2013,21,0,1945,Kenny Perry,11,2
2013,21,0,20645,John Senden,11,5
2013,21,0,2239,Scott Verplank,11,2
2013,37,0,7867,Woody Austin,10,4
2013,37,0,12510,Chad Campbell,10,7
2013,37,0,1226,Fred Couples,10,1
2013,37,0,21753,Brian Davis,10,3
2013,37,0,7457,Steve Flesch,10,4
2013,37,0,12823,Carlos Franco,10,0
2013,37,0,1378,David Frost,10,1
2013,37,0,1381,Fred Funk,10,1
2013,37,0,1388,Robert Gamez,10,1
2013,37,0,25900,Lucas Glover,10,4
2013,37,0,23108,Matt Kuchar,10,6
2013,37,0,1797,Rocco Mediate,10,0
2013,37,0,1928,Corey Pavin,10,1
2013,37,0,1938,David Peoples,10,0
2013,37,0,1941,Tom Pernice Jr.,10,0
2013,37,0,25345,Carl Pettersson,10,4
2013,37,0,1996,Mike Reid,10,0
2013,37,0,2010,Loren Roberts,10,0
2013,37,0,2049,Gene Sauers,10,0
2013,37,0,2090,Tom Sieckmann,10,0
2013,37,0,2101,Joey Sindelar,10,0
2013,37,0,2106,Chris Smith,10,0
