YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
2013,1,0,20593,Greg Chalmers,0.72,3,414
2013,2,0,23497,Tag Ridings,1.21,5,414
2013,3,0,25345,Carl Pettersson,1.26,5,396
2013,4,0,37273,Derek Ernst,1.32,5,378
2013,5,0,32698,Bobby Gates,1.54,5,324
2013,5,0,26331,Charl Schwartzel,1.54,5,324
2013,7,0,10860,Justin Leonard,1.62,7,432
2013,7,0,31202,William McGirt,1.62,7,432
2013,9,0,21528,Henrik Stenson,1.63,5,306
2013,10,0,27963,Chris Stroud,1.78,8,450
2013,11,0,27644,Brian Harman,1.79,9,504
2013,12,0,6522,Ernie Els,1.85,6,324
2013,12,0,24924,Bill Haas,1.85,8,432
2013,12,0,22792,Peter Hanson,1.85,4,216
2013,12,0,25572,Graeme McDowell,1.85,5,270
2013,12,0,20572,Rod Pampling,1.85,5,270
2013,12,0,34431,Robert Streb,1.85,8,432
2013,18,0,24358,Robert Garrigus,1.94,7,360
2013,18,0,28092,D.H. Lee,1.94,7,360
2013,18,0,24361,Pat Perez,1.94,7,360
2013,21,0,23409,James Driscoll,2.02,8,396
2013,21,0,26951,Johnson Wagner,2.02,8,396
2013,23,0,22621,Ben Curtis,2.05,7,342
2013,24,0,29425,Andrew Svoboda,2.08,6,288
2013,25,0,8725,Tom Gillis,2.12,8,378
2013,26,0,6004,Stephen Ames,2.16,7,324
2013,27,0,24357,K.J. Choi,2.17,9,414
2013,27,0,30711,Colt Knost,2.17,9,414
2013,27,0,23800,Bryce Molder,2.17,9,414
2013,30,0,12782,Tim Herron,2.22,6,270
2013,30,0,24502,Adam Scott,2.22,6,270
2013,32,0,24399,Scott Gardiner,2.27,9,396
2013,32,0,25444,Justin Hicks,2.27,9,396
2013,32,0,23108,Matt Kuchar,2.27,9,396
2013,35,0,20098,Stuart Appleby,2.31,10,432
2013,35,0,12510,Chad Campbell,2.31,10,432
2013,35,0,30926,Chris Kirk,2.31,10,432
2013,35,0,29221,Webb Simpson,2.31,10,432
2013,39,0,23135,Tim Clark,2.34,8,342
2013,40,0,26758,David Hearn,2.35,11,468
2013,41,0,29479,Scott Brown,2.38,9,378
2013,41,0,10809,Jim Furyk,2.38,9,378
2013,41,0,1810,Phil Mickelson,2.38,9,378
2013,44,0,22371,Aaron Baddeley,2.42,10,414
2013,44,0,27120,Troy Matteson,2.42,10,414
2013,44,0,22913,John Rollins,2.42,10,414
2013,47,0,23983,Luke Donald,2.43,7,288
2013,47,0,21209,Sergio Garcia,2.43,7,288
2013,49,0,21731,Freddie Jacobson,2.47,8,324
2013,49,0,28135,Aaron Watkins,2.47,8,324
2013,49,0,21878,Mark Wilson,2.47,8,324
2013,52,0,33418,Shawn Stefani,2.5,9,360
2013,53,0,28679,Fabián Gómez,2.53,10,396
2013,53,0,23320,Ryan Palmer,2.53,10,396
2013,53,0,10213,Dicky Pride,2.53,10,396
2013,56,0,33141,Keegan Bradley,2.55,11,432
2013,56,0,21961,Charles Howell III,2.55,11,432
2013,58,0,30750,Tommy Gainey,2.58,13,504
2013,59,0,24490,George McNeill,2.63,9,342
2013,59,0,22056,Cameron Percy,2.63,9,342
2013,61,0,32102,Rickie Fowler,2.65,10,378
2013,62,0,34098,Russell Henley,2.66,11,414
2013,63,0,32448,James Hahn,2.67,12,450
2013,63,0,23353,J.J. Henry,2.67,12,450
2013,63,0,30692,Scott Stallings,2.67,13,486
2013,66,0,28089,Jason Day,2.78,10,360
2013,66,0,23638,Brendon de Jonge,2.78,15,540
2013,66,0,1320,Bob Estes,2.78,9,324
2013,66,0,6573,Brandt Jobe,2.78,9,324
2013,66,0,34360,Patrick Reed,2.78,13,468
2013,66,0,25834,Daniel Summerhays,2.78,13,468
2013,66,0,23325,Vaughn Taylor,2.78,7,252
2013,73,0,28500,Martin Flores,2.89,13,450
2013,74,0,29740,Brad Fritsch,2.9,12,414
2013,74,0,27933,John Merrick,2.9,12,414
2013,76,0,20766,Padraig Harrington,2.96,8,270
2013,76,0,8793,Tiger Woods,2.96,8,270
2013,78,0,29420,Billy Horschel,2.99,14,468
2013,78,0,34261,Scott Langley,2.99,14,468
2013,80,0,26300,Matt Jones,3.01,13,432
2013,80,0,20645,John Senden,3.01,13,432
2013,80,0,31560,Brian Stuard,3.01,13,432
2013,83,0,20229,Stewart Cink,3.03,12,396
2013,84,0,27503,Steve LeBrun,3.06,11,360
2013,85,0,21753,Brian Davis,3.09,15,486
2013,86,0,24846,Ricky Barnes,3.11,14,450
2013,86,0,27214,Kevin Streelman,3.11,14,450
2013,88,0,27408,Martin Kaymer,3.13,9,288
2013,89,0,24494,Erik Compton,3.14,13,414
2013,89,0,19846,Brian Gay,3.14,13,414
2013,89,0,27649,Brandt Snedeker,3.14,13,414
2013,92,0,28307,Matt Every,3.17,16,504
2013,92,0,34174,John Huh,3.17,16,504
2013,92,0,21099,David Lynn,3.17,12,378
2013,92,0,26596,Ryan Moore,3.17,12,378
2013,92,0,25240,D.A. Points,3.17,16,504
2013,92,0,10423,Mike Weir,3.17,12,378
2013,98,0,26497,Casey Wittenberg,3.21,15,468
2013,99,0,30925,Dustin Johnson,3.22,11,342
2013,99,0,24140,Sean O'Hair,3.22,11,342
2013,101,0,27895,Jonas Blixt,3.24,14,432
2013,101,0,36884,Ben Kohles,3.24,14,432
2013,101,0,24781,Hunter Mahan,3.24,14,432
2013,101,0,26679,Kevin Stadler,3.24,14,432
2013,105,0,10885,Robert Allenby,3.28,13,396
2013,105,0,34021,Bud Cauley,3.28,13,396
2013,105,0,8075,Jerry Kelly,3.28,13,396
2013,105,0,35139,Richard Lee,3.28,13,396
2013,105,0,28475,Jeff Overton,3.28,13,396
2013,105,0,26476,Chez Reavie,3.28,13,396
2013,105,0,32150,Michael Thompson,3.28,13,396
2013,112,0,24138,Ian Poulter,3.33,9,270
2013,112,0,29518,Brendan Steele,3.33,15,450
2013,114,0,12716,Charley Hoffman,3.38,14,414
2013,114,0,24024,Zach Johnson,3.38,14,414
2013,114,0,22961,David Mathis,3.38,14,414
2013,114,0,29289,S.Y. Noh,3.38,14,414
2013,114,0,27330,Josh Teater,3.38,14,414
2013,119,0,25274,Steven Bowditch,3.44,13,378
2013,120,0,30944,Jason Kokrak,3.47,15,432
2013,120,0,31323,Gary Woodland,3.47,15,432
2013,122,0,6567,Vijay Singh,3.51,12,342
2013,123,0,34409,David Lingmerth,3.54,14,396
2013,124,0,20104,Ken Duke,3.57,18,504
2013,125,0,33461,Morgan Hoffmann,3.61,13,360
2013,125,0,25562,Andres Romero,3.61,13,360
2013,125,0,25804,Bubba Watson,3.61,13,360
2013,128,0,24507,Jason Bohn,3.62,15,414
2013,128,0,22378,Trevor Immelman,3.62,15,414
2013,128,0,25818,Scott Piercy,3.62,15,414
2013,131,0,34099,Harris English,3.63,17,468
2013,132,0,28780,Nicholas Thompson,3.64,19,522
2013,133,0,30163,Henrik Norlander,3.7,14,378
2013,133,0,6527,Steve Stricker,3.7,8,216
2013,133,0,28310,Lee Williams,3.7,14,378
2013,136,0,28259,Sangmoon Bae,3.78,17,450
2013,137,0,27770,Camilo Villegas,3.79,15,396
2013,137,0,20160,Charlie Wi,3.79,15,396
2013,139,0,32200,Roberto Castro,3.83,20,522
2013,140,0,34046,Jordan Spieth,3.86,16,414
2013,141,0,1724,Jeff Maggert,3.89,14,360
2013,141,0,23623,Bo Van Pelt,3.89,14,360
2013,143,0,33419,Cameron Tringale,3.94,17,432
2013,143,0,25632,Jimmy Walker,3.94,17,432
2013,145,0,22806,Doug LaBelle II,3.97,15,378
2013,145,0,28237,Rory McIlroy,3.97,10,252
2013,147,0,23621,Rory Sabbatini,4.0,18,450
2013,148,0,24227,Justin Bolli,4.04,16,396
2013,149,0,23541,Ben Crane,4.09,14,342
2013,149,0,22295,Darron Stiles,4.09,14,342
2013,151,0,28455,Will Claxton,4.11,17,414
