YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
2013,1,0,10809,Jim Furyk,"31' 3""",35953.333,1150,Under
2013,2,0,22405,Justin Rose,"32' 2""",26497.583,823,Under
2013,3,0,1724,Jeff Maggert,"32' 3""",32858.667,1020,Under
2013,4,0,27770,Camilo Villegas,"32' 8""",37338.917,1144,Under
2013,5,0,26476,Chez Reavie,"32' 9""",39213.167,1198,Under
2013,6,0,30926,Chris Kirk,"32' 11""",47732.417,1451,1 Under
2013,7,0,23621,Rory Sabbatini,"33' 0""",42458.833,1288,Under
2013,7,0,34046,Jordan Spieth,"33' 0""",39397.833,1194,1 Under
2013,9,0,20104,Ken Duke,"33' 1""",44379.167,1343,Over
2013,9,0,6567,Vijay Singh,"33' 1""",28449.75,861,Over
2013,9,0,2206,David Toms,"33' 1""",18902.333,572,Over
2013,12,0,24357,K.J. Choi,"33' 2""",37490.417,1130,Under
2013,12,0,27649,Brandt Snedeker,"33' 2""",34182.917,1030,Under
2013,12,0,26679,Kevin Stadler,"33' 2""",40776.917,1231,Under
2013,15,0,22295,Darron Stiles,"33' 3""",25026.583,753,Over
2013,16,0,27436,Graham DeLaet,"33' 4""",48457.75,1455,Under
2013,16,0,27214,Kevin Streelman,"33' 4""",40676.25,1220,Under
2013,18,0,29740,Brad Fritsch,"33' 6""",40763.083,1216,Under
2013,18,0,24024,Zach Johnson,"33' 6""",40141.667,1198,Under
2013,18,0,28780,Nicholas Thompson,"33' 6""",51734.417,1543,Under
2013,18,0,24663,Y.E. Yang,"33' 6""",24576.0,733,Over
2013,22,0,36884,Ben Kohles,"33' 7""",37286.083,1109,Over
2013,22,0,25572,Graeme McDowell,"33' 7""",22177.083,661,Under
2013,22,0,31560,Brian Stuard,"33' 7""",37986.0,1132,Over
2013,22,0,23623,Bo Van Pelt,"33' 7""",32440.583,966,Even
2013,26,0,21753,Brian Davis,"33' 8""",50189.083,1489,Under
2013,26,0,25444,Justin Hicks,"33' 8""",39860.417,1183,Over
2013,26,0,34409,David Lingmerth,"33' 8""",34295.75,1019,Under
2013,26,0,23320,Ryan Palmer,"33' 8""",41702.667,1240,Under
