YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL RNDS
2013,1,0,23638,Brendon de Jonge,48
2013,2,0,29420,Billy Horschel,42
2013,3,0,34046,Jordan Spieth,41
2013,4,0,30926,Chris Kirk,40
2013,5,0,33141,Keegan Bradley,39
2013,5,0,34099,Harris English,39
2013,5,0,24024,Zach Johnson,39
2013,8,0,32200,Roberto Castro,38
2013,8,0,23621,Rory Sabbatini,38
2013,10,0,27436,Graham DeLaet,37
2013,10,0,21961,Charles Howell III,37
2013,12,0,26300,Matt Jones,36
2013,12,0,24781,Hunter Mahan,36
2013,12,0,23800,Bryce Molder,36
2013,15,0,23108,Matt Kuchar,35
2013,15,0,25632,Jimmy Walker,35
2013,15,0,26289,Boo Weekley,35
2013,18,0,27963,Chris Stroud,34
2013,18,0,25834,Daniel Summerhays,34
2013,18,0,28780,Nicholas Thompson,34
2013,21,0,21753,Brian Davis,33
2013,21,0,10809,Jim Furyk,33
2013,21,0,24924,Bill Haas,33
2013,21,0,27649,Brandt Snedeker,33
2013,21,0,26679,Kevin Stadler,33
2013,26,0,28307,Matt Every,32
2013,26,0,26758,David Hearn,32
2013,26,0,29221,Webb Simpson,32
2013,26,0,27095,Nick Watney,32
2013,30,0,27214,Kevin Streelman,31
2013,31,0,20098,Stuart Appleby,30
2013,31,0,1810,Phil Mickelson,30
2013,31,0,28475,Jeff Overton,30
2013,31,0,27770,Camilo Villegas,30
2013,31,0,31323,Gary Woodland,30
2013,36,0,28089,Jason Day,29
2013,36,0,1320,Bob Estes,29
2013,36,0,12716,Charley Hoffman,29
2013,36,0,30925,Dustin Johnson,29
2013,36,0,27933,John Merrick,29
2013,36,0,21528,Henrik Stenson,29
2013,36,0,31560,Brian Stuard,29
2013,43,0,25274,Steven Bowditch,28
2013,43,0,32366,Kevin Chappell,28
2013,43,0,28500,Martin Flores,28
2013,43,0,35139,Richard Lee,28
2013,43,0,23320,Ryan Palmer,28
2013,43,0,34360,Patrick Reed,28
2013,43,0,22913,John Rollins,28
2013,50,0,25686,Jason Dufner,27
2013,50,0,35539,Luke Guthrie,27
2013,50,0,33461,Morgan Hoffmann,27
2013,50,0,8075,Jerry Kelly,27
2013,50,0,22405,Justin Rose,27
2013,50,0,29518,Brendan Steele,27
2013,50,0,33419,Cameron Tringale,27
2013,57,0,20593,Greg Chalmers,26
2013,57,0,24357,K.J. Choi,26
2013,57,0,23409,James Driscoll,26
2013,57,0,21209,Sergio Garcia,26
2013,57,0,27644,Brian Harman,26
2013,57,0,25444,Justin Hicks,26
2013,57,0,34174,John Huh,26
2013,57,0,30944,Jason Kokrak,26
2013,57,0,26331,Charl Schwartzel,26
2013,57,0,6527,Steve Stricker,26
2013,67,0,27895,Jonas Blixt,25
2013,67,0,20104,Ken Duke,25
2013,67,0,34098,Russell Henley,25
2013,67,0,23353,J.J. Henry,25
2013,67,0,10860,Justin Leonard,25
2013,67,0,24490,George McNeill,25
2013,67,0,26596,Ryan Moore,25
2013,67,0,24502,Adam Scott,25
2013,75,0,28259,Sangmoon Bae,24
2013,75,0,32102,Rickie Fowler,24
2013,75,0,31202,William McGirt,24
2013,75,0,25818,Scott Piercy,24
2013,75,0,25240,D.A. Points,24
2013,75,0,26476,Chez Reavie,24
2013,75,0,25804,Bubba Watson,24
2013,75,0,8793,Tiger Woods,24
2013,83,0,20848,Ángel Cabrera,23
2013,83,0,12510,Chad Campbell,23
2013,83,0,24494,Erik Compton,23
2013,83,0,29740,Brad Fritsch,23
2013,83,0,19846,Brian Gay,23
2013,83,0,36884,Ben Kohles,23
2013,83,0,28092,D.H. Lee,23
2013,83,0,20691,Greg Owen,23
2013,83,0,34431,Robert Streb,23
2013,83,0,27330,Josh Teater,23
2013,83,0,23623,Bo Van Pelt,23
2013,83,0,20396,Lee Westwood,23
2013,95,0,22371,Aaron Baddeley,22
2013,95,0,24507,Jason Bohn,22
2013,95,0,23135,Tim Clark,22
2013,95,0,31557,Jim Herman,22
2013,95,0,27408,Martin Kaymer,22
2013,95,0,26851,Marc Leishman,22
2013,95,0,34409,David Lingmerth,22
2013,95,0,24361,Pat Perez,22
2013,95,0,30692,Scott Stallings,22
2013,104,0,24846,Ricky Barnes,21
2013,104,0,23541,Ben Crane,21
2013,104,0,24358,Robert Garrigus,21
2013,104,0,28679,Fabián Gómez,21
2013,104,0,27503,Steve LeBrun,21
2013,109,0,20229,Stewart Cink,20
2013,109,0,8725,Tom Gillis,20
2013,109,0,32448,James Hahn,20
2013,109,0,30852,Ryo Ishikawa,20
2013,109,0,21731,Freddie Jacobson,20
2013,109,0,22806,Doug LaBelle II,20
2013,109,0,22056,Cameron Percy,20
2013,109,0,27556,Ted Potter Jr.,20
2013,109,0,30110,Kyle Stanley,20
2013,109,0,33418,Shawn Stefani,20
2013,109,0,20160,Charlie Wi,20
2013,120,0,23983,Luke Donald,19
2013,120,0,1724,Jeff Maggert,19
2013,120,0,10213,Dicky Pride,19
2013,123,0,29479,Scott Brown,18
2013,123,0,6573,Brandt Jobe,18
2013,123,0,21099,David Lynn,18
2013,123,0,25345,Carl Pettersson,18
2013,123,0,24138,Ian Poulter,18
2013,123,0,23497,Tag Ridings,18
2013,123,0,25562,Andres Romero,18
2013,123,0,20645,John Senden,18
2013,123,0,26497,Casey Wittenberg,18
2013,132,0,6004,Stephen Ames,17
2013,132,0,28455,Will Claxton,17
2013,132,0,30750,Tommy Gainey,17
2013,132,0,30711,Colt Knost,17
2013,132,0,29289,S.Y. Noh,17
2013,132,0,22348,Nick O'Hern,17
2013,132,0,32150,Michael Thompson,17
2013,139,0,32334,Charlie Beljan,16
2013,139,0,24227,Justin Bolli,16
2013,139,0,6522,Ernie Els,16
2013,139,0,25900,Lucas Glover,16
2013,139,0,19970,Robert Karlsson,16
2013,139,0,34261,Scott Langley,16
2013,139,0,30163,Henrik Norlander,16
2013,139,0,6567,Vijay Singh,16
2013,139,0,23325,Vaughn Taylor,16
2013,139,0,30927,Brendon Todd,16
2013,139,0,28310,Lee Williams,16
2013,139,0,21878,Mark Wilson,16
2013,151,0,34021,Bud Cauley,15
2013,151,0,33122,Russell Knox,15
2013,151,0,27120,Troy Matteson,15
2013,151,0,28237,Rory McIlroy,15
2013,151,0,25336,Alistair Presnell,15
2013,151,0,2206,David Toms,15
2013,157,0,24399,Scott Gardiner,14
2013,157,0,27936,Martin Laird,14
2013,157,0,22961,David Mathis,14
2013,157,0,25572,Graeme McDowell,14
2013,157,0,23788,D.J. Trahan,14
2013,157,0,10423,Mike Weir,14
2013,163,0,27129,Luke List,13
2013,163,0,24663,Y.E. Yang,13
2013,165,0,22792,Peter Hanson,12
2013,165,0,12782,Tim Herron,12
2013,165,0,26695,Michael Letzig,12
2013,165,0,1948,Tim Petrovic,12
2013,165,0,28118,Peter Tomasulo,12
2013,170,0,37273,Derek Ernst,11
2013,170,0,27896,Ross Fisher,11
2013,170,0,1706,Davis Love III,11
2013,170,0,24140,Sean O'Hair,11
2013,170,0,22295,Darron Stiles,11
2013,170,0,28135,Aaron Watkins,11
2013,176,0,23452,Nicolas Colsaerts,10
2013,176,0,29720,Andres Gonzales,10
2013,176,0,22378,Trevor Immelman,10
2013,176,0,27060,John Mallinger,10
2013,176,0,22046,Geoff Ogilvy,10
2013,176,0,26329,Louis Oosthuizen,10
2013,176,0,20443,Jin Park,10
2013,176,0,6595,Kevin Sutherland,10
2013,176,0,29425,Andrew Svoboda,10
2013,176,0,26951,Johnson Wagner,10
2013,186,0,1116,Michael Bradley,9
2013,186,0,24925,Jonathan Byrd,9
2013,186,0,6251,Chris DiMarco,9
2013,186,0,20766,Padraig Harrington,9
2013,186,0,28158,Steve Marino,9
2013,186,0,32839,Hideki Matsuyama,9
2013,186,0,33869,Eric Meierdierks,9
2013,186,0,20572,Rod Pampling,9
2013,186,0,22293,Heath Slocum,9
2013,186,0,21951,Joey Snyder III,9
2013,196,0,7867,Woody Austin,8
2013,196,0,7457,Steve Flesch,8
2013,196,0,20157,Retief Goosen,8
2013,196,0,23718,Nathan Green,8
2013,196,0,35901,Paul Haley II,8
