YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL RNDS
2013,196,0,24503,Jeff Klauk,8
2013,196,0,21949,Joe Ogilvie,8
2013,196,0,23481,Marcel Siem,8
2013,196,0,2239,Scott Verplank,8
2013,205,0,27796,Joe Affrunti,7
2013,205,0,10885,Robert Allenby,7
2013,205,0,23204,Gary Christian,7
2013,205,0,22621,Ben Curtis,7
2013,205,0,23548,Bill Lunde,7
2013,205,0,25396,Kevin Na,7
2013,205,0,7013,Wes Short Jr.,7
2013,212,0,20070,Matt Bettencourt,6
2013,212,0,28937,George Coetzee,6
2013,212,0,1249,John Daly,6
2013,212,0,19958,Miguel Angel Jiménez,6
2013,212,0,1766,Billy Mayfair,6
2013,212,0,33968,Thorbjørn Olesen,6
2013,212,0,29476,Kyle Reifers,6
2013,219,0,35450,Patrick Cantlay,5
2013,219,0,37450,Donald Constable,5
2013,219,0,8931,Glen Day,5
2013,219,0,20376,Stephen Gallacher,5
2013,219,0,20105,Jeff Gove,5
2013,219,0,39531,Ken Looper,5
2013,219,0,1945,Kenny Perry,5
2013,226,0,21407,Arjun Atwal,4
2013,226,0,10505,Shane Bertsch,4
2013,226,0,25191,Gonzalo Fernandez-Castaño,4
2013,226,0,32698,Bobby Gates,4
2013,226,0,23552,Hank Kuehne,4
2013,226,0,29926,Danny Lee,4
2013,226,0,25198,Francesco Molinari,4
2013,226,0,35541,John Peterson,4
2013,226,0,25457,Alexandre Rocha,4
2013,226,0,36699,Patrick Rodgers,4
2013,226,0,24459,Richard Sterne,4
2013,226,0,2246,Duffy Waldorf,4
2013,226,0,35459,Chris Williams,4
2013,239,0,1024,Billy Andrade,3
2013,239,0,30978,Kiradech Aphibarnrat,3
2013,239,0,35545,Blayne Barber,3
2013,239,0,12652,Cameron Beckman,3
2013,239,0,27958,Ryan Blaum,3
2013,239,0,1142,Bart Bryant,3
2013,239,0,26499,Rafa Cabrera Bello,3
2013,239,0,1203,Russ Cochran,3
2013,239,0,34262,Jon Curran,3
2013,239,0,25369,Jamie Donaldson,3
2013,239,0,29974,Branden Grace,3
2013,239,0,1577,Lee Janzen,3
2013,239,0,28308,Troy Kelly,3
2013,239,0,26733,John Kimbell,3
2013,239,0,19904,Paul Lawrie,3
2013,239,0,20634,Peter Lonard,3
2013,239,0,33199,Matteo Manassero,3
2013,239,0,34358,Jonathan Randolph,3
2013,239,0,20127,Chris Riley,3
2013,239,0,33448,Justin Thomas,3
2013,239,0,29484,Peter Uihlein,3
2013,239,0,35469,Sebastián Vázquez,3
2013,239,0,27064,Jhonattan Vegas,3
2013,239,0,25841,Marc Warren,3
2013,239,0,2256,Tom Watson,3
2013,239,0,12602,Dean Wilson,3
2013,265,0,33120,Mark Anderson,2
2013,265,0,25364,Paul Casey,2
2013,265,0,32800,Franklin Corpening,2
2013,265,0,1226,Fred Couples,2
2013,265,0,6621,Joe Durant,2
2013,265,0,24083,Marcus Fraser,2
2013,265,0,1378,David Frost,2
2013,265,0,22892,Jason Gore,2
2013,265,0,24604,Hunter Haas,2
2013,265,0,33399,Adam Hadwin,2
2013,265,0,1473,Todd Hamilton,2
2013,265,0,21350,Ryuji Imada,2
2013,265,0,31138,Scott Jamieson,2
2013,265,0,10733,Kent Jones,2
2013,265,0,1599,Steve Jones,2
2013,265,0,1619,Skip Kendall,2
2013,265,0,39975,Michael Kim,2
2013,265,0,37455,Si Woo Kim,2
2013,265,0,6332,Neal Lancaster,2
2013,265,0,1677,Tom Lehman,2
2013,265,0,33204,Shane Lowry,2
2013,265,0,12660,Jesper Parnevik,2
2013,265,0,8375,Paul Stankowski,2
2013,265,0,20580,Andre Stolz,2
2013,265,0,21498,Hideto Tanihara,2
2013,265,0,26668,Marc Turnesa,2
2013,265,0,25892,Steve Wheatcroft,2
2013,265,0,22110,Thaworn Wiratchant,2
2013,265,0,22000,Chris Wood,2
2013,294,0,23778,Brad Adamonis,1
2013,294,0,29910,Blake Adams,1
2013,294,0,20771,Steven Alker,1
2013,294,0,23048,Eric Axley,1
2013,294,0,19824,Craig Barlow,1
2013,294,0,22764,Michael Block,1
2013,294,0,21646,David Branshaw,1
2013,294,0,32070,Rafael Campos,1
2013,294,0,28100,Kevin Carll,1
2013,294,0,19825,Darren Clarke,1
2013,294,0,6034,Marco Dawson,1
2013,294,0,23790,Eduardo De La Riva,1
2013,294,0,1329,Brad Faxon,1
2013,294,0,39412,Zack Fischer,1
2013,294,0,28923,Oliver Fisher,1
2013,294,0,38985,Steven Fox,1
2013,294,0,1381,Fred Funk,1
2013,294,0,1388,Robert Gamez,1
2013,294,0,20574,Mathew Goggin,1
2013,294,0,27554,Scott Harrington,1
2013,294,0,29930,Mike Hendry,1
2013,294,0,20433,Mark Hensby,1
2013,294,0,27141,J.B. Holmes,1
2013,294,0,35612,John Hurley,1
2013,294,0,39974,Steven Ihm,1
2013,294,0,26908,Yuta Ikeda,1
2013,294,0,24511,Thongchai Jaidee,1
2013,294,0,23290,Andrew Johnson,1
2013,294,0,27929,Shiv Kapur,1
2013,294,0,20218,Shingo Katayama,1
2013,294,0,29478,Kevin Kisner,1
2013,294,0,35879,Kelly Kraft,1
2013,294,0,11032,Frank Lickliter II,1
2013,294,0,10585,Scott McCarron,1
2013,294,0,27171,Jay McLuen,1
2013,294,0,27349,Alex Noren,1
2013,294,0,1887,Mark O'Meara,1
2013,294,0,1928,Corey Pavin,1
2013,294,0,25449,Justin Peters,1
2013,294,0,21959,Ted Purdy,1
2013,294,0,7749,Brett Quigley,1
2013,294,0,29531,Richie Ramsay,1
2013,294,0,29223,Sam Saunders,1
2013,294,0,34259,Mark Silvers,1
2013,294,0,33911,Nate Smith,1
2013,294,0,2136,Chris Starkjohann,1
2013,294,0,36471,Guan Tian Liang,1
2013,294,0,8385,Omar Uresti,1
2013,294,0,39480,T.J. Vogel,1
2013,294,0,32139,Danny Willett,1
2013,294,0,37460,Jeremiah Wooding,1
2014,1,0,21961,Charles Howell III,48
2014,1,0,30927,Brendon Todd,48
2014,3,0,27644,Brian Harman,47
2014,4,0,33141,Keegan Bradley,44
2014,4,0,23108,Matt Kuchar,44
2014,4,0,25632,Jimmy Walker,44
2014,7,0,34099,Harris English,43
2014,8,0,24924,Bill Haas,42
2014,8,0,30926,Chris Kirk,42
2014,8,0,27963,Chris Stroud,42
2014,11,0,10809,Jim Furyk,40
2014,11,0,12716,Charley Hoffman,40
2014,11,0,24502,Adam Scott,40
2014,14,0,20645,John Senden,39
2014,14,0,25834,Daniel Summerhays,39
2014,16,0,27436,Graham DeLaet,38
2014,16,0,31202,William McGirt,38
2014,16,0,26596,Ryan Moore,38
2014,16,0,23320,Ryan Palmer,38
2014,20,0,32102,Rickie Fowler,37
2014,20,0,29478,Kevin Kisner,37
2014,20,0,33419,Cameron Tringale,37
2014,20,0,25804,Bubba Watson,37
2014,24,0,24846,Ricky Barnes,36
2014,24,0,32366,Kevin Chappell,36
2014,24,0,8075,Jerry Kelly,36
2014,24,0,25396,Kevin Na,36
2014,24,0,34046,Jordan Spieth,36
2014,29,0,23638,Brendon de Jonge,35
2014,29,0,28307,Matt Every,35
2014,29,0,25444,Justin Hicks,35
2014,29,0,29420,Billy Horschel,35
2014,29,0,28237,Rory McIlroy,35
2014,29,0,24490,George McNeill,35
2014,29,0,25345,Carl Pettersson,35
2014,29,0,28486,Michael Putnam,35
2014,37,0,29479,Scott Brown,34
2014,37,0,29535,Brice Garnett,34
2014,37,0,21731,Freddie Jacobson,34
2014,37,0,24024,Zach Johnson,34
2014,37,0,29289,S.Y. Noh,34
2014,37,0,27770,Camilo Villegas,34
2014,43,0,20098,Stuart Appleby,33
2014,43,0,20157,Retief Goosen,33
2014,43,0,35539,Luke Guthrie,33
2014,43,0,33122,Russell Knox,33
2014,43,0,31323,Gary Woodland,33
2014,48,0,26851,Marc Leishman,32
2014,48,0,29221,Webb Simpson,32
2014,48,0,31560,Brian Stuard,32
2014,51,0,23541,Ben Crane,31
2014,51,0,26758,David Hearn,31
2014,51,0,29222,Billy Hurley III,31
2014,51,0,28475,Jeff Overton,31
2014,51,0,34360,Patrick Reed,31
2014,51,0,6567,Vijay Singh,31
2014,51,0,2206,David Toms,31
2014,58,0,34563,Chesson Hadley,30
2014,58,0,33461,Morgan Hoffmann,30
2014,58,0,24912,Will MacKenzie,30
2014,58,0,27649,Brandt Snedeker,30
2014,58,0,26679,Kevin Stadler,30
2014,58,0,29518,Brendan Steele,30
2014,58,0,34431,Robert Streb,30
2014,58,0,29425,Andrew Svoboda,30
2014,58,0,28132,Tyrone Van Aswegen,30
2014,67,0,20229,Stewart Cink,29
2014,67,0,24494,Erik Compton,29
2014,67,0,21209,Sergio Garcia,29
2014,67,0,30925,Dustin Johnson,29
2014,67,0,26300,Matt Jones,29
2014,67,0,33413,Ben Martin,29
2014,67,0,32839,Hideki Matsuyama,29
2014,67,0,27330,Josh Teater,29
2014,75,0,24507,Jason Bohn,28
2014,75,0,25274,Steven Bowditch,28
2014,75,0,20593,Greg Chalmers,28
2014,75,0,32448,James Hahn,28
2014,75,0,23353,J.J. Henry,28
2014,75,0,27141,J.B. Holmes,28
2014,75,0,34261,Scott Langley,28
2014,75,0,29926,Danny Lee,28
2014,75,0,26331,Charl Schwartzel,28
2014,75,0,23623,Bo Van Pelt,28
2014,85,0,6522,Ernie Els,27
2014,85,0,30852,Ryo Ishikawa,27
2014,85,0,30944,Jason Kokrak,27
2014,85,0,22405,Justin Rose,27
2014,85,0,22293,Heath Slocum,27
2014,85,0,27064,Jhonattan Vegas,27
2014,91,0,24357,K.J. Choi,26
2014,91,0,21753,Brian Davis,26
2014,91,0,28500,Martin Flores,26
2014,91,0,23800,Bryce Molder,26
2014,91,0,24361,Pat Perez,26
2014,91,0,34264,Hudson Swafford,26
2014,91,0,27095,Nick Watney,26
2014,91,0,20160,Charlie Wi,26
2014,99,0,28259,Sangmoon Bae,25
2014,99,0,32334,Charlie Beljan,25
2014,99,0,23135,Tim Clark,25
2014,99,0,34098,Russell Henley,25
2014,99,0,25572,Graeme McDowell,25
2014,99,0,23621,Rory Sabbatini,25
2014,99,0,25349,Tim Wilkinson,25
2014,106,0,10885,Robert Allenby,24
2014,106,0,12510,Chad Campbell,24
2014,106,0,25191,Gonzalo Fernandez-Castaño,24
2014,106,0,25562,Andres Romero,24
2014,106,0,33418,Shawn Stefani,24
2014,111,0,20848,Ángel Cabrera,23
2014,111,0,25720,Chad Collins,23
2014,111,0,23409,James Driscoll,23
2014,111,0,24358,Robert Garrigus,23
2014,111,0,34174,John Huh,23
2014,111,0,22378,Trevor Immelman,23
2014,111,0,1706,Davis Love III,23
2014,111,0,22913,John Rollins,23
2014,111,0,30110,Kyle Stanley,23
2014,111,0,27214,Kevin Streelman,23
2014,111,0,26289,Boo Weekley,23
2014,111,0,34265,Will Wilcox,23
2014,123,0,34021,Bud Cauley,22
2014,123,0,20104,Ken Duke,22
2014,123,0,36689,Brooks Koepka,22
2014,123,0,34409,David Lingmerth,22
2014,123,0,1810,Phil Mickelson,22
2014,123,0,22046,Geoff Ogilvy,22
2014,123,0,32150,Michael Thompson,22
2014,130,0,24925,Jonathan Byrd,21
2014,130,0,25364,Paul Casey,21
2014,130,0,22621,Ben Curtis,21
2014,130,0,28089,Jason Day,21
2014,130,0,35139,Richard Lee,21
2014,130,0,27466,Spencer Levin,21
2014,130,0,24781,Hunter Mahan,21
2014,130,0,27933,John Merrick,21
2014,130,0,28780,Nicholas Thompson,21
2014,139,0,30750,Tommy Gainey,20
2014,139,0,27936,Martin Laird,20
2014,139,0,10860,Justin Leonard,20
2014,139,0,32640,Troy Merritt,20
2014,139,0,24140,Sean O'Hair,20
2014,139,0,21528,Henrik Stenson,20
2014,145,0,22371,Aaron Baddeley,19
2014,145,0,37273,Derek Ernst,19
2014,145,0,27408,Martin Kaymer,19
2014,145,0,29461,Jamie Lovemark,19
2014,145,0,27556,Ted Potter Jr.,19
2014,145,0,30692,Scott Stallings,19
2014,145,0,26951,Johnson Wagner,19
2014,145,0,24663,Y.E. Yang,19
2014,153,0,25686,Jason Dufner,18
2014,153,0,6621,Joe Durant,18
2014,153,0,29740,Brad Fritsch,18
2014,153,0,34466,Peter Malnati,18
2014,157,0,19846,Brian Gay,17
2014,157,0,28158,Steve Marino,17
2014,157,0,35541,John Peterson,17
2014,157,0,35732,Wes Roach,17
2014,157,0,21878,Mark Wilson,17
2014,162,0,32200,Roberto Castro,16
2014,162,0,31557,Jim Herman,16
2014,162,0,35300,Andrew Loupe,16
2014,165,0,23983,Luke Donald,15
2014,165,0,25198,Francesco Molinari,15
2014,165,0,25240,D.A. Points,15
2014,168,0,25900,Lucas Glover,14
2014,168,0,12782,Tim Herron,14
2014,168,0,19970,Robert Karlsson,14
2014,168,0,27120,Troy Matteson,14
2014,168,0,25818,Scott Piercy,14
2014,168,0,24138,Ian Poulter,14
2014,168,0,6527,Steve Stricker,14
2014,175,0,24399,Scott Gardiner,13
2014,175,0,20396,Lee Westwood,13
2014,177,0,27895,Jonas Blixt,12
2014,177,0,1724,Jeff Maggert,12
2014,177,0,26329,Louis Oosthuizen,12
2014,180,0,23048,Eric Axley,11
2014,180,0,28339,Victor Dubuisson,11
2014,180,0,30946,Alex Prugh,11
2014,180,0,32333,Kevin Tway,11
2014,180,0,28310,Lee Williams,11
2014,185,0,23540,Jason Allred,10
2014,185,0,7867,Woody Austin,10
2014,185,0,20498,Briny Baird,10
2014,185,0,25369,Jamie Donaldson,10
2014,185,0,21350,Ryuji Imada,10
2014,185,0,28092,D.H. Lee,10
2014,185,0,31193,Jim Renner,10
2014,192,0,6004,Stephen Ames,9
2014,192,0,12652,Cameron Beckman,9
2014,192,0,10944,Thomas Bjørn,9
2014,192,0,1249,John Daly,9
2014,192,0,22892,Jason Gore,9
2014,192,0,20766,Padraig Harrington,9
2014,192,0,26956,Bronson La'Cassie,9
2014,192,0,10423,Mike Weir,9
2014,200,0,29910,Blake Adams,8
2014,200,0,28093,Miguel Angel Carballo,8
2014,200,0,23452,Nicolas Colsaerts,8
2014,200,0,9011,David Duval,8
2014,200,0,29974,Branden Grace,8
2014,200,0,22792,Peter Hanson,8
2014,200,0,24940,Edward Loar,8
2014,200,0,1948,Tim Petrovic,8
2014,208,0,30978,Kiradech Aphibarnrat,7
2014,208,0,35840,Kevin Foley,7
2014,208,0,6643,Paul Goydos,7
2014,208,0,39977,Max Homa,7
2014,208,0,33199,Matteo Manassero,7
2014,208,0,20691,Greg Owen,7
2014,208,0,10213,Dicky Pride,7
2014,208,0,36699,Patrick Rodgers,7
2014,216,0,20070,Matt Bettencourt,6
2014,216,0,35450,Patrick Cantlay,6
2014,216,0,20850,Daniel Chopra,6
2014,216,0,24956,Mikko Ilonen,6
2014,216,0,21949,Joe Ogilvie,6
2014,221,0,26499,Rafa Cabrera Bello,5
2014,221,0,20472,Alex Cejka,5
2014,221,0,28455,Will Claxton,5
2014,221,0,19972,José Coceres,5
2014,221,0,21805,Harrison Frazar,5
2014,221,0,22806,Doug LaBelle II,5
2014,221,0,28300,Joost Luiten,5
2014,221,0,27060,John Mallinger,5
2014,221,0,33968,Thorbjørn Olesen,5
2014,221,0,1945,Kenny Perry,5
2014,221,0,26668,Marc Turnesa,5
2014,221,0,8793,Tiger Woods,5
2014,221,0,46507,Bobby Wyatt,5
2014,234,0,24227,Justin Bolli,4
2014,234,0,19825,Darren Clarke,4
2014,234,0,8931,Glen Day,4
2014,234,0,1320,Bob Estes,4
2014,234,0,29720,Andres Gonzales,4
2014,234,0,23718,Nathan Green,4
2014,234,0,1577,Lee Janzen,4
2014,234,0,19958,Miguel Angel Jiménez,4
2014,234,0,33204,Shane Lowry,4
2014,234,0,21099,David Lynn,4
2014,234,0,1761,Len Mattiace,4
2014,234,0,10585,Scott McCarron,4
2014,234,0,27171,Jay McLuen,4
2014,234,0,23814,Edoardo Molinari,4
2014,234,0,27119,Koumei Oda,4
2014,234,0,26476,Chez Reavie,4
2014,234,0,24459,Richard Sterne,4
2014,234,0,33448,Justin Thomas,4
2014,234,0,2239,Scott Verplank,4
2014,234,0,2256,Tom Watson,4
2014,254,0,33120,Mark Anderson,3
2014,254,0,25936,Alex Aragon,3
2014,254,0,28087,Kris Blanks,3
2014,254,0,26525,Grégory Bourdy,3
2014,254,0,1161,Mark Calcavecchia,3
2014,254,0,32070,Rafael Campos,3
2014,254,0,20376,Stephen Gallacher,3
2014,254,0,37351,Oliver Goss,3
2014,254,0,1473,Todd Hamilton,3
2014,254,0,6575,Dudley Hart,3
2014,254,0,39974,Steven Ihm,3
2014,254,0,24511,Thongchai Jaidee,3
2014,254,0,34579,Alexander Levy,3
2014,254,0,46048,Jordan Niebrugge,3
2014,254,0,40250,Taylor Pendrith,3
2014,254,0,27072,Alvaro Quiros,3
2014,254,0,46046,Scottie Scheffler,3
2014,254,0,21498,Hideto Tanihara,3
2014,254,0,25841,Marc Warren,3
2014,254,0,29454,Bernd Wiesberger,3
2014,254,0,22000,Chris Wood,3
2014,275,0,24461,Thomas Aiken,2
2014,275,0,32354,Seuk-hyun Baek,2
2014,275,0,26949,Josh Broadaway,2
2014,275,0,28937,George Coetzee,2
2014,275,0,46435,Austin Cook,2
2014,275,0,34262,Jon Curran,2
2014,275,0,34076,Joel Dahmen,2
2014,275,0,6251,Chris DiMarco,2
2014,275,0,31416,Derek Fathauer,2
2014,275,0,40098,Matt Fitzpatrick,2
2014,275,0,30911,Tommy Fleetwood,2
2014,275,0,30736,Oscar Fraustro,2
2014,275,0,28679,Fabián Gómez,2
2014,275,0,33399,Adam Hadwin,2
2014,275,0,23063,Scott Hend,2
2014,275,0,20608,David Howell,2
2014,275,0,32878,Jin Jeong,2
2014,275,0,37092,Hyung-Sung Kim,2
2014,275,0,24748,WC Liang,2
2014,275,0,12660,Jesper Parnevik,2
2014,275,0,45294,Kevin Penner,2
2014,275,0,7749,Brett Quigley,2
2014,275,0,29476,Kyle Reifers,2
2014,275,0,23497,Tag Ridings,2
2014,275,0,27139,David Skinns,2
2014,275,0,2106,Chris Smith,2
2014,275,0,37459,Ryan Sullivan,2
2014,275,0,10387,Chris Thompson,2
2014,275,0,23788,D.J. Trahan,2
2014,275,0,24457,Jaco Van Zyl,2
2014,275,0,39075,Armando Villarreal,2
2014,275,0,32139,Danny Willett,2
2014,275,0,29939,Fabrizio Zanotti,2
2014,308,0,45642,Neal Ajubita,1
2014,308,0,31289,Benjamín Alvarado,1
2014,308,0,33948,Byeong Hun An,1
2014,308,0,40026,Daniel Berger,1
2014,308,0,10505,Shane Bertsch,1
2014,308,0,28697,Gaganjeet Bhullar,1
2014,308,0,22764,Michael Block,1
2014,308,0,32262,Mark Brown,1
2014,308,0,23204,Gary Christian,1
2014,308,0,36489,Will Collins,1
2014,308,0,1226,Fred Couples,1
2014,308,0,29253,Jeff Curl,1
2014,308,0,32582,Eric Dugas,1
2014,308,0,20721,Darren Fichardt,1
2014,308,0,7457,Steve Flesch,1
2014,308,0,21284,Hiroyuki Fujita,1
2014,308,0,1381,Fred Funk,1
2014,308,0,32698,Bobby Gates,1
2014,308,0,23338,David Gossett,1
2014,308,0,39954,Cody Gribble,1
2014,308,0,31646,Emiliano Grillo,1
2014,308,0,29930,Mike Hendry,1
2014,308,0,32753,Wenyi Huang,1
2014,308,0,36801,Mark Hubbard,1
2014,308,0,26908,Yuta Ikeda,1
2014,308,0,10733,Kent Jones,1
2014,308,0,27929,Shiv Kapur,1
2014,308,0,32815,Masahiro Kawamura,1
2014,308,0,28308,Troy Kelly,1
2014,308,0,36884,Ben Kohles,1
2014,308,0,27652,Johan Kok,1
